,date,open
0,2019-05-23,14.0
1,2019-05-24,11.2
2,2019-05-28,11.25
3,2019-05-29,11.58
4,2019-05-30,11.95
5,2019-05-31,11.36
6,2019-06-03,12.07
7,2019-06-04,11.5
8,2019-06-05,11.6
9,2019-06-06,11.7161
10,2019-06-07,11.59
11,2019-06-10,10.54
12,2019-06-11,10.82
13,2019-06-12,11.0
14,2019-06-13,10.74
15,2019-06-14,10.62
16,2019-06-17,10.82
17,2019-06-18,10.99
18,2019-06-19,10.8038
19,2019-06-20,10.44
20,2019-06-21,10.38
21,2019-06-24,9.5
22,2019-06-25,10.0
23,2019-06-26,9.9
24,2019-06-27,9.9
25,2019-06-28,10.08
26,2019-07-01,10.08
27,2019-07-02,9.61
28,2019-07-03,9.1
29,2019-07-05,8.7
30,2019-07-08,8.06
31,2019-07-09,8.11
32,2019-07-10,7.88
33,2019-07-11,7.8
34,2019-07-12,8.11
35,2019-07-15,8.7
36,2019-07-16,8.19
37,2019-07-17,8.04
38,2019-07-18,7.71
39,2019-07-19,7.88
40,2019-07-22,7.85
41,2019-07-23,7.25
42,2019-07-24,6.7
43,2019-07-25,6.81
44,2019-07-26,7.0
45,2019-07-29,6.95
46,2019-07-30,7.07
47,2019-07-31,6.82
48,2019-08-01,6.8541
49,2019-08-02,7.31
50,2019-08-05,6.72
51,2019-08-06,6.71
52,2019-08-07,6.7
53,2019-08-08,6.79
54,2019-08-09,6.624
55,2019-08-12,6.752
56,2019-08-13,6.9
57,2019-08-14,6.59
58,2019-08-15,7.02
59,2019-08-16,6.94
60,2019-08-19,6.7
61,2019-08-20,6.4435
62,2019-08-21,6.6
63,2019-08-22,6.54
64,2019-08-23,6.37
65,2019-08-26,6.32
66,2019-08-27,6.09
67,2019-08-28,6.17
68,2019-08-29,6.1153
69,2019-08-30,6.86
70,2019-09-03,6.55
71,2019-09-04,7.72
72,2019-09-05,6.93
73,2019-09-06,6.92
74,2019-09-09,7.08
75,2019-09-10,7.99
76,2019-09-11,7.9
77,2019-09-12,8.27
78,2019-09-13,7.75
79,2019-09-16,7.8
80,2019-09-17,9.8
81,2019-09-18,9.57
82,2019-09-19,11.09
83,2019-09-20,9.8
84,2019-09-23,9.1
85,2019-09-24,9.12
86,2019-09-25,9.08
87,2019-09-26,9.29
88,2019-09-27,9.78
89,2019-09-30,9.11
90,2019-10-01,8.94
91,2019-10-02,8.78
92,2019-10-03,8.2
93,2019-10-04,7.6
94,2019-10-07,7.81
95,2019-10-08,7.51
96,2019-10-09,7.6
97,2019-10-10,7.03
98,2019-10-11,7.025
99,2019-10-14,7.18
100,2019-10-15,7.05
101,2019-10-16,6.55
102,2019-10-17,6.45
103,2019-10-18,5.95
104,2019-10-21,5.66
105,2019-10-22,5.86
106,2019-10-23,5.6777
107,2019-10-24,5.7
108,2019-10-25,5.8937
109,2019-10-28,5.8546
110,2019-10-29,5.73
111,2019-10-30,5.93
112,2019-10-31,5.8864
113,2019-11-01,6.05
114,2019-11-04,6.05
115,2019-11-05,5.99
116,2019-11-06,5.832
117,2019-11-07,5.88
118,2019-11-08,5.81
119,2019-11-11,5.9444
120,2019-11-12,5.81
121,2019-11-13,5.86
122,2019-11-14,8.22
123,2019-11-15,8.37
124,2019-11-18,7.77
125,2019-11-19,7.74
126,2019-11-20,7.85
127,2019-11-21,6.71
128,2019-11-22,6.8
129,2019-11-25,7.3515
130,2019-11-26,7.4
131,2019-11-27,7.38
132,2019-11-29,7.43
133,2019-12-02,7.8
134,2019-12-03,8.3
135,2019-12-04,8.2
136,2019-12-05,7.65
137,2019-12-06,7.8
138,2019-12-09,7.6675
139,2019-12-10,7.5
140,2019-12-11,7.7
141,2019-12-12,7.8
142,2019-12-13,7.75
143,2019-12-16,7.46
144,2019-12-17,7.08
145,2019-12-18,7.11
146,2019-12-19,7.28
147,2019-12-20,8.19
148,2019-12-23,9.1
149,2019-12-24,8.75
150,2019-12-26,8.75
151,2019-12-27,8.9
152,2019-12-30,8.48
153,2019-12-31,7.88
154,2020-01-02,7.18
155,2020-01-03,9.13
156,2020-01-06,8.88
157,2020-01-07,8.97
158,2020-01-08,8.9
159,2020-01-09,8.23
160,2020-01-10,8.87
161,2020-01-13,9.176
162,2020-01-14,10.21
163,2020-01-15,10.25
164,2020-01-16,10.85
165,2020-01-17,10.04
166,2020-01-21,9.9
167,2020-01-22,9.81
168,2020-01-23,9.39
169,2020-01-24,8.99
170,2020-01-27,9.09
171,2020-01-28,9.0
172,2020-01-29,9.15
173,2020-01-30,8.48
174,2020-01-31,8.6
175,2020-02-03,8.55
176,2020-02-04,9.08
177,2020-02-05,9.02
178,2020-02-06,8.6
179,2020-02-07,8.21
180,2020-02-10,7.12
181,2020-02-11,6.45
182,2020-02-12,6.6
183,2020-02-13,6.7
184,2020-02-14,7.12
185,2020-02-18,6.86
186,2020-02-19,6.78
187,2020-02-20,6.85
188,2020-02-21,7.0
189,2020-02-24,6.71
190,2020-02-25,6.95
191,2020-02-26,6.93
192,2020-02-27,7.08
193,2020-02-28,6.83
194,2020-03-02,6.91
195,2020-03-03,7.0
196,2020-03-04,7.07
197,2020-03-05,7.03
198,2020-03-06,6.9635
199,2020-03-09,6.9
200,2020-03-10,7.06
201,2020-03-11,5.93
202,2020-03-12,4.56
203,2020-03-13,4.5
204,2020-03-16,3.9
205,2020-03-17,3.4
206,2020-03-18,4.0
207,2020-03-19,3.5
208,2020-03-20,3.4
209,2020-03-23,3.6
210,2020-03-24,3.69
211,2020-03-25,4.18
212,2020-03-26,4.15
213,2020-03-27,4.58
214,2020-03-30,4.36
215,2020-03-31,4.17
216,2020-04-01,4.02
217,2020-04-02,3.72
218,2020-04-03,3.82
219,2020-04-06,3.9
220,2020-04-07,3.85
221,2020-04-08,4.1
222,2020-04-09,4.5
223,2020-04-13,4.43
224,2020-04-14,4.54
225,2020-04-15,4.53
226,2020-04-16,4.25
227,2020-04-17,4.52
228,2020-04-20,4.53
229,2020-04-21,4.57
230,2020-04-22,4.74
231,2020-04-23,4.84
232,2020-04-24,5.2
233,2020-04-27,5.26
234,2020-04-28,5.4
235,2020-04-29,5.9079
236,2020-04-30,5.77
237,2020-05-01,5.63
238,2020-05-04,5.2
239,2020-05-05,5.78
240,2020-05-06,6.4
241,2020-05-07,6.25
242,2020-05-08,6.2
243,2020-05-11,6.92
244,2020-05-12,8.11
245,2020-05-13,7.65
246,2020-05-14,6.81
247,2020-05-15,6.74
248,2020-05-18,8.1
249,2020-05-19,7.35
250,2020-05-20,7.76
251,2020-05-21,7.36
252,2020-05-22,7.34
253,2020-05-26,7.5
254,2020-05-27,7.59
255,2020-05-28,7.86
256,2020-05-29,9.5
257,2020-06-01,9.7
258,2020-06-02,10.06
259,2020-06-03,8.73
260,2020-06-04,8.72
261,2020-06-05,8.75
262,2020-06-08,8.25
263,2020-06-09,8.96
264,2020-06-10,8.89
265,2020-06-11,8.31
266,2020-06-12,7.32
267,2020-06-15,8.09
268,2020-06-16,14.56
269,2020-06-17,13.17
270,2020-06-18,15.86
271,2020-06-19,14.0
272,2020-06-22,14.49
273,2020-06-23,14.23
274,2020-06-24,14.25
275,2020-06-25,14.5
276,2020-06-26,14.47
277,2020-06-29,14.24
278,2020-06-30,13.1
279,2020-07-01,14.26
280,2020-07-02,13.53
281,2020-07-06,13.87
282,2020-07-07,14.41
283,2020-07-08,13.52
284,2020-07-09,13.74
285,2020-07-10,13.24
286,2020-07-13,14.9
287,2020-07-14,14.29
288,2020-07-15,13.35
289,2020-07-16,13.78
290,2020-07-17,14.07
291,2020-07-20,13.66
292,2020-07-21,13.16
293,2020-07-22,13.13
294,2020-07-23,13.3
295,2020-07-24,12.43
296,2020-07-27,12.0
297,2020-07-28,11.95
298,2020-07-29,12.3
299,2020-07-30,12.25
300,2020-07-31,11.32
301,2020-08-03,12.49
302,2020-08-04,12.09
303,2020-08-05,11.84
304,2020-08-06,11.67
305,2020-08-07,11.61
306,2020-08-10,12.42
307,2020-08-11,12.38
308,2020-08-12,11.62
309,2020-08-13,11.63
310,2020-08-14,11.5
311,2020-08-17,11.85
312,2020-08-18,11.66
313,2020-08-19,11.42
314,2020-08-20,11.37
315,2020-08-21,11.2
316,2020-08-24,11.27
317,2020-08-25,11.49
318,2020-08-26,11.65
319,2020-08-27,11.72
320,2020-08-28,11.7
321,2020-08-31,11.6
322,2020-09-01,12.45
323,2020-09-02,12.12
324,2020-09-03,12.92
325,2020-09-04,11.82
326,2020-09-08,11.89
327,2020-09-09,11.98
328,2020-09-10,12.16
329,2020-09-11,12.5
330,2020-09-14,12.44
331,2020-09-15,12.68
332,2020-09-16,12.83
333,2020-09-17,13.09
334,2020-09-18,13.42
335,2020-09-21,12.89
336,2020-09-22,12.23
337,2020-09-23,11.8
338,2020-09-24,12.26
339,2020-09-25,11.69
340,2020-09-28,11.69
341,2020-09-29,12.24
342,2020-09-30,11.7
343,2020-10-01,12.65
344,2020-10-02,12.73
345,2020-10-05,13.18
346,2020-10-06,12.93
347,2020-10-07,13.62
348,2020-10-08,14.31
349,2020-10-09,14.09
350,2020-10-12,14.21
351,2020-10-13,13.83
352,2020-10-14,13.86
353,2020-10-15,13.54
354,2020-10-16,13.16
355,2020-10-19,13.43
356,2020-10-20,13.1
357,2020-10-21,12.69
358,2020-10-22,12.96
359,2020-10-23,13.84
360,2020-10-26,12.51
361,2020-10-27,12.4
362,2020-10-28,12.12
363,2020-10-29,12.3
364,2020-10-30,12.21
365,2020-11-02,12.34
366,2020-11-03,12.66
367,2020-11-04,13.24
368,2020-11-05,13.52
369,2020-11-06,13.75
370,2020-11-09,13.78
371,2020-11-10,13.75
372,2020-11-11,14.16
373,2020-11-12,12.97
374,2020-11-13,13.14
375,2020-11-16,13.57
376,2020-11-17,13.37
377,2020-11-18,14.0
378,2020-11-19,13.08
379,2020-11-20,12.82
380,2020-11-23,12.55
381,2020-11-24,12.89
382,2020-11-25,13.15
383,2020-11-27,13.51
384,2020-11-30,13.66
385,2020-12-01,13.99
386,2020-12-02,13.37
387,2020-12-03,13.73
388,2020-12-04,14.42
389,2020-12-07,15.82
390,2020-12-08,16.81
391,2020-12-09,17.74
392,2020-12-10,15.63
393,2020-12-11,15.4
394,2020-12-14,14.95
395,2020-12-15,13.96
396,2020-12-16,14.49
397,2020-12-17,14.13
398,2020-12-18,13.42
399,2020-12-21,12.77
400,2020-12-22,13.18
401,2020-12-23,13.76
402,2020-12-24,13.23
403,2020-12-28,13.18
404,2020-12-29,12.93
405,2020-12-30,12.68
406,2020-12-31,12.75
407,2021-01-04,14.02
408,2021-01-05,13.74
409,2021-01-06,13.86
410,2021-01-07,14.52
411,2021-01-08,14.53
412,2021-01-11,14.31
413,2021-01-12,15.12
414,2021-01-13,15.51
415,2021-01-14,15.64
416,2021-01-15,16.35
417,2021-01-19,17.25
418,2021-01-20,19.46
419,2021-01-21,18.83
420,2021-01-22,17.54
421,2021-01-25,18.3
422,2021-01-26,18.76
423,2021-01-27,17.32
424,2021-01-28,16.84
425,2021-01-29,17.24
426,2021-02-01,17.62
427,2021-02-02,18.37
428,2021-02-03,18.82
429,2021-02-04,19.06
430,2021-02-05,19.11
431,2021-02-08,19.52
432,2021-02-09,21.32
433,2021-02-10,20.92
434,2021-02-11,21.165
435,2021-02-12,19.01
436,2021-02-16,18.94
437,2021-02-17,18.46
438,2021-02-18,18.37
439,2021-02-19,18.06
440,2021-02-22,17.95
441,2021-02-23,17.89
442,2021-02-24,18.44
443,2021-02-25,19.47
444,2021-02-26,18.43
445,2021-03-01,19.81
446,2021-03-02,19.72
447,2021-03-03,20.05
448,2021-03-04,20.0
449,2021-03-05,19.16
450,2021-03-08,20.07
451,2021-03-09,21.83
452,2021-03-10,22.81
453,2021-03-11,23.52
454,2021-03-12,22.63
455,2021-03-15,23.69
456,2021-03-16,23.48
457,2021-03-17,22.26
458,2021-03-18,22.89
459,2021-03-19,21.81
460,2021-03-22,22.7
461,2021-03-23,22.84
462,2021-03-24,23.93
463,2021-03-25,21.0
464,2021-03-26,22.73
465,2021-03-29,22.45
466,2021-03-30,22.6
467,2021-03-31,23.0
468,2021-04-01,23.445
469,2021-04-05,24.34
470,2021-04-06,24.58
471,2021-04-07,23.92
472,2021-04-08,20.91
473,2021-04-09,21.78
474,2021-04-12,19.66
475,2021-04-13,18.11
476,2021-04-14,18.575
477,2021-04-15,18.78
478,2021-04-16,18.61
479,2021-04-19,20.53
480,2021-04-20,18.28
481,2021-04-21,18.51
482,2021-04-22,19.66
483,2021-04-23,19.55
484,2021-04-26,20.2
485,2021-04-27,21.18
486,2021-04-28,20.75
487,2021-04-29,20.39
488,2021-04-30,20.44
489,2021-05-03,20.74
490,2021-05-04,20.55
491,2021-05-05,19.75
492,2021-05-06,18.91
493,2021-05-07,19.49
494,2021-05-10,19.2
495,2021-05-11,19.37
496,2021-05-12,20.57
497,2021-05-13,19.46
498,2021-05-14,18.43
499,2021-05-17,19.69
500,2021-05-18,20.05
501,2021-05-19,18.835
502,2021-05-20,19.53
503,2021-05-21,19.43
504,2021-05-24,20.35
505,2021-05-25,20.4
506,2021-05-26,19.69
507,2021-05-27,20.82
508,2021-05-28,20.78
509,2021-06-01,20.12
510,2021-06-02,20.48
511,2021-06-03,19.93
512,2021-06-04,20.87
513,2021-06-07,20.05
514,2021-06-08,22.13
515,2021-06-09,21.84
516,2021-06-10,21.61
517,2021-06-11,21.87
518,2021-06-14,21.01
519,2021-06-15,21.95
520,2021-06-16,22.11
521,2021-06-17,21.86
522,2021-06-18,22.55
523,2021-06-21,22.87
524,2021-06-22,22.34
525,2021-06-23,21.5
526,2021-06-24,21.89
527,2021-06-25,21.77
528,2021-06-28,21.61
529,2021-06-29,21.33
530,2021-06-30,21.15
531,2021-07-01,21.26
532,2021-07-02,21.85
533,2021-07-06,22.19
534,2021-07-07,19.77
535,2021-07-08,18.7
536,2021-07-09,17.31
537,2021-07-12,17.5
538,2021-07-13,18.43
539,2021-07-14,19.36
540,2021-07-15,18.61
541,2021-07-16,18.74
542,2021-07-19,18.22
