,date,open
0,2019-09-18,18.31
1,2019-09-19,23.55
2,2019-09-20,20.82
3,2019-09-23,21.51
4,2019-09-24,21.04
5,2019-09-25,20.66
6,2019-09-26,20.27
7,2019-09-27,18.07
8,2019-09-30,17.78
9,2019-10-01,17.66
10,2019-10-02,17.6
11,2019-10-03,17.66
12,2019-10-04,18.0
13,2019-10-07,17.95
14,2019-10-08,17.98
15,2019-10-09,17.88
16,2019-10-10,17.8
17,2019-10-11,17.33
18,2019-10-14,17.01
19,2019-10-15,18.7
20,2019-10-16,18.81
21,2019-10-17,18.73
22,2019-10-18,18.72
23,2019-10-21,19.0
24,2019-10-22,19.05
25,2019-10-23,18.89
26,2019-10-24,21.09
27,2019-10-25,21.6
28,2019-10-28,23.0
29,2019-10-29,23.0201
30,2019-10-30,23.61
31,2019-10-31,23.69
32,2019-11-01,23.07
33,2019-11-04,22.79
34,2019-11-05,23.73
35,2019-11-06,23.95
36,2019-11-07,23.73
37,2019-11-08,22.84
38,2019-11-11,23.7
39,2019-11-12,23.91
40,2019-11-13,23.92
41,2019-11-14,25.75
42,2019-11-15,27.1
43,2019-11-18,28.15
44,2019-11-19,25.57
45,2019-11-20,24.6
46,2019-11-21,24.2
47,2019-11-22,20.81
48,2019-11-25,20.11
49,2019-11-26,22.8
50,2019-11-27,23.04
51,2019-11-29,23.05
52,2019-12-02,23.0
53,2019-12-03,20.03
54,2019-12-04,20.13
55,2019-12-05,22.56
56,2019-12-06,21.64
57,2019-12-09,23.85
58,2019-12-10,26.0
59,2019-12-11,27.47
60,2019-12-12,27.49
61,2019-12-13,28.11
62,2019-12-16,29.29
63,2019-12-17,30.21
64,2019-12-18,30.26
65,2019-12-19,35.0
66,2019-12-20,37.49
67,2019-12-23,43.56
68,2019-12-24,46.93
69,2019-12-26,45.95
70,2019-12-27,49.24
71,2019-12-30,40.5
72,2019-12-31,42.84
73,2020-01-02,38.07
74,2020-01-03,35.02
75,2020-01-06,33.8
76,2020-01-07,33.14
77,2020-01-08,32.61
78,2020-01-09,33.52
79,2020-01-10,34.43
80,2020-01-13,34.44
81,2020-01-14,32.4
82,2020-01-15,32.03
83,2020-01-16,32.55
84,2020-01-17,33.85
85,2020-01-21,35.93
86,2020-01-22,36.33
87,2020-01-23,39.57
88,2020-01-24,40.72
89,2020-01-27,38.95
90,2020-01-28,39.98
91,2020-01-29,40.0
92,2020-01-30,35.77
93,2020-01-31,35.2
94,2020-02-03,35.14
95,2020-02-04,38.84
96,2020-02-05,40.23
97,2020-02-06,40.93
98,2020-02-07,39.55
99,2020-02-10,40.16
100,2020-02-11,39.55
101,2020-02-12,43.21
102,2020-02-13,42.39
103,2020-02-14,45.98
104,2020-02-18,43.99
105,2020-02-19,45.54
106,2020-02-20,49.1
107,2020-02-21,50.54
108,2020-02-24,58.37
109,2020-02-25,54.43
110,2020-02-26,52.18
111,2020-02-27,52.99
112,2020-02-28,52.0
113,2020-03-02,52.46
114,2020-03-03,63.0
115,2020-03-04,64.42
116,2020-03-05,71.95
117,2020-03-06,58.0
118,2020-03-09,61.68
119,2020-03-10,52.75
120,2020-03-11,49.14
121,2020-03-12,49.49
122,2020-03-13,39.21
123,2020-03-16,33.61
124,2020-03-17,31.97
125,2020-03-18,35.0
126,2020-03-19,33.81
127,2020-03-20,43.73
