,date,open
0,2021-02-05,41.0
1,2021-02-08,41.52
2,2021-02-09,56.35
3,2021-02-10,50.62
4,2021-02-11,51.87
5,2021-02-12,48.94
6,2021-02-16,48.79
7,2021-02-17,47.0
8,2021-02-18,47.105
9,2021-02-19,48.35
10,2021-02-22,50.88
11,2021-02-23,51.0
12,2021-02-24,47.74
13,2021-02-25,49.0
14,2021-02-26,49.45
15,2021-03-01,48.7
16,2021-03-02,49.0
17,2021-03-03,51.11
18,2021-03-04,49.15
19,2021-03-05,41.34
20,2021-03-08,40.12
21,2021-03-09,37.45
22,2021-03-10,38.13
23,2021-03-11,38.2
24,2021-03-12,37.75
25,2021-03-15,39.98
26,2021-03-16,37.88
27,2021-03-17,36.53
28,2021-03-18,38.47
29,2021-03-19,41.42
30,2021-03-22,43.4
31,2021-03-23,45.26
32,2021-03-24,48.0
33,2021-03-25,40.44
34,2021-03-26,42.91
35,2021-03-29,41.29
36,2021-03-30,39.4376
37,2021-03-31,42.34
38,2021-04-01,41.74
39,2021-04-05,41.68
40,2021-04-06,40.94
41,2021-04-07,38.78
42,2021-04-08,36.63
43,2021-04-09,36.3
44,2021-04-12,37.2
45,2021-04-13,32.25
46,2021-04-14,32.54
47,2021-04-15,38.77
48,2021-04-16,38.56
49,2021-04-19,37.83
50,2021-04-20,38.92
51,2021-04-21,37.5
52,2021-04-22,36.63
53,2021-04-23,37.74
54,2021-04-26,37.3726
55,2021-04-27,40.0
56,2021-04-28,40.02
57,2021-04-29,40.1
58,2021-04-30,40.01
59,2021-05-03,41.0
60,2021-05-04,41.22
61,2021-05-05,40.01
62,2021-05-06,39.95
63,2021-05-07,39.75
64,2021-05-10,39.76
65,2021-05-11,39.75
66,2021-05-12,40.67
67,2021-05-13,40.76
68,2021-05-14,41.3871
69,2021-05-17,39.32
70,2021-05-18,37.21
71,2021-05-19,36.58
72,2021-05-20,35.19
73,2021-05-21,37.13
74,2021-05-24,38.02
75,2021-05-25,38.09
76,2021-05-26,38.49
77,2021-05-27,40.0
78,2021-05-28,40.04
79,2021-06-01,41.78
80,2021-06-02,40.0
81,2021-06-03,41.2
82,2021-06-04,40.97
83,2021-06-07,39.19
84,2021-06-08,40.16
85,2021-06-09,40.06
86,2021-06-10,38.87
87,2021-06-11,39.6
88,2021-06-14,38.76
89,2021-06-15,39.7
90,2021-06-16,38.78
91,2021-06-17,37.9045
92,2021-06-18,37.88
93,2021-06-21,40.84
94,2021-06-22,39.28
95,2021-06-23,37.5
96,2021-06-24,37.0
97,2021-06-25,36.69
98,2021-06-28,36.47
99,2021-06-29,35.02
100,2021-06-30,35.11
101,2021-07-01,39.02
102,2021-07-02,39.39
103,2021-07-06,38.676
104,2021-07-07,38.0
105,2021-07-08,38.92
106,2021-07-09,39.83
107,2021-07-12,39.07
108,2021-07-13,38.82
109,2021-07-14,36.3644
110,2021-07-15,34.5
111,2021-07-16,33.56
112,2021-07-19,35.85
113,2021-07-20,36.47
114,2021-07-21,35.11
115,2021-07-22,36.31
116,2021-07-23,34.9
117,2021-07-26,34.5
118,2021-07-27,34.43
119,2021-07-28,33.03
120,2021-07-29,32.23
121,2021-07-30,32.54
122,2021-08-02,32.68
123,2021-08-03,32.71
124,2021-08-04,31.08
125,2021-08-05,30.5
126,2021-08-06,32.0
127,2021-08-09,32.5
128,2021-08-10,32.35
129,2021-08-11,32.29
130,2021-08-12,31.45
131,2021-08-13,31.0
132,2021-08-16,30.56
133,2021-08-17,29.07
134,2021-08-18,30.11
135,2021-08-19,29.6
136,2021-08-20,28.21
137,2021-08-23,27.98
138,2021-08-24,29.0
139,2021-08-25,31.47
140,2021-08-26,30.66
141,2021-08-27,30.06
142,2021-08-30,31.65
143,2021-08-31,33.37
144,2021-09-01,34.94
145,2021-09-02,34.8
146,2021-09-03,34.02
147,2021-09-07,33.46
148,2021-09-08,32.84
149,2021-09-09,32.63
150,2021-09-10,32.02
151,2021-09-13,32.16
152,2021-09-14,32.5
153,2021-09-15,31.94
154,2021-09-16,32.02
155,2021-09-17,32.5
156,2021-09-20,33.57
157,2021-09-21,34.95
158,2021-09-22,35.93
159,2021-09-23,36.38
160,2021-09-24,35.8
161,2021-09-27,34.66
162,2021-09-28,35.66
163,2021-09-29,36.3
164,2021-09-30,36.97
165,2021-10-01,36.79
166,2021-10-04,38.55
167,2021-10-05,38.17
168,2021-10-06,39.35
169,2021-10-07,39.81
170,2021-10-08,38.88
171,2021-10-11,37.92
172,2021-10-12,37.9
173,2021-10-13,37.96
174,2021-10-14,40.1
175,2021-10-15,38.03
176,2021-10-18,37.8
177,2021-10-19,37.8
178,2021-10-20,38.52
179,2021-10-21,39.57
180,2021-10-22,37.52
181,2021-10-25,37.5
182,2021-10-26,38.0
183,2021-10-27,37.7
184,2021-10-28,37.38
185,2021-10-29,37.08
186,2021-11-01,38.77
187,2021-11-02,37.89
188,2021-11-03,38.0
189,2021-11-04,38.0
190,2021-11-05,38.66
191,2021-11-08,37.95
192,2021-11-09,39.65
193,2021-11-10,38.8
194,2021-11-11,38.38
195,2021-11-12,39.2
196,2021-11-15,39.6
197,2021-11-16,38.89
198,2021-11-17,38.13
199,2021-11-18,39.21
200,2021-11-19,38.3
201,2021-11-22,38.1
202,2021-11-23,38.0
203,2021-11-24,36.42
204,2021-11-26,36.83
205,2021-11-29,36.585
206,2021-11-30,36.1
207,2021-12-01,35.89
208,2021-12-02,32.58
209,2021-12-03,32.5
210,2021-12-06,29.0
211,2021-12-07,28.06
212,2021-12-08,31.16
213,2021-12-09,32.7
214,2021-12-10,30.46
215,2021-12-13,30.82
216,2021-12-14,29.37
217,2021-12-15,30.02
218,2021-12-16,33.33
219,2021-12-17,30.61
220,2021-12-20,31.77
221,2021-12-21,33.42
222,2021-12-22,34.29
223,2021-12-23,34.67
224,2021-12-27,35.38
225,2021-12-28,34.14
226,2021-12-29,34.01
227,2021-12-30,34.3563
228,2021-12-31,34.02
229,2022-01-03,34.8323
230,2022-01-04,34.68
231,2022-01-05,32.57
232,2022-01-06,31.98
233,2022-01-07,30.12
234,2022-01-10,28.6
235,2022-01-11,28.1
236,2022-01-12,28.71
237,2022-01-13,27.43
238,2022-01-14,23.74
239,2022-01-18,22.35
240,2022-01-19,21.38
241,2022-01-20,20.59
242,2022-01-21,18.87
243,2022-01-24,19.34
244,2022-01-25,21.03
245,2022-01-26,23.87
246,2022-01-27,23.59
247,2022-01-28,20.8
248,2022-01-31,21.25
249,2022-02-01,22.6
250,2022-02-02,25.03
251,2022-02-03,23.96
252,2022-02-04,24.64
253,2022-02-07,24.61
254,2022-02-08,26.11
255,2022-02-09,23.63
256,2022-02-10,24.81
257,2022-02-11,25.49
258,2022-02-14,24.75
259,2022-02-15,22.76
260,2022-02-16,24.58
261,2022-02-17,23.52
262,2022-02-18,23.31
263,2022-02-22,24.0
264,2022-02-23,22.5773
265,2022-02-24,21.54
266,2022-02-25,22.76
267,2022-02-28,22.19
268,2022-03-01,21.8
269,2022-03-02,23.43
270,2022-03-03,22.75
271,2022-03-04,22.48
272,2022-03-07,22.23
273,2022-03-08,23.25
274,2022-03-09,24.37
275,2022-03-10,24.96
276,2022-03-11,26.0
277,2022-03-14,25.96
278,2022-03-15,24.48
279,2022-03-16,25.17
280,2022-03-17,26.13
281,2022-03-18,26.52
282,2022-03-21,27.65
283,2022-03-22,27.5
284,2022-03-23,29.5
285,2022-03-24,28.66
286,2022-03-25,28.59
