,date,open
0,1990-03-26,8.5
1,1990-03-27,8.5
2,1990-03-28,8.5
3,1990-03-29,8.5
4,1990-03-30,8.25
5,1990-04-02,8.0
6,1990-04-03,8.0
7,1990-04-04,8.0
8,1990-04-05,8.0
9,1990-04-06,8.0
10,1990-04-09,7.5
11,1990-04-10,7.5
12,1990-04-11,7.75
13,1990-04-12,7.75
14,1990-04-16,7.5
15,1990-04-17,7.5
16,1990-04-18,7.5
17,1990-04-19,8.0
18,1990-04-20,7.625
19,1990-04-23,7.75
20,1990-04-24,7.5
21,1990-04-25,7.5
22,1990-04-26,7.5
23,1990-04-27,7.5
24,1990-04-30,8.0
25,1990-05-01,7.5
26,1990-05-02,8.0
27,1990-05-03,8.0
28,1990-05-04,7.5
29,1990-05-07,7.5
30,1990-05-08,7.5
31,1990-05-09,7.75
32,1990-05-10,8.0
33,1990-05-11,8.0
34,1990-05-14,8.125
35,1990-05-15,8.25
36,1990-05-16,8.25
37,1990-05-17,8.0
38,1990-05-18,8.0
39,1990-05-21,8.0
40,1990-05-22,7.5
41,1990-05-23,7.5
42,1990-05-24,8.0
43,1990-05-25,7.0
44,1990-05-29,8.0
45,1990-05-30,8.0
46,1990-05-31,7.5
47,1990-06-01,8.5
48,1990-06-04,8.5
49,1990-06-05,8.5
50,1990-06-06,8.75
51,1990-06-07,8.75
52,1990-06-08,9.0
53,1990-06-11,9.0
54,1990-06-12,9.0
55,1990-06-13,9.0
56,1990-06-14,8.75
57,1990-06-15,9.5
58,1990-06-18,10.5
59,1990-06-19,12.0
60,1990-06-20,11.75
61,1990-06-21,11.0
62,1990-06-22,11.0
63,1990-06-25,11.25
64,1990-06-26,11.13
65,1990-06-27,10.88
66,1990-06-28,10.75
67,1990-06-29,12.0
68,1990-07-02,13.0
69,1990-07-03,13.25
70,1990-07-05,13.25
71,1990-07-06,13.75
72,1990-07-09,12.75
73,1990-07-10,12.5
74,1990-07-11,12.0
75,1990-07-12,12.0
76,1990-07-13,12.5
77,1990-07-16,12.0
78,1990-07-17,12.0
79,1990-07-18,12.5
80,1990-07-19,13.0
81,1990-07-20,12.25
82,1990-07-23,12.25
83,1990-07-24,12.5
84,1990-07-25,13.0
85,1990-07-26,12.5
86,1990-07-27,13.5
87,1990-07-30,14.0
88,1990-07-31,13.25
89,1990-08-01,13.25
90,1990-08-02,13.25
91,1990-08-03,13.5
92,1990-08-06,12.0
93,1990-08-07,11.75
94,1990-08-08,11.88
95,1990-08-09,11.63
96,1990-08-10,12.25
97,1990-08-13,11.25
98,1990-08-14,11.25
99,1990-08-15,12.0
100,1990-08-16,12.0
101,1990-08-17,12.0
102,1990-08-20,12.0
103,1990-08-21,11.5
104,1990-08-22,9.375
105,1990-08-23,10.0
106,1990-08-24,10.25
107,1990-08-27,11.0
108,1990-08-28,10.0
109,1990-08-29,10.0
110,1990-08-30,10.25
111,1990-08-31,10.5
112,1990-09-04,10.0
113,1990-09-05,11.0
114,1990-09-06,12.5
115,1990-09-07,12.25
116,1990-09-10,13.25
117,1990-09-11,12.75
118,1990-09-12,13.0
119,1990-09-13,13.0
120,1990-09-14,11.75
121,1990-09-17,12.75
122,1990-09-18,12.75
123,1990-09-19,12.75
124,1990-09-20,13.0
125,1990-09-21,13.0
126,1990-09-24,13.0
127,1990-09-25,12.38
128,1990-09-26,10.75
129,1990-09-27,11.75
130,1990-09-28,10.5
131,1990-10-01,11.5
132,1990-10-02,12.0
133,1990-10-03,12.25
134,1990-10-04,12.25
135,1990-10-05,11.0
136,1990-10-08,12.25
137,1990-10-09,12.25
138,1990-10-10,11.0
139,1990-10-11,10.75
140,1990-10-12,10.5
141,1990-10-15,10.0
142,1990-10-16,10.0
143,1990-10-17,10.0
144,1990-10-18,11.0
145,1990-10-19,11.0
146,1990-10-22,10.75
147,1990-10-23,12.25
148,1990-10-24,12.25
149,1990-10-25,12.0
150,1990-10-26,13.0
151,1990-10-29,11.75
152,1990-10-30,12.0
153,1990-10-31,11.0
154,1990-11-01,12.0
155,1990-11-02,12.0
156,1990-11-05,11.25
157,1990-11-06,11.25
158,1990-11-07,12.0
159,1990-11-08,11.25
160,1990-11-09,11.25
161,1990-11-12,12.0
162,1990-11-13,12.0
163,1990-11-14,11.25
164,1990-11-15,11.25
165,1990-11-16,11.25
166,1990-11-19,11.75
167,1990-11-20,11.75
168,1990-11-21,11.75
169,1990-11-23,11.75
170,1990-11-26,11.75
171,1990-11-27,11.75
172,1990-11-28,11.75
173,1990-11-29,10.75
174,1990-11-30,11.75
175,1990-12-03,11.75
176,1990-12-04,11.75
177,1990-12-05,11.5
178,1990-12-06,11.5
179,1990-12-07,11.5
180,1990-12-10,11.5
181,1990-12-11,11.25
182,1990-12-12,10.5
183,1990-12-13,11.0
184,1990-12-14,11.25
185,1990-12-17,11.25
186,1990-12-18,10.75
187,1990-12-19,11.25
188,1990-12-20,10.5
189,1990-12-21,11.25
190,1990-12-24,10.75
191,1990-12-26,11.25
192,1990-12-27,10.75
193,1990-12-28,11.5
194,1990-12-31,11.5
195,1991-01-02,12.25
196,1991-01-03,12.75
197,1991-01-04,12.75
198,1991-01-07,12.0
199,1991-01-08,12.0
200,1991-01-09,13.0
201,1991-01-10,11.25
202,1991-01-11,11.25
203,1991-01-14,10.75
204,1991-01-15,10.88
205,1991-01-16,10.5
206,1991-01-17,12.0
207,1991-01-18,11.0
208,1991-01-21,10.5
209,1991-01-22,11.0
210,1991-01-23,10.25
211,1991-01-24,11.0
212,1991-01-25,11.25
213,1991-01-28,11.25
214,1991-01-29,11.5
215,1991-01-30,12.5
216,1991-01-31,12.25
217,1991-02-01,14.0
218,1991-02-04,14.0
219,1991-02-05,13.25
220,1991-02-06,14.0
221,1991-02-07,13.25
222,1991-02-08,13.25
223,1991-02-11,13.0
224,1991-02-12,13.5
225,1991-02-13,13.0
226,1991-02-14,13.75
227,1991-02-15,14.75
228,1991-02-19,15.5
229,1991-02-20,16.0
230,1991-02-21,15.75
231,1991-02-22,15.75
232,1991-02-25,15.75
233,1991-02-26,17.25
234,1991-02-27,18.0
235,1991-02-28,18.25
236,1991-03-01,19.25
237,1991-03-04,19.25
238,1991-03-05,19.25
239,1991-03-06,20.5
240,1991-03-07,19.0
241,1991-03-08,18.5
242,1991-03-11,19.75
243,1991-03-12,19.0
244,1991-03-13,18.5
245,1991-03-14,19.5
