,date,open
0,2021-07-16,17.5
1,2021-07-19,16.0
2,2021-07-20,16.1
3,2021-07-21,16.15
4,2021-07-22,16.17
5,2021-07-23,16.5
6,2021-07-26,16.44
7,2021-07-27,15.75
8,2021-07-28,16.51
9,2021-07-29,16.17
10,2021-07-30,16.98
11,2021-08-02,18.6
12,2021-08-03,21.58
13,2021-08-04,22.42
14,2021-08-05,24.0
15,2021-08-06,24.3
16,2021-08-09,23.96
17,2021-08-10,23.44
18,2021-08-11,22.85
19,2021-08-12,22.38
20,2021-08-13,20.41
21,2021-08-16,20.34
22,2021-08-17,19.797
23,2021-08-18,19.5
24,2021-08-19,19.6
25,2021-08-20,19.78
26,2021-08-23,20.47
27,2021-08-24,21.36
28,2021-08-25,21.69
29,2021-08-26,21.9289
30,2021-08-27,24.44
31,2021-08-30,25.4
32,2021-08-31,25.49
33,2021-09-01,25.25
34,2021-09-02,24.33
35,2021-09-03,26.25
36,2021-09-07,27.43
37,2021-09-08,28.5
38,2021-09-09,24.98
39,2021-09-10,24.91
40,2021-09-13,25.63
41,2021-09-14,25.69
42,2021-09-15,28.13
43,2021-09-16,27.35
44,2021-09-17,23.37
45,2021-09-20,21.46
46,2021-09-21,18.64
47,2021-09-22,18.71
48,2021-09-23,19.1
49,2021-09-24,18.8
50,2021-09-27,19.49
51,2021-09-28,20.23
52,2021-09-29,20.54
53,2021-09-30,19.46
54,2021-10-01,19.81
55,2021-10-04,21.53
56,2021-10-05,22.5
57,2021-10-06,22.4
58,2021-10-07,22.41
59,2021-10-08,23.72
60,2021-10-11,21.96
61,2021-10-12,21.85
62,2021-10-13,21.76
63,2021-10-14,22.43
64,2021-10-15,25.27
65,2021-10-18,24.72
66,2021-10-19,24.02
67,2021-10-20,25.38
68,2021-10-21,25.855
69,2021-10-22,26.57
70,2021-10-25,26.2
71,2021-10-26,26.88
72,2021-10-27,29.43
73,2021-10-28,27.65
74,2021-10-29,27.63
75,2021-11-01,26.99
76,2021-11-02,27.51
77,2021-11-03,27.29
78,2021-11-04,24.73
79,2021-11-05,24.67
80,2021-11-08,26.26
81,2021-11-09,24.46
82,2021-11-10,22.59
83,2021-11-11,22.26
84,2021-11-12,24.0
85,2021-11-15,24.77
86,2021-11-16,21.61
87,2021-11-17,22.42
88,2021-11-18,23.25
89,2021-11-19,21.51
90,2021-11-22,23.67
91,2021-11-23,22.77
92,2021-11-24,22.64
93,2021-11-26,23.02
94,2021-11-29,23.56
95,2021-11-30,22.75
96,2021-12-01,23.04
97,2021-12-02,22.16
98,2021-12-03,22.72
99,2021-12-06,20.33
100,2021-12-07,16.86
101,2021-12-08,17.61
102,2021-12-09,18.59
103,2021-12-10,20.01
104,2021-12-13,19.0
105,2021-12-14,18.4
106,2021-12-15,17.94
107,2021-12-16,20.55
108,2021-12-17,20.42
109,2021-12-20,22.66
110,2021-12-21,22.27
111,2021-12-22,23.01
112,2021-12-23,21.52
113,2021-12-27,22.82
114,2021-12-28,23.58
115,2021-12-29,25.38
116,2021-12-30,23.72
117,2021-12-31,23.75
118,2022-01-03,23.83
119,2022-01-04,24.81
120,2022-01-05,24.63
121,2022-01-06,19.69
122,2022-01-07,19.91
123,2022-01-10,19.23
124,2022-01-11,19.9
125,2022-01-12,20.21
126,2022-01-13,19.93
127,2022-01-14,19.54
128,2022-01-18,17.62
129,2022-01-19,17.5
130,2022-01-20,17.5
131,2022-01-21,17.91
132,2022-01-24,16.95
133,2022-01-25,17.2
134,2022-01-26,17.4
135,2022-01-27,17.43
136,2022-01-28,17.01
137,2022-01-31,18.92
138,2022-02-01,19.78
139,2022-02-02,20.08
140,2022-02-03,19.36
141,2022-02-04,19.57
142,2022-02-07,20.23
143,2022-02-08,21.0
144,2022-02-09,20.99
145,2022-02-10,21.57
146,2022-02-11,22.85
147,2022-02-14,23.96
148,2022-02-15,22.56
149,2022-02-16,23.97
150,2022-02-17,23.83
151,2022-02-18,23.5
152,2022-02-22,21.77
153,2022-02-23,22.07
154,2022-02-24,20.55
155,2022-02-25,22.97
156,2022-02-28,23.11
157,2022-03-01,23.4
158,2022-03-02,23.59
159,2022-03-03,23.72
160,2022-03-04,21.62
161,2022-03-07,21.37
162,2022-03-08,21.67
163,2022-03-09,22.69
164,2022-03-10,22.29
165,2022-03-11,23.63
166,2022-03-14,23.11
167,2022-03-15,19.75
168,2022-03-16,20.6
169,2022-03-17,19.56
170,2022-03-18,19.96
171,2022-03-21,19.89
172,2022-03-22,17.89
173,2022-03-23,18.23
174,2022-03-24,18.39
175,2022-03-25,19.23
176,2022-03-28,21.09
177,2022-03-29,20.55
178,2022-03-30,21.61
179,2022-03-31,21.26
180,2022-04-01,19.23
181,2022-04-04,19.99
182,2022-04-05,20.74
183,2022-04-06,20.18
184,2022-04-07,20.02
185,2022-04-08,19.9
186,2022-04-11,18.59
187,2022-04-12,18.59
188,2022-04-13,17.47
189,2022-04-14,18.07
190,2022-04-18,18.05
191,2022-04-19,17.83
192,2022-04-20,18.13
193,2022-04-21,18.77
194,2022-04-22,17.6
195,2022-04-25,17.65
196,2022-04-26,19.82
197,2022-04-27,18.35
198,2022-04-28,19.38
199,2022-04-29,19.03
200,2022-05-02,16.17
201,2022-05-03,16.72
202,2022-05-04,16.18
203,2022-05-05,16.64
204,2022-05-06,16.43
205,2022-05-09,15.03
206,2022-05-10,14.93
207,2022-05-11,14.47
208,2022-05-12,13.06
209,2022-05-13,13.94
210,2022-05-16,14.39
211,2022-05-17,15.61
212,2022-05-18,15.5
213,2022-05-19,14.52
214,2022-05-20,13.99
215,2022-05-23,14.23
216,2022-05-24,14.66
217,2022-05-25,15.07
218,2022-05-26,14.7
219,2022-05-27,15.23
220,2022-05-31,16.08
221,2022-06-01,16.17
222,2022-06-02,15.53
223,2022-06-03,15.41
224,2022-06-06,16.96
225,2022-06-07,16.33
226,2022-06-08,16.32
227,2022-06-09,15.53
228,2022-06-10,14.7
229,2022-06-13,13.67
230,2022-06-14,13.81
231,2022-06-15,12.92
232,2022-06-16,12.25
233,2022-06-17,11.91
234,2022-06-21,12.71
235,2022-06-22,12.26
236,2022-06-23,12.46
237,2022-06-24,12.85
238,2022-06-27,13.13
239,2022-06-28,12.77
240,2022-06-29,12.62
241,2022-06-30,12.14
242,2022-07-01,13.38
243,2022-07-05,13.79
244,2022-07-06,14.89
245,2022-07-07,15.41
246,2022-07-08,15.97
247,2022-07-11,16.4
248,2022-07-12,15.28
249,2022-07-13,15.02
250,2022-07-14,15.41
251,2022-07-15,16.51
252,2022-07-18,16.68
253,2022-07-19,15.76
254,2022-07-20,17.12
255,2022-07-21,18.05
256,2022-07-22,18.53
257,2022-07-25,17.81
258,2022-07-26,17.85
259,2022-07-27,18.15
260,2022-07-28,17.87
261,2022-07-29,16.68
262,2022-08-01,15.76
263,2022-08-02,14.76
264,2022-08-03,14.9
265,2022-08-04,14.62
266,2022-08-05,15.23
267,2022-08-08,16.56
268,2022-08-09,15.7
269,2022-08-10,15.59
270,2022-08-11,16.87
271,2022-08-12,17.19
272,2022-08-15,18.7
273,2022-08-16,19.51
274,2022-08-17,19.13
275,2022-08-18,19.15
276,2022-08-19,18.55
277,2022-08-22,18.0
278,2022-08-23,16.37
279,2022-08-24,17.41
280,2022-08-25,16.86
281,2022-08-26,16.69
282,2022-08-29,15.37
283,2022-08-30,14.72
284,2022-08-31,14.69
285,2022-09-01,14.46
286,2022-09-02,14.48
287,15.5900,17.1799
288,2022-08-11,16.87
289,2022-08-12,17.19
290,2022-08-15,18.7
291,2022-08-16,19.51
292,2022-08-17,19.13
293,2022-08-18,19.15
294,2022-08-19,18.55
295,2022-08-22,18.0
296,2022-08-23,16.37
297,2022-08-24,17.41
298,2022-08-25,16.86
299,2022-08-26,16.69
300,2022-08-29,15.37
301,2022-08-30,14.72
302,2022-08-31,14.69
303,2022-09-01,14.46
304,2022-09-02,14.48
