,date,open
0,2020-01-17,16.87
1,2020-01-21,16.8
2,2020-01-22,16.0
3,2020-01-23,15.92
4,2020-01-24,15.96
5,2020-01-27,15.9
6,2020-01-28,15.36
7,2020-01-29,15.72
8,2020-01-30,15.65
9,2020-01-31,15.61
10,2020-02-03,15.74
11,2020-02-04,16.34
12,2020-02-05,16.76
13,2020-02-06,15.99
14,2020-02-07,16.01
15,2020-02-10,16.1
16,2020-02-11,15.87
17,2020-02-12,15.7
18,2020-02-13,15.695
19,2020-02-14,14.62
20,2020-02-18,15.4
21,2020-02-19,16.27
22,2020-02-20,16.25
23,2020-02-21,15.84
24,2020-02-24,16.31
25,2020-02-25,14.89
26,2020-02-26,14.77
27,2020-02-27,14.53
28,2020-02-28,14.98
29,2020-03-02,16.0
30,2020-03-03,16.25
31,2020-03-04,16.55
32,2020-03-05,16.43
33,2020-03-06,17.0
34,2020-03-09,15.13
35,2020-03-10,17.33
36,2020-03-11,14.98
37,2020-03-12,13.4
38,2020-03-13,13.91
39,2020-03-16,12.51
40,2020-03-17,11.49
41,2020-03-18,9.05
42,2020-03-19,8.44
43,2020-03-20,9.29
44,2020-03-23,9.3
45,2020-03-24,11.62
46,2020-03-25,12.0
47,2020-03-26,11.49
48,2020-03-27,12.63
49,2020-03-30,15.0
50,2020-03-31,15.89
51,2020-04-01,15.33
52,2020-04-02,14.03
53,2020-04-03,15.25
54,2020-04-06,14.51
55,2020-04-07,14.0
56,2020-04-08,14.5
57,2020-04-09,14.82
58,2020-04-13,15.11
59,2020-04-14,15.25
60,2020-04-15,16.94
61,2020-04-16,18.01
62,2020-04-17,19.44
63,2020-04-20,18.75
64,2020-04-21,18.79
65,2020-04-22,18.92
66,2020-04-23,18.39
67,2020-04-24,17.69
68,2020-04-27,19.25
69,2020-04-28,18.41
70,2020-04-29,18.73
71,2020-04-30,18.64
72,2020-05-01,18.05
73,2020-05-04,18.48
74,2020-05-05,19.35
75,2020-05-06,19.725
76,2020-05-07,22.78
77,2020-05-08,20.28
78,2020-05-11,20.13
79,2020-05-12,23.01
80,2020-05-13,22.75
81,2020-05-14,21.18
82,2020-05-15,19.09
83,2020-05-18,19.37
84,2020-05-19,19.07
85,2020-05-20,19.11
86,2020-05-21,18.98
87,2020-05-22,20.15
88,2020-05-26,21.18
89,2020-05-27,23.29
90,2020-05-28,25.0
91,2020-05-29,24.5
92,2020-06-01,25.93
93,2020-06-02,25.94
94,2020-06-03,26.74
95,2020-06-04,26.26
96,2020-06-05,25.41
97,2020-06-08,24.82
98,2020-06-09,25.6
99,2020-06-10,24.94
100,2020-06-11,24.25
101,2020-06-12,24.46
102,2020-06-15,23.77
103,2020-06-16,26.87
104,2020-06-17,27.62
105,2020-06-18,25.67
106,2020-06-19,26.95
107,2020-06-22,27.03
108,2020-06-23,28.27
109,2020-06-24,28.36
110,2020-06-25,27.79
111,2020-06-26,27.93
112,2020-06-29,27.41
113,2020-06-30,25.07
114,2020-07-01,24.13
115,2020-07-02,23.77
116,2020-07-06,23.85
117,2020-07-07,24.46
118,2020-07-08,25.86
119,2020-07-09,27.15
120,2020-07-10,25.65
121,2020-07-13,25.76
122,2020-07-14,24.46
123,2020-07-15,24.61
124,2020-07-16,25.25
125,2020-07-17,24.26
126,2020-07-20,24.32
127,2020-07-21,25.6
128,2020-07-22,25.37
129,2020-07-23,25.49
130,2020-07-24,25.74
131,2020-07-27,24.4
132,2020-07-28,24.61
133,2020-07-29,24.99
134,2020-07-30,23.12
135,2020-07-31,22.84
136,2020-08-03,22.71
137,2020-08-04,23.4
138,2020-08-05,23.27
139,2020-08-06,25.0
140,2020-08-07,25.74
141,2020-08-10,27.37
142,2020-08-11,27.73
