,date,open
0,1993-11-04,1.875
1,1993-11-05,1.875
2,1993-11-08,2.0
3,1993-11-09,1.9688
4,1993-11-10,1.9688
5,1993-11-11,2.0
6,1993-11-12,2.0313
7,1993-11-15,2.1563
8,1993-11-16,2.3125
9,1993-11-17,2.4688
10,1993-11-18,2.375
11,1993-11-19,2.3125
12,1993-11-22,2.2813
13,1993-11-23,2.2188
14,1993-11-24,2.4063
15,1993-11-26,2.375
16,1993-11-29,2.375
17,1993-11-30,2.2188
18,1993-12-01,2.2813
19,1993-12-02,2.2188
20,1993-12-03,2.75
21,1993-12-06,2.5325
22,1993-12-07,2.4063
23,1993-12-08,2.4063
24,1993-12-09,2.4063
25,1993-12-10,2.375
26,1993-12-13,2.3125
27,1993-12-14,2.2188
28,1993-12-15,2.1563
29,1993-12-16,2.25
30,1993-12-17,2.25
31,1993-12-20,2.1563
32,1993-12-21,2.1875
33,1993-12-22,2.2188
34,1993-12-23,2.25
35,1993-12-27,2.3438
36,1993-12-28,2.3438
37,1993-12-29,2.25
38,1993-12-30,2.25
39,1993-12-31,2.25
40,1994-01-03,2.2188
41,1994-01-04,2.1875
42,1994-01-05,2.1875
43,1994-01-06,2.2188
44,1994-01-07,2.1875
45,1994-01-10,2.1563
46,1994-01-11,2.1875
47,1994-01-12,2.1875
48,1994-01-13,2.1875
49,1994-01-14,2.0938
50,1994-01-17,2.0938
51,1994-01-18,2.125
52,1994-01-19,2.1875
53,1994-01-20,2.3125
54,1994-01-21,2.25
55,1994-01-24,2.3125
56,1994-01-25,2.3438
57,1994-01-26,2.3438
58,1994-01-27,2.6575
59,1994-01-28,2.72
60,1994-01-31,2.7825
61,1994-02-01,2.7825
62,1994-02-02,2.6575
63,1994-02-03,2.6875
64,1994-02-04,2.625
65,1994-02-07,2.5625
66,1994-02-08,2.5625
67,1994-02-09,2.5
68,1994-02-10,2.8125
69,1994-02-11,2.7825
70,1994-02-14,2.8125
71,1994-02-15,2.7825
72,1994-02-16,2.72
73,1994-02-17,2.72
74,1994-02-18,2.6875
75,1994-02-22,2.625
76,1994-02-23,2.5325
77,1994-02-24,2.5
78,1994-02-25,2.5325
79,1994-02-28,2.5325
80,1994-03-01,2.5625
81,1994-03-02,2.5325
82,1994-03-03,2.5625
83,1994-03-04,2.5325
84,1994-03-07,2.5
85,1994-03-08,2.595
86,1994-03-09,2.5
87,1994-03-10,2.5
88,1994-03-11,2.4375
89,1994-03-14,2.4063
90,1994-03-15,2.375
91,1994-03-16,2.3438
92,1994-03-17,2.4063
93,1994-03-18,2.4063
94,1994-03-21,2.5325
95,1994-03-22,2.5625
96,1994-03-23,2.4688
97,1994-03-24,2.5
98,1994-03-25,2.4688
99,1994-03-28,2.4375
100,1994-03-29,2.375
101,1994-03-30,2.3438
102,1994-03-31,2.3438
103,1994-04-04,2.2188
104,1994-04-05,2.25
105,1994-04-06,2.1563
106,1994-04-07,2.1563
107,1994-04-08,2.1563
108,1994-04-11,2.1875
109,1994-04-12,2.0625
110,1994-04-13,1.9688
111,1994-04-14,1.875
112,1994-04-15,2.0313
113,1994-04-18,1.9063
114,1994-04-19,1.9375
115,1994-04-20,1.9063
116,1994-04-21,1.7188
117,1994-04-22,1.75
118,1994-04-25,1.7813
119,1994-04-26,2.0625
120,1994-04-28,2.1563
121,1994-04-29,2.1875
122,1994-05-02,2.25
123,1994-05-03,2.3438
124,1994-05-04,2.1875
125,1994-05-05,2.25
126,1994-05-06,2.2813
127,1994-05-09,2.1875
128,1994-05-10,2.1875
129,1994-05-11,2.5625
130,1994-05-12,2.595
131,1994-05-13,2.6575
132,1994-05-16,2.6575
133,1994-05-17,2.5625
134,1994-05-18,2.595
135,1994-05-19,2.5625
136,1994-05-20,2.6875
137,1994-05-23,2.625
138,1994-05-24,2.595
139,1994-05-25,2.625
140,1994-05-26,2.625
141,1994-05-27,2.625
142,1994-05-31,2.6575
143,1994-06-01,2.5625
144,1994-06-02,2.595
145,1994-06-03,2.625
146,1994-06-06,2.5325
147,1994-06-07,2.6575
148,1994-06-08,2.6875
149,1994-06-09,2.625
150,1994-06-10,2.6875
151,1994-06-13,2.6575
152,1994-06-14,2.6875
153,1994-06-15,2.6575
154,1994-06-16,2.625
155,1994-06-17,2.595
156,1994-06-20,2.6875
157,1994-06-21,2.6875
158,1994-06-22,2.6875
159,1994-06-23,2.7825
160,1994-06-24,2.8125
161,1994-06-27,2.8125
162,1994-06-28,2.6875
163,1994-06-29,2.6875
164,1994-06-30,2.6875
165,1994-07-01,2.6875
166,1994-07-05,2.6575
167,1994-07-06,2.595
168,1994-07-07,2.5
169,1994-07-08,2.4375
170,1994-07-11,2.4688
171,1994-07-12,2.4063
172,1994-07-13,2.375
173,1994-07-14,2.4688
174,1994-07-15,2.375
175,1994-07-18,2.3438
176,1994-07-19,2.3125
177,1994-07-20,2.3125
178,1994-07-21,2.2813
179,1994-07-22,2.2813
180,1994-07-25,2.3125
181,1994-07-26,2.375
182,1994-07-27,2.5625
183,1994-07-28,2.4688
184,1994-07-29,2.4688
185,1994-08-01,2.47
186,1994-08-02,2.4688
187,1994-08-03,2.5325
188,1994-08-04,2.5325
189,1994-08-05,2.4375
190,1994-08-08,2.3125
191,1994-08-09,2.25
192,1994-08-10,2.25
193,1994-08-11,2.2188
194,1994-08-12,2.2188
195,1994-08-15,2.1875
196,1994-08-16,2.1875
197,1994-08-17,2.2188
198,1994-08-18,2.1875
199,1994-08-19,2.1875
200,1994-08-22,2.2188
201,1994-08-23,2.1563
202,1994-08-24,2.25
203,1994-08-25,2.125
204,1994-08-26,2.0625
205,1994-08-29,2.1563
206,1994-08-30,2.125
207,1994-08-31,2.0938
208,1994-09-01,2.0313
209,1994-09-02,2.0625
210,1994-09-06,2.0625
211,1994-09-07,2.0938
212,1994-09-08,2.125
213,1994-09-09,2.0625
214,1994-09-12,2.0313
215,1994-09-13,2.0
216,1994-09-14,1.9688
217,1994-09-15,1.9063
218,1994-09-16,2.0625
219,1994-09-19,2.0313
220,1994-09-20,1.9688
221,1994-09-21,2.0
222,1994-09-22,1.8125
223,1994-09-23,1.7813
224,1994-09-26,1.8438
225,1994-09-27,1.8125
226,1994-09-28,1.7813
227,1994-09-29,1.75
228,1994-09-30,1.7813
229,1994-10-03,1.7813
230,1994-10-04,1.7813
231,1994-10-05,1.7188
232,1994-10-06,1.8125
233,1994-10-07,1.7813
234,1994-10-10,1.8438
235,1994-10-11,1.8125
236,1994-10-12,1.875
237,1994-10-13,1.9375
238,1994-10-14,2.0313
239,1994-10-17,2.0
240,1994-10-18,1.9375
241,1994-10-19,1.9063
242,1994-10-20,1.9063
243,1994-10-21,1.875
244,1994-10-24,1.8125
245,1994-10-25,1.8438
246,1994-10-26,1.875
247,1994-10-27,1.8438
248,1994-10-28,1.9375
249,1994-10-31,1.9063
250,1994-11-01,1.9688
251,1994-11-02,1.875
252,1994-11-03,1.8438
253,1994-11-04,1.8438
254,1994-11-07,2.3125
255,1994-11-08,2.4375
256,1994-11-09,2.4688
