,date,open
0,2000-06-01,160.0
1,2000-06-02,164.8
2,2000-06-05,155.2
3,2000-06-06,162.4
4,2000-06-07,157.6
5,2000-06-08,137.6
6,2000-06-09,135.2
7,2000-06-12,142.4
8,2000-06-13,136.4
9,2000-06-14,127.6
10,2000-06-15,122.4
11,2000-06-16,121.2
12,2000-06-19,120.0
13,2000-06-20,139.2
14,2000-06-21,137.6
15,2000-06-22,159.2
16,2000-06-23,142.0
17,2000-06-26,147.6
18,2000-06-27,143.2
19,2000-06-28,140.0
20,2000-06-29,143.6
21,2000-06-30,149.2
22,2000-07-03,130.0
23,2000-07-05,134.4
24,2000-07-06,130.0
25,2000-07-07,118.8
26,2000-07-10,120.0
27,2000-07-11,119.2
28,2000-07-12,126.4
29,2000-07-13,130.0
30,2000-07-14,127.6
31,2000-07-17,133.6
32,2000-07-18,120.0
33,2000-07-19,124.8
34,2000-07-20,118.0
35,2000-07-21,124.8
36,2000-07-24,140.0
37,2000-07-25,155.2
38,2000-07-26,156.8
39,2000-07-27,160.0
40,2000-07-28,143.6
41,2000-07-31,160.0
42,2000-08-01,142.5
43,2000-08-02,169.7
44,2000-08-03,162.5
45,2000-08-04,170.3
46,2000-08-07,174.1
47,2000-08-08,163.8
48,2000-08-09,156.2
49,2000-08-10,148.8
50,2000-08-11,137.5
51,2000-08-14,143.8
52,2000-08-15,132.5
53,2000-08-16,127.5
54,2000-08-17,134.4
55,2000-08-18,127.5
56,2000-08-21,131.2
57,2000-08-22,130.0
58,2000-08-23,135.6
59,2000-08-24,154.1
60,2000-08-25,156.9
61,2000-08-28,168.8
62,2000-08-29,183.4
63,2000-08-30,196.3
64,2000-08-31,195.0
65,2000-09-01,190.0
66,2000-09-05,186.9
67,2000-09-06,175.9
68,2000-09-07,157.5
69,2000-09-08,170.0
70,2000-09-11,166.6
71,2000-09-12,160.0
72,2000-09-13,150.6
73,2000-09-14,149.4
74,2000-09-15,147.5
75,2000-09-18,144.1
76,2000-09-19,141.3
77,2000-09-20,133.4
78,2000-09-21,128.8
79,2000-09-22,132.5
80,2000-09-25,147.5
81,2000-09-26,150.6
82,2000-09-27,130.0
83,2000-09-28,129.4
84,2000-09-29,130.3
85,2000-10-02,140.6
86,2000-10-03,142.5
87,2000-10-04,152.3
88,2000-10-05,159.8
89,2000-10-06,153.1
90,2000-10-09,147.5
91,2000-10-10,144.7
92,2000-10-11,138.9
93,2000-10-12,130.6
94,2000-10-13,122.7
95,2000-10-16,130.0
96,2000-10-17,120.0
97,2000-10-18,129.2
98,2000-10-19,123.8
99,2000-10-20,124.8
100,2000-10-23,120.6
101,2000-10-24,112.5
102,2000-10-25,126.3
103,2000-10-26,130.0
104,2000-10-27,126.3
105,2000-10-30,120.0
106,2000-10-31,122.5
107,2000-11-01,122.5
108,2000-11-02,133.1
109,2000-11-03,135.9
110,2000-11-06,136.3
111,2000-11-07,127.5
112,2000-11-08,128.4
113,2000-11-09,129.7
114,2000-11-10,127.5
115,2000-11-13,117.8
116,2000-11-14,105.0
117,2000-11-15,101.3
118,2000-11-16,101.3
119,2000-11-17,100.3
120,2000-11-20,101.3
121,2000-11-21,95.31
122,2000-11-22,60.0
123,2000-11-24,70.94
124,2000-11-27,45.0
125,2000-11-28,30.63
126,2000-11-29,33.75
127,2000-11-30,32.97
128,2000-12-01,31.25
129,2000-12-04,30.78
130,2000-12-05,29.84
131,2000-12-06,28.75
132,2000-12-07,27.81
133,2000-12-08,27.03
134,2000-12-11,31.88
135,2000-12-12,32.97
136,2000-12-13,31.09
137,2000-12-14,30.0
138,2000-12-15,28.91
139,2000-12-18,29.38
140,2000-12-19,29.69
141,2000-12-20,30.16
142,2000-12-21,31.09
143,2000-12-22,38.13
144,2000-12-26,40.9
145,2000-12-27,34.53
146,2000-12-28,35.0
147,2000-12-29,34.84
148,2001-01-02,34.69
149,2001-01-03,37.19
150,2001-01-04,38.59
151,2001-01-05,62.81
152,2001-01-08,59.69
153,2001-01-09,52.5
154,2001-01-10,46.41
155,2001-01-11,52.81
156,2001-01-12,57.5
157,2001-01-16,57.34
158,2001-01-17,51.25
159,2001-01-18,51.25
160,2001-01-19,49.38
161,2001-01-22,54.06
162,2001-01-23,53.59
163,2001-01-24,53.75
164,2001-01-25,68.59
165,2001-01-26,65.47
166,2001-01-29,65.16
167,2001-01-30,68.59
168,2001-01-31,67.34
169,2001-02-01,62.5
170,2001-02-02,62.34
171,2001-02-05,57.03
172,2001-02-06,56.88
173,2001-02-07,59.69
174,2001-02-08,58.44
175,2001-02-09,57.5
176,2001-02-12,57.03
177,2001-02-13,51.41
178,2001-02-14,52.03
179,2001-02-15,52.19
180,2001-02-16,54.22
181,2001-02-20,51.88
182,2001-02-21,48.75
183,2001-02-22,45.31
184,2001-02-23,45.63
185,2001-02-26,43.75
186,2001-02-27,45.94
187,2001-02-28,49.06
188,2001-03-01,48.75
189,2001-03-02,45.94
190,2001-03-05,50.63
191,2001-03-06,45.31
192,2001-03-07,45.0
193,2001-03-08,42.81
194,2001-03-09,42.5
195,2001-03-12,45.47
196,2001-03-13,40.0
197,2001-03-14,39.06
198,2001-03-15,38.44
199,2001-03-16,35.47
200,2001-03-19,33.75
201,2001-03-20,32.5
