,date,open
0,2016-01-11,10.48
1,2016-01-12,9.53
2,2016-01-13,8.37
3,2016-01-14,8.24
4,2016-01-15,8.64
5,2016-01-19,9.0
6,2016-01-20,8.21
7,2016-01-21,8.71
8,2016-01-22,9.66
9,2016-01-25,9.86
10,2016-01-26,9.79
11,2016-01-27,9.92
12,2016-01-28,9.74
13,2016-01-29,9.17
14,2016-02-01,9.94
15,2016-02-02,9.63
16,2016-02-03,9.69
17,2016-02-04,10.92
18,2016-02-05,11.05
19,2016-02-08,10.93
20,2016-02-09,10.85
21,2016-02-10,10.82
22,2016-02-11,9.95
23,2016-02-12,11.28
24,2016-02-16,12.48
25,2016-02-17,12.71
26,2016-02-18,12.84
27,2016-02-19,11.91
28,2016-02-22,12.5
29,2016-02-23,11.25
30,2016-02-24,11.24
31,2016-02-25,11.45
32,2016-02-26,11.63
33,2016-02-29,11.51
34,2016-03-01,11.74
35,2016-03-02,11.58
36,2016-03-03,11.95
37,2016-03-04,12.17
38,2016-03-07,11.98
39,2016-03-08,12.51
40,2016-03-09,12.04
41,2016-03-10,12.3
42,2016-03-11,12.14
43,2016-03-14,12.25
44,2016-03-15,12.16
45,2016-03-16,11.37
46,2016-03-17,11.23
47,2016-03-18,11.24
48,2016-03-21,12.18
49,2016-03-22,12.11
50,2016-03-23,12.32
51,2016-03-24,11.63
52,2016-03-28,11.92
53,2016-03-29,11.55
54,2016-03-30,12.41
55,2016-03-31,12.4
56,2016-04-01,12.48
57,2016-04-04,12.9
58,2016-04-05,13.12
59,2016-04-06,13.24
60,2016-04-07,13.46
61,2016-04-08,13.52
62,2016-04-11,13.25
63,2016-04-12,12.89
64,2016-04-13,13.13
65,2016-04-14,13.2
66,2016-04-15,13.36
67,2016-04-18,13.33
68,2016-04-19,13.59
69,2016-04-20,13.7
70,2016-04-21,13.73
71,2016-04-22,13.7
72,2016-04-25,13.76
73,2016-04-26,13.89
74,2016-04-27,13.7
75,2016-04-28,12.43
76,2016-04-29,12.68
77,2016-05-02,12.4
