,date,open
0,2015-12-22,57.76
1,2015-12-23,58.12
2,2015-12-24,58.5
3,2015-12-28,59.74
4,2015-12-29,60.77
5,2015-12-30,60.67
6,2015-12-31,60.81
7,2016-01-04,61.05
8,2016-01-05,61.47
9,2016-01-06,60.0
10,2016-01-07,56.97
11,2016-01-08,56.43
12,2016-01-11,57.11
13,2016-01-12,50.99
14,2016-01-13,49.04
15,2016-01-14,43.88
16,2016-01-15,43.1
17,2016-01-19,44.74
18,2016-01-20,39.23
19,2016-01-21,43.5
20,2016-01-22,44.12
21,2016-01-25,45.83
22,2016-01-26,46.34
23,2016-01-27,46.36
24,2016-01-28,43.02
25,2016-01-29,39.75
26,2016-02-01,38.5
27,2016-02-02,39.26
28,2016-02-03,35.76
29,2016-02-04,35.0
30,2016-02-05,35.52
31,2016-02-08,34.47
32,2016-02-09,32.35
33,2016-02-10,33.42
34,2016-02-11,32.4
35,2016-02-12,34.86
36,2016-02-16,36.63
37,2016-02-17,36.25
38,2016-02-18,39.39
39,2016-02-19,36.93
40,2016-02-22,37.74
41,2016-02-23,36.64
42,2016-02-24,34.41
43,2016-02-25,35.0
44,2016-02-26,34.0
45,2016-02-29,33.56
46,2016-03-01,34.55
47,2016-03-02,35.66
48,2016-03-03,37.93
49,2016-03-04,37.74
50,2016-03-07,39.74
51,2016-03-08,41.61
52,2016-03-09,40.09
53,2016-03-10,38.57
54,2016-03-11,37.41
55,2016-03-14,39.09
56,2016-03-15,40.5
57,2016-03-16,36.07
58,2016-03-17,36.66
59,2016-03-18,37.6
60,2016-03-21,38.54
61,2016-03-22,40.34
62,2016-03-23,45.4
63,2016-03-24,40.0
64,2016-03-28,40.87
65,2016-03-29,38.28
66,2016-03-30,39.67
67,2016-03-31,39.2
68,2016-04-01,40.43
69,2016-04-04,41.09
70,2016-04-05,41.79
71,2016-04-06,42.5
72,2016-04-07,42.5
73,2016-04-08,42.41
74,2016-04-11,40.34
75,2016-04-12,40.68
76,2016-04-13,41.0
77,2016-04-14,42.6
78,2016-04-15,42.67
79,2016-04-18,42.11
80,2016-04-19,43.25
81,2016-04-20,42.55
82,2016-04-21,43.61
83,2016-04-22,43.74
84,2016-04-25,43.42
85,2016-04-26,43.02
86,2016-04-27,41.68
87,2016-04-28,41.38
88,2016-04-29,41.07
89,2016-05-02,40.86
90,2016-05-03,39.59
91,2016-05-04,38.32
92,2016-05-05,35.52
93,2016-05-06,34.53
94,2016-05-09,34.01
95,2016-05-10,34.5
96,2016-05-11,33.94
97,2016-05-12,33.09
98,2016-05-13,30.23
99,2016-05-16,31.49
100,2016-05-17,32.48
101,2016-05-18,32.49
102,2016-05-19,33.35
103,2016-05-20,33.06
104,2016-05-23,33.35
105,2016-05-24,34.31
106,2016-05-25,33.69
107,2016-05-26,26.8
108,2016-05-27,20.18
109,2016-05-31,22.29
110,2016-06-01,22.57
111,2016-06-02,22.55
112,2016-06-03,23.57
113,2016-06-06,23.12
114,2016-06-07,24.2
