,date,open
0,2021-06-18,19.5
1,2021-06-21,23.09
2,2021-06-22,24.87
3,2021-06-23,26.84
4,2021-06-24,25.0
5,2021-06-25,25.5
6,2021-06-28,23.0
7,2021-06-29,24.0
8,2021-06-30,27.22
9,2021-07-01,29.79
10,2021-07-02,29.01
11,2021-07-06,29.11
12,2021-07-07,27.38
13,2021-07-08,27.0
14,2021-07-09,26.71
15,2021-07-12,27.32
16,2021-07-13,27.49
17,2021-07-14,28.63
18,2021-07-15,27.4
19,2021-07-16,27.85
20,2021-07-19,27.05
21,2021-07-20,26.01
22,2021-07-21,26.07
23,2021-07-22,27.71
24,2021-07-23,29.18
25,2021-07-26,28.83
26,2021-07-27,29.01
27,2021-07-28,27.52
28,2021-07-29,28.41
29,2021-07-30,28.37
30,2021-08-02,29.25
31,2021-08-03,28.765
32,2021-08-04,29.54
33,2021-08-05,29.81
34,2021-08-06,30.49
35,2021-08-09,29.92
36,2021-08-10,30.78
37,2021-08-11,30.68
38,2021-08-12,30.68
39,2021-08-13,31.61
40,2021-08-16,32.29
41,2021-08-17,31.04
42,2021-08-18,30.14
43,2021-08-19,30.55
44,2021-08-20,30.16
45,2021-08-23,26.03
46,2021-08-24,24.35
47,2021-08-25,24.04
48,2021-08-26,23.3
49,2021-08-27,23.46
50,2021-08-30,23.57
51,2021-08-31,24.06
52,2021-09-01,25.02
53,2021-09-02,26.67
54,2021-09-03,26.12
55,2021-09-07,27.57
56,2021-09-08,25.81
57,2021-09-09,23.3
58,2021-09-10,25.38
59,2021-09-13,27.22
60,2021-09-14,28.06
61,2021-09-15,28.54
62,2021-09-16,28.86
63,2021-09-17,29.01
64,2021-09-20,24.49
65,2021-09-21,22.01
66,2021-09-22,20.8
67,2021-09-23,20.9
68,2021-09-24,22.97
69,2021-09-27,22.88
70,2021-09-28,24.06
71,2021-09-29,24.37
72,2021-09-30,23.69
73,2021-10-01,25.16
74,2021-10-04,22.73
75,2021-10-05,22.66
76,2021-10-06,22.19
77,2021-10-07,21.92
78,2021-10-08,20.91
79,2021-10-11,17.86
80,2021-10-12,16.5
81,2021-10-13,17.95
82,2021-10-14,17.59
83,2021-10-15,19.98
84,2021-10-18,19.12
85,2021-10-19,17.8701
86,2021-10-20,20.02
87,2021-10-21,20.07
88,2021-10-22,19.96
89,2021-10-25,19.65
90,2021-10-26,21.79
91,2021-10-27,20.85
92,2021-10-28,21.37
93,2021-10-29,21.82
94,2021-11-01,22.46
95,2021-11-02,22.52
96,2021-11-03,24.0
97,2021-11-04,23.16
98,2021-11-05,23.82
99,2021-11-08,23.67
100,2021-11-09,22.44
101,2021-11-10,21.84
102,2021-11-11,21.08
103,2021-11-12,21.3
104,2021-11-15,21.15
105,2021-11-16,20.29
106,2021-11-17,20.71
107,2021-11-18,20.92
108,2021-11-19,20.79
109,2021-11-22,20.11
110,2021-11-23,17.0
111,2021-11-24,17.37
112,2021-11-26,17.37
113,2021-11-29,17.45
114,2021-11-30,16.62
115,2021-12-01,19.25
116,2021-12-02,16.68
117,2021-12-03,15.82
118,2021-12-06,15.39
119,2021-12-07,16.05
120,2021-12-08,15.88
121,2021-12-09,14.9
122,2021-12-10,15.05
123,2021-12-13,14.38
124,2021-12-14,14.0
125,2021-12-15,14.1
126,2021-12-16,14.91
127,2021-12-17,15.28
128,2021-12-20,16.45
129,2021-12-21,16.14
130,2021-12-22,16.45
131,2021-12-23,17.15
132,2021-12-27,18.23
133,2021-12-28,14.89
134,2021-12-29,15.0
135,2021-12-30,14.98
136,2021-12-31,15.33
137,2022-01-03,15.84
138,2022-01-04,16.27
139,2022-01-05,15.32
140,2022-01-06,14.16
141,2022-01-07,13.04
142,2022-01-10,13.99
143,2022-01-11,15.48
144,2022-01-12,15.47
145,2022-01-13,15.15
146,2022-01-14,14.14
147,2022-01-18,14.39
148,2022-01-19,13.06
149,2022-01-20,13.22
150,2022-01-21,12.98
151,2022-01-24,13.01
152,2022-01-25,13.5
153,2022-01-26,13.39
154,2022-01-27,12.71
155,2022-01-28,12.84
156,2022-01-31,13.0
157,2022-02-01,12.66
158,2022-02-02,12.4
159,2022-02-03,12.03
160,2022-02-04,11.38
161,2022-02-07,11.93
162,2022-02-08,12.32
163,2022-02-09,12.5
164,2022-02-10,12.52
165,2022-02-11,12.15
166,2022-02-14,12.15
167,2022-02-15,12.22
168,2022-02-16,12.83
169,2022-02-17,12.33
170,2022-02-18,12.38
171,2022-02-22,12.14
172,2022-02-23,12.23
173,2022-02-24,12.04
174,2022-02-25,13.29
175,2022-02-28,13.2
176,2022-03-01,13.92
177,2022-03-02,14.0
178,2022-03-03,15.11
179,2022-03-04,13.53
180,2022-03-07,13.6
181,2022-03-08,13.58
182,2022-03-09,14.1
183,2022-03-10,14.47
184,2022-03-11,14.93
185,2022-03-14,14.23
186,2022-03-15,13.45
187,2022-03-16,13.35
188,2022-03-17,13.36
189,2022-03-18,13.17
190,2022-03-21,13.0
191,2022-03-22,12.14
192,2022-03-23,11.99
193,2022-03-24,12.87
194,2022-03-25,13.55
195,2022-03-28,13.08
196,2022-03-29,12.53
197,2022-03-30,12.59
198,2022-03-31,12.38
199,2022-04-01,12.62
200,2022-04-04,12.33
201,2022-04-05,12.32
202,2022-04-06,12.01
203,2022-04-07,11.9
204,2022-04-08,11.69
205,2022-04-11,11.27
206,2022-04-12,11.5
207,2022-04-13,10.92
208,2022-04-14,11.62
209,2022-04-18,11.14
210,2022-04-19,11.0
211,2022-04-20,11.24
212,2022-04-21,11.65
213,2022-04-22,11.57
214,2022-04-25,11.69
215,2022-04-26,12.26
216,2022-04-27,11.76
217,2022-04-28,12.36
218,2022-04-29,11.77
219,2022-05-02,12.02
220,2022-05-03,12.2
221,2022-05-04,12.21
222,2022-05-05,12.17
223,2022-05-06,10.38
224,2022-05-09,8.56
225,2022-05-10,8.36
226,2022-05-11,9.17
227,2022-05-12,8.01
228,2022-05-13,8.1
229,2022-05-16,8.04
230,2022-05-17,9.07
231,2022-05-18,8.77
232,2022-05-19,8.66
