,date,open
0,2013-09-25,23.06
1,2013-09-26,26.1
2,2013-09-27,29.54
3,2013-09-30,29.0
4,2013-10-01,29.74
5,2013-10-02,29.5
6,2013-10-03,33.65
7,2013-10-04,33.93
8,2013-10-07,34.97
9,2013-10-08,30.5
10,2013-10-09,28.98
11,2013-10-10,28.5
12,2013-10-11,26.8
13,2013-10-14,27.24
14,2013-10-15,28.0
15,2013-10-16,27.97
16,2013-10-17,29.25
17,2013-10-18,28.67
18,2013-10-21,31.32
19,2013-10-22,34.25
20,2013-10-23,33.62
21,2013-10-24,33.09
22,2013-10-25,34.91
23,2013-10-28,35.24
24,2013-10-29,34.23
25,2013-10-30,34.31
26,2013-10-31,33.88
27,2013-11-01,33.21
28,2013-11-04,32.13
29,2013-11-05,30.98
30,2013-11-06,31.94
31,2013-11-07,28.53
32,2013-11-08,27.35
33,2013-11-11,27.57
34,2013-11-12,28.62
35,2013-11-13,26.5
36,2013-11-14,26.0
37,2013-11-15,24.66
38,2013-11-18,23.84
39,2013-11-19,25.16
40,2013-11-20,23.9
41,2013-11-21,24.63
42,2013-11-22,24.65
43,2013-11-25,25.39
44,2013-11-26,25.7
45,2013-11-27,27.29
46,2013-11-29,26.8
47,2013-12-02,28.25
48,2013-12-03,28.14
49,2013-12-04,27.0
50,2013-12-05,28.32
51,2013-12-06,29.11
52,2013-12-09,30.8
53,2013-12-10,29.8
54,2013-12-11,28.4
55,2013-12-12,28.62
56,2013-12-13,29.89
57,2013-12-16,30.93
58,2013-12-17,32.24
59,2013-12-18,32.09
60,2013-12-19,31.69
61,2013-12-20,32.09
62,2013-12-23,31.58
63,2013-12-24,32.66
64,2013-12-26,32.0354
65,2013-12-27,31.11
66,2013-12-30,32.54
67,2013-12-31,31.95
68,2014-01-02,32.12
69,2014-01-03,31.49
70,2014-01-06,32.62
71,2014-01-07,31.25
72,2014-01-08,30.88
73,2014-01-09,31.67
74,2014-01-10,31.0
75,2014-01-13,31.42
76,2014-01-14,30.7
77,2014-01-15,31.02
78,2014-01-16,30.98
79,2014-01-17,31.0
80,2014-01-21,30.16
81,2014-01-22,31.2
82,2014-01-23,30.79
83,2014-01-24,31.03
84,2014-01-27,30.99
85,2014-01-28,30.17
86,2014-01-29,30.71
87,2014-01-30,30.86
88,2014-01-31,30.71
89,2014-02-03,30.91
90,2014-02-04,30.64
91,2014-02-05,30.35
92,2014-02-06,30.36
93,2014-02-07,30.39
94,2014-02-10,31.39
95,2014-02-11,32.36
96,2014-02-12,32.28
97,2014-02-13,33.97
98,2014-02-14,35.0
99,2014-02-18,34.86
100,2014-02-19,37.0
101,2014-02-20,36.0
102,2014-02-21,35.96
103,2014-02-24,35.81
104,2014-02-25,35.31
105,2014-02-26,37.6
106,2014-02-27,35.75
107,2014-02-28,36.93
108,2014-03-03,33.47
109,2014-03-04,34.3
110,2014-03-05,37.76
111,2014-03-06,39.52
112,2014-03-07,38.67
113,2014-03-10,36.95
114,2014-03-11,36.85
115,2014-03-12,36.14
116,2014-03-13,36.85
117,2014-03-14,35.55
118,2014-03-17,37.41
119,2014-03-18,37.35
120,2014-03-19,36.81
121,2014-03-20,37.62
122,2014-03-21,38.1
123,2014-03-24,35.84
124,2014-03-25,35.5
125,2014-03-26,34.17
126,2014-03-27,34.63
127,2014-03-28,36.16
128,2014-03-31,33.54
129,2014-04-01,35.7
130,2014-04-02,33.83
131,2014-04-03,33.51
132,2014-04-04,31.47
133,2014-04-07,32.03
134,2014-04-08,32.14
135,2014-04-09,31.53
136,2014-04-10,31.45
137,2014-04-11,30.99
138,2014-04-14,31.26
139,2014-04-15,31.86
140,2014-04-16,31.71
141,2014-04-17,31.64
142,2014-04-21,31.96
143,2014-04-22,33.43
144,2014-04-23,34.73
145,2014-04-24,35.19
146,2014-04-25,34.54
147,2014-04-28,32.77
148,2014-04-29,32.86
149,2014-04-30,33.23
150,2014-05-01,33.77
151,2014-05-02,33.11
152,2014-05-05,32.36
153,2014-05-06,32.57
154,2014-05-07,32.52
155,2014-05-08,30.95
156,2014-05-09,30.3
157,2014-05-12,31.0
158,2014-05-13,31.03
159,2014-05-14,30.49
160,2014-05-15,31.16
161,2014-05-16,30.92
162,2014-05-19,30.85
163,2014-05-20,38.33
164,2014-05-21,38.99
165,2014-05-22,37.56
166,2014-05-23,37.63
167,2014-05-27,39.08
168,2014-05-28,40.88
169,2014-05-29,40.76
170,2014-05-30,41.13
171,2014-06-02,40.92
172,2014-06-03,39.92
173,2014-06-04,41.45
174,2014-06-05,43.7
175,2014-06-06,45.25
176,2014-06-09,45.14
177,2014-06-10,46.25
178,2014-06-11,44.45
179,2014-06-12,44.03
180,2014-06-13,44.73
181,2014-06-16,43.58
182,2014-06-17,43.2
183,2014-06-18,41.05
184,2014-06-19,42.81
185,2014-06-20,42.4
186,2014-06-23,44.27
187,2014-06-24,42.74
188,2014-06-25,41.0
189,2014-06-26,43.03
190,2014-06-27,40.24
191,2014-06-30,41.3
192,2014-07-01,42.04
193,2014-07-02,41.51
194,2014-07-03,41.04
195,2014-07-07,40.79
196,2014-07-08,41.87
197,2014-07-09,41.81
198,2014-07-10,39.85
199,2014-07-11,39.35
200,2014-07-14,41.52
201,2014-07-15,40.44
202,2014-07-16,41.1
203,2014-07-17,39.97
204,2014-07-18,39.93
205,2014-07-21,40.98
206,2014-07-22,41.76
207,2014-07-23,41.55
208,2014-07-24,40.52
209,2014-07-25,40.0
210,2014-07-28,40.73
211,2014-07-29,39.31
212,2014-07-30,40.92
213,2014-07-31,40.36
214,2014-08-01,39.38
215,2014-08-04,38.5
216,2014-08-05,38.18
217,2014-08-06,38.26
218,2014-08-07,37.95
219,2014-08-08,37.45
220,2014-08-11,36.43
221,2014-08-12,37.85
222,2014-08-13,38.61
223,2014-08-14,39.79
224,2014-08-15,39.45
225,2014-08-18,39.39
226,2014-08-19,40.37
227,2014-08-20,39.59
228,2014-08-21,38.17
229,2014-08-22,36.51
230,2014-08-25,37.5
231,2014-08-26,37.76
232,2014-08-27,39.65
233,2014-08-28,39.09
234,2014-08-29,38.95
235,2014-09-02,38.84
236,2014-09-03,37.79
237,2014-09-04,38.37
238,2014-09-05,38.07
239,2014-09-08,36.83
240,2014-09-09,39.52
241,2014-09-10,39.37
242,2014-09-11,40.34
243,2014-09-12,40.52
244,2014-09-15,40.17
245,2014-09-16,38.69
246,2014-09-17,39.1
247,2014-09-18,38.97
248,2014-09-19,38.51
249,2014-09-22,38.93
250,2014-09-23,37.75
251,2014-09-24,37.28
252,2014-09-25,38.52
253,2014-09-26,38.33
254,2014-09-29,37.0
255,2014-09-30,38.6
256,2014-10-01,38.74
257,2014-10-02,37.73
258,2014-10-03,38.86
259,2014-10-06,38.53
260,2014-10-07,38.05
261,2014-10-08,37.54
262,2014-10-09,38.5
263,2014-10-10,37.83
264,2014-10-13,37.55
265,2014-10-14,37.99
266,2014-10-15,37.3
267,2014-10-16,40.0
268,2014-10-17,40.9
269,2014-10-20,39.5
270,2014-10-21,39.15
271,2014-10-22,40.0
272,2014-10-23,39.63
273,2014-10-24,39.91
274,2014-10-27,39.53
275,2014-10-28,39.62
276,2014-10-29,40.19
277,2014-10-30,40.32
278,2014-10-31,42.4
279,2014-11-03,41.58
280,2014-11-04,39.91
281,2014-11-05,40.73
282,2014-11-06,40.49
283,2014-11-07,41.16
284,2014-11-10,41.21
285,2014-11-11,42.36
286,2014-11-12,41.97
287,2014-11-13,43.61
288,2014-11-14,40.89
289,2014-11-17,39.84
290,2014-11-18,40.19
291,2014-11-19,41.26
292,2014-11-20,40.03
293,2014-11-21,41.27
294,2014-11-24,41.26
295,2014-11-25,42.5
296,2014-11-26,42.47
297,2014-11-28,42.83
298,2014-12-01,42.88
299,2014-12-02,41.0
300,2014-12-03,42.91
301,2014-12-04,43.38
302,2014-12-05,43.46
303,2014-12-08,45.13
304,2014-12-09,45.33
305,2014-12-10,46.24
306,2014-12-11,48.48
307,2014-12-12,47.38
308,2014-12-15,49.49
309,2014-12-16,45.89
310,2014-12-17,45.94
311,2014-12-18,47.9
312,2014-12-19,47.11
313,2014-12-22,47.17
314,2014-12-23,46.25
315,2014-12-24,44.15
316,2014-12-26,45.22
317,2014-12-29,45.24
318,2014-12-30,44.0
319,2014-12-31,44.51
320,2015-01-02,45.3
321,2015-01-05,45.55
322,2015-01-06,46.88
323,2015-01-07,46.87
324,2015-01-08,49.15
325,2015-01-09,51.09
326,2015-01-12,51.19
327,2015-01-13,51.03
328,2015-01-14,49.81
329,2015-01-15,49.74
330,2015-01-16,48.74
331,2015-01-20,49.96
332,2015-01-21,54.21
333,2015-01-22,53.45
334,2015-01-23,53.69
335,2015-01-26,56.01
336,2015-01-27,54.75
337,2015-01-28,57.16
338,2015-01-29,55.0
339,2015-01-30,55.52
340,2015-02-02,54.55
341,2015-02-03,51.89
342,2015-02-04,49.66
343,2015-02-05,51.15
344,2015-02-06,50.88
345,2015-02-09,49.19
346,2015-02-10,49.77
347,2015-02-11,50.11
348,2015-02-12,50.28
349,2015-02-13,51.26
350,2015-02-17,51.0
351,2015-02-18,54.12
352,2015-02-19,55.22
353,2015-02-20,55.18
354,2015-02-23,55.88
355,2015-02-24,57.78
356,2015-02-25,52.53
357,2015-02-26,54.86
358,2015-02-27,54.6
359,2015-03-02,53.48
360,2015-03-03,53.99
361,2015-03-04,53.52
362,2015-03-05,54.33
363,2015-03-06,53.0
364,2015-03-09,53.26
365,2015-03-10,52.79
366,2015-03-11,52.9
367,2015-03-12,53.23
368,2015-03-13,53.25
369,2015-03-16,53.07
370,2015-03-17,53.0
371,2015-03-18,53.05
372,2015-03-19,52.18
373,2015-03-20,53.0
374,2015-03-23,51.17
375,2015-03-24,50.44
376,2015-03-25,50.61
377,2015-03-26,46.59
378,2015-03-27,47.95
379,2015-03-30,49.67
380,2015-03-31,47.86
381,2015-04-01,46.33
382,2015-04-02,46.8
383,2015-04-06,46.99
384,2015-04-07,45.98
385,2015-04-08,46.53
386,2015-04-09,48.31
387,2015-04-10,47.82
388,2015-04-13,50.0
389,2015-04-14,51.16
390,2015-04-15,51.4
391,2015-04-16,51.49
392,2015-04-17,51.23
