,date,open
0,2007-06-01,17.5
1,2007-06-04,17.5
2,2007-06-05,17.56
3,2007-06-06,17.5
4,2007-06-07,17.67
5,2007-06-08,17.23
6,2007-06-11,17.22
7,2007-06-12,17.24
8,2007-06-13,17.0
9,2007-06-14,17.0
10,2007-06-15,16.51
11,2007-06-18,17.17
12,2007-06-19,16.96
13,2007-06-20,16.94
14,2007-06-21,16.63
15,2007-06-22,16.62
16,2007-06-25,16.44
17,2007-06-26,16.0
18,2007-06-27,15.51
19,2007-06-28,15.59
20,2007-06-29,15.54
21,2007-07-02,16.0
22,2007-07-03,16.32
23,2007-07-05,15.93
24,2007-07-06,15.65
25,2007-07-09,16.23
26,2007-07-10,15.75
27,2007-07-11,16.29
28,2007-07-12,16.11
29,2007-07-13,15.5
30,2007-07-16,15.0
31,2007-07-17,15.12
32,2007-07-18,14.26
33,2007-07-19,14.28
34,2007-07-20,14.4
35,2007-07-23,14.5
36,2007-07-24,14.35
37,2007-07-25,14.5
38,2007-07-26,14.79
39,2007-07-27,14.6
40,2007-07-30,15.19
41,2007-07-31,15.13
42,2007-08-01,14.35
43,2007-08-02,13.89
44,2007-08-03,13.38
45,2007-08-06,13.78
46,2007-08-07,13.07
47,2007-08-08,13.05
48,2007-08-09,12.97
49,2007-08-10,11.81
50,2007-08-13,13.26
51,2007-08-14,13.25
52,2007-08-15,13.06
53,2007-08-16,12.66
54,2007-08-17,12.84
55,2007-08-20,11.5
56,2007-08-21,12.15
57,2007-08-22,12.25
58,2007-08-23,13.37
59,2007-08-24,13.25
60,2007-08-27,13.0
61,2007-08-28,13.44
62,2007-08-29,12.84
63,2007-08-30,13.34
64,2007-08-31,13.81
65,2007-09-04,13.57
66,2007-09-05,13.79
67,2007-09-06,12.89
68,2007-09-07,13.4
69,2007-09-10,13.03
70,2007-09-11,13.38
71,2007-09-12,13.54
72,2007-09-13,13.8
73,2007-09-14,12.88
74,2007-09-17,13.09
75,2007-09-18,12.88
76,2007-09-19,12.88
77,2007-09-20,12.95
78,2007-09-21,13.02
79,2007-09-24,13.74
80,2007-09-25,12.6
81,2007-09-26,12.9
82,2007-09-27,12.48
83,2007-09-28,12.0
84,2007-10-01,11.3
85,2007-10-02,13.1
86,2007-10-03,13.46
87,2007-10-04,13.33
88,2007-10-05,13.63
89,2007-10-08,13.54
90,2007-10-09,13.5
91,2007-10-10,13.34
92,2007-10-11,13.45
93,2007-10-12,13.29
94,2007-10-15,13.41
95,2007-10-16,13.01
96,2007-10-17,13.21
97,2007-10-18,13.12
98,2007-10-19,13.03
99,2007-10-22,12.27
100,2007-10-23,13.07
101,2007-10-24,12.86
102,2007-10-25,13.11
103,2007-10-26,13.26
104,2007-10-29,13.4
105,2007-10-30,13.35
106,2007-10-31,13.09
107,2007-11-01,13.21
108,2007-11-02,12.57
109,2007-11-05,12.52
110,2007-11-06,12.97
111,2007-11-07,12.87
112,2007-11-08,13.1
113,2007-11-09,13.58
114,2007-11-12,13.39
115,2007-11-13,13.4
116,2007-11-14,13.62
117,2007-11-15,13.99
118,2007-11-16,12.89
119,2007-11-19,13.53
120,2007-11-20,13.13
121,2007-11-21,13.43
122,2007-11-23,13.36
123,2007-11-26,13.38
124,2007-11-27,13.79
125,2007-11-28,13.92
126,2007-11-29,14.57
127,2007-11-30,15.81
128,2007-12-03,15.5
129,2007-12-04,15.58
130,2007-12-05,15.77
131,2007-12-06,15.5
132,2007-12-07,17.03
133,2007-12-10,17.14
134,2007-12-11,16.31
135,2007-12-12,15.32
136,2007-12-13,14.19
137,2007-12-14,15.44
138,2007-12-17,15.25
139,2007-12-18,15.3
140,2007-12-19,14.64
141,2007-12-20,14.85
142,2007-12-21,16.31
143,2007-12-24,15.79
144,2007-12-26,14.15
145,2007-12-27,14.86
146,2007-12-28,14.52
147,2007-12-31,15.1
148,2008-01-02,14.92
149,2008-01-03,14.6
150,2008-01-04,14.59
151,2008-01-07,14.0
152,2008-01-08,14.62
153,2008-01-09,14.37
154,2008-01-10,14.76
155,2008-01-11,15.42
156,2008-01-14,14.61
157,2008-01-15,14.18
158,2008-01-16,14.47
159,2008-01-17,14.54
160,2008-01-18,14.49
161,2008-01-22,14.01
162,2008-01-23,13.82
163,2008-01-24,14.29
164,2008-01-25,14.25
165,2008-01-28,14.58
166,2008-01-29,14.53
167,2008-01-30,14.43
168,2008-01-31,13.69
169,2008-02-01,13.18
170,2008-02-04,13.36
171,2008-02-05,12.86
172,2008-02-06,12.13
173,2008-02-07,12.04
174,2008-02-08,12.63
175,2008-02-11,12.25
176,2008-02-12,12.4
177,2008-02-13,12.76
178,2008-02-14,12.97
179,2008-02-15,11.91
180,2008-02-19,11.65
181,2008-02-20,11.09
182,2008-02-21,11.5
183,2008-02-22,11.02
184,2008-02-25,11.55
185,2008-02-26,12.36
186,2008-02-27,12.37
187,2008-02-28,12.11
188,2008-02-29,13.1
189,2008-03-03,12.1
190,2008-03-04,11.88
191,2008-03-05,11.13
192,2008-03-06,11.96
193,2008-03-07,11.6
194,2008-03-10,11.07
195,2008-03-11,10.21
196,2008-03-12,10.16
197,2008-03-13,9.6
198,2008-03-14,9.43
199,2008-03-17,9.7
200,2008-03-18,10.7
201,2008-03-19,10.5
202,2008-03-20,10.02
203,2008-03-24,9.43
204,2008-03-25,9.815
205,2008-03-26,10.095
206,2008-03-27,10.16
207,2008-03-28,10.0
208,2008-03-31,9.76
209,2008-04-01,9.83
210,2008-04-02,8.62
211,2008-04-03,8.65
212,2008-04-04,8.78
213,2008-04-07,8.86
214,2008-04-08,8.7
215,2008-04-09,9.2
216,2008-04-10,9.0
217,2008-04-11,8.51
218,2008-04-14,8.5
219,2008-04-15,8.06
220,2008-04-16,8.89
221,2008-04-17,8.42
222,2008-04-18,8.79
223,2008-04-21,8.71
224,2008-04-22,8.61
225,2008-04-23,8.35
226,2008-04-24,8.33
227,2008-04-25,9.35
228,2008-04-28,9.16
229,2008-04-29,9.12
230,2008-04-30,9.05
231,2008-05-01,9.01
232,2008-05-02,9.26
233,2008-05-05,8.95
234,2008-05-06,8.57
235,2008-05-07,9.2
236,2008-05-08,8.74
237,2008-05-09,8.81
238,2008-05-12,8.9
239,2008-05-13,8.43
240,2008-05-14,8.6
241,2008-05-15,8.23
242,2008-05-16,8.43
243,2008-05-19,7.91
244,2008-05-20,7.27
245,2008-05-21,7.62
246,2008-05-22,7.6
247,2008-05-23,7.64
248,2008-05-27,7.72
249,2008-05-28,7.94
250,2008-05-29,7.54
251,2008-05-30,7.95
252,2008-06-02,7.5
253,2008-06-03,7.62
254,2008-06-04,7.54
255,2008-06-05,8.0
256,2008-06-06,7.83
257,2008-06-09,7.31
258,2008-06-10,6.69
259,2008-06-11,6.71
260,2008-06-12,6.72
261,2008-06-13,5.62
262,2008-06-16,6.04
263,2008-06-17,6.07
264,2008-06-18,5.88
265,2008-06-19,6.06
266,2008-06-20,6.97
267,2008-06-23,7.53
268,2008-06-24,6.62
269,2008-06-25,7.54
270,2008-06-26,8.63
271,2008-06-27,7.39
272,2008-06-30,6.97
273,2008-07-01,7.45
274,2008-07-02,7.24
275,2008-07-03,6.86
276,2008-07-07,7.45
277,2008-07-08,6.64
278,2008-07-09,6.31
279,2008-07-10,6.69
280,2008-07-11,6.75
281,2008-07-14,6.75
282,2008-07-15,6.24
283,2008-07-16,6.75
284,2008-07-17,6.81
285,2008-07-18,6.79
286,2008-07-21,6.7
287,2008-07-22,6.5
288,2008-07-23,6.64
289,2008-07-24,6.77
290,2008-07-25,6.37
291,2008-07-28,6.57
292,2008-07-29,6.82
293,2008-07-30,7.22
294,2008-07-31,7.18
295,2008-08-01,6.77
296,2008-08-04,6.9
297,2008-08-05,7.14
298,2008-08-06,7.96
299,2008-08-07,7.27
300,2008-08-08,7.32
301,2008-08-11,8.36
302,2008-08-12,8.5
303,2008-08-13,7.92
304,2008-08-14,7.95
305,2008-08-15,8.38
306,2008-08-18,7.85
307,2008-08-19,7.64
308,2008-08-20,8.2
309,2008-08-21,7.87
310,2008-08-22,8.19
311,2008-08-25,8.1
312,2008-08-26,7.7
313,2008-08-27,7.07
314,2008-08-28,6.77
315,2008-08-29,7.41
316,2008-09-02,7.3
317,2008-09-03,6.76
318,2008-09-04,6.85
319,2008-09-05,6.78
320,2008-09-08,7.0
321,2008-09-09,6.97
322,2008-09-10,6.99
323,2008-09-11,6.56
324,2008-09-12,6.53
325,2008-09-15,6.28
326,2008-09-16,6.06
327,2008-09-17,5.35
328,2008-09-18,4.94
329,2008-09-19,5.46
330,2008-09-22,5.21
331,2008-09-23,5.07
332,2008-09-24,5.29
333,2008-09-25,4.9
334,2008-09-26,4.9
335,2008-09-29,4.96
336,2008-09-30,4.0
337,2008-10-01,5.12
338,2008-10-02,5.26
339,2008-10-03,5.04
340,2008-10-06,4.48
341,2008-10-07,5.2
342,2008-10-08,4.01
343,2008-10-09,4.05
344,2008-10-10,3.3
345,2008-10-13,4.31
346,2008-10-14,4.98
347,2008-10-15,3.85
348,2008-10-16,3.18
349,2008-10-17,3.76
350,2008-10-20,4.34
351,2008-10-21,3.92
352,2008-10-22,3.61
353,2008-10-23,3.76
354,2008-10-24,3.34
355,2008-10-27,3.39
356,2008-10-28,3.43
357,2008-10-29,3.48
358,2008-10-30,3.53
359,2008-10-31,3.05
360,2008-11-03,2.91
361,2008-11-04,2.84
362,2008-11-05,2.73
363,2008-11-06,2.59
364,2008-11-07,2.78
365,2008-11-10,2.84
366,2008-11-11,2.65
367,2008-11-12,2.59
368,2008-11-13,1.56
369,2008-11-14,1.51
370,2008-11-17,1.3
371,2008-11-18,1.38
372,2008-11-19,1.25
373,2008-11-20,1.18
374,2008-11-21,1.48
375,2008-11-24,1.43
376,2008-11-25,1.51
377,2008-11-26,1.21
