,date,open
0,2015-04-15,160.0
1,2015-04-16,212.5
2,2015-04-17,203.85
3,2015-04-20,222.55
4,2015-04-21,216.9
5,2015-04-22,193.55
6,2015-04-23,191.45
7,2015-04-24,181.85
8,2015-04-27,176.2
9,2015-04-28,157.9
10,2015-04-29,137.2
11,2015-04-30,135.05
12,2015-05-01,129.5
13,2015-05-04,133.05
14,2015-05-05,149.85
15,2015-05-06,139.05
16,2015-05-07,140.0
17,2015-05-08,145.7
18,2015-05-11,161.55
19,2015-05-12,155.0
20,2015-05-13,161.75
21,2015-05-14,171.8
22,2015-05-15,164.35
23,2015-05-18,155.9
24,2015-05-19,152.2
25,2015-05-20,145.2
26,2015-05-21,149.0
27,2015-05-22,154.6
28,2015-05-26,155.0
29,2015-05-27,155.45
30,2015-05-28,160.0
31,2015-05-29,160.65
32,2015-06-01,168.5
33,2015-06-02,162.25
34,2015-06-03,157.25
35,2015-06-04,162.8
36,2015-06-05,166.45
37,2015-06-08,175.45
38,2015-06-09,171.05
39,2015-06-10,163.3
40,2015-06-11,165.85
41,2015-06-12,168.75
42,2015-06-15,168.5
43,2015-06-16,179.25
44,2015-06-17,177.65
45,2015-06-18,177.2
46,2015-06-19,175.5
47,2015-06-22,181.5
48,2015-06-23,179.0
49,2015-06-24,180.6
50,2015-06-25,180.05
51,2015-06-26,163.9
52,2015-06-29,162.55
53,2015-06-30,151.0
54,2015-07-01,153.7
55,2015-07-02,153.4
56,2015-07-06,152.45
57,2015-07-07,157.15
58,2015-07-08,155.05
59,2015-07-09,152.55
60,2015-07-10,152.25
61,2015-07-13,153.45
62,2015-07-14,153.45
63,2015-07-15,153.45
64,2015-07-16,155.45
65,2015-07-17,148.6
66,2015-07-20,142.85
67,2015-07-21,137.75
68,2015-07-22,141.3
69,2015-07-23,144.95
70,2015-07-24,142.0
71,2015-07-27,132.0
72,2015-07-28,132.15
73,2015-07-29,132.25
74,2015-07-30,130.75
75,2015-07-31,129.05
76,2015-08-03,130.6
77,2015-08-04,126.6
78,2015-08-05,121.3
79,2015-08-06,121.5
80,2015-08-07,119.45
81,2015-08-10,116.5
82,2015-08-11,117.2
83,2015-08-12,113.6
84,2015-08-13,115.4
85,2015-08-14,111.85
86,2015-08-17,104.25
87,2015-08-18,108.1
88,2015-08-19,106.4
89,2015-08-20,105.6
90,2015-08-21,98.75
91,2015-08-24,88.0
92,2015-08-25,99.45
93,2015-08-26,91.9
94,2015-08-27,98.6
95,2015-08-28,108.5
96,2015-08-31,103.05
97,2015-09-01,93.95
98,2015-09-02,96.95
99,2015-09-03,98.25
100,2015-09-04,92.05
101,2015-09-08,98.3
102,2015-09-09,97.15
103,2015-09-10,97.0
104,2015-09-11,100.6
105,2015-09-14,102.0
106,2015-09-15,101.3
107,2015-09-16,104.65
108,2015-09-17,105.7
109,2015-09-18,113.25
110,2015-09-21,121.55
111,2015-09-22,110.2
112,2015-09-23,107.55
113,2015-09-24,106.3
114,2015-09-25,109.7
115,2015-09-28,107.4
116,2015-09-29,95.95
117,2015-09-30,97.1
118,2015-10-01,96.05
119,2015-10-02,95.5
120,2015-10-05,97.9
121,2015-10-06,101.5
122,2015-10-07,102.2
123,2015-10-08,105.65
124,2015-10-09,109.45
125,2015-10-12,108.2
126,2015-10-13,107.85
127,2015-10-14,109.55
128,2015-10-15,107.4
129,2015-10-16,111.55
130,2015-10-19,112.7
131,2015-10-20,119.5
132,2015-10-21,119.9
133,2015-10-22,117.9
134,2015-10-23,119.8
135,2015-10-26,120.8
136,2015-10-27,124.65
137,2015-10-28,125.2
138,2015-10-29,135.95
139,2015-10-30,137.7
140,2015-11-02,133.85
141,2015-11-03,139.05
142,2015-11-04,139.0
143,2015-11-05,141.75
144,2015-11-06,134.65
145,2015-11-09,142.0
146,2015-11-10,153.15
147,2015-11-11,148.9
148,2015-11-12,138.9
149,2015-11-13,142.35
150,2015-11-16,144.4
151,2015-11-17,137.5
152,2015-11-18,143.4
153,2015-11-19,143.25
154,2015-11-20,143.05
155,2015-11-23,150.55
156,2015-11-24,149.7
157,2015-11-25,147.45
158,2015-11-27,158.15
159,2015-11-30,156.8
160,2015-12-01,150.0
161,2015-12-02,146.25
162,2015-12-03,148.6
163,2015-12-04,149.05
164,2015-12-07,150.45
165,2015-12-08,146.85
166,2015-12-09,154.4
167,2015-12-10,144.5
168,2015-12-11,148.5
169,2015-12-14,149.95
170,2015-12-15,155.6
171,2015-12-16,156.2
172,2015-12-17,168.05
173,2015-12-18,157.55
174,2015-12-21,147.05
175,2015-12-22,148.25
176,2015-12-23,135.05
177,2015-12-24,140.7
178,2015-12-28,141.0
179,2015-12-29,140.15
180,2015-12-30,144.1
181,2015-12-31,143.4
182,2016-01-04,135.55
183,2016-01-05,133.95
184,2016-01-06,128.8
185,2016-01-07,121.55
186,2016-01-08,119.5
187,2016-01-11,117.55
188,2016-01-12,113.35
189,2016-01-13,114.7
190,2016-01-14,106.2
191,2016-01-15,103.05
192,2016-01-19,103.8
193,2016-01-20,91.5
194,2016-01-21,101.55
195,2016-01-22,100.65
196,2016-01-25,91.7
197,2016-01-26,90.25
198,2016-01-27,87.55
199,2016-01-28,83.05
200,2016-01-29,75.0
201,2016-02-01,73.85
202,2016-02-02,73.8
203,2016-02-03,76.9
204,2016-02-04,74.95
205,2016-02-05,76.95
206,2016-02-08,70.6
207,2016-02-09,61.75
208,2016-02-10,66.6
209,2016-02-11,66.25
210,2016-02-12,71.2
211,2016-02-16,72.5
212,2016-02-17,75.35
213,2016-02-18,74.55
214,2016-02-19,72.0
215,2016-02-22,75.0
216,2016-02-23,72.85
217,2016-02-24,71.25
218,2016-02-25,73.2
219,2016-02-26,73.4
220,2016-02-29,76.0
221,2016-03-01,74.45
222,2016-03-02,82.1
223,2016-03-03,84.0
224,2016-03-04,83.95
225,2016-03-07,83.15
226,2016-03-08,83.1
227,2016-03-09,83.55
228,2016-03-10,81.0
229,2016-03-11,72.5
230,2016-03-14,69.5
231,2016-03-15,65.35
232,2016-03-16,61.25
233,2016-03-17,62.6
234,2016-03-18,57.95
235,2016-03-21,60.0
236,2016-03-22,62.8
237,2016-03-23,65.35
238,2016-03-24,61.65
239,2016-03-28,61.1
240,2016-03-29,60.0
241,2016-03-30,63.1
242,2016-03-31,60.35
243,2016-04-01,63.6
244,2016-04-04,67.45
245,2016-04-05,69.85
246,2016-04-06,67.25
247,2016-04-07,72.85
248,2016-04-08,73.25
249,2016-04-11,70.8
250,2016-04-12,67.65
251,2016-04-13,65.4
252,2016-04-14,66.9
253,2016-04-15,66.0
254,2016-04-18,68.05
255,2016-04-19,69.05
256,2016-04-20,67.15
257,2016-04-21,66.95
258,2016-04-22,72.45
259,2016-04-25,71.4
260,2016-04-26,78.5
261,2016-04-27,73.55
262,2016-04-28,68.45
263,2016-04-29,67.65
264,2016-05-02,65.05
265,2016-05-03,64.25
266,2016-05-04,60.2
267,2016-05-05,59.75
268,2016-05-06,59.45
269,2016-05-09,58.7
270,2016-05-10,60.8
271,2016-05-11,58.5
272,2016-05-12,54.15
273,2016-05-13,51.2
274,2016-05-16,37.5
275,2016-05-17,43.15
276,2016-05-18,47.15
277,2016-05-19,51.05
278,2016-05-20,49.1
279,2016-05-23,52.05
280,2016-05-24,55.15
281,2016-05-25,54.75
282,2016-05-26,54.45
283,2016-05-27,56.3
284,2016-05-31,59.0
285,2016-06-01,60.9
286,2016-06-02,61.15
287,2016-06-03,61.05
288,2016-06-06,59.1
289,2016-06-07,62.1
290,2016-06-08,61.35
291,2016-06-09,62.8
292,2016-06-10,61.1
293,2016-06-13,59.35
294,2016-06-14,59.2
295,2016-06-15,59.35
296,2016-06-16,58.95
297,2016-06-17,58.15
298,2016-06-20,57.5
299,2016-06-21,57.8
300,2016-06-22,55.1
301,2016-06-23,51.75
302,2016-06-24,51.35
303,2016-06-27,50.0
304,2016-06-28,50.45
305,2016-06-29,54.1
306,2016-06-30,55.4
307,2016-07-01,56.15
308,2016-07-05,58.05
309,2016-07-06,59.95
310,2016-07-07,62.4
311,2016-07-08,62.4
312,2016-07-11,63.95
313,2016-07-12,64.55
314,2016-07-13,65.1
315,2016-07-14,63.1
316,2016-07-15,62.95
317,2016-07-18,65.5
318,2016-07-19,66.7
319,2016-07-20,63.4
320,2016-07-21,67.0
321,2016-07-22,68.4
322,2016-07-25,69.9
323,2016-07-26,70.45
324,2016-07-27,71.8
325,2016-07-28,73.6
326,2016-07-29,74.0
327,2016-08-01,73.05
328,2016-08-02,74.35
329,2016-08-03,72.15
330,2016-08-04,75.95
331,2016-08-05,75.85
332,2016-08-08,78.25
333,2016-08-09,78.0
334,2016-08-10,79.35
335,2016-08-11,77.05
336,2016-08-12,76.25
337,2016-08-15,78.95
338,2016-08-16,79.6
339,2016-08-17,75.85
340,2016-08-18,75.4
341,2016-08-19,75.7
342,2016-08-22,75.85
343,2016-08-23,76.15
344,2016-08-24,76.5
345,2016-08-25,72.75
346,2016-08-26,68.7
347,2016-08-29,67.1
348,2016-08-30,68.75
349,2016-08-31,69.8
350,2016-09-01,70.4
351,2016-09-02,71.4
352,2016-09-06,72.95
353,2016-09-07,77.8
354,2016-09-08,73.75
355,2016-09-09,73.2
356,2016-09-12,68.95
357,2016-09-13,70.7
358,2016-09-14,68.55
359,2016-09-15,68.05
360,2016-09-16,69.9
361,2016-09-19,73.65
362,2016-09-20,73.5
363,2016-09-21,73.3
