,date,open
0,2015-04-16,188.0
1,2015-04-17,176.96
2,2015-04-20,180.0
3,2015-04-21,177.76
4,2015-04-22,176.8
5,2015-04-23,178.56
6,2015-04-24,176.0
7,2015-04-27,177.28
8,2015-04-28,176.0
9,2015-04-29,176.16
10,2015-04-30,177.76
11,2015-05-01,177.28
12,2015-05-04,182.08
13,2015-05-05,180.8
14,2015-05-06,181.6
15,2015-05-07,180.48
16,2015-05-08,183.024
17,2015-05-11,199.68
18,2015-05-12,200.16
19,2015-05-13,184.8
20,2015-05-14,193.6
21,2015-05-15,200.32
22,2015-05-18,197.92
23,2015-05-19,195.84
24,2015-05-20,182.08
25,2015-05-21,182.4
26,2015-05-22,188.32
27,2015-05-26,186.56
28,2015-05-27,190.4
29,2015-05-28,180.32
30,2015-05-29,181.44
31,2015-06-01,196.32
32,2015-06-02,211.04
33,2015-06-03,201.6
34,2015-06-04,209.12
35,2015-06-05,229.44
36,2015-06-08,230.24
37,2015-06-09,237.12
38,2015-06-10,235.04
39,2015-06-11,256.16
40,2015-06-12,257.92
41,2015-06-15,268.96
42,2015-06-16,271.84
43,2015-06-17,260.32
44,2015-06-18,293.44
45,2015-06-19,308.0
46,2015-06-22,293.6
47,2015-06-23,308.64
48,2015-06-24,311.84
49,2015-06-25,293.44
50,2015-06-26,290.224
51,2015-06-29,302.3984
52,2015-06-30,295.36
53,2015-07-01,290.544
54,2015-07-02,284.16
55,2015-07-06,284.0
56,2015-07-07,277.6
57,2015-07-08,274.4
58,2015-07-09,279.2
59,2015-07-10,290.56
60,2015-07-13,292.32
61,2015-07-14,296.8
62,2015-07-15,305.12
63,2015-07-16,289.76
64,2015-07-17,304.48
65,2015-07-20,296.96
66,2015-07-21,288.0
67,2015-07-22,287.68
68,2015-07-23,286.4
69,2015-07-24,287.04
70,2015-07-27,280.0
71,2015-07-28,274.4
72,2015-07-29,272.0
73,2015-07-30,264.48
74,2015-07-31,264.16
75,2015-08-03,270.72
76,2015-08-04,256.32
77,2015-08-05,250.4
78,2015-08-06,249.92
79,2015-08-07,252.48
80,2015-08-10,252.16
81,2015-08-11,254.56
82,2015-08-12,258.72
83,2015-08-13,276.16
84,2015-08-14,336.0
85,2015-08-17,343.2
86,2015-08-18,363.68
87,2015-08-19,349.28
88,2015-08-20,339.68
89,2015-08-21,331.04
90,2015-08-24,305.76
91,2015-08-25,305.28
92,2015-08-26,308.8
93,2015-08-27,310.72
94,2015-08-28,312.64
95,2015-08-31,307.76
96,2015-09-01,308.48
97,2015-09-02,324.0
98,2015-09-03,316.64
99,2015-09-04,313.44
100,2015-09-08,330.72
101,2015-09-09,346.56
102,2015-09-10,332.8
103,2015-09-11,347.2
104,2015-09-14,354.88
105,2015-09-15,358.88
106,2015-09-16,361.12
107,2015-09-17,357.44
108,2015-09-18,362.88
109,2015-09-21,380.64
110,2015-09-22,357.12
111,2015-09-23,360.16
112,2015-09-24,354.4
113,2015-09-25,347.36
114,2015-09-28,323.84
115,2015-09-29,292.16
116,2015-09-30,300.0
117,2015-10-01,308.48
118,2015-10-02,296.0
119,2015-10-05,310.4
120,2015-10-06,308.32
121,2015-10-07,306.4
122,2015-10-08,284.16
123,2015-10-09,305.28
124,2015-10-12,303.36
125,2015-10-13,291.2
126,2015-10-14,276.96
127,2015-10-15,263.84
128,2015-10-16,291.84
129,2015-10-19,270.24
130,2015-10-20,264.0
131,2015-10-21,246.4
132,2015-10-22,236.32
133,2015-10-23,217.6
134,2015-10-26,236.0
135,2015-10-27,233.12
136,2015-10-28,234.24
137,2015-10-29,250.24
138,2015-10-30,257.12
139,2015-11-02,254.0
140,2015-11-03,272.0
141,2015-11-04,269.6016
142,2015-11-05,273.92
143,2015-11-06,260.64
144,2015-11-09,261.6
145,2015-11-10,259.2
146,2015-11-11,255.04
147,2015-11-12,256.0
148,2015-11-13,242.56
149,2015-11-16,227.52
150,2015-11-17,220.32
151,2015-11-18,223.04
152,2015-11-19,232.0
153,2015-11-20,226.08
154,2015-11-23,244.96
155,2015-11-24,249.12
156,2015-11-25,259.68
157,2015-11-27,272.0
158,2015-11-30,268.96
159,2015-12-01,278.72
160,2015-12-02,267.04
161,2015-12-03,272.16
162,2015-12-04,280.0
