,date,open
0,2018-05-24,24.45
1,2018-05-25,19.21
2,2018-05-29,19.45
3,2018-05-30,17.27
4,2018-05-31,17.25
5,2018-06-01,17.85
6,2018-06-04,18.1
7,2018-06-05,18.33
8,2018-06-06,18.3
9,2018-06-07,17.74
10,2018-06-08,17.39
11,2018-06-11,17.67
12,2018-06-12,17.9
13,2018-06-13,18.32
14,2018-06-14,18.23
15,2018-06-15,18.9
16,2018-06-18,18.3
17,2018-06-19,17.59
18,2018-06-20,19.2
19,2018-06-21,20.5
20,2018-06-22,19.41
21,2018-06-25,19.07
22,2018-06-26,17.95
23,2018-06-27,17.6
24,2018-06-28,16.71
25,2018-06-29,16.74
26,2018-07-02,17.39
27,2018-07-03,16.9
28,2018-07-05,16.89
29,2018-07-06,16.71
30,2018-07-09,16.75
31,2018-07-10,17.05
32,2018-07-11,16.9
33,2018-07-12,16.78
34,2018-07-13,16.75
35,2018-07-16,16.1
36,2018-07-17,15.88
37,2018-07-18,15.41
38,2018-07-19,15.43
39,2018-07-20,15.6
40,2018-07-23,15.84
41,2018-07-24,15.94
42,2018-07-25,15.53
43,2018-07-26,15.45
44,2018-07-27,13.97
45,2018-07-30,13.2
46,2018-07-31,13.53
47,2018-08-01,14.01
48,2018-08-02,13.95
49,2018-08-03,13.95
50,2018-08-06,13.41
51,2018-08-07,13.93
52,2018-08-08,13.89
53,2018-08-09,14.06
54,2018-08-10,14.1
55,2018-08-13,14.2375
56,2018-08-14,14.61
57,2018-08-15,15.5
58,2018-08-16,16.18
59,2018-08-17,16.4
60,2018-08-20,15.86
61,2018-08-21,16.98
62,2018-08-22,17.27
63,2018-08-23,17.43
64,2018-08-24,17.01
65,2018-08-27,17.53
66,2018-08-28,18.47
67,2018-08-29,19.48
68,2018-08-30,21.5
69,2018-08-31,21.52
70,2018-09-04,22.0
71,2018-09-05,24.0
72,2018-09-06,24.03
73,2018-09-07,26.45
74,2018-09-10,26.98
75,2018-09-11,29.29
76,2018-09-12,26.06
77,2018-09-13,25.78
78,2018-09-14,25.05
79,2018-09-17,27.85
80,2018-09-18,27.73
81,2018-09-19,27.58
82,2018-09-20,29.29
83,2018-09-21,30.93
84,2018-09-24,29.72
85,2018-09-25,29.14
86,2018-09-26,29.11
87,2018-09-27,27.65
88,2018-09-28,26.08
89,2018-10-01,25.81
90,2018-10-02,23.88
91,2018-10-03,23.87
92,2018-10-04,22.47
93,2018-10-05,22.24
94,2018-10-08,21.11
95,2018-10-09,20.42
96,2018-10-10,20.21
97,2018-10-11,19.01
98,2018-10-12,19.3
99,2018-10-15,18.9
100,2018-10-16,20.0
101,2018-10-17,21.46
102,2018-10-18,21.54
103,2018-10-19,20.95
104,2018-10-22,22.4
105,2018-10-23,22.41
106,2018-10-24,20.86
107,2018-10-25,19.28
108,2018-10-26,19.69
109,2018-10-29,20.73
110,2018-10-30,18.98
111,2018-10-31,19.14
112,2018-11-01,19.68
113,2018-11-02,20.31
114,2018-11-05,21.44
115,2018-11-06,20.73
116,2018-11-07,20.22
