,date,open
0,2020-12-03,40.0
1,2020-12-04,37.35
2,2020-12-07,42.3
3,2020-12-08,44.75
4,2020-12-09,45.0
5,2020-12-10,44.51
6,2020-12-11,44.3
7,2020-12-14,40.81
8,2020-12-15,39.89
9,2020-12-16,36.61
10,2020-12-17,35.81
11,2020-12-18,39.17
12,2020-12-21,38.09
13,2020-12-22,36.9
14,2020-12-23,38.01
15,2020-12-24,37.35
16,2020-12-28,40.29
17,2020-12-29,40.44
18,2020-12-30,38.66
19,2020-12-31,39.15
20,2021-01-04,40.1
21,2021-01-05,36.79
22,2021-01-06,36.8
23,2021-01-07,37.14
24,2021-01-08,36.8
25,2021-01-11,36.8
26,2021-01-12,38.33
27,2021-01-13,39.54
28,2021-01-14,39.79
29,2021-01-15,40.05
30,2021-01-19,39.8
31,2021-01-20,38.12
32,2021-01-21,38.0
33,2021-01-22,37.48
34,2021-01-25,37.0
35,2021-01-26,37.49
36,2021-01-27,36.08
37,2021-01-28,35.4
38,2021-01-29,34.28
39,2021-02-01,33.05
40,2021-02-02,34.47
41,2021-02-03,34.56
42,2021-02-04,34.44
43,2021-02-05,35.44
44,2021-02-08,37.96
45,2021-02-09,36.21
46,2021-02-10,38.21
47,2021-02-11,37.455
48,2021-02-12,37.01
49,2021-02-16,35.7
50,2021-02-17,35.0
51,2021-02-18,35.07
52,2021-02-19,33.5
53,2021-02-22,32.58
54,2021-02-23,31.68
55,2021-02-24,29.76
56,2021-02-25,34.0
57,2021-02-26,34.11
58,2021-03-01,34.31
59,2021-03-02,34.45
60,2021-03-03,32.81
61,2021-03-04,33.0
62,2021-03-05,29.81
63,2021-03-08,32.79
64,2021-03-09,33.9
65,2021-03-10,35.0
66,2021-03-11,35.67
67,2021-03-12,36.93
68,2021-03-15,36.85
69,2021-03-16,35.25
70,2021-03-17,35.84
71,2021-03-18,37.0
72,2021-03-19,36.44
73,2021-03-22,35.28
74,2021-03-23,30.66
75,2021-03-24,30.45
76,2021-03-25,26.97
77,2021-03-26,29.52
78,2021-03-29,28.58
79,2021-03-30,27.67
80,2021-03-31,29.27
81,2021-04-01,31.73
82,2021-04-05,31.38
83,2021-04-06,30.72
84,2021-04-07,30.37
85,2021-04-08,29.11
86,2021-04-09,31.38
87,2021-04-12,31.55
88,2021-04-13,30.13
89,2021-04-14,28.52
90,2021-04-15,30.88
91,2021-04-16,31.64
92,2021-04-19,28.78
93,2021-04-20,27.29
94,2021-04-21,26.88
95,2021-04-22,27.015
96,2021-04-23,26.51
97,2021-04-26,26.7
98,2021-04-27,26.91
99,2021-04-28,26.79
100,2021-04-29,27.07
101,2021-04-30,26.14
102,2021-05-03,26.88
103,2021-05-04,27.65
104,2021-05-05,24.88
105,2021-05-06,25.0
106,2021-05-07,23.94
107,2021-05-10,24.44
108,2021-05-11,22.64
109,2021-05-12,23.22
110,2021-05-13,23.81
111,2021-05-14,22.53
112,2021-05-17,22.78
113,2021-05-18,23.18
114,2021-05-19,25.06
115,2021-05-20,23.93
116,2021-05-21,24.8
117,2021-05-24,22.62
118,2021-05-25,22.62
119,2021-05-26,22.73
120,2021-05-27,23.23
121,2021-05-28,23.95
122,2021-06-01,23.75
123,2021-06-02,23.08
124,2021-06-03,22.9
125,2021-06-04,21.5
126,2021-06-07,23.28
127,2021-06-08,23.62
128,2021-06-09,24.75
129,2021-06-10,24.16
130,2021-06-11,24.29
131,2021-06-14,24.58
132,2021-06-15,24.43
133,2021-06-16,23.2385
134,2021-06-17,23.73
135,2021-06-18,24.25
136,2021-06-21,23.91
137,2021-06-22,22.755
138,2021-06-23,23.33
139,2021-06-24,24.32
140,2021-06-25,24.27
141,2021-06-28,25.01
142,2021-06-29,24.36
143,2021-06-30,23.69
144,2021-07-01,23.5
145,2021-07-02,23.8
146,2021-07-06,23.82
147,2021-07-07,22.64
148,2021-07-08,21.67
149,2021-07-09,22.11
150,2021-07-12,22.46
151,2021-07-13,22.77
152,2021-07-14,23.0
153,2021-07-15,20.93
154,2021-07-16,21.38
155,2021-07-19,20.62
156,2021-07-20,21.63
157,2021-07-21,21.69
158,2021-07-22,21.76
159,2021-07-23,21.56
160,2021-07-26,21.94
161,2021-07-27,21.46
162,2021-07-28,21.73
163,2021-07-29,22.04
164,2021-07-30,21.79
165,2021-08-02,22.12
166,2021-08-03,21.54
167,2021-08-04,19.8
168,2021-08-05,19.69
169,2021-08-06,20.44
170,2021-08-09,21.59
171,2021-08-10,20.79
172,2021-08-11,21.17
173,2021-08-12,20.27
174,2021-08-13,20.2
175,2021-08-16,20.63
176,2021-08-17,18.12
177,2021-08-18,17.97
178,2021-08-19,17.94
179,2021-08-20,17.76
180,2021-08-23,18.87
181,2021-08-24,20.25
182,2021-08-25,20.02
183,2021-08-26,20.15
184,2021-08-27,20.57
185,2021-08-30,21.61
186,2021-08-31,22.01
187,2021-09-01,22.17
188,2021-09-02,23.51
189,2021-09-03,23.5
190,2021-09-07,23.85
191,2021-09-08,23.3
192,2021-09-09,22.78
193,2021-09-10,22.425
194,2021-09-13,23.91
195,2021-09-14,22.58
196,2021-09-15,22.55
197,2021-09-16,23.24
198,2021-09-17,24.33
199,2021-09-20,23.51
200,2021-09-21,21.31
201,2021-09-22,22.47
202,2021-09-23,24.07
203,2021-09-24,23.12
204,2021-09-27,23.34
205,2021-09-28,24.79
206,2021-09-29,24.2
207,2021-09-30,23.43
208,2021-10-01,23.11
209,2021-10-04,24.41
210,2021-10-05,24.42
211,2021-10-06,24.93
212,2021-10-07,22.75
213,2021-10-08,22.67
214,2021-10-11,20.73
215,2021-10-12,20.85
216,2021-10-13,21.16
217,2021-10-14,22.25
218,2021-10-15,23.67
219,2021-10-18,22.84
220,2021-10-19,21.7
221,2021-10-20,22.32
222,2021-10-21,22.3
223,2021-10-22,23.14
224,2021-10-25,22.81
225,2021-10-26,23.4
226,2021-10-27,23.58
227,2021-10-28,23.49
228,2021-10-29,24.02
229,2021-11-01,23.77
230,2021-11-02,24.97
231,2021-11-03,24.83
232,2021-11-04,24.78
233,2021-11-05,25.28
234,2021-11-08,25.9
235,2021-11-09,25.16
236,2021-11-10,24.59
237,2021-11-11,23.96
238,2021-11-12,23.65
239,2021-11-15,22.77
240,2021-11-16,22.01
241,2021-11-17,22.12
242,2021-11-18,22.0
243,2021-11-19,21.42
244,2021-11-22,21.36
245,2021-11-23,20.05
246,2021-11-24,19.79
247,2021-11-26,19.72
248,2021-11-29,19.62
249,2021-11-30,19.21
250,2021-12-01,20.42
251,2021-12-02,18.68
252,2021-12-03,20.06
253,2021-12-06,19.64
254,2021-12-07,19.28
255,2021-12-08,19.69
256,2021-12-09,19.47
257,2021-12-10,18.08
258,2021-12-13,17.6
259,2021-12-14,16.93
260,2021-12-15,16.9
261,2021-12-16,17.89
262,2021-12-17,16.69
263,2021-12-20,16.75
264,2021-12-21,17.3
265,2021-12-22,17.22
266,2021-12-23,16.64
267,2021-12-27,18.34
268,2021-12-28,17.66
269,2021-12-29,18.31
270,2021-12-30,17.45
271,2021-12-31,17.94
272,2022-01-03,17.43
273,2022-01-04,17.87
274,2022-01-05,16.64
275,2022-01-06,16.31
276,2022-01-07,15.45
277,2022-01-10,14.9
278,2022-01-11,15.08
279,2022-01-12,15.77
280,2022-01-13,15.02
281,2022-01-14,14.61
282,2022-01-18,15.17
283,2022-01-19,15.23
284,2022-01-20,12.94
285,2022-01-21,12.55
286,2022-01-24,12.22
287,2022-01-25,12.13
288,2022-01-26,12.37
289,2022-01-27,11.78
290,2022-01-28,10.82
291,2022-01-31,10.2
292,2022-02-01,10.98
293,2022-02-02,11.26
294,2022-02-03,9.77
295,2022-02-04,9.47
296,2022-02-07,9.91
297,2022-02-08,10.07
298,2022-02-09,10.32
299,2022-02-10,10.43
300,2022-02-11,10.08
301,2022-02-14,10.13
302,2022-02-15,9.62
303,2022-02-16,10.46
304,2022-02-17,10.71
305,2022-02-18,9.11
306,2022-02-22,8.76
307,2022-02-23,9.16
308,2022-02-24,8.14
309,2022-02-25,8.61
310,2022-02-28,8.13
311,2022-03-01,7.77
312,2022-03-02,7.98
313,2022-03-03,8.11
314,2022-03-04,7.71
315,2022-03-07,7.74
316,2022-03-08,7.91
317,2022-03-09,8.64
