,date,open
0,2013-11-06,17.86
1,2013-11-07,16.0
2,2013-11-08,15.9
3,2013-11-11,16.62
4,2013-11-12,16.02
5,2013-11-13,16.0
6,2013-11-14,16.0
7,2013-11-15,16.05
8,2013-11-18,16.01
9,2013-11-19,16.03
10,2013-11-20,16.0
11,2013-11-21,16.09
12,2013-11-22,16.06
13,2013-11-25,16.02
14,2013-11-26,16.0
15,2013-11-27,16.0
16,2013-11-29,16.23
17,2013-12-02,16.62
18,2013-12-03,16.3
19,2013-12-04,16.2
20,2013-12-05,16.11
21,2013-12-06,16.09
22,2013-12-09,17.76
23,2013-12-10,18.51
24,2013-12-11,18.11
25,2013-12-12,17.79
26,2013-12-13,18.3499
27,2013-12-16,20.17
28,2013-12-17,21.3
29,2013-12-18,23.31
30,2013-12-19,23.82
31,2013-12-20,24.0
32,2013-12-23,25.24
33,2013-12-24,23.8
34,2013-12-26,23.56
35,2013-12-27,22.54
36,2013-12-30,21.88
37,2013-12-31,22.2
38,2014-01-02,23.93
39,2014-01-03,23.12
40,2014-01-06,22.99
41,2014-01-07,21.56
42,2014-01-08,22.72
43,2014-01-09,22.29
44,2014-01-10,21.82
45,2014-01-13,21.4
46,2014-01-14,21.55
47,2014-01-15,23.17
48,2014-01-16,24.28
49,2014-01-17,25.88
50,2014-01-21,27.32
51,2014-01-22,27.59
52,2014-01-23,31.79
53,2014-01-24,31.02
54,2014-01-27,30.53
55,2014-01-28,29.77
56,2014-01-29,30.0
57,2014-01-30,31.42
58,2014-01-31,32.64
59,2014-02-03,33.64
60,2014-02-04,34.11
61,2014-02-05,33.99
62,2014-02-06,31.84
63,2014-02-07,31.81
64,2014-02-10,32.24
65,2014-02-11,33.95
66,2014-02-12,34.9
67,2014-02-13,35.19
68,2014-02-14,36.99
69,2014-02-18,36.3
70,2014-02-19,35.95
71,2014-02-20,35.4
72,2014-02-21,37.34
73,2014-02-24,37.64
74,2014-02-25,39.71
75,2014-02-26,40.39
76,2014-02-27,41.21
77,2014-02-28,41.51
78,2014-03-03,39.88
79,2014-03-04,40.04
80,2014-03-05,43.93
81,2014-03-06,41.29
82,2014-03-07,43.33
83,2014-03-10,42.31
84,2014-03-11,43.12
85,2014-03-12,41.25
86,2014-03-13,40.74
87,2014-03-14,39.61
88,2014-03-17,40.54
89,2014-03-18,40.68
90,2014-03-19,42.97
91,2014-03-20,42.18
92,2014-03-21,42.95
93,2014-03-24,42.01
94,2014-03-25,36.45
95,2014-03-26,35.43
96,2014-03-27,32.01
97,2014-03-28,31.56
98,2014-03-31,31.33
99,2014-04-01,31.19
100,2014-04-02,32.12
101,2014-04-03,32.52
102,2014-04-04,32.14
103,2014-04-07,29.52
104,2014-04-08,29.35
105,2014-04-09,33.33
106,2014-04-10,36.63
107,2014-04-11,34.73
108,2014-04-14,34.57
109,2014-04-15,34.51
110,2014-04-16,32.74
111,2014-04-17,32.4
112,2014-04-21,31.31
113,2014-04-22,29.88
114,2014-04-23,28.1
115,2014-04-24,28.51
116,2014-04-25,27.51
117,2014-04-28,25.62
118,2014-04-29,25.19
119,2014-04-30,26.24
120,2014-05-01,26.64
121,2014-05-02,26.9
122,2014-05-05,26.5
123,2014-05-06,28.73
124,2014-05-07,27.85
125,2014-05-08,26.03
126,2014-05-09,25.76
127,2014-05-12,26.71
128,2014-05-13,27.8
129,2014-05-14,26.39
130,2014-05-15,26.61
131,2014-05-16,26.0
132,2014-05-19,26.22
133,2014-05-20,26.51
134,2014-05-21,26.32
135,2014-05-22,26.43
136,2014-05-23,25.99
137,2014-05-27,26.76
138,2014-05-28,27.45
139,2014-05-29,27.01
140,2014-05-30,25.95
141,2014-06-02,27.29
142,2014-06-03,26.29
143,2014-06-04,25.91
144,2014-06-05,26.6
145,2014-06-06,26.74
146,2014-06-09,25.0
147,2014-06-10,25.05
148,2014-06-11,24.35
149,2014-06-12,24.56
150,2014-06-13,24.5
151,2014-06-16,43.44
152,2014-06-17,39.5
