,date,open
0,2015-11-05,8.0
1,2015-11-06,7.8
2,2015-11-09,8.23
3,2015-11-10,8.71
4,2015-11-11,8.2
5,2015-11-12,8.54
6,2015-11-13,8.79
7,2015-11-16,8.4
8,2015-11-17,8.35
9,2015-11-18,7.6
10,2015-11-19,7.47
11,2015-11-20,7.72
12,2015-11-23,7.98
13,2015-11-24,8.0
14,2015-11-25,7.998
15,2015-11-27,7.96
16,2015-11-30,7.99
17,2015-12-01,7.5001
18,2015-12-02,7.9
19,2015-12-03,7.75
20,2015-12-04,7.96
21,2015-12-07,7.98
22,2015-12-08,7.2511
23,2015-12-09,7.47
24,2015-12-10,7.63
25,2015-12-11,7.3701
26,2015-12-14,7.85
27,2015-12-15,8.36
28,2015-12-16,8.7
29,2015-12-17,8.11
30,2015-12-18,8.01
31,2015-12-21,7.54
32,2015-12-22,7.57
33,2015-12-23,7.332
34,2015-12-24,7.22
35,2015-12-28,7.01
36,2015-12-29,6.96
37,2015-12-30,7.26
38,2015-12-31,7.75
39,2016-01-04,8.58
40,2016-01-05,8.9
41,2016-01-06,8.15
42,2016-01-07,7.02
43,2016-01-08,6.89
44,2016-01-11,7.02
45,2016-01-12,7.08
46,2016-01-13,7.1
47,2016-01-14,6.767
48,2016-01-15,6.5
49,2016-01-19,6.55
50,2016-01-20,5.7
51,2016-01-21,4.66
52,2016-01-22,5.35
53,2016-01-25,5.3
54,2016-01-26,5.22
55,2016-01-27,5.16
56,2016-01-28,4.78
57,2016-01-29,4.61
58,2016-02-01,5.18
59,2016-02-02,4.59
60,2016-02-03,4.52
61,2016-02-04,4.3
62,2016-02-05,4.0
63,2016-02-08,3.61
64,2016-02-09,3.6
65,2016-02-10,3.66
66,2016-02-11,3.61
67,2016-02-12,3.52
68,2016-02-16,3.6
69,2016-02-17,3.7299
70,2016-02-18,4.0
71,2016-02-19,4.05
72,2016-02-22,4.31
73,2016-02-23,4.78
74,2016-02-24,4.51
75,2016-02-25,4.72
76,2016-02-26,4.89
77,2016-02-29,4.5301
78,2016-03-01,4.15
79,2016-03-02,4.18
80,2016-03-03,4.2
81,2016-03-04,4.26
82,2016-03-07,4.67
83,2016-03-08,4.43
84,2016-03-09,4.47
85,2016-03-10,4.43
86,2016-03-11,4.37
87,2016-03-14,4.23
88,2016-03-15,3.84
89,2016-03-16,4.07
90,2016-03-17,4.37
91,2016-03-18,4.49
92,2016-03-21,4.38
93,2016-03-22,4.3
94,2016-03-23,3.95
