,date,open
0,2018-06-21,20.0
1,2018-06-22,17.81
2,2018-06-25,17.44
3,2018-06-26,17.2
4,2018-06-27,17.93
5,2018-06-28,17.73
6,2018-06-29,17.4
7,2018-07-02,17.21
8,2018-07-03,17.3
9,2018-07-05,17.3
10,2018-07-06,17.6965
11,2018-07-09,17.45
12,2018-07-10,17.051
13,2018-07-11,17.375
14,2018-07-12,17.49
15,2018-07-13,16.27
16,2018-07-16,16.03
17,2018-07-17,16.42
18,2018-07-18,16.4
19,2018-07-19,16.54
20,2018-07-20,16.39
21,2018-07-23,16.39
22,2018-07-24,16.1
23,2018-07-25,16.06
24,2018-07-26,16.11
25,2018-07-27,15.84
26,2018-07-30,15.6088
27,2018-07-31,15.35
28,2018-08-01,16.74
29,2018-08-02,15.85
30,2018-08-03,16.22
31,2018-08-06,16.41
32,2018-08-07,16.42
33,2018-08-08,16.35
34,2018-08-09,16.245
35,2018-08-10,15.81
36,2018-08-13,16.51
37,2018-08-14,16.11
38,2018-08-15,17.0
39,2018-08-16,16.72
40,2018-08-17,16.62
41,2018-08-20,16.75
42,2018-08-21,16.6961
43,2018-08-22,16.76
44,2018-08-23,16.27
45,2018-08-24,16.8
46,2018-08-27,17.4
47,2018-08-28,17.25
48,2018-08-29,17.11
49,2018-08-30,17.15
50,2018-08-31,17.53
51,2018-09-04,17.24
52,2018-09-05,17.1
53,2018-09-06,16.91
54,2018-09-07,18.3
55,2018-09-10,19.07
56,2018-09-11,18.48
57,2018-09-12,19.36
58,2018-09-13,20.93
59,2018-09-14,19.7
60,2018-09-17,20.63
61,2018-09-18,19.73
62,2018-09-19,19.89
63,2018-09-20,19.39
64,2018-09-21,20.22
65,2018-09-24,19.77
66,2018-09-25,20.59
67,2018-09-26,20.6126
68,2018-09-27,19.99
69,2018-09-28,20.73
70,2018-10-01,21.41
71,2018-10-02,21.13
72,2018-10-03,20.67
73,2018-10-04,20.16
74,2018-10-05,20.76
75,2018-10-08,20.88
76,2018-10-09,21.75
77,2018-10-10,22.81
78,2018-10-11,23.14
79,2018-10-12,22.02
80,2018-10-15,22.25
81,2018-10-16,23.59
82,2018-10-17,22.74
83,2018-10-18,23.51
84,2018-10-19,25.39
85,2018-10-22,25.29
86,2018-10-23,25.31
87,2018-10-24,24.7
88,2018-10-25,23.56
89,2018-10-26,23.93
90,2018-10-29,25.14
91,2018-10-30,24.11
92,2018-10-31,25.78
93,2018-11-01,24.0
94,2018-11-02,24.18
95,2018-11-05,25.06
96,2018-11-06,23.61
