,date,open
0,2020-06-05,37.0
1,2020-06-08,36.0
2,2020-06-09,36.0
3,2020-06-10,37.58
4,2020-06-11,36.7
5,2020-06-12,36.7
6,2020-06-15,37.86
7,2020-06-16,38.9
8,2020-06-17,38.66
9,2020-06-18,37.11
10,2020-06-19,39.59
11,2020-06-22,40.12
12,2020-06-23,42.07
13,2020-06-24,40.44
14,2020-06-25,40.03
15,2020-06-26,40.84
16,2020-06-29,40.01
17,2020-06-30,41.99
18,2020-07-01,43.0
19,2020-07-02,39.67
20,2020-07-06,40.16
21,2020-07-07,38.62
22,2020-07-08,37.17
23,2020-07-09,40.97
24,2020-07-10,39.57
25,2020-07-13,38.7
26,2020-07-14,37.37
27,2020-07-15,38.0
28,2020-07-16,36.82
29,2020-07-17,35.28
30,2020-07-20,35.42
31,2020-07-21,35.85
32,2020-07-22,36.35
33,2020-07-23,36.51
34,2020-07-24,36.78
35,2020-07-27,36.26
36,2020-07-28,35.69
37,2020-07-29,35.4
38,2020-07-30,36.13
39,2020-07-31,35.5
40,2020-08-03,35.0
41,2020-08-04,33.83
42,2020-08-05,34.43
43,2020-08-06,34.16
44,2020-08-07,33.09
45,2020-08-10,32.0
46,2020-08-11,31.33
47,2020-08-12,31.04
48,2020-08-13,31.27
49,2020-08-14,31.12
50,2020-08-17,31.4
51,2020-08-18,32.67
52,2020-08-19,32.9
53,2020-08-20,32.01
54,2020-08-21,35.3
55,2020-08-24,36.49
56,2020-08-25,34.7
57,2020-08-26,34.01
58,2020-08-27,34.36
59,2020-08-28,34.0
60,2020-08-31,34.0
61,2020-09-01,34.0
62,2020-09-02,32.83
63,2020-09-03,31.96
64,2020-09-04,30.0
65,2020-09-08,30.0
66,2020-09-09,28.77
67,2020-09-10,29.94
68,2020-09-11,30.77
69,2020-09-14,31.0
70,2020-09-15,32.61
71,2020-09-16,32.35
72,2020-09-17,31.99
73,2020-09-18,33.08
74,2020-09-21,25.86
75,2020-09-22,27.5
76,2020-09-23,29.15
77,2020-09-24,28.9
78,2020-09-25,28.77
79,2020-09-28,31.08
80,2020-09-29,30.94
81,2020-09-30,30.91
82,2020-10-01,30.88
83,2020-10-02,30.22
84,2020-10-05,30.58
85,2020-10-06,30.89
86,2020-10-07,30.14
87,2020-10-08,30.5
88,2020-10-09,29.73
89,2020-10-12,30.6
90,2020-10-13,29.3
91,2020-10-14,29.76
92,2020-10-15,29.36
93,2020-10-16,29.74
94,2020-10-19,28.0
95,2020-10-20,27.3
96,2020-10-21,27.19
97,2020-10-22,26.47
