,date,open
0,2021-06-17,18.75
1,2021-06-18,16.26
2,2021-06-21,16.1
3,2021-06-22,16.74
4,2021-06-23,16.36
5,2021-06-24,16.58
6,2021-06-25,15.9
7,2021-06-28,15.9053
8,2021-06-29,16.47
9,2021-06-30,16.2
10,2021-07-01,16.1
11,2021-07-02,15.95
12,2021-07-06,16.03
13,2021-07-07,15.46
14,2021-07-08,15.11
15,2021-07-09,15.21
16,2021-07-12,16.0
17,2021-07-13,16.01
18,2021-07-14,16.1
19,2021-07-15,16.64
20,2021-07-16,16.12
21,2021-07-19,16.71
22,2021-07-20,16.53
23,2021-07-21,16.83
24,2021-07-22,15.77
25,2021-07-23,15.57
26,2021-07-26,14.5
27,2021-07-27,14.66
28,2021-07-28,14.46
29,2021-07-29,13.62
30,2021-07-30,13.93
31,2021-08-02,15.77
32,2021-08-03,14.79
33,2021-08-04,15.55
34,2021-08-05,15.74
35,2021-08-06,16.27
36,2021-08-09,15.76
37,2021-08-10,14.91
38,2021-08-11,14.89
39,2021-08-12,14.5
40,2021-08-13,14.34
41,2021-08-16,14.83
42,2021-08-17,14.06
43,2021-08-18,14.66
44,2021-08-19,14.84
45,2021-08-20,14.51
46,2021-08-23,15.28
47,2021-08-24,15.65
48,2021-08-25,15.47
49,2021-08-26,15.51
50,2021-08-27,15.33
51,2021-08-30,16.33
52,2021-08-31,15.87
53,2021-09-01,15.78
54,2021-09-02,16.19
55,2021-09-03,16.7
56,2021-09-07,16.71
57,2021-09-08,16.96
58,2021-09-09,16.85
59,2021-09-10,17.06
60,2021-09-13,17.75
61,2021-09-14,15.88
62,2021-09-15,14.51
63,2021-09-16,13.41
64,2021-09-17,12.0
65,2021-09-20,11.52
66,2021-09-21,11.11
67,2021-09-22,11.0
68,2021-09-23,11.28
69,2021-09-24,11.3
70,2021-09-27,11.99
71,2021-09-28,12.84
72,2021-09-29,13.92
73,2021-09-30,14.56
74,2021-10-01,14.5
75,2021-10-04,13.28
76,2021-10-05,13.04
77,2021-10-06,12.08
78,2021-10-07,11.55
79,2021-10-08,12.5
80,2021-10-11,12.86
81,2021-10-12,12.29
82,2021-10-13,13.07
83,2021-10-14,13.01
84,2021-10-15,13.65
85,2021-10-18,13.19
86,2021-10-19,13.23
87,2021-10-20,13.88
88,2021-10-21,13.87
89,2021-10-22,13.83
90,2021-10-25,13.83
91,2021-10-26,14.49
92,2021-10-27,15.02
93,2021-10-28,14.44
94,2021-10-29,14.74
95,2021-11-01,14.01
96,2021-11-02,14.12
97,2021-11-03,14.86
98,2021-11-04,14.05
99,2021-11-05,14.98
100,2021-11-08,13.7
101,2021-11-09,12.93
102,2021-11-10,12.05
103,2021-11-11,12.05
104,2021-11-12,11.52
105,2021-11-15,11.61
106,2021-11-16,11.05
107,2021-11-17,10.98
108,2021-11-18,11.13
109,2021-11-19,10.49
110,2021-11-22,10.71
111,2021-11-23,9.86
112,2021-11-24,9.21
113,2021-11-26,9.17
114,2021-11-29,9.31
115,2021-11-30,9.24
116,2021-12-01,9.74
117,2021-12-02,9.4
118,2021-12-03,9.6
119,2021-12-06,8.91
120,2021-12-07,8.85
121,2021-12-08,9.24
122,2021-12-09,9.85
123,2021-12-10,9.64
124,2021-12-13,9.38
125,2021-12-14,9.46
126,2021-12-15,9.68
127,2021-12-16,9.1
128,2021-12-17,9.04
129,2021-12-20,8.35
130,2021-12-21,7.52
131,2021-12-22,7.34
132,2021-12-23,7.49
133,2021-12-27,8.16
134,2021-12-28,7.65
135,2021-12-29,7.75
136,2021-12-30,7.15
137,2021-12-31,7.56
138,2022-01-03,7.66
139,2022-01-04,7.82
140,2022-01-05,6.93
141,2022-01-06,6.52
142,2022-01-07,6.47
143,2022-01-10,6.32
144,2022-01-11,6.55
145,2022-01-12,6.79
