,date,open
0,2015-06-26,28.5
1,2015-06-29,41.95
2,2015-06-30,39.6
3,2015-07-01,42.4
4,2015-07-02,39.8
5,2015-07-06,40.0
6,2015-07-07,40.0
7,2015-07-08,39.4
8,2015-07-09,40.04
9,2015-07-10,40.0
10,2015-07-13,40.8
11,2015-07-14,42.0
12,2015-07-15,42.25
13,2015-07-16,44.0
14,2015-07-17,46.8
15,2015-07-20,44.48
16,2015-07-21,41.68
17,2015-07-22,39.45
18,2015-07-23,41.56
19,2015-07-24,41.01
20,2015-07-27,37.87
21,2015-07-28,35.25
22,2015-07-29,36.49
23,2015-07-30,38.0
24,2015-07-31,38.02
25,2015-08-03,37.73
26,2015-08-04,38.91
27,2015-08-05,39.3
28,2015-08-06,40.52
29,2015-08-07,39.68
30,2015-08-10,40.0
31,2015-08-11,39.18
32,2015-08-12,39.27
33,2015-08-13,39.44
34,2015-08-14,40.12
35,2015-08-17,38.72
36,2015-08-18,38.86
37,2015-08-19,38.13
38,2015-08-20,42.0
39,2015-08-21,39.09
40,2015-08-24,39.48
41,2015-08-25,39.39
42,2015-08-26,39.62
43,2015-08-27,39.47
44,2015-08-28,40.15
45,2015-08-31,40.96
46,2015-09-01,40.37
47,2015-09-02,41.82
48,2015-09-03,42.31
49,2015-09-04,43.09
50,2015-09-08,44.5
51,2015-09-09,49.22
52,2015-09-10,49.4
53,2015-09-11,47.35
54,2015-09-14,48.97
55,2015-09-15,47.11
56,2015-09-16,47.0
57,2015-09-17,48.43
58,2015-09-18,48.48
59,2015-09-21,45.91
60,2015-09-22,42.62
61,2015-09-23,38.51
62,2015-09-24,39.23
63,2015-09-25,39.59
64,2015-09-28,38.35
65,2015-09-29,34.56
66,2015-09-30,27.89
67,2015-10-01,29.65
68,2015-10-02,25.5
69,2015-10-05,26.84
70,2015-10-06,27.27
71,2015-10-07,28.18
72,2015-10-08,29.15
73,2015-10-09,29.17
74,2015-10-12,29.87
75,2015-10-13,29.1
76,2015-10-14,28.98
77,2015-10-15,29.32
78,2015-10-16,30.58
79,2015-10-19,30.87
80,2015-10-20,31.3
81,2015-10-21,29.61
82,2015-10-22,29.87
83,2015-10-23,28.78
84,2015-10-26,28.68
85,2015-10-27,30.71
86,2015-10-28,30.78
87,2015-10-29,31.69
88,2015-10-30,31.27
89,2015-11-02,29.95
90,2015-11-03,30.9
91,2015-11-04,31.19
92,2015-11-05,34.32
93,2015-11-06,32.53
94,2015-11-09,31.67
95,2015-11-10,32.53
96,2015-11-11,31.46
97,2015-11-12,30.63
98,2015-11-13,30.52
99,2015-11-16,30.17
100,2015-11-17,29.37
101,2015-11-18,28.49
102,2015-11-19,30.36
103,2015-11-20,31.99
104,2015-11-23,33.0
105,2015-11-24,31.99
106,2015-11-25,33.07
107,2015-11-27,35.0
108,2015-11-30,34.53
109,2015-12-01,35.93
110,2015-12-02,34.83
111,2015-12-03,34.55
112,2015-12-04,33.85
113,2015-12-07,35.86
114,2015-12-08,34.48
115,2015-12-09,36.52
116,2015-12-10,36.76
117,2015-12-11,36.36
118,2015-12-14,36.73
119,2015-12-15,38.67
120,2015-12-16,41.45
121,2015-12-17,44.5
122,2015-12-18,42.53
123,2015-12-21,41.47
124,2015-12-22,38.0
125,2015-12-23,36.85
126,2015-12-24,35.55
127,2015-12-28,35.16
128,2015-12-29,35.27
129,2015-12-30,36.94
130,2015-12-31,35.11
131,2016-01-04,33.7
132,2016-01-05,34.28
133,2016-01-06,33.87
134,2016-01-07,32.2
135,2016-01-08,30.71
136,2016-01-11,31.4
137,2016-01-12,30.83
138,2016-01-13,31.3
139,2016-01-14,28.5
140,2016-01-15,30.18
141,2016-01-19,29.03
142,2016-01-20,25.4
143,2016-01-21,26.66
144,2016-01-22,25.29
145,2016-01-25,25.39
146,2016-01-26,24.84
147,2016-01-27,25.0
148,2016-01-28,25.42
149,2016-01-29,24.6
150,2016-02-01,27.02
151,2016-02-02,25.68
152,2016-02-03,25.87
153,2016-02-04,24.89
154,2016-02-05,25.68
155,2016-02-08,24.93
156,2016-02-09,23.47
157,2016-02-10,22.86
158,2016-02-11,22.51
159,2016-02-12,25.49
160,2016-02-16,26.22
161,2016-02-17,25.17
162,2016-02-18,26.0
163,2016-02-19,24.25
164,2016-02-22,24.23
165,2016-02-23,24.27
166,2016-02-24,23.53
167,2016-02-25,24.99
168,2016-02-26,24.51
169,2016-02-29,24.99
170,2016-03-01,23.25
171,2016-03-02,23.51
172,2016-03-03,27.0
173,2016-03-04,27.02
174,2016-03-07,27.93
175,2016-03-08,29.27
176,2016-03-09,25.19
177,2016-03-10,25.64
178,2016-03-11,25.2
179,2016-03-14,25.09
180,2016-03-15,25.49
181,2016-03-16,24.46
182,2016-03-17,24.65
183,2016-03-18,26.2
184,2016-03-21,24.77
185,2016-03-22,24.54
186,2016-03-23,25.0
187,2016-03-24,24.39
188,2016-03-28,24.78
189,2016-03-29,24.34
190,2016-03-30,25.5
191,2016-03-31,25.13
192,2016-04-01,27.02
193,2016-04-04,27.87
194,2016-04-05,28.05
195,2016-04-06,28.07
196,2016-04-07,29.67
197,2016-04-08,32.13
198,2016-04-11,30.84
199,2016-04-12,30.23
200,2016-04-13,30.91
201,2016-04-14,29.95
202,2016-04-15,29.92
203,2016-04-18,30.02
204,2016-04-19,30.48
205,2016-04-20,29.97
206,2016-04-21,30.62
207,2016-04-22,31.25
208,2016-04-25,31.79
209,2016-04-26,32.6
210,2016-04-27,31.0
211,2016-04-28,29.94
212,2016-04-29,29.5
213,2016-05-02,30.0
214,2016-05-03,29.32
215,2016-05-04,27.49
216,2016-05-05,26.64
217,2016-05-06,25.11
218,2016-05-09,24.22
219,2016-05-10,25.78
220,2016-05-11,26.1
221,2016-05-12,25.5
222,2016-05-13,23.19
223,2016-05-16,23.99
224,2016-05-17,24.82
225,2016-05-18,25.09
226,2016-05-19,27.0
227,2016-05-20,27.69
228,2016-05-23,29.04
229,2016-05-24,29.03
230,2016-05-25,30.0
231,2016-05-26,28.69
232,2016-05-27,29.18
233,2016-05-31,29.66
234,2016-06-01,29.43
235,2016-06-02,30.92
236,2016-06-03,31.97
237,2016-06-06,30.58
238,2016-06-07,31.82
239,2016-06-08,32.82
240,2016-06-09,34.03
241,2016-06-10,31.9
242,2016-06-13,33.34
243,2016-06-14,34.37
244,2016-06-15,31.1
245,2016-06-16,30.1
246,2016-06-17,29.56
247,2016-06-20,29.86
248,2016-06-21,30.46
249,2016-06-22,29.13
250,2016-06-23,29.9
251,2016-06-24,28.5
252,2016-06-27,28.0
253,2016-06-28,27.61
254,2016-06-29,29.55
255,2016-06-30,29.54
256,2016-07-01,28.8
257,2016-07-05,29.71
258,2016-07-06,28.85
259,2016-07-07,30.08
260,2016-07-08,29.97
261,2016-07-11,30.0
262,2016-07-12,31.05
263,2016-07-13,32.55
264,2016-07-14,31.99
265,2016-07-15,32.38
266,2016-07-18,33.0
267,2016-07-19,33.4
268,2016-07-20,33.29
269,2016-07-21,33.6
270,2016-07-22,33.9
271,2016-07-25,34.17
272,2016-07-26,33.69
273,2016-07-27,35.0
274,2016-07-28,35.23
275,2016-07-29,8.52
276,2016-08-01,10.33
277,2016-08-02,9.8
278,2016-08-03,9.43
279,2016-08-04,9.6
280,2016-08-05,9.31
281,2016-08-08,9.63
282,2016-08-09,9.68
283,2016-08-10,9.56
284,2016-08-11,9.0
285,2016-08-12,9.86
286,2016-08-15,10.69
287,2016-08-16,10.74
288,2016-08-17,11.08
289,2016-08-18,11.49
290,2016-08-19,11.79
291,2016-08-22,11.35
292,2016-08-23,11.45
293,2016-08-24,11.6
294,2016-08-25,11.06
295,2016-08-26,10.69
296,2016-08-29,10.94
297,2016-08-30,10.98
298,2016-08-31,10.75
299,2016-09-01,10.44
300,2016-09-02,10.22
301,2016-09-06,10.14
302,2016-09-07,10.71
303,2016-09-08,10.71
304,2016-09-09,11.0
305,2016-09-12,10.3
306,2016-09-13,11.24
307,2016-09-14,11.38
