,date,open
0,2007-02-06,350.0004
1,2007-02-07,320.9503
2,2007-02-08,338.4503
3,2007-02-09,346.5003
4,2007-02-12,344.7503
5,2007-02-13,333.2003
6,2007-02-14,323.4003
7,2007-02-15,324.4853
8,2007-02-16,332.8503
9,2007-02-20,321.6503
10,2007-02-21,320.2503
11,2007-02-22,322.0003
12,2007-02-23,318.5003
13,2007-02-26,305.9003
14,2007-02-27,297.8503
15,2007-02-28,298.5503
16,2007-03-01,299.2503
17,2007-03-02,290.5003
18,2007-03-05,304.8503
19,2007-03-06,304.5003
20,2007-03-07,306.9503
21,2007-03-08,314.3003
22,2007-03-09,310.8003
23,2007-03-12,314.3003
24,2007-03-13,314.6503
25,2007-03-14,308.0003
26,2007-03-15,311.8503
27,2007-03-16,316.0503
28,2007-03-19,344.7503
29,2007-03-20,329.7003
30,2007-03-21,323.7503
31,2007-03-22,309.4003
32,2007-03-23,317.8003
33,2007-03-26,310.1003
34,2007-03-27,312.9003
35,2007-03-28,301.0353
36,2007-03-29,305.9003
37,2007-03-30,314.3003
38,2007-04-02,287.0003
39,2007-04-03,292.2503
40,2007-04-04,285.6003
41,2007-04-05,297.5003
42,2007-04-09,301.0003
43,2007-04-10,292.6003
44,2007-04-11,277.9003
45,2007-04-12,287.3503
46,2007-04-13,290.5003
47,2007-04-16,294.3503
48,2007-04-17,301.0003
49,2007-04-18,302.4003
50,2007-04-19,308.7003
51,2007-04-20,307.3003
52,2007-04-23,305.5503
53,2007-04-24,311.1503
54,2007-04-25,309.4003
55,2007-04-26,305.5503
56,2007-04-27,304.5003
57,2007-04-30,306.6003
58,2007-05-01,284.9003
59,2007-05-02,312.5503
60,2007-05-03,300.6503
61,2007-05-04,290.1503
62,2007-05-07,294.0003
63,2007-05-08,304.1503
64,2007-05-09,302.7503
65,2007-05-10,300.6503
66,2007-05-11,291.9003
67,2007-05-14,301.7003
68,2007-05-15,287.0003
69,2007-05-16,283.5003
70,2007-05-17,277.2003
71,2007-05-18,282.4503
72,2007-05-21,285.9503
73,2007-05-22,286.6503
74,2007-05-23,284.5503
75,2007-05-24,290.1503
76,2007-05-25,281.0503
77,2007-05-29,284.9003
78,2007-05-30,294.3503
79,2007-05-31,308.0003
80,2007-06-01,323.0503
81,2007-06-04,348.9503
82,2007-06-05,355.6004
83,2007-06-06,320.2503
84,2007-06-07,296.8003
85,2007-06-08,292.6003
86,2007-06-11,290.1503
87,2007-06-12,301.0003
88,2007-06-13,302.7503
89,2007-06-14,293.6503
90,2007-06-15,285.6003
91,2007-06-18,292.2503
92,2007-06-19,286.3003
93,2007-06-20,290.5003
94,2007-06-21,284.9003
95,2007-06-22,284.5503
96,2007-06-25,297.5003
97,2007-06-26,303.8003
98,2007-06-27,297.5003
99,2007-06-28,297.5003
100,2007-06-29,298.2003
101,2007-07-02,292.6003
102,2007-07-03,294.0003
103,2007-07-05,301.3503
104,2007-07-06,294.0003
105,2007-07-09,301.7003
106,2007-07-10,293.3003
107,2007-07-11,290.5003
108,2007-07-12,288.0503
109,2007-07-13,289.6253
110,2007-07-16,294.3503
111,2007-07-17,288.7503
112,2007-07-18,287.3503
113,2007-07-19,299.9503
114,2007-07-20,291.9003
115,2007-07-23,295.7503
116,2007-07-24,283.1503
117,2007-07-25,287.3503
118,2007-07-26,291.9003
119,2007-07-27,281.0503
120,2007-07-30,285.2503
121,2007-07-31,282.4503
122,2007-08-01,280.7003
123,2007-08-02,285.9503
124,2007-08-03,277.2003
125,2007-08-06,271.9503
126,2007-08-07,280.3503
127,2007-08-08,271.2503
128,2007-08-09,253.7503
129,2007-08-10,248.1502
130,2007-08-13,242.2002
131,2007-08-14,234.5002
132,2007-08-15,233.8002
133,2007-08-16,220.5002
134,2007-08-17,209.6502
135,2007-08-20,210.0002
136,2007-08-21,205.1002
137,2007-08-22,195.3002
138,2007-08-23,189.7002
139,2007-08-24,184.4502
140,2007-08-27,175.0002
141,2007-08-28,175.0002
142,2007-08-29,184.8002
143,2007-08-30,196.3502
144,2007-08-31,210.3502
