,date,open
0,2018-06-08,15.1
1,2018-06-11,15.0
2,2018-06-12,15.0
3,2018-06-13,14.63
4,2018-06-14,14.5
5,2018-06-15,14.21
6,2018-06-18,14.3
7,2018-06-19,14.31
8,2018-06-20,14.76
9,2018-06-21,14.27
10,2018-06-22,13.05
11,2018-06-25,12.25
12,2018-06-26,11.9
13,2018-06-27,11.88
14,2018-06-28,11.55
15,2018-06-29,11.24
16,2018-07-02,11.6
17,2018-07-03,11.97
18,2018-07-05,12.59
19,2018-07-06,12.0
20,2018-07-09,13.05
21,2018-07-10,12.57
22,2018-07-11,12.31
23,2018-07-12,11.61
24,2018-07-13,11.69
25,2018-07-16,10.73
26,2018-07-17,10.7
27,2018-07-18,10.52
28,2018-07-19,10.45
29,2018-07-20,10.6069
30,2018-07-23,10.1
31,2018-07-24,10.26
32,2018-07-25,9.2973
33,2018-07-26,8.64
34,2018-07-27,8.06
35,2018-07-30,8.71
36,2018-07-31,8.74
37,2018-08-01,9.08
38,2018-08-02,8.88
39,2018-08-03,8.8001
40,2018-08-06,8.86
41,2018-08-07,8.75
42,2018-08-08,8.25
43,2018-08-09,8.53
44,2018-08-10,9.07
45,2018-08-13,8.8
46,2018-08-14,9.3
47,2018-08-15,8.59
48,2018-08-16,8.84
49,2018-08-17,9.4
50,2018-08-20,10.0
51,2018-08-21,9.9
52,2018-08-22,10.05
53,2018-08-23,10.98
54,2018-08-24,11.51
55,2018-08-27,11.53
56,2018-08-28,11.74
57,2018-08-29,11.42
58,2018-08-30,11.4
59,2018-08-31,11.61
60,2018-09-04,11.64
61,2018-09-05,12.53
62,2018-09-06,12.14
63,2018-09-07,11.83
64,2018-09-10,12.01
65,2018-09-11,12.01
66,2018-09-12,11.54
67,2018-09-13,11.45
68,2018-09-14,11.36
69,2018-09-17,11.65
70,2018-09-18,11.35
71,2018-09-19,11.75
72,2018-09-20,11.544
73,2018-09-21,12.22
74,2018-09-24,13.09
75,2018-09-25,13.27
76,2018-09-26,12.92
77,2018-09-27,12.92
78,2018-09-28,13.3
79,2018-10-01,13.79
80,2018-10-02,13.33
81,2018-10-03,14.0
82,2018-10-04,13.36
83,2018-10-05,13.03
84,2018-10-08,13.34
85,2018-10-09,13.4
86,2018-10-10,13.32
87,2018-10-11,13.07
88,2018-10-12,13.47
89,2018-10-15,13.51
90,2018-10-16,14.71
91,2018-10-17,13.92
92,2018-10-18,13.51
93,2018-10-19,13.8
94,2018-10-22,13.43
95,2018-10-23,13.0
96,2018-10-24,13.08
97,2018-10-25,13.495
98,2018-10-26,13.32
99,2018-10-29,13.05
100,2018-10-30,13.15
101,2018-10-31,13.26
102,2018-11-01,13.5
103,2018-11-02,13.29
104,2018-11-05,13.21
105,2018-11-06,13.3
106,2018-11-07,13.15
107,2018-11-08,13.19
108,2018-11-09,13.24
109,2018-11-12,12.99
110,2018-11-13,12.84
111,2018-11-14,12.63
112,2018-11-15,11.709
113,2018-11-16,12.61
114,2018-11-19,12.72
115,2018-11-20,12.65
116,2018-11-21,13.3
117,2018-11-23,11.91
118,2018-11-26,13.09
119,2018-11-27,12.51
120,2018-11-28,12.39
121,2018-11-29,13.0
122,2018-11-30,13.32
123,2018-12-03,13.54
124,2018-12-04,13.512
125,2018-12-06,13.85
126,2018-12-07,13.15
127,2018-12-10,12.44
128,2018-12-11,12.51
129,2018-12-12,12.11
130,2018-12-13,12.8909
131,2018-12-14,12.23
132,2018-12-17,12.11
133,2018-12-18,11.03
134,2018-12-19,9.88
135,2018-12-20,9.69
136,2018-12-21,9.83
137,2018-12-24,10.5
138,2018-12-26,9.68
139,2018-12-27,9.48
140,2018-12-28,9.87
141,2018-12-31,9.55
142,2019-01-02,9.37
143,2019-01-03,9.84
144,2019-01-04,10.08
145,2019-01-07,10.57
146,2019-01-08,10.87
147,2019-01-09,10.98
148,2019-01-10,10.94
149,2019-01-11,10.68
150,2019-01-14,10.45
151,2019-01-15,10.57
152,2019-01-16,10.95
153,2019-01-17,10.73
154,2019-01-18,10.41
155,2019-01-22,10.05
156,2019-01-23,9.95
157,2019-01-24,9.76
158,2019-01-25,9.96
159,2019-01-28,10.05
160,2019-01-29,9.89
161,2019-01-30,9.33
162,2019-01-31,12.3
163,2019-02-01,12.11
164,2019-02-04,12.27
165,2019-02-05,12.11
166,2019-02-06,12.22
167,2019-02-07,12.29
168,2019-02-08,12.2
169,2019-02-11,12.35
170,2019-02-12,12.66
171,2019-02-13,12.6
172,2019-02-14,12.63
173,2019-02-15,12.74
174,2019-02-19,12.79
175,2019-02-20,12.8
176,2019-02-21,12.89
177,2019-02-22,12.48
178,2019-02-25,13.12
179,2019-02-26,14.35
180,2019-02-27,14.19
181,2019-02-28,15.61
182,2019-03-01,16.25
183,2019-03-04,19.21
184,2019-03-05,17.9
185,2019-03-06,18.68
186,2019-03-07,17.97
187,2019-03-08,18.17
188,2019-03-11,18.67
189,2019-03-12,19.06
190,2019-03-13,19.7
191,2019-03-14,20.32
192,2019-03-15,20.38
193,2019-03-18,21.26
194,2019-03-19,21.46
195,2019-03-20,20.39
196,2019-03-21,19.53
197,2019-03-22,19.56
198,2019-03-25,18.22
199,2019-03-26,17.91
200,2019-03-27,17.61
201,2019-03-28,17.3
202,2019-03-29,17.86
203,2019-04-01,17.49
204,2019-04-02,17.34
205,2019-04-03,18.25
206,2019-04-04,18.81
207,2019-04-05,18.41
208,2019-04-08,18.35
209,2019-04-09,18.68
210,2019-04-10,19.17
211,2019-04-11,20.01
212,2019-04-12,19.83
213,2019-04-15,19.27
214,2019-04-16,19.88
215,2019-04-17,20.41
216,2019-04-18,18.59
217,2019-04-22,18.35
218,2019-04-23,18.0
219,2019-04-24,17.84
220,2019-04-25,18.44
221,2019-04-26,18.51
222,2019-04-29,19.06
223,2019-04-30,19.67
224,2019-05-01,19.46
225,2019-05-02,18.5
226,2019-05-03,17.78
227,2019-05-06,17.82
228,2019-05-07,18.14
229,2019-05-08,18.68
230,2019-05-09,18.31
231,2019-05-10,18.36
232,2019-05-13,17.87
233,2019-05-14,18.3
234,2019-05-15,22.01
235,2019-05-16,22.06
236,2019-05-17,22.91
237,2019-05-20,23.34
238,2019-05-21,23.4
239,2019-05-22,23.94
240,2019-05-23,23.94
241,2019-05-24,23.87
242,2019-05-28,24.25
243,2019-05-29,24.47
244,2019-05-30,22.95
245,2019-05-31,21.48
246,2019-06-03,22.32
247,2019-06-04,21.77
248,2019-06-05,22.4
249,2019-06-06,21.89
250,2019-06-07,20.58
251,2019-06-10,20.95
252,2019-06-11,20.95
253,2019-06-12,20.76
254,2019-06-13,21.49
255,2019-06-14,21.8075
256,2019-06-17,20.69
257,2019-06-18,20.89
258,2019-06-19,21.29
259,2019-06-20,21.69
260,2019-06-21,20.7
261,2019-06-24,21.4
262,2019-06-25,21.5
263,2019-06-26,23.0
264,2019-06-27,23.8
265,2019-06-28,25.23
266,2019-07-01,27.0
267,2019-07-02,27.88
268,2019-07-03,28.59
269,2019-07-05,29.38
270,2019-07-08,27.31
271,2019-07-09,28.63
272,2019-07-10,29.83
273,2019-07-11,29.48
274,2019-07-12,29.41
275,2019-07-15,29.25
276,2019-07-16,28.73
277,2019-07-17,28.35
278,2019-07-18,28.87
279,2019-07-19,27.65
280,2019-07-22,27.0
281,2019-07-23,27.02
282,2019-07-24,26.94
283,2019-07-25,28.96
284,2019-07-26,27.87
285,2019-07-29,27.99
286,2019-07-30,28.77
287,2019-07-31,28.07
288,2019-08-01,27.34
289,2019-08-02,26.45
290,2019-08-05,25.7
291,2019-08-06,25.01
292,2019-08-07,24.76
293,2019-08-08,22.58
294,2019-08-09,22.51
295,2019-08-12,22.1
296,2019-08-13,21.63
297,2019-08-14,22.14
298,2019-08-15,22.19
299,2019-08-16,21.27
300,2019-08-19,21.29
301,2019-08-20,20.92
302,2019-08-21,21.81
303,2019-08-22,21.91
304,2019-08-23,21.97
305,2019-08-26,21.64
306,2019-08-27,21.04
307,2019-08-28,19.71
308,2019-08-29,20.23
309,2019-08-30,20.57
310,2019-09-03,20.4
311,2019-09-04,21.1
312,2019-09-05,20.17
313,2019-09-06,20.27
314,2019-09-09,19.67
315,2019-09-10,19.38
316,2019-09-11,19.53
317,2019-09-12,20.58
318,2019-09-13,19.64
319,2019-09-16,19.45
320,2019-09-17,19.15
321,2019-09-18,18.57
322,2019-09-19,18.89
323,2019-09-20,18.59
324,2019-09-23,18.49
325,2019-09-24,18.31
326,2019-09-25,17.51
327,2019-09-26,16.65
328,2019-09-27,16.12
329,2019-09-30,16.0
330,2019-10-01,15.88
331,2019-10-02,15.25
332,2019-10-03,15.83
333,2019-10-04,16.54
334,2019-10-07,16.18
335,2019-10-08,15.53
336,2019-10-09,14.88
337,2019-10-10,14.6
338,2019-10-11,14.65
339,2019-10-14,14.35
340,2019-10-15,14.23
341,2019-10-16,13.88
342,2019-10-17,14.69
343,2019-10-18,14.89
344,2019-10-21,14.23
345,2019-10-22,14.67
346,2019-10-23,14.33
347,2019-10-24,14.42
348,2019-10-25,14.49
349,2019-10-28,14.89
350,2019-10-29,14.43
351,2019-10-30,14.43
352,2019-10-31,14.3
353,2019-11-01,14.52
354,2019-11-04,16.09
355,2019-11-05,14.88
356,2019-11-06,14.57
357,2019-11-07,14.57
358,2019-11-08,14.5
359,2019-11-11,14.28
360,2019-11-12,15.37
361,2019-11-13,15.03
362,2019-11-14,15.18
363,2019-11-15,14.86
364,2019-11-18,15.01
365,2019-11-19,14.96
366,2019-11-20,16.01
367,2019-11-21,16.37
368,2019-11-22,17.11
369,2019-11-25,18.04
370,2019-11-26,17.49
371,2019-11-27,17.81
372,2019-11-29,19.25
373,2019-12-02,19.3
374,2019-12-03,19.05
375,2019-12-04,20.52
376,2019-12-05,20.03
377,2019-12-06,20.2
378,2019-12-09,21.41
379,2019-12-10,21.35
380,2019-12-11,20.5
381,2019-12-12,20.38
382,2019-12-13,20.61
383,2019-12-16,21.4
384,2019-12-17,21.03
385,2019-12-18,21.48
386,2019-12-19,21.43
387,2019-12-20,21.49
388,2019-12-23,21.19
389,2019-12-24,21.47
390,2019-12-26,21.37
391,2019-12-27,21.47
392,2019-12-30,20.0
393,2019-12-31,19.8
394,2020-01-02,20.3
395,2020-01-03,19.44
396,2020-01-06,19.32
397,2020-01-07,20.08
398,2020-01-08,20.31
399,2020-01-09,20.44
400,2020-01-10,20.71
401,2020-01-13,19.69
402,2020-01-14,19.87
403,2020-01-15,20.05
404,2020-01-16,20.39
405,2020-01-17,20.83
406,2020-01-21,20.38
407,2020-01-22,19.25
408,2020-01-23,19.13
409,2020-01-24,19.01
410,2020-01-27,17.56
411,2020-01-28,17.91
412,2020-01-29,17.42
413,2020-01-30,17.78
414,2020-01-31,18.3
415,2020-02-03,18.25
416,2020-02-04,19.71
417,2020-02-05,19.48
418,2020-02-06,19.5
419,2020-02-07,19.69
420,2020-02-10,19.77
421,2020-02-11,20.47
422,2020-02-12,20.73
423,2020-02-13,20.99
424,2020-02-14,20.48
425,2020-02-18,18.8
426,2020-02-19,18.05
427,2020-02-20,17.41
428,2020-02-21,17.77
429,2020-02-24,17.67
430,2020-02-25,17.52
431,2020-02-26,16.78
432,2020-02-27,16.14
433,2020-02-28,15.42
434,2020-03-02,16.27
435,2020-03-03,16.86
436,2020-03-04,16.86
437,2020-03-05,18.0
438,2020-03-06,17.02
439,2020-03-09,15.75
440,2020-03-10,15.71
441,2020-03-11,14.67
442,2020-03-12,13.55
443,2020-03-13,12.82
444,2020-03-16,11.01
445,2020-03-17,9.56
446,2020-03-18,8.96
447,2020-03-19,9.67
448,2020-03-20,10.58
449,2020-03-23,9.73
450,2020-03-24,10.74
451,2020-03-25,10.88
452,2020-03-26,12.43
453,2020-03-27,12.57
454,2020-03-30,11.71
455,2020-03-31,12.34
456,2020-04-01,12.56
457,2020-04-02,12.32
458,2020-04-03,11.51
459,2020-04-06,12.51
460,2020-04-07,13.61
461,2020-04-08,12.68
462,2020-04-09,13.53
463,2020-04-13,13.38
464,2020-04-14,13.97
465,2020-04-15,13.45
