,date,open
0,2019-05-09,15.61
1,2019-05-10,15.3
2,2019-05-13,18.29
3,2019-05-14,18.25
4,2019-05-15,18.55
5,2019-05-16,18.72
6,2019-05-17,18.6
7,2019-05-20,18.7
8,2019-05-21,19.2375
9,2019-05-22,19.89
10,2019-05-23,20.08
11,2019-05-24,19.65
12,2019-05-28,19.97
13,2019-05-29,21.41
14,2019-05-30,20.92
15,2019-05-31,21.5
16,2019-06-03,20.68
17,2019-06-04,20.44
18,2019-06-05,20.65
19,2019-06-06,20.46
20,2019-06-07,19.9995
21,2019-06-10,20.0
22,2019-06-11,18.95
23,2019-06-12,19.58
24,2019-06-13,19.955
25,2019-06-14,21.25
26,2019-06-17,20.78
27,2019-06-18,22.22
28,2019-06-19,23.6
29,2019-06-20,24.48
30,2019-06-21,24.0
31,2019-06-24,21.93
32,2019-06-25,23.4
33,2019-06-26,22.22
34,2019-06-27,23.5
35,2019-06-28,23.5
36,2019-07-01,27.73
37,2019-07-02,24.39
38,2019-07-03,23.5
39,2019-07-05,21.0
40,2019-07-08,22.35
41,2019-07-09,19.92
42,2019-07-10,21.51
43,2019-07-11,20.38
44,2019-07-12,21.3
45,2019-07-15,20.11
46,2019-07-16,19.68
47,2019-07-17,19.99
48,2019-07-18,19.3
49,2019-07-19,20.4
50,2019-07-22,19.46
51,2019-07-23,20.05
52,2019-07-24,19.85
53,2019-07-25,19.2135
54,2019-07-26,17.4
55,2019-07-29,17.53
56,2019-07-30,17.9
57,2019-07-31,17.55
58,2019-08-01,16.75
59,2019-08-02,16.3004
60,2019-08-05,15.67
61,2019-08-06,15.2
62,2019-08-07,15.8199
63,2019-08-08,16.4219
64,2019-08-09,15.7
65,2019-08-12,16.0
66,2019-08-13,16.01
67,2019-08-14,16.8
68,2019-08-15,18.24
69,2019-08-16,18.22
70,2019-08-19,18.79
71,2019-08-20,17.97
72,2019-08-21,18.1708
73,2019-08-22,19.03
74,2019-08-23,18.43
75,2019-08-26,20.16
76,2019-08-27,24.01
77,2019-08-28,23.37
78,2019-08-29,22.36
79,2019-08-30,23.0
80,2019-09-03,22.19
81,2019-09-04,23.01
82,2019-09-05,22.8
83,2019-09-06,23.0
84,2019-09-09,22.05
85,2019-09-10,22.5478
86,2019-09-11,22.56
87,2019-09-12,22.08
88,2019-09-13,21.82
89,2019-09-16,22.0
90,2019-09-17,21.28
91,2019-09-18,21.83
92,2019-09-19,21.1572
93,2019-09-20,22.0667
94,2019-09-23,20.15
95,2019-09-24,20.5
96,2019-09-25,18.75
97,2019-09-26,18.5
98,2019-09-27,17.11
99,2019-09-30,18.8
100,2019-10-01,17.95
101,2019-10-02,18.5
102,2019-10-03,18.25
103,2019-10-04,18.85
104,2019-10-07,18.23
105,2019-10-08,18.2
106,2019-10-09,17.94
107,2019-10-10,16.7171
108,2019-10-11,16.44
109,2019-10-14,17.69
110,2019-10-15,18.78
111,2019-10-16,18.4
112,2019-10-17,18.98
113,2019-10-18,18.88
114,2019-10-21,20.66
115,2019-10-22,21.74
116,2019-10-23,21.25
117,2019-10-24,21.15
118,2019-10-25,20.89
119,2019-10-28,20.48
120,2019-10-29,18.51
121,2019-10-30,19.5394
122,2019-10-31,19.14
123,2019-11-01,18.4646
124,2019-11-04,20.0
125,2019-11-05,20.31
126,2019-11-06,20.0
127,2019-11-07,19.05
128,2019-11-08,19.09
129,2019-11-11,18.2409
130,2019-11-12,17.72
131,2019-11-13,17.5334
132,2019-11-14,18.0
133,2019-11-15,17.72
134,2019-11-18,17.5775
135,2019-11-19,17.76
136,2019-11-20,17.0
137,2019-11-21,18.245
138,2019-11-22,16.76
139,2019-11-25,17.8899
140,2019-11-26,17.86
141,2019-11-27,17.7
142,2019-11-29,17.07
143,2019-12-02,17.0
144,2019-12-03,16.61
145,2019-12-04,16.85
146,2019-12-05,16.65
147,2019-12-06,16.37
148,2019-12-09,16.94
149,2019-12-10,16.7
150,2019-12-11,16.77
151,2019-12-12,16.225
152,2019-12-13,16.05
153,2019-12-16,16.26
154,2019-12-17,16.0
155,2019-12-18,15.93
156,2019-12-19,15.6
157,2019-12-20,15.38
158,2019-12-23,15.74
159,2019-12-24,15.6127
160,2019-12-26,15.77
161,2019-12-27,15.65
162,2019-12-30,15.35
163,2019-12-31,15.6
164,2020-01-02,16.15
165,2020-01-03,15.89
166,2020-01-06,17.26
167,2020-01-07,17.33
168,2020-01-08,16.1233
169,2020-01-09,16.59
170,2020-01-10,17.03
171,2020-01-13,16.4
172,2020-01-14,17.25
173,2020-01-15,17.95
174,2020-01-16,18.0
175,2020-01-17,18.6
176,2020-01-21,18.52
177,2020-01-22,19.72
178,2020-01-23,21.5
179,2020-01-24,21.27
180,2020-01-27,20.65
181,2020-01-28,21.31
182,2020-01-29,21.2
183,2020-01-30,21.57
184,2020-01-31,21.6269
185,2020-02-03,18.5201
186,2020-02-04,22.0
187,2020-02-05,21.26
188,2020-02-06,22.49
189,2020-02-07,21.64
190,2020-02-10,21.69
191,2020-02-11,21.52
192,2020-02-12,21.82
193,2020-02-13,20.88
194,2020-02-14,20.155
195,2020-02-18,20.97
196,2020-02-19,21.02
197,2020-02-20,21.0
198,2020-02-21,20.95
199,2020-02-24,21.01
200,2020-02-25,20.93
201,2020-02-26,20.1282
202,2020-02-27,19.65
203,2020-02-28,18.8465
204,2020-03-02,19.24
205,2020-03-03,18.92
206,2020-03-04,18.32
207,2020-03-05,18.32
208,2020-03-06,19.75
209,2020-03-09,20.29
210,2020-03-10,20.43
211,2020-03-11,19.76
212,2020-03-12,19.46
213,2020-03-13,17.43
214,2020-03-16,14.88
215,2020-03-17,12.81
216,2020-03-18,12.3
217,2020-03-19,12.45
218,2020-03-20,13.28
219,2020-03-23,11.94
220,2020-03-24,3.35
221,2020-03-25,2.4
222,2020-03-26,2.15
223,2020-03-27,2.07
224,2020-03-30,1.95
225,2020-03-31,1.84
226,2020-04-01,1.8
227,2020-04-02,1.81
228,2020-04-03,1.78
229,2020-04-06,1.8
230,2020-04-07,2.09
231,2020-04-08,1.96
232,2020-04-09,1.98
233,2020-04-13,2.45
234,2020-04-14,2.69
235,2020-04-15,2.41
236,2020-04-16,2.43
237,2020-04-17,2.38
238,2020-04-20,2.41
239,2020-04-21,2.22
240,2020-04-22,2.21
241,2020-04-23,2.26
242,2020-04-24,2.26
243,2020-04-27,2.28
244,2020-04-28,2.45
245,2020-04-29,2.46
246,2020-04-30,2.71
247,2020-05-01,3.02
248,2020-05-04,3.65
249,2020-05-05,3.25
250,2020-05-06,3.42
251,2020-05-07,3.21
252,2020-05-08,3.17
253,2020-05-11,3.31
254,2020-05-12,3.51
255,2020-05-13,3.3
256,2020-05-14,3.24
257,2020-05-15,3.09
258,2020-05-18,3.25
259,2020-05-19,3.39
260,2020-05-20,3.3
261,2020-05-21,3.48
262,2020-05-22,3.37
263,2020-05-26,3.45
264,2020-05-27,3.4
265,2020-05-28,3.32
266,2020-05-29,3.22
267,2020-06-01,3.24
268,2020-06-02,3.45
269,2020-06-03,3.74
270,2020-06-04,3.5
271,2020-06-05,3.7
272,2020-06-08,3.93
273,2020-06-09,4.46
274,2020-06-10,4.9
275,2020-06-11,4.1
276,2020-06-12,4.35
277,2020-06-15,3.94
278,2020-06-16,4.46
279,2020-06-17,4.19
280,2020-06-18,3.98
281,2020-06-19,4.35
282,2020-06-22,4.21
283,2020-06-23,4.21
284,2020-06-24,4.19
285,2020-06-25,4.09
286,2020-06-26,4.02
287,2020-06-29,3.89
288,2020-06-30,3.89
289,2020-07-01,3.79
290,2020-07-02,3.78
291,2020-07-06,3.69
292,2020-07-07,3.86
293,2020-07-08,3.72
294,2020-07-09,3.89
295,2020-07-10,3.73
296,2020-07-13,3.68
297,2020-07-14,3.44
298,2020-07-15,3.38
299,2020-07-16,3.42
300,2020-07-17,3.49
301,2020-07-20,3.44
302,2020-07-21,3.4
303,2020-07-22,3.4
304,2020-07-23,7.76
305,2020-07-24,9.0
306,2020-07-27,7.99
307,2020-07-28,8.18
308,2020-07-29,8.06
309,2020-07-30,8.54
310,2020-07-31,8.45
311,2020-08-03,8.79
312,2020-08-04,9.43
313,2020-08-05,9.36
314,2020-08-06,8.99
315,2020-08-07,8.8
316,2020-08-10,9.9
317,2020-08-11,9.48
318,2020-08-12,8.92
319,2020-08-13,8.82
320,2020-08-14,8.74
321,2020-08-17,8.5
322,2020-08-18,8.73
323,2020-08-19,8.07
324,2020-08-20,8.17
325,2020-08-21,7.86
326,2020-08-24,7.68
327,2020-08-25,7.65
328,2020-08-26,7.96
329,2020-08-27,7.74
330,2020-08-28,7.7
331,2020-08-31,7.61
332,2020-09-01,7.69
333,2020-09-02,8.13
334,2020-09-03,8.03
335,2020-09-04,7.78
336,2020-09-08,7.65
337,2020-09-09,7.7
338,2020-09-10,7.85
339,2020-09-11,8.14
340,2020-09-14,7.9
