,date,open
0,2021-06-16,20.0
1,2021-06-17,20.16
2,2021-06-18,19.33
3,2021-06-21,19.44
4,2021-06-22,19.2
5,2021-06-23,19.32
6,2021-06-24,19.57
7,2021-06-25,20.2
8,2021-06-28,20.32
9,2021-06-29,20.31
10,2021-06-30,20.13
11,2021-07-01,20.16
12,2021-07-02,19.94
13,2021-07-06,20.09
14,2021-07-07,19.59
15,2021-07-08,19.2
16,2021-07-09,19.18
17,2021-07-12,20.01
18,2021-07-13,20.01
19,2021-07-14,19.74
20,2021-07-15,19.01
21,2021-07-16,18.72
22,2021-07-19,18.79
23,2021-07-20,19.22
24,2021-07-21,19.4
25,2021-07-22,20.05
26,2021-07-23,19.84
27,2021-07-26,19.52
28,2021-07-27,20.05
29,2021-07-28,19.88
30,2021-07-29,20.0501
31,2021-07-30,20.1
32,2021-08-02,20.16
33,2021-08-03,20.06
34,2021-08-04,20.03
35,2021-08-05,19.37
36,2021-08-06,19.43
37,2021-08-09,19.12
38,2021-08-10,19.42
39,2021-08-11,19.46
40,2021-08-12,19.36
41,2021-08-13,19.65
42,2021-08-16,19.59
43,2021-08-17,19.01
44,2021-08-18,19.62
45,2021-08-19,19.35
46,2021-08-20,19.45
47,2021-08-23,19.97
48,2021-08-24,20.51
49,2021-08-25,19.84
50,2021-08-26,19.9126
51,2021-08-27,20.4403
52,2021-08-30,20.665
53,2021-08-31,20.88
54,2021-09-01,21.02
55,2021-09-02,20.865
56,2021-09-03,20.49
57,2021-09-07,20.21
58,2021-09-08,19.87
59,2021-09-09,19.88
60,2021-09-10,19.94
61,2021-09-13,19.83
62,2021-09-14,20.06
63,2021-09-15,19.8
64,2021-09-16,19.97
65,2021-09-17,19.88
66,2021-09-20,19.59
67,2021-09-21,19.77
68,2021-09-22,19.39
69,2021-09-23,19.49
70,2021-09-24,19.47
71,2021-09-27,19.43
72,2021-09-28,19.41
73,2021-09-29,19.44
74,2021-09-30,19.36
75,2021-10-01,19.7
76,2021-10-04,19.35
77,2021-10-05,18.41
78,2021-10-06,20.27
79,2021-10-07,19.47
80,2021-10-08,19.885
81,2021-10-11,19.94
82,2021-10-12,19.96
83,2021-10-13,19.77
84,2021-10-14,20.15
85,2021-10-15,19.88
86,2021-10-18,19.85
87,2021-10-19,19.82
88,2021-10-20,19.62
89,2021-10-21,20.0
90,2021-10-22,19.83
91,2021-10-25,19.3
92,2021-10-26,19.15
93,2021-10-27,19.1001
94,2021-10-28,19.27
95,2021-10-29,18.94
96,2021-11-01,19.02
97,2021-11-02,19.3
98,2021-11-03,19.49
99,2021-11-04,19.17
100,2021-11-05,18.93
101,2021-11-08,15.0
102,2021-11-09,15.03
103,2021-11-10,15.16
104,2021-11-11,14.8227
105,2021-11-12,14.7701
106,2021-11-15,14.96
107,2021-11-16,10.8
108,2021-11-17,10.26
109,2021-11-18,10.0
110,2021-11-19,10.45
111,2021-11-22,11.73
112,2021-11-23,12.21
113,2021-11-24,11.25
114,2021-11-26,11.53
