,date,open
0,2018-12-07,22.0
1,2018-12-10,18.9
2,2018-12-11,20.55
3,2018-12-12,18.55
4,2018-12-13,19.25
5,2018-12-14,18.75
6,2018-12-17,18.33
7,2018-12-18,17.1
8,2018-12-19,16.86
9,2018-12-20,16.0
10,2018-12-21,15.4
11,2018-12-24,14.32
12,2018-12-26,14.15
13,2018-12-27,13.49
14,2018-12-28,14.72
15,2018-12-31,14.24
16,2019-01-02,14.93
17,2019-01-03,15.49
18,2019-01-04,16.0
19,2019-01-07,17.54
20,2019-01-08,17.35
21,2019-01-09,17.2
22,2019-01-10,16.36
23,2019-01-11,16.6
24,2019-01-14,17.0
25,2019-01-15,17.0
26,2019-01-16,16.8
27,2019-01-17,16.05
28,2019-01-18,16.46
29,2019-01-22,16.62
30,2019-01-23,15.59
31,2019-01-24,14.9
32,2019-01-25,14.8
33,2019-01-28,14.84
34,2019-01-29,14.46
35,2019-01-30,14.72
36,2019-01-31,15.24
37,2019-02-01,16.8
38,2019-02-04,16.22
39,2019-02-05,16.29
40,2019-02-06,17.25
41,2019-02-07,17.95
42,2019-02-08,17.1
43,2019-02-11,17.99
44,2019-02-12,18.21
45,2019-02-13,18.99
46,2019-02-14,18.64
47,2019-02-15,19.94
48,2019-02-19,21.51
49,2019-02-20,21.12
50,2019-02-21,19.74
51,2019-02-22,19.35
52,2019-02-25,20.54
53,2019-02-26,21.6
54,2019-02-27,23.37
55,2019-02-28,22.45
56,2019-03-01,23.09
57,2019-03-04,22.47
58,2019-03-05,21.18
59,2019-03-06,21.4
60,2019-03-07,20.42
61,2019-03-08,20.37
62,2019-03-11,20.99
63,2019-03-12,20.52
64,2019-03-13,19.3
65,2019-03-14,19.92
66,2019-03-15,20.99
67,2019-03-18,21.74
68,2019-03-19,22.47
69,2019-03-20,20.41
70,2019-03-21,20.0
71,2019-03-22,19.38
72,2019-03-25,19.0
73,2019-03-26,19.61
74,2019-03-27,20.08
75,2019-03-28,19.3
76,2019-03-29,19.87
77,2019-04-01,20.54
78,2019-04-02,20.68
79,2019-04-03,19.92
80,2019-04-04,21.12
81,2019-04-05,23.8
82,2019-04-08,25.9
83,2019-04-09,27.3
84,2019-04-10,26.9
85,2019-04-11,26.82
86,2019-04-12,26.0
87,2019-04-15,24.99
88,2019-04-16,26.0
89,2019-04-17,24.0
90,2019-04-18,23.47
91,2019-04-22,22.7
92,2019-04-23,23.73
93,2019-04-24,24.8
94,2019-04-25,25.76
95,2019-04-26,25.83
96,2019-04-29,26.28
97,2019-04-30,25.28
98,2019-05-01,26.31
99,2019-05-02,26.33
100,2019-05-03,28.89
101,2019-05-06,26.38
102,2019-05-07,27.18
103,2019-05-08,23.7
