,date,open
0,2017-06-28,14.25
1,2017-06-29,13.85
2,2017-06-30,13.5
3,2017-07-03,13.94
4,2017-07-05,13.78
5,2017-07-06,14.3
6,2017-07-07,13.54
7,2017-07-10,13.29
8,2017-07-11,13.14
9,2017-07-12,13.99
10,2017-07-13,14.1499
11,2017-07-14,14.1
12,2017-07-17,14.1
13,2017-07-18,14.01
14,2017-07-19,14.0
15,2017-07-20,14.1
16,2017-07-21,14.1593
17,2017-07-24,14.08
18,2017-07-25,15.01
19,2017-07-26,15.0
20,2017-07-27,15.12
21,2017-07-28,15.0
22,2017-07-31,14.63
23,2017-08-01,14.98
24,2017-08-02,14.95
25,2017-08-03,15.0
26,2017-08-04,14.73
27,2017-08-07,15.13
28,2017-08-08,15.22
29,2017-08-09,15.25
30,2017-08-10,15.21
31,2017-08-11,15.01
32,2017-08-14,15.5
33,2017-08-15,15.76
34,2017-08-16,15.43
35,2017-08-17,15.2
36,2017-08-18,15.46
37,2017-08-21,16.135
38,2017-08-22,16.6
39,2017-08-23,15.97
40,2017-08-24,16.8742
41,2017-08-25,16.0
42,2017-08-28,15.85
43,2017-08-29,16.265
44,2017-08-30,16.46
45,2017-08-31,17.85
46,2017-09-01,17.8
47,2017-09-05,17.84
48,2017-09-06,17.575
49,2017-09-07,17.65
50,2017-09-08,17.75
51,2017-09-11,17.88
52,2017-09-12,17.85
53,2017-09-13,17.65
54,2017-09-14,17.0
55,2017-09-15,16.99
56,2017-09-18,16.17
57,2017-09-19,15.92
58,2017-09-20,15.35
59,2017-09-21,16.28
60,2017-09-22,17.44
61,2017-09-25,17.44
62,2017-09-26,17.39
63,2017-09-27,17.95
64,2017-09-28,18.0
65,2017-09-29,17.86
66,2017-10-02,17.43
67,2017-10-03,19.41
68,2017-10-04,19.9
69,2017-10-05,19.84
70,2017-10-06,19.25
71,2017-10-09,18.85
72,2017-10-10,18.96
73,2017-10-11,18.1
74,2017-10-12,18.1
75,2017-10-13,16.61
76,2017-10-16,16.04
77,2017-10-17,18.05
78,2017-10-18,18.79
