,date,open
0,2013-07-15,7.0
1,2013-07-16,7.5
2,2013-07-17,8.5
3,2013-07-18,10.88
4,2013-07-19,9.2
5,2013-07-22,9.97
6,2013-07-23,9.0225
7,2013-07-24,10.0
8,2013-07-25,9.0
9,2013-07-26,8.84
10,2013-07-29,9.97
11,2013-07-30,8.5
12,2013-07-31,8.25
13,2013-08-01,8.4999
14,2013-08-02,8.49
15,2013-08-05,8.023
16,2013-08-06,7.51
17,2013-08-07,8.48
18,2013-08-08,8.5
19,2013-08-09,8.49
20,2013-08-12,8.26
21,2013-08-13,8.425
22,2013-08-14,8.35
23,2013-08-15,9.0
24,2013-08-16,9.45
25,2013-08-19,9.2
26,2013-08-20,9.11
27,2013-08-21,8.5
28,2013-08-22,8.48
29,2013-08-23,8.45
30,2013-08-26,8.5
31,2013-08-27,8.55
32,2013-08-28,8.35
33,2013-08-29,8.34
34,2013-08-30,8.4
35,2013-09-03,8.53
36,2013-09-04,8.5
37,2013-09-05,8.53
38,2013-09-06,8.52
39,2013-09-09,8.12
40,2013-09-10,8.49
41,2013-09-11,8.42
42,2013-09-12,8.63
43,2013-09-13,9.3
44,2013-09-16,10.2
45,2013-09-17,13.25
46,2013-09-18,14.49
47,2013-09-19,16.99
48,2013-09-20,15.95
49,2013-09-23,15.56
50,2013-09-24,15.32
51,2013-09-25,13.62
52,2013-09-26,14.29
53,2013-09-27,13.22
54,2013-09-30,14.0
55,2013-10-01,15.0
56,2013-10-02,18.14
57,2013-10-03,17.88
58,2013-10-04,18.43
59,2013-10-07,19.2
60,2013-10-08,18.5
61,2013-10-09,18.5
62,2013-10-10,17.82
63,2013-10-11,17.82
64,2013-10-14,17.25
65,2013-10-15,16.57
66,2013-10-16,16.27
67,2013-10-17,16.17
68,2013-10-18,17.52
69,2013-10-21,17.58
70,2013-10-22,18.35
71,2013-10-23,18.13
72,2013-10-24,18.25
73,2013-10-25,17.41
74,2013-10-28,17.2
75,2013-10-29,17.6
76,2013-10-30,17.4
77,2013-10-31,17.76
78,2013-11-01,16.9
79,2013-11-04,17.48
80,2013-11-05,17.41
81,2013-11-06,17.35
82,2013-11-07,16.83
83,2013-11-08,16.12
84,2013-11-11,15.95
85,2013-11-12,15.775
86,2013-11-13,16.8
87,2013-11-14,17.6
88,2013-11-15,17.5
89,2013-11-18,17.37
90,2013-11-19,17.35
91,2013-11-20,17.4999
92,2013-11-21,16.59
93,2013-11-22,17.22
94,2013-11-25,17.21
95,2013-11-26,16.9
96,2013-11-27,17.0
97,2013-11-29,16.95
98,2013-12-02,16.875
99,2013-12-03,16.76
100,2013-12-04,16.41
101,2013-12-05,16.6
102,2013-12-06,16.61
103,2013-12-09,16.5
104,2013-12-10,16.0
105,2013-12-11,17.0
106,2013-12-12,17.22
107,2013-12-13,17.0
108,2013-12-16,16.78
109,2013-12-17,16.75
110,2013-12-18,17.5
111,2013-12-19,16.78
112,2013-12-20,16.91
113,2013-12-23,17.0
114,2013-12-24,16.6401
115,2013-12-26,16.95
116,2013-12-27,16.26
117,2013-12-30,16.8
118,2013-12-31,16.88
119,2014-01-02,16.88
120,2014-01-03,17.12
121,2014-01-06,18.0
122,2014-01-07,16.81
123,2014-01-08,17.29
124,2014-01-09,17.82
125,2014-01-10,18.2
126,2014-01-13,18.8
127,2014-01-14,19.97
128,2014-01-15,19.9
129,2014-01-16,21.5
130,2014-01-17,22.0
131,2014-01-21,22.5
132,2014-01-22,19.44
133,2014-01-23,20.91
134,2014-01-24,21.0101
135,2014-01-27,21.99
136,2014-01-28,21.43
137,2014-01-29,20.28
138,2014-01-30,19.75
139,2014-01-31,20.89
140,2014-02-03,20.79
141,2014-02-04,20.7
142,2014-02-05,19.84
143,2014-02-06,21.0
144,2014-02-07,21.0
145,2014-02-10,21.0
146,2014-02-11,21.5
147,2014-02-12,21.94
148,2014-02-13,22.0
149,2014-02-14,21.95
150,2014-02-18,20.95
151,2014-02-19,20.9
152,2014-02-20,20.79
153,2014-02-21,21.3
154,2014-02-24,21.6
155,2014-02-25,23.23
156,2014-02-26,24.51
157,2014-02-27,25.1
158,2014-02-28,23.7901
159,2014-03-03,24.0
160,2014-03-04,22.86
161,2014-03-05,23.0
162,2014-03-06,22.83
163,2014-03-07,21.0
164,2014-03-10,21.0
165,2014-03-11,20.9
166,2014-03-12,20.88
167,2014-03-13,21.0
168,2014-03-14,21.1
169,2014-03-17,21.75
170,2014-03-18,21.16
171,2014-03-19,21.4
172,2014-03-20,21.13
173,2014-03-21,21.3
174,2014-03-24,20.35
175,2014-03-25,18.25
176,2014-03-26,18.67
177,2014-03-27,18.21
178,2014-03-28,19.22
179,2014-03-31,19.0
180,2014-04-01,19.0054
181,2014-04-02,19.5
182,2014-04-03,19.01
183,2014-04-04,19.1
184,2014-04-07,17.97
185,2014-04-08,18.46
186,2014-04-09,18.72
187,2014-04-10,18.97
188,2014-04-11,18.7
189,2014-04-14,18.12
190,2014-04-15,18.0
191,2014-04-16,16.8
192,2014-04-17,18.81
193,2014-04-21,19.04
194,2014-04-22,19.05
195,2014-04-23,19.8
196,2014-04-24,19.04
197,2014-04-25,18.86
198,2014-04-28,18.9
199,2014-04-29,19.0
200,2014-04-30,18.67
201,2014-05-01,19.06
202,2014-05-02,18.4
203,2014-05-05,18.0001
204,2014-05-06,18.05
205,2014-05-07,18.23
206,2014-05-08,17.16
207,2014-05-09,17.22
208,2014-05-12,16.14
209,2014-05-13,16.5
210,2014-05-14,16.71
211,2014-05-15,16.97
212,2014-05-16,17.05
213,2014-05-19,16.99
214,2014-05-20,16.65
215,2014-05-21,16.96
216,2014-05-22,17.32
217,2014-05-23,17.78
218,2014-05-27,18.0
219,2014-05-28,19.1
220,2014-05-29,20.29
221,2014-05-30,21.68
222,2014-06-02,21.25
223,2014-06-03,20.71
224,2014-06-04,20.11
225,2014-06-05,20.39
226,2014-06-06,20.67
227,2014-06-09,21.2
228,2014-06-10,21.76
229,2014-06-11,20.77
230,2014-06-12,21.26
231,2014-06-13,20.68
232,2014-06-16,20.44
233,2014-06-17,19.77
234,2014-06-18,19.711
235,2014-06-19,21.22
236,2014-06-20,20.56
237,2014-06-23,21.69
238,2014-06-24,22.5
239,2014-06-25,23.1
240,2014-06-26,22.75
241,2014-06-27,22.9
242,2014-06-30,21.78
243,2014-07-01,20.2
244,2014-07-02,19.89
245,2014-07-03,19.2
246,2014-07-07,18.97
247,2014-07-08,17.78
248,2014-07-09,17.0
249,2014-07-10,17.23
250,2014-07-11,17.31
251,2014-07-14,17.92
252,2014-07-15,17.52
253,2014-07-16,17.2745
254,2014-07-17,16.74
255,2014-07-18,15.81
256,2014-07-21,16.33
257,2014-07-22,17.12
258,2014-07-23,18.18
259,2014-07-24,17.26
260,2014-07-25,17.96
261,2014-07-28,18.544
262,2014-07-29,17.56
263,2014-07-30,18.14
264,2014-07-31,18.61
265,2014-08-01,18.32
266,2014-08-04,18.5
267,2014-08-05,18.77
268,2014-08-06,18.68
269,2014-08-07,18.34
270,2014-08-08,17.43
271,2014-08-11,18.02
272,2014-08-12,17.99
273,2014-08-13,18.3
274,2014-08-14,19.8899
275,2014-08-15,20.17
276,2014-08-18,19.54
277,2014-08-19,18.8325
278,2014-08-20,19.22
279,2014-08-21,18.52
280,2014-08-22,19.07
281,2014-08-25,19.3997
282,2014-08-26,19.3299
283,2014-08-27,19.22
284,2014-08-28,20.15
285,2014-08-29,20.56
286,2014-09-02,20.71
287,2014-09-03,21.0
288,2014-09-04,20.0
289,2014-09-05,21.01
290,2014-09-08,20.6
291,2014-09-09,20.75
292,2014-09-10,20.67
293,2014-09-11,20.63
294,2014-09-12,20.26
295,2014-09-15,20.0
296,2014-09-16,19.28
297,2014-09-17,19.06
298,2014-09-18,19.15
299,2014-09-19,19.18
300,2014-09-22,18.29
301,2014-09-23,17.77
302,2014-09-24,17.51
303,2014-09-25,17.82
304,2014-09-26,17.74
305,2014-09-29,18.26
306,2014-09-30,18.41
307,2014-10-01,17.6
308,2014-10-02,17.3
309,2014-10-03,18.78
310,2014-10-06,19.04
311,2014-10-07,18.7
312,2014-10-08,18.29
313,2014-10-09,18.0401
314,2014-10-10,17.17
315,2014-10-13,17.08
316,2014-10-14,17.18
317,2014-10-15,16.65
318,2014-10-16,16.26
319,2014-10-17,17.45
320,2014-10-20,16.64
321,2014-10-21,17.1
322,2014-10-22,17.2
323,2014-10-23,17.01
324,2014-10-24,17.93
325,2014-10-27,17.16
326,2014-10-28,17.0
327,2014-10-29,16.93
328,2014-10-30,17.02
329,2014-10-31,17.68
330,2014-11-03,16.66
331,2014-11-04,17.25
332,2014-11-05,17.28
333,2014-11-06,16.8
334,2014-11-07,16.88
335,2014-11-10,16.45
336,2014-11-11,16.82
337,2014-11-12,16.46
338,2014-11-13,16.43
339,2014-11-14,16.68
340,2014-11-17,15.9401
341,2014-11-18,16.42
342,2014-11-19,16.02
343,2014-11-20,15.82
344,2014-11-21,16.22
345,2014-11-24,15.846
346,2014-11-25,15.33
347,2014-11-26,14.98
348,2014-11-28,15.1
349,2014-12-01,14.8
350,2014-12-02,15.124
351,2014-12-03,14.24
352,2014-12-04,14.67
353,2014-12-05,14.62
354,2014-12-08,15.0
355,2014-12-09,14.92
356,2014-12-10,15.7
357,2014-12-11,15.45
358,2014-12-12,15.14
359,2014-12-15,15.92
360,2014-12-16,15.5
361,2014-12-17,16.5
362,2014-12-18,17.47
363,2014-12-19,19.0
364,2014-12-22,18.75
365,2014-12-23,19.25
366,2014-12-24,19.25
