,date,open
0,2020-11-20,31.95
1,2020-11-23,31.11
2,2020-11-24,29.14
3,2020-11-25,26.75
4,2020-11-27,27.41
5,2020-11-30,29.16
6,2020-12-01,28.29
7,2020-12-02,27.19
8,2020-12-03,28.0
9,2020-12-04,27.68
10,2020-12-07,27.48
11,2020-12-08,26.46
12,2020-12-09,25.53
13,2020-12-10,24.3
14,2020-12-11,25.09
15,2020-12-14,25.74
16,2020-12-15,26.84
17,2020-12-16,27.27
18,2020-12-17,27.64
19,2020-12-18,29.77
20,2020-12-21,29.16
21,2020-12-22,29.53
22,2020-12-23,31.0
23,2020-12-24,30.1
24,2020-12-28,30.04
25,2020-12-29,28.98
26,2020-12-30,27.24
27,2020-12-31,28.0
28,2021-01-04,28.85
29,2021-01-05,27.46
30,2021-01-06,26.72
31,2021-01-07,26.0
32,2021-01-08,26.0
33,2021-01-11,26.02
34,2021-01-12,27.01
35,2021-01-13,28.02
36,2021-01-14,27.52
37,2021-01-15,27.94
38,2021-01-19,28.01
39,2021-01-20,32.0429
40,2021-01-21,30.39
41,2021-01-22,29.93
42,2021-01-25,31.54
43,2021-01-26,31.912
44,2021-01-27,30.45
45,2021-01-28,29.965
46,2021-01-29,30.69
47,2021-02-01,34.87
48,2021-02-02,36.7
49,2021-02-03,35.02
50,2021-02-04,32.99
51,2021-02-05,33.16
52,2021-02-08,34.9262
53,2021-02-09,35.35
54,2021-02-10,35.99
55,2021-02-11,34.71
56,2021-02-12,34.16
57,2021-02-16,35.13
58,2021-02-17,36.0
59,2021-02-18,35.95
60,2021-02-19,36.34
61,2021-02-22,34.9619
62,2021-02-23,32.93
63,2021-02-24,34.54
64,2021-02-25,33.6
65,2021-02-26,32.14
66,2021-03-01,34.77
67,2021-03-02,36.26
68,2021-03-03,39.0
69,2021-03-04,36.63
70,2021-03-05,34.3
71,2021-03-08,35.28
72,2021-03-09,36.58
73,2021-03-10,36.03
74,2021-03-11,36.32
75,2021-03-12,35.56
76,2021-03-15,35.95
77,2021-03-16,38.32
78,2021-03-17,36.73
79,2021-03-18,36.92
80,2021-03-19,35.5
81,2021-03-22,35.41
82,2021-03-23,36.86
83,2021-03-24,36.54
84,2021-03-25,33.78
85,2021-03-26,33.99
86,2021-03-29,33.26
87,2021-03-30,32.07
88,2021-03-31,34.42
89,2021-04-01,36.0
90,2021-04-05,34.6
91,2021-04-06,32.61
92,2021-04-07,32.7
93,2021-04-08,33.97
94,2021-04-09,33.88
95,2021-04-12,34.44
96,2021-04-13,35.13
97,2021-04-14,37.13
98,2021-04-15,37.05
99,2021-04-16,36.63
100,2021-04-19,36.66
101,2021-04-20,36.71
102,2021-04-21,35.22
103,2021-04-22,35.42
104,2021-04-23,36.19
105,2021-04-26,36.66
106,2021-04-27,37.5
107,2021-04-28,37.94
108,2021-04-29,38.28
109,2021-04-30,37.89
110,2021-05-03,39.3
111,2021-05-04,38.75
112,2021-05-05,36.64
113,2021-05-06,36.96
114,2021-05-07,36.12
115,2021-05-10,37.34
116,2021-05-11,35.99
117,2021-05-12,34.8
118,2021-05-13,36.44
119,2021-05-14,37.01
120,2021-05-17,38.38
121,2021-05-18,38.75
122,2021-05-19,37.89
123,2021-05-20,38.97
124,2021-05-21,39.68
125,2021-05-24,37.55
126,2021-05-25,36.31
127,2021-05-26,36.53
128,2021-05-27,37.5
129,2021-05-28,37.68
130,2021-06-01,37.58
131,2021-06-02,37.93
132,2021-06-03,38.35
133,2021-06-04,40.67
134,2021-06-07,42.99
135,2021-06-08,41.92
136,2021-06-09,42.03
137,2021-06-10,42.08
138,2021-06-11,43.735
139,2021-06-14,45.25
140,2021-06-15,45.17
141,2021-06-16,44.28
142,2021-06-17,43.25
143,2021-06-18,44.85
144,2021-06-21,44.78
145,2021-06-22,44.62
146,2021-06-23,45.19
147,2021-06-24,43.08
148,2021-06-25,43.15
149,2021-06-28,42.91
150,2021-06-29,42.14
151,2021-06-30,43.0
152,2021-07-01,41.88
153,2021-07-02,40.26
154,2021-07-06,39.35
155,2021-07-07,39.84
156,2021-07-08,37.39
157,2021-07-09,38.89
158,2021-07-12,38.5
159,2021-07-13,39.35
