,date,open
0,2016-10-27,15.0
1,2016-10-28,13.34
2,2016-10-31,13.0
3,2016-11-01,11.96
4,2016-11-02,11.89
5,2016-11-03,11.1
6,2016-11-04,11.82
7,2016-11-07,12.35
8,2016-11-08,11.89
9,2016-11-09,10.75
10,2016-11-10,10.62
11,2016-11-11,12.3
12,2016-11-14,11.2948
13,2016-11-15,11.45
14,2016-11-16,11.4789
15,2016-11-17,11.7
16,2016-11-18,10.96
17,2016-11-21,11.25
18,2016-11-22,11.8
19,2016-11-23,11.0
20,2016-11-25,11.99
21,2016-11-28,14.25
22,2016-11-29,13.2
23,2016-11-30,13.01
24,2016-12-01,12.56
25,2016-12-02,11.88
26,2016-12-05,11.24
27,2016-12-06,11.03
28,2016-12-07,10.51
29,2016-12-08,10.72
30,2016-12-09,10.7
31,2016-12-12,11.26
32,2016-12-13,11.08
33,2016-12-14,12.18
34,2016-12-15,11.08
35,2016-12-16,10.7
36,2016-12-19,11.4
37,2016-12-20,11.25
38,2016-12-21,11.169
39,2016-12-22,10.9501
40,2016-12-23,11.0
41,2016-12-27,11.4886
42,2016-12-28,10.8
43,2016-12-29,11.1
44,2016-12-30,12.68
45,2017-01-03,12.47
46,2017-01-04,11.93
47,2017-01-05,12.2
48,2017-01-06,12.0
49,2017-01-09,12.2
50,2017-01-10,11.9
51,2017-01-11,11.8811
52,2017-01-12,12.01
53,2017-01-13,11.93
54,2017-01-17,11.75
55,2017-01-18,11.89
56,2017-01-19,11.7318
57,2017-01-20,11.31
58,2017-01-23,11.3
59,2017-01-24,11.15
60,2017-01-25,11.15
61,2017-01-26,10.89
62,2017-01-27,11.0
63,2017-01-30,11.05
64,2017-01-31,11.05
65,2017-02-01,11.38
66,2017-02-02,10.88
67,2017-02-03,11.03
68,2017-02-06,10.8
69,2017-02-07,10.66
70,2017-02-08,10.53
71,2017-02-09,10.51
72,2017-02-10,10.46
73,2017-02-13,10.94
74,2017-02-14,10.9
75,2017-02-15,10.91
76,2017-02-16,11.16
77,2017-02-17,11.21
78,2017-02-21,11.31
79,2017-02-22,11.2
80,2017-02-23,10.85
81,2017-02-24,10.85
82,2017-02-27,11.18
83,2017-02-28,11.39
84,2017-03-01,11.05
85,2017-03-02,11.68
86,2017-03-03,12.08
87,2017-03-06,11.89
88,2017-03-07,11.7
89,2017-03-08,11.9
90,2017-03-09,12.11
91,2017-03-10,12.2
92,2017-03-13,12.61
93,2017-03-14,12.38
94,2017-03-15,12.2982
95,2017-03-16,12.4
96,2017-03-17,12.26
97,2017-03-20,12.28
98,2017-03-21,12.47
99,2017-03-22,11.52
100,2017-03-23,11.36
101,2017-03-24,11.54
102,2017-03-27,11.28
103,2017-03-28,11.73
104,2017-03-29,11.24
105,2017-03-30,11.65
106,2017-03-31,11.49
107,2017-04-03,11.548
108,2017-04-04,11.32
109,2017-04-05,11.45
110,2017-04-06,11.1
111,2017-04-07,11.18
112,2017-04-10,11.0
113,2017-04-11,11.23
114,2017-04-12,11.37
115,2017-04-13,11.15
116,2017-04-17,11.61
117,2017-04-18,11.67
118,2017-04-19,11.82
119,2017-04-20,12.07
120,2017-04-21,12.17
121,2017-04-24,12.2
122,2017-04-25,12.31
123,2017-04-26,13.16
124,2017-04-27,13.15
125,2017-04-28,13.01
126,2017-05-01,12.89
127,2017-05-02,12.59
128,2017-05-03,12.53
129,2017-05-04,12.3
130,2017-05-05,12.26
131,2017-05-08,12.13
132,2017-05-09,12.36
133,2017-05-10,12.59
134,2017-05-11,12.7903
135,2017-05-12,12.79
136,2017-05-15,12.78
137,2017-05-16,12.65
138,2017-05-17,12.0
139,2017-05-18,11.8642
140,2017-05-19,11.6
141,2017-05-22,11.81
142,2017-05-23,12.03
143,2017-05-24,12.55
144,2017-05-25,12.85
145,2017-05-26,12.99
146,2017-05-30,13.31
147,2017-05-31,13.75
148,2017-06-01,14.27
149,2017-06-02,14.99
150,2017-06-05,15.02
151,2017-06-06,14.94
152,2017-06-07,14.6
153,2017-06-08,13.44
154,2017-06-09,13.76
155,2017-06-12,13.73
156,2017-06-13,12.95
157,2017-06-14,12.25
158,2017-06-15,11.88
159,2017-06-16,11.49
160,2017-06-19,11.35
161,2017-06-20,11.6
162,2017-06-21,11.41
163,2017-06-22,11.6
164,2017-06-23,11.57
165,2017-06-26,11.53
166,2017-06-27,12.0
167,2017-06-28,11.88
168,2017-06-29,12.28
169,2017-06-30,12.6597
170,2017-07-03,11.77
171,2017-07-05,11.81
172,2017-07-06,11.96
173,2017-07-07,11.75
174,2017-07-10,10.98
