,date,open
0,2019-04-04,15.0
1,2019-04-05,15.19
2,2019-04-08,15.22
3,2019-04-09,15.79
4,2019-04-10,16.61
5,2019-04-11,16.84
6,2019-04-12,16.11
7,2019-04-15,16.8
8,2019-04-16,16.2
9,2019-04-17,15.87
10,2019-04-18,16.0
11,2019-04-22,15.5
12,2019-04-23,15.7
13,2019-04-24,16.25
14,2019-04-25,15.4
15,2019-04-26,15.49
16,2019-04-29,15.94
17,2019-04-30,15.97
18,2019-05-01,16.0
19,2019-05-02,15.9
20,2019-05-03,15.95
21,2019-05-06,15.71
22,2019-05-07,14.73
23,2019-05-08,14.62
24,2019-05-09,14.73
25,2019-05-10,14.36
26,2019-05-13,13.82
27,2019-05-14,13.61
28,2019-05-15,13.46
29,2019-05-16,13.4
30,2019-05-17,12.48
31,2019-05-20,13.35
32,2019-05-21,13.5
33,2019-05-22,14.47
34,2019-05-23,14.91
35,2019-05-24,15.0
36,2019-05-28,15.0
37,2019-05-29,14.9
38,2019-05-30,14.87
39,2019-05-31,14.36
40,2019-06-03,14.14
41,2019-06-04,13.57
42,2019-06-05,13.14
43,2019-06-06,13.67
44,2019-06-07,13.15
45,2019-06-10,13.7866
46,2019-06-11,13.81
47,2019-06-12,13.45
48,2019-06-13,14.255
49,2019-06-14,14.0828
50,2019-06-17,13.76
51,2019-06-18,14.0
52,2019-06-19,13.71
53,2019-06-20,13.79
54,2019-06-21,13.87
55,2019-06-24,13.91
56,2019-06-25,14.18
57,2019-06-26,14.51
58,2019-06-27,14.85
59,2019-06-28,14.75
60,2019-07-01,15.0
61,2019-07-02,14.98
62,2019-07-03,14.46
63,2019-07-05,13.89
64,2019-07-08,13.86
65,2019-07-09,13.53
66,2019-07-10,13.75
67,2019-07-11,13.89
68,2019-07-12,13.95
69,2019-07-15,13.65
70,2019-07-16,13.78
71,2019-07-17,14.19
72,2019-07-18,14.4
73,2019-07-19,14.13
74,2019-07-22,14.01
75,2019-07-23,13.2
76,2019-07-24,13.09
77,2019-07-25,13.53
78,2019-07-26,13.49
79,2019-07-29,13.66
80,2019-07-30,13.72
81,2019-07-31,14.09
82,2019-08-01,14.07
83,2019-08-02,13.98
84,2019-08-05,14.12
85,2019-08-06,14.2587
86,2019-08-07,14.45
87,2019-08-08,13.98
88,2019-08-09,14.15
89,2019-08-12,14.0
90,2019-08-13,13.89
91,2019-08-14,15.0
92,2019-08-15,14.66
93,2019-08-16,15.29
94,2019-08-19,15.0
95,2019-08-20,15.0
96,2019-08-21,15.09
97,2019-08-22,15.75
98,2019-08-23,17.5
99,2019-08-26,17.5
100,2019-08-27,17.66
101,2019-08-28,16.83
102,2019-08-29,16.52
103,2019-08-30,17.31
104,2019-09-03,17.85
105,2019-09-04,17.74
106,2019-09-05,18.33
107,2019-09-06,16.8
108,2019-09-09,15.88
109,2019-09-10,15.67
110,2019-09-11,15.3
111,2019-09-12,16.0975
112,2019-09-13,15.92
113,2019-09-16,15.81
114,2019-09-17,15.81
115,2019-09-18,16.11
116,2019-09-19,15.61
117,2019-09-20,16.31
118,2019-09-23,16.5
119,2019-09-24,16.61
120,2019-09-25,15.855
121,2019-09-26,15.77
122,2019-09-27,14.72
123,2019-09-30,14.02
124,2019-10-01,13.5
125,2019-10-02,13.33
126,2019-10-03,12.9
127,2019-10-04,13.1
128,2019-10-07,8.81
129,2019-10-08,10.84
130,2019-10-09,9.98
131,2019-10-10,10.38
132,2019-10-11,10.48
133,2019-10-14,10.25
134,2019-10-15,10.26
135,2019-10-16,10.0
136,2019-10-17,10.57
137,2019-10-18,10.77
138,2019-10-21,11.29
139,2019-10-22,11.91
140,2019-10-23,12.15
141,2019-10-24,12.61
142,2019-10-25,12.86
143,2019-10-28,13.32
144,2019-10-29,13.19
145,2019-10-30,12.99
146,2019-10-31,13.5
147,2019-11-01,13.01
148,2019-11-04,11.32
149,2019-11-05,12.37
150,2019-11-06,12.75
151,2019-11-07,13.15
152,2019-11-08,12.81
153,2019-11-11,12.6
154,2019-11-12,12.81
155,2019-11-13,13.2
156,2019-11-14,12.88
157,2019-11-15,14.25
158,2019-11-18,14.43
159,2019-11-19,13.98
160,2019-11-20,14.54
161,2019-11-21,14.82
162,2019-11-22,14.44
163,2019-11-25,14.81
164,2019-11-26,15.73
165,2019-11-27,16.12
166,2019-11-29,16.38
167,2019-12-02,16.52
168,2019-12-03,17.24
169,2019-12-04,17.3
170,2019-12-05,16.76
171,2019-12-06,16.66
172,2019-12-09,16.99
173,2019-12-10,16.76
174,2019-12-11,17.29
175,2019-12-12,17.24
176,2019-12-13,18.2
