,date,open
0,2020-07-10,54.75
1,2020-07-13,45.15
2,2020-07-14,39.29
3,2020-07-15,36.53
4,2020-07-16,35.65
5,2020-07-17,36.85
6,2020-07-20,36.61
7,2020-07-21,36.08
8,2020-07-22,33.78
9,2020-07-23,31.3
10,2020-07-24,31.24
11,2020-07-27,28.76
12,2020-07-28,28.07
13,2020-07-29,27.44
14,2020-07-30,26.58
15,2020-07-31,26.5
16,2020-08-03,26.29
17,2020-08-04,27.29
18,2020-08-05,26.5
19,2020-08-06,25.23
20,2020-08-07,24.85
21,2020-08-10,24.61
22,2020-08-11,23.53
23,2020-08-12,24.38
24,2020-08-13,24.5
25,2020-08-14,27.44
26,2020-08-17,27.71
27,2020-08-18,26.85
28,2020-08-19,28.69
29,2020-08-20,27.23
30,2020-08-21,26.67
31,2020-08-24,26.36
32,2020-08-25,25.22
33,2020-08-26,24.42
34,2020-08-27,24.12
35,2020-08-28,25.22
36,2020-08-31,28.13
37,2020-09-01,24.29
38,2020-09-02,24.18
39,2020-09-03,26.08
40,2020-09-04,26.24
41,2020-09-08,26.75
42,2020-09-09,26.63
43,2020-09-10,27.85
44,2020-09-11,31.95
45,2020-09-14,32.04
46,2020-09-15,34.49
47,2020-09-16,34.4
48,2020-09-17,32.0
49,2020-09-18,30.95
50,2020-09-21,32.83
51,2020-09-22,34.98
52,2020-09-23,33.59
53,2020-09-24,31.74
54,2020-09-25,30.89
55,2020-09-28,30.51
56,2020-09-29,31.57
57,2020-09-30,30.25
58,2020-10-01,29.62
59,2020-10-02,29.59
60,2020-10-05,29.92
61,2020-10-06,31.44
62,2020-10-07,33.25
63,2020-10-08,34.99
64,2020-10-09,33.67
65,2020-10-12,29.27
66,2020-10-13,29.75
67,2020-10-14,31.37
68,2020-10-15,29.27
69,2020-10-16,30.76
70,2020-10-19,32.27
71,2020-10-20,30.22
72,2020-10-21,28.5479
73,2020-10-22,27.61
74,2020-10-23,27.14
75,2020-10-26,29.28
76,2020-10-27,30.9
77,2020-10-28,31.36
78,2020-10-29,29.85
79,2020-10-30,27.9
80,2020-11-02,28.98
81,2020-11-03,29.02
82,2020-11-04,29.35
83,2020-11-05,31.31
84,2020-11-06,29.75
85,2020-11-09,28.38
86,2020-11-10,29.87
87,2020-11-11,29.86
88,2020-11-12,30.72
89,2020-11-13,31.03
90,2020-11-16,32.32
91,2020-11-17,33.8
92,2020-11-18,35.45
93,2020-11-19,34.03
94,2020-11-20,33.4
95,2020-11-23,34.66
96,2020-11-24,34.8
97,2020-11-25,34.51
98,2020-11-27,35.3
99,2020-11-30,34.2
100,2020-12-01,33.61
101,2020-12-02,33.97
102,2020-12-03,34.06
103,2020-12-04,35.92
104,2020-12-07,40.68
105,2020-12-08,48.01
106,2020-12-09,63.23
107,2020-12-10,67.02
108,2020-12-11,70.63
109,2020-12-14,69.99
110,2020-12-15,69.67
111,2020-12-16,68.1
112,2020-12-17,68.99
113,2020-12-18,68.79
114,2020-12-21,62.74
115,2020-12-22,66.87
116,2020-12-23,74.41
117,2020-12-24,79.11
118,2020-12-28,69.54
119,2020-12-29,66.05
120,2020-12-30,64.23
121,2020-12-31,65.52
122,2021-01-04,61.47
123,2021-01-05,58.31
124,2021-01-06,54.98
125,2021-01-07,56.24
126,2021-01-08,57.03
127,2021-01-11,54.41
128,2021-01-12,58.68
129,2021-01-13,53.49
130,2021-01-14,55.15
131,2021-01-15,51.88
132,2021-01-19,51.88
133,2021-01-20,53.0
134,2021-01-21,51.25
135,2021-01-22,48.0
136,2021-01-25,49.29
137,2021-01-26,46.66
138,2021-01-27,43.1
139,2021-01-28,44.04
140,2021-01-29,41.46
141,2021-02-01,39.65
142,2021-02-02,37.61
143,2021-02-03,44.77
144,2021-02-04,44.65
145,2021-02-05,46.05
146,2021-02-08,47.82
147,2021-02-09,53.03
148,2021-02-10,56.23
149,2021-02-11,54.22
150,2021-02-12,52.07
151,2021-02-16,53.4
152,2021-02-17,55.84
153,2021-02-18,56.7
154,2021-02-19,55.59
155,2021-02-22,56.06
156,2021-02-23,55.37
157,2021-02-24,54.23
158,2021-02-25,52.0
159,2021-02-26,47.88
160,2021-03-01,50.04
161,2021-03-02,49.33
162,2021-03-03,47.22
