,date,open
0,2021-07-29,18.1
1,2021-07-30,18.75
2,2021-08-02,18.5
3,2021-08-03,21.92
4,2021-08-04,24.0
5,2021-08-05,25.55
6,2021-08-06,24.55
7,2021-08-09,22.35
8,2021-08-10,22.7206
9,2021-08-11,22.5
10,2021-08-12,21.0
11,2021-08-13,21.5
12,2021-08-16,21.13
13,2021-08-17,25.0
14,2021-08-18,27.08
15,2021-08-19,26.11
16,2021-08-20,26.11
17,2021-08-23,27.46
18,2021-08-24,29.45
19,2021-08-25,29.31
20,2021-08-26,31.37
21,2021-08-27,33.01
22,2021-08-30,34.69
23,2021-08-31,34.64
24,2021-09-01,37.0
25,2021-09-02,35.07
26,2021-09-03,36.99
27,2021-09-07,38.7
28,2021-09-08,38.53
29,2021-09-09,37.63
30,2021-09-10,37.16
31,2021-09-13,38.0
32,2021-09-14,37.52
33,2021-09-15,37.21
34,2021-09-16,38.35
35,2021-09-17,37.16
36,2021-09-20,35.86
37,2021-09-21,35.49
38,2021-09-22,33.19
39,2021-09-23,26.65
40,2021-09-24,26.0
41,2021-09-27,22.51
42,2021-09-28,23.35
43,2021-09-29,22.07
44,2021-09-30,21.28
45,2021-10-01,22.55
46,2021-10-04,23.99
47,2021-10-05,24.62
48,2021-10-06,21.31
49,2021-10-07,20.21
50,2021-10-08,19.0
51,2021-10-11,19.43
52,2021-10-12,18.15
53,2021-10-13,18.75
54,2021-10-14,19.66
55,2021-10-15,20.67
56,2021-10-18,19.94
57,2021-10-19,20.66
58,2021-10-20,21.57
59,2021-10-21,21.09
60,2021-10-22,22.57
61,2021-10-25,19.83
62,2021-10-26,20.77
63,2021-10-27,22.73
64,2021-10-28,21.74
65,2021-10-29,24.26
66,2021-11-01,24.26
67,2021-11-02,25.49
68,2021-11-03,27.84
69,2021-11-04,30.25
70,2021-11-05,29.92
71,2021-11-08,29.08
72,2021-11-09,27.31
73,2021-11-10,27.48
74,2021-11-11,26.99
75,2021-11-12,27.1
76,2021-11-15,25.62
77,2021-11-16,24.41
78,2021-11-17,27.49
79,2021-11-18,28.02
80,2021-11-19,25.03
81,2021-11-22,24.81
82,2021-11-23,24.37
83,2021-11-24,20.02
84,2021-11-26,22.42
85,2021-11-29,20.79
86,2021-11-30,21.08
87,2021-12-01,21.98
88,2021-12-02,18.76
89,2021-12-03,19.7
90,2021-12-06,20.37
91,2021-12-07,20.14
92,2021-12-08,19.01
93,2021-12-09,21.27
94,2021-12-10,21.47
95,2021-12-13,21.36
96,2021-12-14,20.14
97,2021-12-15,20.24
98,2021-12-16,21.66
99,2021-12-17,21.72
100,2021-12-20,22.21
101,2021-12-21,19.81
102,2021-12-22,20.19
103,2021-12-23,20.04
104,2021-12-27,18.55
105,2021-12-28,19.0665
106,2021-12-29,19.48
107,2021-12-30,18.8323
108,2021-12-31,19.04
109,2022-01-03,18.54
110,2022-01-04,18.97
111,2022-01-05,19.08
112,2022-01-06,17.18
113,2022-01-07,14.62
114,2022-01-10,14.29
115,2022-01-11,13.12
116,2022-01-12,13.48
117,2022-01-13,12.51
118,2022-01-14,12.26
119,2022-01-18,12.33
120,2022-01-19,11.79
121,2022-01-20,12.2
122,2022-01-21,12.19
123,2022-01-24,11.97
124,2022-01-25,12.47
125,2022-01-26,13.03
126,2022-01-27,12.74
127,2022-01-28,12.25
128,2022-01-31,12.94
129,2022-02-01,13.58
130,2022-02-02,14.8
131,2022-02-03,13.23
132,2022-02-04,13.7
133,2022-02-07,14.34
134,2022-02-08,15.44
135,2022-02-09,16.24
136,2022-02-10,17.11
137,2022-02-11,17.3
138,2022-02-14,18.04
139,2022-02-15,17.1
140,2022-02-16,18.09
141,2022-02-17,19.46
142,2022-02-18,18.84
143,2022-02-22,17.88
144,2022-02-23,16.48
145,2022-02-24,15.33
146,2022-02-25,15.48
147,2022-02-28,15.27
148,2022-03-01,14.73
149,2022-03-02,15.11
150,2022-03-03,15.73
151,2022-03-04,14.31
152,2022-03-07,15.02
153,2022-03-08,15.91
154,2022-03-09,16.22
155,2022-03-10,15.37
156,2022-03-11,16.05
157,2022-03-14,15.22
158,2022-03-15,11.5
159,2022-03-16,12.59
160,2022-03-17,11.61
161,2022-03-18,11.97
162,2022-03-21,12.29
163,2022-03-22,12.04
164,2022-03-23,12.14
165,2022-03-24,12.42
166,2022-03-25,12.81
167,2022-03-28,12.45
168,2022-03-29,12.71
169,2022-03-30,13.07
170,2022-03-31,13.71
171,2022-04-01,13.87
172,2022-04-04,14.83
173,2022-04-05,15.05
174,2022-04-06,14.22
175,2022-04-07,13.15
176,2022-04-08,12.6
177,2022-04-11,13.12
178,2022-04-12,12.4
179,2022-04-13,11.82
180,2022-04-14,12.63
181,2022-04-18,11.87
182,2022-04-19,11.18
183,2022-04-20,12.02
184,2022-04-21,12.01
185,2022-04-22,10.99
186,2022-04-25,10.7
187,2022-04-26,11.34
188,2022-04-27,10.82
189,2022-04-28,10.71
190,2022-04-29,11.24
191,2022-05-02,10.33
192,2022-05-03,10.32
193,2022-05-04,10.55
194,2022-05-05,10.91
195,2022-05-06,10.53
196,2022-05-09,10.17
197,2022-05-10,8.88
198,2022-05-11,9.15
199,2022-05-12,8.11
200,2022-05-13,8.61
201,2022-05-16,7.9
202,2022-05-17,7.62
203,2022-05-18,8.3
204,2022-05-19,7.4
205,2022-05-20,7.69
206,2022-05-23,8.23
207,2022-05-24,8.22
208,2022-05-25,8.06
209,2022-05-26,8.62
210,2022-05-27,9.24
211,2022-05-31,9.37
212,2022-06-01,8.9
213,2022-06-02,8.245
214,2022-06-03,9.0
215,2022-06-06,9.24
216,2022-06-07,9.37
217,2022-06-08,9.78
218,2022-06-09,9.56
219,2022-06-10,9.53
220,2022-06-13,9.11
221,2022-06-14,9.22
222,2022-06-15,9.65
223,2022-06-16,9.39
224,2022-06-17,9.45
225,2022-06-21,10.29
226,2022-06-22,10.75
227,2022-06-23,12.01
228,2022-06-24,13.19
229,2022-06-27,13.69
230,2022-06-28,13.55
231,2022-06-29,13.44
232,2022-06-30,13.76
233,2022-07-01,13.55
234,2022-07-05,13.43
235,2022-07-06,14.8
236,2022-07-07,16.74
237,2022-07-08,17.3
238,2022-07-11,17.81
239,2022-07-12,17.6
240,2022-07-13,16.5
241,2022-07-14,17.65
242,2022-07-15,18.33
243,2022-07-18,16.63
244,2022-07-19,16.5
245,2022-07-20,17.07
246,2022-07-21,15.99
247,2022-07-22,16.38
248,2022-07-25,15.37
249,2022-07-26,15.87
250,2022-07-27,16.94
251,2022-07-28,17.28
252,2022-07-29,16.86
253,2022-08-01,14.57
254,2022-08-02,14.29
255,2022-08-03,14.43
256,2022-08-04,14.32
257,2022-08-05,15.57
258,2022-08-08,16.27
259,2022-08-09,16.47
260,2022-08-10,17.0
261,2022-08-11,17.58
262,2022-08-12,16.37
263,2022-08-15,16.68
264,2022-08-16,16.9
265,2022-08-17,16.4
266,2022-08-18,16.09
267,2022-08-19,16.13
268,2022-08-22,15.88
269,2022-08-23,16.09
270,2022-08-24,16.08
271,2022-08-25,17.67
272,2022-08-26,16.94
273,2022-08-29,15.64
274,2022-08-30,16.26
275,2022-08-31,16.1
276,2022-09-01,16.88
277,2022-09-02,17.06
278,0,17.0
279,2022-08-11,17.58
280,2022-08-12,16.37
281,2022-08-15,16.68
282,2022-08-16,16.9
283,2022-08-17,16.4
284,2022-08-18,16.09
285,2022-08-19,16.13
286,2022-08-22,15.88
287,2022-08-23,16.09
288,2022-08-24,16.08
289,2022-08-25,17.67
290,2022-08-26,16.94
291,2022-08-29,15.64
292,2022-08-30,16.26
293,2022-08-31,16.1
294,2022-09-01,16.88
295,2022-09-02,17.06
