,date,open
0,1995-12-13,92.4
1,1995-12-14,76.2
2,1995-12-15,77.6
3,1995-12-18,67.6
4,1995-12-19,70.0
5,1995-12-20,65.0
6,1995-12-21,70.0
7,1995-12-22,80.0
8,1995-12-26,72.4
9,1995-12-27,72.4
10,1995-12-28,70.0
11,1995-12-29,70.0
12,1996-01-02,72.4
13,1996-01-03,80.0
14,1996-01-04,80.0
15,1996-01-05,77.6
16,1996-01-08,75.0
17,1996-01-09,75.0
18,1996-01-10,72.4
19,1996-01-11,72.4
20,1996-01-12,70.0
21,1996-01-15,71.2
22,1996-01-16,71.2
23,1996-01-17,68.8
24,1996-01-18,70.0
25,1996-01-19,71.2
26,1996-01-22,71.2
27,1996-01-23,72.4
28,1996-01-24,75.0
29,1996-01-25,78.8
30,1996-01-26,85.0
31,1996-01-29,96.2
32,1996-01-30,96.2
33,1996-01-31,96.2
34,1996-02-01,96.2
35,1996-02-02,90.0
36,1996-02-05,91.2
37,1996-02-06,91.2
38,1996-02-07,93.8
39,1996-02-08,100.0
40,1996-02-09,96.2
41,1996-02-12,98.8
42,1996-02-13,96.2
43,1996-02-14,102.4
44,1996-02-15,105.0
45,1996-02-16,108.8
46,1996-02-20,123.8
47,1996-02-21,121.2
48,1996-02-22,127.6
49,1996-02-23,122.4
50,1996-02-26,121.2
51,1996-02-27,122.4
52,1996-02-28,117.6
53,1996-02-29,118.8
54,1996-03-01,117.6
55,1996-03-04,116.2
56,1996-03-05,112.4
57,1996-03-06,113.8
58,1996-03-07,112.4
59,1996-03-08,111.2
60,1996-03-11,107.6
61,1996-03-12,113.8
62,1996-03-13,113.8
63,1996-03-14,110.0
64,1996-03-15,106.2
65,1996-03-18,105.0
66,1996-03-19,107.6
67,1996-03-20,116.2
68,1996-03-21,117.6
69,1996-03-22,120.0
70,1996-03-25,118.8
71,1996-03-26,117.6
72,1996-03-27,117.6
73,1996-03-28,117.6
74,1996-03-29,120.0
75,1996-04-01,120.0
76,1996-04-02,112.4
77,1996-04-03,117.6
78,1996-04-04,115.0
79,1996-04-08,117.6
80,1996-04-09,115.0
81,1996-04-10,115.0
82,1996-04-11,115.0
83,1996-04-12,110.0
84,1996-04-15,110.0
85,1996-04-16,110.0
86,1996-04-17,108.8
87,1996-04-18,111.2
88,1996-04-19,110.0
89,1996-04-22,120.0
90,1996-04-23,120.0
91,1996-04-24,120.0
92,1996-04-25,120.0
93,1996-04-26,118.8
94,1996-04-29,115.0
95,1996-04-30,120.0
96,1996-05-01,117.6
97,1996-05-02,117.6
98,1996-05-03,130.0
99,1996-05-06,122.4
100,1996-05-07,123.8
101,1996-05-08,136.2
102,1996-05-09,150.0
103,1996-05-10,143.8
104,1996-05-13,141.2
105,1996-05-14,138.8
106,1996-05-15,135.0
107,1996-05-16,135.0
108,1996-05-17,140.0
109,1996-05-20,137.6
110,1996-05-21,146.2
111,1996-05-22,142.4
112,1996-05-23,142.4
113,1996-05-24,138.8
114,1996-05-28,150.0
115,1996-05-29,155.0
116,1996-05-30,157.6
117,1996-05-31,155.0
118,1996-06-03,156.2
119,1996-06-04,162.4
120,1996-06-05,160.0
121,1996-06-06,157.6
122,1996-06-07,155.0
123,1996-06-10,157.6
124,1996-06-11,160.0
125,1996-06-12,157.6
126,1996-06-13,150.0
127,1996-06-14,150.0
128,1996-06-17,150.0
129,1996-06-18,151.2
130,1996-06-19,137.6
131,1996-06-20,137.6
132,1996-06-21,130.0
133,1996-06-24,142.4
134,1996-06-25,132.4
135,1996-06-26,125.0
136,1996-06-27,127.6
137,1996-06-28,137.6
138,1996-07-01,141.2
139,1996-07-02,140.0
140,1996-07-03,130.0
141,1996-07-05,127.6
142,1996-07-08,123.8
143,1996-07-09,117.6
144,1996-07-10,110.0
145,1996-07-11,112.4
146,1996-07-12,105.0
147,1996-07-15,101.2
148,1996-07-16,90.0
149,1996-07-17,82.4
150,1996-07-18,87.6
151,1996-07-19,90.0
152,1996-07-22,80.0
153,1996-07-23,82.4
154,1996-07-24,65.0
155,1996-07-25,70.0
156,1996-07-26,71.2
157,1996-07-29,70.0
158,1996-07-30,75.0
159,1996-07-31,70.0
160,1996-08-01,82.4
161,1996-08-02,87.6
162,1996-08-05,96.2
163,1996-08-06,92.4
164,1996-08-07,88.8
165,1996-08-08,85.0
166,1996-08-09,87.6
167,1996-08-12,86.2
168,1996-08-13,82.4
169,1996-08-14,80.0
170,1996-08-15,77.6
171,1996-08-16,80.0
172,1996-08-19,81.2
173,1996-08-20,80.0
174,1996-08-21,80.0
175,1996-08-22,80.0
176,1996-08-23,87.6
177,1996-08-26,92.4
178,1996-08-27,82.4
179,1996-08-28,80.0
180,1996-08-29,85.0
181,1996-08-30,86.2
182,1996-09-03,82.4
183,1996-09-04,80.0
184,1996-09-05,80.0
185,1996-09-06,81.2
186,1996-09-09,77.6
187,1996-09-10,77.6
188,1996-09-11,87.6
189,1996-09-12,95.0
190,1996-09-13,98.8
191,1996-09-16,100.0
192,1996-09-17,90.0
193,1996-09-18,87.6
194,1996-09-19,85.0
195,1996-09-20,87.6
196,1996-09-23,90.0
197,1996-09-24,90.0
198,1996-09-25,90.0
199,1996-09-26,85.0
200,1996-09-27,87.6
201,1996-09-30,87.6
202,1996-10-01,90.0
203,1996-10-02,92.4
204,1996-10-03,90.0
205,1996-10-04,85.0
