,date,open
0,2020-10-16,11.05
1,2020-10-19,13.24
2,2020-10-20,13.15
3,2020-10-21,13.5
4,2020-10-22,13.5
5,2020-10-23,13.5
6,2020-10-26,13.5
7,2020-10-27,13.35
8,2020-10-28,13.16
9,2020-10-29,12.71
10,2020-10-30,12.7
11,2020-11-02,12.7
12,2020-11-03,12.84
13,2020-11-04,12.75
14,2020-11-05,12.78
15,2020-11-06,12.75
16,2020-11-09,12.96
17,2020-11-10,12.86
18,2020-11-11,13.19
19,2020-11-12,12.71
20,2020-11-13,12.7
21,2020-11-16,12.91
22,2020-11-17,12.99
23,2020-11-18,13.69
24,2020-11-19,13.05
25,2020-11-20,12.95
26,2020-11-23,13.85
27,2020-11-24,13.64
28,2020-11-25,13.21
29,2020-11-27,13.52
30,2020-11-30,13.05
31,2020-12-01,13.2521
32,2020-12-02,13.15
33,2020-12-03,12.92
34,2020-12-04,13.31
35,2020-12-07,13.2
36,2020-12-08,12.2418
37,2020-12-09,13.01
38,2020-12-10,12.58
39,2020-12-11,11.97
40,2020-12-14,11.85
41,2020-12-15,12.3
42,2020-12-16,11.8
43,2020-12-17,12.0
44,2020-12-18,12.25
45,2020-12-21,11.26
46,2020-12-22,12.69
47,2020-12-23,11.86
48,2020-12-24,11.2001
49,2020-12-28,11.46
50,2020-12-29,11.5
51,2020-12-30,11.36
52,2020-12-31,11.3877
53,2021-01-04,11.36
54,2021-01-05,11.7
55,2021-01-06,12.55
56,2021-01-07,11.9001
57,2021-01-08,12.21
58,2021-01-11,12.03
59,2021-01-12,12.195
60,2021-01-13,11.9
61,2021-01-14,12.9999
62,2021-01-15,12.23
63,2021-01-19,12.0226
64,2021-01-20,11.95
65,2021-01-21,12.0008
66,2021-01-22,12.591
67,2021-01-25,11.91
68,2021-01-26,12.71
69,2021-01-27,12.15
70,2021-01-28,11.8099
71,2021-01-29,11.69
72,2021-02-01,12.025
73,2021-02-02,11.6352
74,2021-02-03,11.4
75,2021-02-04,11.2
76,2021-02-05,10.8
77,2021-02-08,11.1499
78,2021-02-09,11.5486
79,2021-02-10,11.5
80,2021-02-11,11.05
81,2021-02-12,10.86
82,2021-02-16,11.67
83,2021-02-17,11.27
84,2021-02-18,11.56
85,2021-02-19,11.57
86,2021-02-22,10.98
87,2021-02-23,10.9
88,2021-02-24,10.7
89,2021-02-25,10.5
90,2021-02-26,9.81
91,2021-03-01,9.36
92,2021-03-02,9.84
93,2021-03-03,10.0513
94,2021-03-04,10.0
95,2021-03-05,9.42
96,2021-03-08,9.0653
97,2021-03-09,9.1589
98,2021-03-10,9.02
99,2021-03-11,9.05
100,2021-03-12,9.68
101,2021-03-15,10.415
102,2021-03-16,10.49
103,2021-03-17,10.23
104,2021-03-18,9.81
105,2021-03-19,9.48
106,2021-03-22,9.82
107,2021-03-23,10.17
108,2021-03-24,10.13
109,2021-03-25,9.65
110,2021-03-26,9.6
111,2021-03-29,9.1
112,2021-03-30,8.9
113,2021-03-31,9.4
114,2021-04-01,9.525
115,2021-04-05,9.75
116,2021-04-06,10.0852
117,2021-04-07,9.41
118,2021-04-08,9.99
119,2021-04-09,10.01
120,2021-04-12,9.98
121,2021-04-13,9.98
122,2021-04-14,9.3543
123,2021-04-15,9.0645
124,2021-04-16,9.68
125,2021-04-19,8.96
126,2021-04-20,9.1506
127,2021-04-21,9.4
128,2021-04-22,9.07
129,2021-04-23,9.7
130,2021-04-26,9.2
131,2021-04-27,9.2
132,2021-04-28,9.21
133,2021-04-29,9.23
134,2021-04-30,9.23
135,2021-05-03,8.94
136,2021-05-04,8.92
137,2021-05-05,8.99
138,2021-05-06,8.6175
139,2021-05-07,7.95
140,2021-05-10,8.59
141,2021-05-11,8.45
142,2021-05-12,8.72
143,2021-05-13,8.2
144,2021-05-14,8.38
145,2021-05-17,8.15
146,2021-05-18,8.3
147,2021-05-19,8.694
148,2021-05-20,8.98
149,2021-05-21,9.1399
150,2021-05-24,9.4
151,2021-05-25,9.45
152,2021-05-26,9.07
153,2021-05-27,9.39
154,2021-05-28,9.038
155,2021-06-01,9.86
156,2021-06-02,9.01
157,2021-06-03,9.96
158,2021-06-04,9.35
159,2021-06-07,9.27
160,2021-06-08,10.01
161,2021-06-09,9.16
162,2021-06-10,8.96
163,2021-06-11,8.75
