,date,open
0,2019-10-31,16.5
1,2019-11-01,18.44
2,2019-11-04,18.81
3,2019-11-05,18.0
4,2019-11-06,16.97
5,2019-11-07,16.35
6,2019-11-08,16.09
7,2019-11-11,15.61
8,2019-11-12,15.28
9,2019-11-13,14.54
10,2019-11-14,14.25
11,2019-11-15,13.86
12,2019-11-18,13.97
13,2019-11-19,14.85
14,2019-11-20,15.9086
15,2019-11-21,14.5
16,2019-11-22,14.65
17,2019-11-25,15.68
18,2019-11-26,16.6
19,2019-11-27,17.7
20,2019-11-29,17.11
21,2019-12-02,17.2
22,2019-12-03,16.48
23,2019-12-04,17.67
24,2019-12-05,17.94
25,2019-12-06,18.53
26,2019-12-09,16.89
27,2019-12-10,17.2
28,2019-12-11,16.68
29,2019-12-12,16.7659
30,2019-12-13,16.9
31,2019-12-16,18.31
32,2019-12-17,17.07
33,2019-12-18,16.46
34,2019-12-19,17.4
35,2019-12-20,17.62
36,2019-12-23,19.34
37,2019-12-24,20.97
38,2019-12-26,22.8
39,2019-12-27,26.29
40,2019-12-30,24.02
41,2019-12-31,23.97
42,2020-01-02,24.35
43,2020-01-03,23.51
44,2020-01-06,25.92
45,2020-01-07,27.44
46,2020-01-08,27.5
47,2020-01-09,26.9
48,2020-01-10,26.73
49,2020-01-13,28.01
50,2020-01-14,28.01
51,2020-01-15,26.51
52,2020-01-16,25.53
53,2020-01-17,24.74
54,2020-01-21,26.19
55,2020-01-22,28.43
56,2020-01-23,29.93
57,2020-01-24,35.2
58,2020-01-27,34.42
59,2020-01-28,34.95
60,2020-01-29,30.55
61,2020-01-30,32.55
62,2020-01-31,32.06
63,2020-02-03,31.69
64,2020-02-04,32.47
65,2020-02-05,32.32
66,2020-02-06,33.04
67,2020-02-07,32.0
68,2020-02-10,32.06
69,2020-02-11,35.0
70,2020-02-12,35.36
71,2020-02-13,35.29
72,2020-02-14,33.87
73,2020-02-18,33.09
74,2020-02-19,34.23
75,2020-02-20,34.98
76,2020-02-21,36.97
77,2020-02-24,38.52
78,2020-02-25,38.32
79,2020-02-26,37.1
80,2020-02-27,39.75
81,2020-02-28,34.89
82,2020-03-02,35.65
83,2020-03-03,36.54
84,2020-03-04,36.54
85,2020-03-05,34.84
86,2020-03-06,31.94
87,2020-03-09,29.68
88,2020-03-10,32.89
89,2020-03-11,32.89
90,2020-03-12,28.03
91,2020-03-13,28.85
92,2020-03-16,27.24
93,2020-03-17,28.31
94,2020-03-18,30.82
95,2020-03-19,30.25
96,2020-03-20,32.05
97,2020-03-23,35.25
98,2020-03-24,35.04
99,2020-03-25,36.5
100,2020-03-26,35.53
101,2020-03-27,35.1
102,2020-03-30,35.6
103,2020-03-31,35.71
104,2020-04-01,33.33
105,2020-04-02,30.96
106,2020-04-03,30.765
107,2020-04-06,31.54
108,2020-04-07,31.0
109,2020-04-08,30.97
110,2020-04-09,28.9
111,2020-04-13,29.14
112,2020-04-14,29.72
113,2020-04-15,28.91
114,2020-04-16,29.1
115,2020-04-17,29.66
116,2020-04-20,29.68
117,2020-04-21,29.58
118,2020-04-22,30.4999
119,2020-04-23,30.14
120,2020-04-24,29.79
121,2020-04-27,30.6666
122,2020-04-28,36.29
123,2020-04-29,33.31
124,2020-04-30,32.05
125,2020-05-01,29.1
126,2020-05-04,30.27
127,2020-05-05,30.87
128,2020-05-06,31.0
129,2020-05-07,30.71
130,2020-05-08,30.79
131,2020-05-11,30.5
132,2020-05-12,35.68
133,2020-05-13,30.51
134,2020-05-14,29.16
135,2020-05-15,29.96
136,2020-05-18,30.99
137,2020-05-19,29.91
138,2020-05-20,29.45
139,2020-05-21,29.05
140,2020-05-22,28.82
141,2020-05-26,29.72
142,2020-05-27,29.02
143,2020-05-28,28.98
144,2020-05-29,28.15
145,2020-06-01,28.17
146,2020-06-02,29.25
147,2020-06-03,29.18
148,2020-06-04,29.43
149,2020-06-05,31.04
150,2020-06-08,29.33
151,2020-06-09,28.05
152,2020-06-10,27.57
153,2020-06-11,28.92
154,2020-06-12,28.24
155,2020-06-15,28.16
156,2020-06-16,31.18
157,2020-06-17,31.4
158,2020-06-18,29.32
159,2020-06-19,32.77
160,2020-06-22,32.01
161,2020-06-23,31.85
162,2020-06-24,31.08
163,2020-06-25,29.15
164,2020-06-26,28.88
165,2020-06-29,28.62
166,2020-06-30,28.66
167,2020-07-01,29.01
168,2020-07-02,29.41
169,2020-07-06,28.75
170,2020-07-07,27.52
171,2020-07-08,26.69
172,2020-07-09,26.1
173,2020-07-10,26.52
174,2020-07-13,26.02
175,2020-07-14,24.22
176,2020-07-15,25.17
177,2020-07-16,25.27
178,2020-07-17,24.84
179,2020-07-20,25.69
180,2020-07-21,26.21
181,2020-07-22,26.37
182,2020-07-23,25.33
183,2020-07-24,23.76
184,2020-07-27,24.73
185,2020-07-28,23.13
186,2020-07-29,23.43
187,2020-07-30,23.07
188,2020-07-31,23.65
189,2020-08-03,22.37
190,2020-08-04,23.33
191,2020-08-05,25.86
192,2020-08-06,27.33
193,2020-08-07,25.04
194,2020-08-10,25.97
195,2020-08-11,26.42
196,2020-08-12,25.67
197,2020-08-13,25.48
198,2020-08-14,25.69
199,2020-08-17,25.61
200,2020-08-18,25.48
201,2020-08-19,24.5499
202,2020-08-20,23.9
203,2020-08-21,22.63
204,2020-08-24,23.17
205,2020-08-25,22.99
206,2020-08-26,22.81
207,2020-08-27,22.34
208,2020-08-28,22.04
209,2020-08-31,21.76
210,2020-09-01,23.07
211,2020-09-02,22.74
212,2020-09-03,21.8923
213,2020-09-04,20.64
214,2020-09-08,19.42
215,2020-09-09,20.75
216,2020-09-10,21.36
217,2020-09-11,20.75
218,2020-09-14,21.18
219,2020-09-15,22.0947
220,2020-09-16,22.24
221,2020-09-17,22.13
222,2020-09-18,22.44
223,2020-09-21,20.57
224,2020-09-22,20.2
225,2020-09-23,19.32
226,2020-09-24,17.85
227,2020-09-25,18.14
228,2020-09-28,19.03
229,2020-09-29,19.0
230,2020-09-30,20.49
231,2020-10-01,21.22
232,2020-10-02,21.13
233,2020-10-05,20.67
234,2020-10-06,22.92
235,2020-10-07,22.55
236,2020-10-08,23.26
237,2020-10-09,24.5
238,2020-10-12,25.18
239,2020-10-13,22.78
240,2020-10-14,22.81
241,2020-10-15,22.48
