,date,open
0,2020-06-12,20.8
1,2020-06-15,23.56
2,2020-06-16,29.79
3,2020-06-17,34.96
4,2020-06-18,33.48
5,2020-06-19,33.41
6,2020-06-22,34.65
7,2020-06-23,32.72
8,2020-06-24,33.01
9,2020-06-25,32.2
10,2020-06-26,33.84
11,2020-06-29,31.91
12,2020-06-30,30.86
13,2020-07-01,31.65
14,2020-07-02,29.68
15,2020-07-06,30.54
16,2020-07-07,28.88
17,2020-07-08,28.88
18,2020-07-09,29.33
19,2020-07-10,28.54
20,2020-07-13,29.76
21,2020-07-14,29.19
22,2020-07-15,29.44
23,2020-07-16,26.34
24,2020-07-17,26.55
25,2020-07-20,28.76
26,2020-07-21,30.8
27,2020-07-22,33.3
28,2020-07-23,31.35
29,2020-07-24,32.15
30,2020-07-27,30.69
31,2020-07-28,31.84
32,2020-07-29,28.51
33,2020-07-30,30.2
34,2020-07-31,32.13
35,2020-08-03,31.55
36,2020-08-04,34.66
37,2020-08-05,32.935
38,2020-08-06,33.99
39,2020-08-07,33.99
40,2020-08-10,35.25
41,2020-08-11,40.0
42,2020-08-12,38.235
43,2020-08-13,39.53
44,2020-08-14,46.5
45,2020-08-17,52.83
46,2020-08-18,49.1
47,2020-08-19,49.23
48,2020-08-20,49.94
49,2020-08-21,53.76
50,2020-08-24,51.34
51,2020-08-25,51.01
52,2020-08-26,48.81
53,2020-08-27,48.96
54,2020-08-28,45.18
55,2020-08-31,44.49
56,2020-09-01,45.12
57,2020-09-02,43.6
58,2020-09-03,42.94
59,2020-09-04,39.62
60,2020-09-08,38.15
61,2020-09-09,36.08
62,2020-09-10,36.75
63,2020-09-11,37.5
64,2020-09-14,40.88
65,2020-09-15,41.71
66,2020-09-16,43.19
67,2020-09-17,47.13
68,2020-09-18,48.89
69,2020-09-21,49.07
70,2020-09-22,53.18
71,2020-09-23,54.59
72,2020-09-24,55.27
73,2020-09-25,50.29
74,2020-09-28,52.7
75,2020-09-29,52.26
76,2020-09-30,51.67
77,2020-10-01,49.7
78,2020-10-02,46.75
79,2020-10-05,49.27
80,2020-10-06,49.32
81,2020-10-07,52.11
82,2020-10-08,50.42
83,2020-10-09,49.13
84,2020-10-12,48.47
85,2020-10-13,47.98
86,2020-10-14,49.67
87,2020-10-15,48.0
88,2020-10-16,49.0
89,2020-10-19,49.71
90,2020-10-20,46.82
91,2020-10-21,43.48
92,2020-10-22,42.2
93,2020-10-23,42.91
94,2020-10-26,42.93
95,2020-10-27,42.32
96,2020-10-28,38.69
97,2020-10-29,38.0
98,2020-10-30,37.04
99,2020-11-02,37.83
100,2020-11-03,37.0
101,2020-11-04,36.33
102,2020-11-05,37.94
103,2020-11-06,37.7
104,2020-11-09,37.27
105,2020-11-10,36.99
106,2020-11-11,36.75
107,2020-11-12,36.52
108,2020-11-13,37.15
109,2020-11-16,38.65
110,2020-11-17,36.25
111,2020-11-18,36.25
112,2020-11-19,33.15
113,2020-11-20,34.5
114,2020-11-23,34.99
115,2020-11-24,35.0
116,2020-11-25,34.83
117,2020-11-27,34.05
118,2020-11-30,34.8
119,2020-12-01,32.27
120,2020-12-02,28.62
121,2020-12-03,31.1
122,2020-12-04,30.07
123,2020-12-07,31.39
124,2020-12-08,31.87
125,2020-12-09,31.62
126,2020-12-10,27.66
127,2020-12-11,27.5
128,2020-12-14,33.0368
129,2020-12-15,33.0
130,2020-12-16,32.52
131,2020-12-17,32.82
132,2020-12-18,32.12
133,2020-12-21,29.8
134,2020-12-22,29.89
135,2020-12-23,28.1
136,2020-12-24,28.9
137,2020-12-28,28.24
138,2020-12-29,28.84
139,2020-12-30,29.02
140,2020-12-31,28.95
141,2021-01-04,26.72
142,2021-01-05,27.2
143,2021-01-06,29.31
144,2021-01-07,29.2
145,2021-01-08,28.23
146,2021-01-11,25.95
147,2021-01-12,26.91
148,2021-01-13,25.88
149,2021-01-14,25.79
150,2021-01-15,25.85
151,2021-01-19,26.02
152,2021-01-20,25.74
153,2021-01-21,25.11
154,2021-01-22,23.38
155,2021-01-25,25.26
156,2021-01-26,26.6
157,2021-01-27,24.63
158,2021-01-28,24.76
159,2021-01-29,24.12
160,2021-02-01,24.74
161,2021-02-02,24.7
162,2021-02-03,24.8
163,2021-02-04,24.46
164,2021-02-05,24.66
165,2021-02-08,24.01
166,2021-02-09,26.6
167,2021-02-10,28.66
168,2021-02-11,26.93
169,2021-02-12,25.98
170,2021-02-16,26.52
171,2021-02-17,26.9
172,2021-02-18,25.77
173,2021-02-19,25.2
174,2021-02-22,25.46
175,2021-02-23,25.76
176,2021-02-24,24.54
177,2021-02-25,26.0
178,2021-02-26,25.23
179,2021-03-01,23.72
180,2021-03-02,25.69
181,2021-03-03,25.88
182,2021-03-04,25.66
183,2021-03-05,23.75
184,2021-03-08,24.07
185,2021-03-09,25.01
186,2021-03-10,24.87
187,2021-03-11,23.66
188,2021-03-12,25.44
189,2021-03-15,26.28
190,2021-03-16,26.95
191,2021-03-17,26.65
192,2021-03-18,27.01
193,2021-03-19,26.06
194,2021-03-22,25.55
195,2021-03-23,23.39
196,2021-03-24,22.89
197,2021-03-25,21.59
198,2021-03-26,24.77
199,2021-03-29,23.49
200,2021-03-30,19.0
201,2021-03-31,18.6
202,2021-04-01,19.81
203,2021-04-05,21.28
204,2021-04-06,22.25
205,2021-04-07,21.53
206,2021-04-08,22.08
