,date,open
0,2022-05-09,12.25
1,2022-05-10,11.91
2,2022-05-11,11.24
3,2022-05-12,11.54
4,2022-05-13,12.49
5,2022-05-16,11.56
6,2022-05-17,11.04
7,2022-05-18,11.86
8,2022-05-19,11.21
9,2022-05-20,11.65
10,2022-05-23,11.27
11,2022-05-24,9.28
12,2022-05-25,9.34
13,2022-05-26,10.43
14,2022-05-27,10.39
15,2022-05-31,11.4
16,2022-06-01,11.2
17,2022-06-02,10.89
18,2022-06-03,10.97
19,2022-06-06,10.96
20,2022-06-07,10.9
21,2022-06-08,10.56
22,2022-06-09,11.11
23,2022-06-10,11.01
24,2022-06-13,11.14
25,2022-06-14,10.43
26,2022-06-15,10.46
27,2022-06-16,9.82
28,2022-06-17,12.29
29,2022-06-21,12.0
30,2022-06-22,11.74
31,2022-06-23,12.13
32,2022-06-24,12.14
33,2022-06-27,11.91
34,2022-06-28,11.7643
35,2022-06-29,11.48
36,2022-06-30,10.24
37,2022-07-01,9.81
38,2022-07-05,10.14
39,2022-07-06,10.98
40,2022-07-07,11.63
41,2022-07-08,11.63
42,2022-07-11,11.97
43,2022-07-12,11.03
44,2022-07-13,10.58
45,2022-07-14,10.22
46,2022-07-15,10.3
47,2022-07-18,9.49
48,2022-07-19,10.47
49,2022-07-20,10.84
50,2022-07-21,11.02
51,2022-07-22,11.88
52,2022-07-25,11.55
53,2022-07-26,12.09
54,2022-07-27,13.06
55,2022-07-28,12.57
56,2022-07-29,12.14
57,2022-08-01,11.04
58,2022-08-02,10.45
59,2022-08-03,11.06
60,2022-08-04,11.65
61,2022-08-05,11.87
62,2022-08-08,11.45
63,2022-08-09,11.6
64,2022-08-10,10.1372
65,2022-08-11,11.69
66,2022-08-12,11.4
67,2022-08-15,10.45
68,2022-08-16,10.66
69,2022-08-17,10.51
70,2022-08-18,10.46
71,2022-08-19,10.02
72,2022-08-22,10.13
73,2022-08-23,9.65
74,2022-08-24,9.55
75,2022-08-25,9.8
76,2022-08-26,9.99
77,2022-08-29,9.81
78,2022-08-30,8.78
79,2022-08-31,9.385
80,2022-09-01,9.4711
81,2022-09-02,9.86
82,000,11.6
83,2022-08-10,10.1372
84,2022-08-11,11.69
85,2022-08-12,11.4
86,2022-08-15,10.45
87,2022-08-16,10.66
88,2022-08-17,10.51
89,2022-08-18,10.46
90,2022-08-19,10.02
91,2022-08-22,10.13
92,2022-08-23,9.65
93,2022-08-24,9.55
94,2022-08-25,9.8
95,2022-08-26,9.99
96,2022-08-29,9.81
97,2022-08-30,8.78
98,2022-08-31,9.385
99,2022-09-01,9.4711
100,2022-09-02,9.86
