,date,open
0,2019-10-25,22.5
1,2019-10-28,23.4
2,2019-10-29,23.53
3,2019-10-30,23.3
4,2019-10-31,23.15
5,2019-11-01,23.66
6,2019-11-04,24.17
7,2019-11-05,26.12
8,2019-11-06,25.98
9,2019-11-07,25.43
10,2019-11-08,26.25
11,2019-11-11,27.0
12,2019-11-12,26.5
13,2019-11-13,26.39
14,2019-11-14,26.02
15,2019-11-15,26.3
16,2019-11-18,25.75
17,2019-11-19,23.78
18,2019-11-20,24.92
19,2019-11-21,24.91
20,2019-11-22,23.93
21,2019-11-25,23.21
22,2019-11-26,25.3
23,2019-11-27,24.84
24,2019-11-29,25.0
25,2019-12-02,25.69
26,2019-12-03,25.96
27,2019-12-04,25.77
28,2019-12-05,26.76
29,2019-12-06,26.75
30,2019-12-09,24.25
31,2019-12-10,23.81
32,2019-12-11,22.5
33,2019-12-12,20.9
34,2019-12-13,20.84
35,2019-12-16,22.41
36,2019-12-17,21.06
37,2019-12-18,20.049
38,2019-12-19,18.75
39,2019-12-20,20.26
40,2019-12-23,24.12
41,2019-12-24,27.0
42,2019-12-26,25.66
43,2019-12-27,38.48
44,2019-12-30,34.01
45,2019-12-31,32.32
46,2020-01-02,31.07
47,2020-01-03,29.55
48,2020-01-06,30.72
49,2020-01-07,33.97
50,2020-01-08,32.85
51,2020-01-09,33.68
52,2020-01-10,33.91
53,2020-01-13,31.27
54,2020-01-14,31.06
55,2020-01-15,32.45
56,2020-01-16,34.63
57,2020-01-17,36.63
58,2020-01-21,35.22
59,2020-01-22,37.38
60,2020-01-23,37.25
61,2020-01-24,37.62
62,2020-01-27,34.76
63,2020-01-28,38.44
64,2020-01-29,37.58
65,2020-01-30,38.15
66,2020-01-31,35.0
67,2020-02-03,33.58
68,2020-02-04,34.61
69,2020-02-05,33.41
70,2020-02-06,33.44
71,2020-02-07,32.44
72,2020-02-10,31.73
73,2020-02-11,31.45
74,2020-02-12,32.5
75,2020-02-13,31.95
76,2020-02-14,32.76
77,2020-02-18,33.75
78,2020-02-19,37.81
79,2020-02-20,39.02
80,2020-02-21,43.01
81,2020-02-24,40.0
82,2020-02-25,37.01
83,2020-02-26,36.64
84,2020-02-27,35.39
85,2020-02-28,30.93
86,2020-03-02,36.29
87,2020-03-03,36.17
88,2020-03-04,33.94
89,2020-03-05,36.05
90,2020-03-06,39.99
91,2020-03-09,38.38
92,2020-03-10,40.99
93,2020-03-11,37.86
94,2020-03-12,32.3
95,2020-03-13,32.31
96,2020-03-16,23.2
97,2020-03-17,25.76
98,2020-03-18,28.48
99,2020-03-19,25.65
100,2020-03-20,25.88
101,2020-03-23,26.0
102,2020-03-24,26.45
103,2020-03-25,25.53
104,2020-03-26,26.0
105,2020-03-27,27.0
106,2020-03-30,24.97
107,2020-03-31,26.12
108,2020-04-01,25.97
109,2020-04-02,24.71
110,2020-04-03,28.79
111,2020-04-06,31.62
112,2020-04-07,34.2
113,2020-04-08,31.7
114,2020-04-09,32.39
115,2020-04-13,31.83
116,2020-04-14,33.45
117,2020-04-15,33.52
118,2020-04-16,29.24
119,2020-04-17,29.66
120,2020-04-20,29.6
121,2020-04-21,28.4
122,2020-04-22,31.25
123,2020-04-23,34.09
124,2020-04-24,34.14
125,2020-04-27,34.95
