,date,open
0,2021-02-05,25.0
1,2021-02-08,28.0
2,2021-02-09,28.7
3,2021-02-10,31.0
4,2021-02-11,29.99
5,2021-02-12,27.5
6,2021-02-16,27.26
7,2021-02-17,25.25
8,2021-02-18,26.82
9,2021-02-19,31.19
10,2021-02-22,34.83
11,2021-02-23,32.94
12,2021-02-24,31.88
13,2021-02-25,37.2
14,2021-02-26,38.94
15,2021-03-01,38.44
16,2021-03-02,38.48
17,2021-03-03,38.7
18,2021-03-04,38.25
19,2021-03-05,34.06
20,2021-03-08,29.07
21,2021-03-09,27.41
22,2021-03-10,27.65
23,2021-03-11,30.99
24,2021-03-12,28.34
25,2021-03-15,28.92
26,2021-03-16,33.65
27,2021-03-17,34.1883
28,2021-03-18,34.03
29,2021-03-19,35.25
30,2021-03-22,33.03
31,2021-03-23,33.21
32,2021-03-24,32.005
33,2021-03-25,29.95
34,2021-03-26,26.47
35,2021-03-29,26.0
36,2021-03-30,25.0
37,2021-03-31,27.74
38,2021-04-01,27.84
39,2021-04-05,27.746
40,2021-04-06,27.7535
41,2021-04-07,26.89
42,2021-04-08,27.51
43,2021-04-09,29.0
44,2021-04-12,28.84
45,2021-04-13,29.745
46,2021-04-14,29.705
47,2021-04-15,28.93
48,2021-04-16,28.93
49,2021-04-19,29.24
50,2021-04-20,26.05
51,2021-04-21,23.8
52,2021-04-22,23.8587
53,2021-04-23,25.1931
54,2021-04-26,25.8
55,2021-04-27,27.29
56,2021-04-28,25.75
57,2021-04-29,25.515
58,2021-04-30,24.23
59,2021-05-03,24.4
60,2021-05-04,24.69
61,2021-05-05,24.6
62,2021-05-06,25.3
63,2021-05-07,24.35
64,2021-05-10,22.75
65,2021-05-11,23.0
66,2021-05-12,23.57
67,2021-05-13,22.12
68,2021-05-14,21.8
69,2021-05-17,22.0
70,2021-05-18,22.0
71,2021-05-19,20.7
72,2021-05-20,21.9611
73,2021-05-21,22.2095
74,2021-05-24,20.78
75,2021-05-25,20.95
76,2021-05-26,20.53
77,2021-05-27,20.66
78,2021-05-28,21.0
79,2021-06-01,21.15
80,2021-06-02,21.0
81,2021-06-03,20.04
82,2021-06-04,20.8
83,2021-06-07,20.43
84,2021-06-08,20.89
85,2021-06-09,20.4505
86,2021-06-10,20.2594
87,2021-06-11,20.7817
88,2021-06-14,20.34
89,2021-06-15,20.65
90,2021-06-16,20.95
91,2021-06-17,19.37
92,2021-06-18,19.04
93,2021-06-21,19.12
94,2021-06-22,19.01
95,2021-06-23,18.46
96,2021-06-24,19.26
97,2021-06-25,19.35
98,2021-06-28,18.5
99,2021-06-29,18.57
100,2021-06-30,18.7143
101,2021-07-01,18.8
102,2021-07-02,17.06
103,2021-07-06,16.33
104,2021-07-07,15.51
105,2021-07-08,15.0
106,2021-07-09,14.01
107,2021-07-12,16.43
108,2021-07-13,16.11
109,2021-07-14,15.44
110,2021-07-15,14.64
111,2021-07-16,14.09
112,2021-07-19,13.39
113,2021-07-20,15.0
114,2021-07-21,14.4
115,2021-07-22,13.86
116,2021-07-23,14.25
117,2021-07-26,14.47
118,2021-07-27,14.22
119,2021-07-28,14.43
120,2021-07-29,16.92
121,2021-07-30,17.41
122,2021-08-02,17.26
123,2021-08-03,16.6
124,2021-08-04,16.34
125,2021-08-05,16.55
126,2021-08-06,16.4365
127,2021-08-09,17.62
128,2021-08-10,16.21
129,2021-08-11,16.5
130,2021-08-12,16.95
131,2021-08-13,16.96
132,2021-08-16,16.94
133,2021-08-17,16.02
134,2021-08-18,16.5101
135,2021-08-19,16.77
136,2021-08-20,16.8
137,2021-08-23,16.83
138,2021-08-24,17.51
139,2021-08-25,19.0
140,2021-08-26,19.76
141,2021-08-27,20.25
142,2021-08-30,20.26
143,2021-08-31,20.63
144,2021-09-01,20.4
145,2021-09-02,20.1332
146,2021-09-03,19.18
147,2021-09-07,19.07
148,2021-09-08,19.2
149,2021-09-09,19.61
150,2021-09-10,19.88
151,2021-09-13,19.23
152,2021-09-14,18.5
153,2021-09-15,18.29
154,2021-09-16,17.45
155,2021-09-17,17.324
156,2021-09-20,17.72
157,2021-09-21,19.235
158,2021-09-22,18.4
159,2021-09-23,18.5
160,2021-09-24,18.7
161,2021-09-27,18.93
162,2021-09-28,17.7
163,2021-09-29,17.5
164,2021-09-30,17.73
165,2021-10-01,17.75
166,2021-10-04,18.0
167,2021-10-05,17.73
168,2021-10-06,17.5
169,2021-10-07,17.99
170,2021-10-08,17.1
171,2021-10-11,16.0
172,2021-10-12,15.9999
173,2021-10-13,16.3864
174,2021-10-14,16.46
175,2021-10-15,15.76
176,2021-10-18,15.54
177,2021-10-19,15.15
178,2021-10-20,15.0
179,2021-10-21,14.61
180,2021-10-22,14.52
181,2021-10-25,15.0
182,2021-10-26,16.07
183,2021-10-27,16.29
184,2021-10-28,16.39
185,2021-10-29,18.0
186,2021-11-01,17.61
187,2021-11-02,15.89
188,2021-11-03,16.13
189,2021-11-04,16.4669
190,2021-11-05,16.0
191,2021-11-08,15.5
192,2021-11-09,16.03
193,2021-11-10,16.505
194,2021-11-11,15.5
195,2021-11-12,16.49
196,2021-11-15,17.24
197,2021-11-16,15.71
198,2021-11-17,15.39
199,2021-11-18,15.1
200,2021-11-19,14.73
201,2021-11-22,15.15
202,2021-11-23,14.3
203,2021-11-24,14.49
204,2021-11-26,13.8
205,2021-11-29,13.85
206,2021-11-30,14.16
207,2021-12-01,14.66
208,2021-12-02,14.76
209,2021-12-03,14.66
210,2021-12-06,15.63
211,2021-12-07,14.11
212,2021-12-08,15.44
213,2021-12-09,15.02
214,2021-12-10,15.0
215,2021-12-13,14.76
216,2021-12-14,15.01
217,2021-12-15,15.0
218,2021-12-16,14.7519
219,2021-12-17,14.75
220,2021-12-20,15.55
221,2021-12-21,16.0939
222,2021-12-22,16.13
223,2021-12-23,15.75
224,2021-12-27,15.39
225,2021-12-28,15.94
226,2021-12-29,16.55
227,2021-12-30,16.62
228,2021-12-31,15.5
229,2022-01-03,15.98
230,2022-01-04,15.98
231,2022-01-05,15.98
