,date,open
0,2020-06-03,25.0
1,2020-06-04,22.5
2,2020-06-05,24.2
3,2020-06-08,22.19
4,2020-06-09,22.75
5,2020-06-10,22.0
6,2020-06-11,22.68
7,2020-06-12,22.75
8,2020-06-15,22.96
9,2020-06-16,25.95
10,2020-06-17,25.04
11,2020-06-18,25.7
12,2020-06-19,26.9
13,2020-06-22,27.42
14,2020-06-23,28.23
15,2020-06-24,29.99
16,2020-06-25,30.46
17,2020-06-26,31.42
18,2020-06-29,32.03
19,2020-06-30,35.27
20,2020-07-01,32.6
21,2020-07-02,29.65
22,2020-07-06,29.54
23,2020-07-07,28.5
24,2020-07-08,26.74
25,2020-07-09,26.56
26,2020-07-10,25.51
27,2020-07-13,25.06
28,2020-07-14,22.53
29,2020-07-15,23.0
30,2020-07-16,22.44
31,2020-07-17,24.1
32,2020-07-20,25.0
33,2020-07-21,27.21
34,2020-07-22,27.11
35,2020-07-23,27.85
36,2020-07-24,25.79
37,2020-07-27,24.53
38,2020-07-28,24.52
39,2020-07-29,24.49
40,2020-07-30,23.97
41,2020-07-31,23.85
42,2020-08-03,23.33
43,2020-08-04,23.74
44,2020-08-05,23.89
45,2020-08-06,23.945
46,2020-08-07,25.09
47,2020-08-10,25.97
48,2020-08-11,26.7655
49,2020-08-12,26.75
50,2020-08-13,24.85
51,2020-08-14,24.41
52,2020-08-17,24.61
53,2020-08-18,24.76
54,2020-08-19,24.86
55,2020-08-20,24.34
56,2020-08-21,25.29
57,2020-08-24,25.58
58,2020-08-25,24.39
59,2020-08-26,24.41
60,2020-08-27,24.53
61,2020-08-28,24.37
62,2020-08-31,26.0895
63,2020-09-01,24.95
64,2020-09-02,25.17
65,2020-09-03,24.32
66,2020-09-04,24.7
67,2020-09-08,23.23
68,2020-09-09,24.515
69,2020-09-10,25.12
70,2020-09-11,26.5
71,2020-09-14,26.69
72,2020-09-15,27.59
73,2020-09-16,26.39
74,2020-09-17,26.83
75,2020-09-18,27.62
76,2020-09-21,27.6
77,2020-09-22,24.19
78,2020-09-23,23.13
79,2020-09-24,22.05
80,2020-09-25,22.31
81,2020-09-28,22.25
82,2020-09-29,22.57
83,2020-09-30,24.0
84,2020-10-01,22.56
85,2020-10-02,20.09
86,2020-10-05,20.16
87,2020-10-06,21.73
88,2020-10-07,21.99
89,2020-10-08,24.54
90,2020-10-09,23.77
91,2020-10-12,24.26
92,2020-10-13,24.61
93,2020-10-14,24.99
94,2020-10-15,23.15
95,2020-10-16,24.03
96,2020-10-19,25.15
97,2020-10-20,24.44
98,2020-10-21,22.58
99,2020-10-22,23.08
100,2020-10-23,23.08
101,2020-10-26,23.32
102,2020-10-27,22.97
103,2020-10-28,21.55
104,2020-10-29,20.64
105,2020-10-30,21.43
106,2020-11-02,21.78
107,2020-11-03,21.44
108,2020-11-04,20.85
109,2020-11-05,21.83
110,2020-11-06,22.67
111,2020-11-09,22.68
