,date,open
0,2020-09-25,35.0
1,2020-09-28,35.05
2,2020-09-29,36.19
3,2020-09-30,38.0465
4,2020-10-01,36.43
5,2020-10-02,32.75
6,2020-10-05,33.1
7,2020-10-06,32.94
8,2020-10-07,33.0
9,2020-10-08,34.55
10,2020-10-09,34.63
11,2020-10-12,35.17
12,2020-10-13,36.03
13,2020-10-14,35.82
14,2020-10-15,35.79
15,2020-10-16,35.65
16,2020-10-19,35.92
17,2020-10-20,36.85
18,2020-10-21,35.35
19,2020-10-22,35.8
20,2020-10-23,35.36
21,2020-10-26,34.77
22,2020-10-27,35.04
23,2020-10-28,34.45
24,2020-10-29,34.79
25,2020-10-30,35.49
26,2020-11-02,35.0
27,2020-11-03,35.0
28,2020-11-04,36.48
29,2020-11-05,37.48
30,2020-11-06,36.71
31,2020-11-09,37.5
32,2020-11-10,36.56
33,2020-11-11,35.5
34,2020-11-12,34.75
35,2020-11-13,34.28
36,2020-11-16,32.26
37,2020-11-17,32.24
38,2020-11-18,32.0
39,2020-11-19,32.68
40,2020-11-20,31.93
41,2020-11-23,32.5
42,2020-11-24,32.1
43,2020-11-25,34.62
44,2020-11-27,34.43
45,2020-11-30,35.84
46,2020-12-01,35.78
47,2020-12-02,36.86
48,2020-12-03,37.03
49,2020-12-04,41.61
50,2020-12-07,48.48
51,2020-12-08,47.08
52,2020-12-09,45.57
53,2020-12-10,43.93
54,2020-12-11,44.77
55,2020-12-14,48.0
56,2020-12-15,45.67
57,2020-12-16,44.44
58,2020-12-17,45.14
59,2020-12-18,44.92
60,2020-12-21,43.54
61,2020-12-22,45.22
62,2020-12-23,52.92
63,2020-12-24,57.6
64,2020-12-28,56.67
65,2020-12-29,51.63
66,2020-12-30,53.2
67,2020-12-31,56.06
68,2021-01-04,61.51
69,2021-01-05,49.98
70,2021-01-06,46.84
71,2021-01-07,46.34
72,2021-01-08,49.53
73,2021-01-11,46.86
74,2021-01-12,47.11
75,2021-01-13,45.9
76,2021-01-14,47.005
77,2021-01-15,43.92
78,2021-01-19,44.25
79,2021-01-20,46.46
80,2021-01-21,45.42
81,2021-01-22,43.35
82,2021-01-25,44.23
83,2021-01-26,42.3763
84,2021-01-27,39.91
85,2021-01-28,37.69
86,2021-01-29,35.0
87,2021-02-01,34.57
88,2021-02-02,35.85
89,2021-02-03,34.03
90,2021-02-04,34.54
91,2021-02-05,37.59
92,2021-02-08,37.87
93,2021-02-09,38.55
94,2021-02-10,37.67
95,2021-02-11,38.45
96,2021-02-12,40.09
97,2021-02-16,41.82
98,2021-02-17,37.47
99,2021-02-18,36.21
100,2021-02-19,40.56
101,2021-02-22,41.16
102,2021-02-23,40.03
103,2021-02-24,36.91
104,2021-02-25,39.15
105,2021-02-26,36.78
106,2021-03-01,38.11
107,2021-03-02,35.02
108,2021-03-03,35.04
109,2021-03-04,35.16
110,2021-03-05,35.65
111,2021-03-08,35.25
112,2021-03-09,34.93
113,2021-03-10,35.65
114,2021-03-11,36.71
115,2021-03-12,40.2
116,2021-03-15,40.46
117,2021-03-16,40.3
118,2021-03-17,39.48
119,2021-03-18,39.23
120,2021-03-19,40.09
121,2021-03-22,43.63
122,2021-03-23,41.65
123,2021-03-24,39.0
124,2021-03-25,33.13
125,2021-03-26,33.31
126,2021-03-29,33.62
127,2021-03-30,29.95
128,2021-03-31,30.81
129,2021-04-01,32.71
130,2021-04-05,33.43
131,2021-04-06,33.65
132,2021-04-07,34.5
133,2021-04-08,33.63
134,2021-04-09,34.4
135,2021-04-12,33.11
136,2021-04-13,31.15
137,2021-04-14,32.89
138,2021-04-15,33.25
139,2021-04-16,32.29
140,2021-04-19,32.83
141,2021-04-20,30.87
142,2021-04-21,31.4
143,2021-04-22,33.47
144,2021-04-23,34.88
145,2021-04-26,34.9
146,2021-04-27,34.0
147,2021-04-28,33.45
148,2021-04-29,34.35
149,2021-04-30,33.77
150,2021-05-03,33.75
151,2021-05-04,33.0
152,2021-05-05,34.12
153,2021-05-06,34.27
154,2021-05-07,35.47
155,2021-05-10,34.83
156,2021-05-11,33.92
157,2021-05-12,28.02
158,2021-05-13,28.44
159,2021-05-14,29.43
160,2021-05-17,32.28
161,2021-05-18,32.94
162,2021-05-19,31.605
163,2021-05-20,33.65
164,2021-05-21,35.9
165,2021-05-24,35.86
166,2021-05-25,35.96
167,2021-05-26,35.22
