,date,open
0,2020-09-25,25.23
1,2020-09-28,25.36
2,2020-09-29,27.32
3,2020-09-30,28.4
4,2020-10-01,31.45
5,2020-10-02,32.93
6,2020-10-05,33.36
7,2020-10-06,35.0
8,2020-10-07,39.88
9,2020-10-08,46.35
10,2020-10-09,42.92
11,2020-10-12,43.65
12,2020-10-13,46.15
13,2020-10-14,39.73
14,2020-10-15,34.45
15,2020-10-16,34.05
16,2020-10-19,31.54
17,2020-10-20,32.04
18,2020-10-21,29.19
19,2020-10-22,28.88
20,2020-10-23,29.86
21,2020-10-26,30.1
22,2020-10-27,32.34
23,2020-10-28,36.1
24,2020-10-29,36.07
25,2020-10-30,34.78
26,2020-11-02,36.76
27,2020-11-03,34.93
28,2020-11-04,36.41
29,2020-11-05,41.32
30,2020-11-06,45.01
31,2020-11-09,44.32
32,2020-11-10,40.5
33,2020-11-11,39.16
34,2020-11-12,39.65
35,2020-11-13,42.98
36,2020-11-16,48.0
37,2020-11-17,47.38
38,2020-11-18,51.7
39,2020-11-19,52.68
40,2020-11-20,53.38
41,2020-11-23,52.16
42,2020-11-24,48.91
43,2020-11-25,46.47
44,2020-11-27,45.39
45,2020-11-30,48.07
46,2020-12-01,53.29
47,2020-12-02,50.9267
48,2020-12-03,49.99
49,2020-12-04,50.81
50,2020-12-07,50.58
51,2020-12-08,50.0
52,2020-12-09,49.61
53,2020-12-10,49.87
54,2020-12-11,59.13
55,2020-12-14,63.2
56,2020-12-15,73.2
57,2020-12-16,70.22
58,2020-12-17,72.56
59,2020-12-18,79.05
60,2020-12-21,75.5
61,2020-12-22,78.85
62,2020-12-23,82.38
63,2020-12-24,82.3
64,2020-12-28,88.56
65,2020-12-29,82.39
66,2020-12-30,84.15
67,2020-12-31,74.24
68,2021-01-04,71.51
69,2021-01-05,65.47
70,2021-01-06,59.25
71,2021-01-07,64.35
72,2021-01-08,66.42
73,2021-01-11,66.09
74,2021-01-12,66.73
75,2021-01-13,69.77
76,2021-01-14,70.66
77,2021-01-15,74.94
78,2021-01-19,74.87
79,2021-01-20,74.04
80,2021-01-21,75.64
81,2021-01-22,75.64
82,2021-01-25,74.01
83,2021-01-26,75.08
84,2021-01-27,68.25
85,2021-01-28,65.8
86,2021-01-29,66.95
87,2021-02-01,65.81
88,2021-02-02,70.22
89,2021-02-03,74.92
90,2021-02-04,75.21
91,2021-02-05,80.0
92,2021-02-08,84.5
93,2021-02-09,85.06
94,2021-02-10,90.06
95,2021-02-11,91.46
96,2021-02-12,87.59
97,2021-02-16,88.86
98,2021-02-17,84.4
99,2021-02-18,82.63
100,2021-02-19,76.37
101,2021-02-22,76.62
102,2021-02-23,71.45
103,2021-02-24,67.94
104,2021-02-25,66.21
105,2021-02-26,65.5
106,2021-03-01,63.18
107,2021-03-02,67.62
108,2021-03-03,62.19
109,2021-03-04,59.5
110,2021-03-05,55.8
111,2021-03-08,56.48
112,2021-03-09,55.19
113,2021-03-10,57.96
114,2021-03-11,60.11
115,2021-03-12,58.99
116,2021-03-15,57.86
117,2021-03-16,60.36
118,2021-03-17,58.66
119,2021-03-18,56.05
120,2021-03-19,52.99
121,2021-03-22,55.59
122,2021-03-23,58.39
123,2021-03-24,55.0
124,2021-03-25,48.35
125,2021-03-26,46.24
126,2021-03-29,42.0
127,2021-03-30,39.12
128,2021-03-31,39.88
129,2021-04-01,43.98
130,2021-04-05,41.97
131,2021-04-06,41.66
132,2021-04-07,38.96
133,2021-04-08,39.59
134,2021-04-09,36.99
135,2021-04-12,34.96
136,2021-04-13,32.95
137,2021-04-14,32.61
138,2021-04-15,37.56
139,2021-04-16,33.79
140,2021-04-19,31.81
141,2021-04-20,31.41
142,2021-04-21,33.0
143,2021-04-22,35.33
144,2021-04-23,37.41
145,2021-04-26,36.36
146,2021-04-27,36.58
147,2021-04-28,35.39
148,2021-04-29,39.63
149,2021-04-30,39.44
150,2021-05-03,41.07
151,2021-05-04,40.43
152,2021-05-05,40.08
153,2021-05-06,38.4815
154,2021-05-07,40.77
155,2021-05-10,41.18
156,2021-05-11,38.75
157,2021-05-12,40.56
158,2021-05-13,44.65
159,2021-05-14,40.09
160,2021-05-17,41.5
161,2021-05-18,41.85
162,2021-05-19,38.53
163,2021-05-20,36.29
164,2021-05-21,39.35
165,2021-05-24,39.1
166,2021-05-25,36.73
167,2021-05-26,33.0
168,2021-05-27,33.15
169,2021-05-28,33.03
170,2021-06-01,34.71
171,2021-06-02,32.81
172,2021-06-03,31.62
173,2021-06-04,31.38
174,2021-06-07,30.26
175,2021-06-08,32.76
176,2021-06-09,31.43
177,2021-06-10,30.76
178,2021-06-11,31.92
179,2021-06-14,31.2
180,2021-06-15,33.42
181,2021-06-16,32.37
182,2021-06-17,33.2
183,2021-06-18,31.69
184,2021-06-21,31.18
185,2021-06-22,32.57
186,2021-06-23,32.8
187,2021-06-24,33.69
188,2021-06-25,33.14
189,2021-06-28,32.41
190,2021-06-29,31.99
191,2021-06-30,29.95
192,2021-07-01,28.85
193,2021-07-02,28.62
194,2021-07-06,27.8
195,2021-07-07,27.0
196,2021-07-08,26.09
197,2021-07-09,27.38
198,2021-07-12,28.52
199,2021-07-13,27.55
200,2021-07-14,27.16
201,2021-07-15,25.75
202,2021-07-16,28.4
203,2021-07-19,28.04
204,2021-07-20,30.99
205,2021-07-21,31.15
206,2021-07-22,29.63
207,2021-07-23,29.44
208,2021-07-26,34.0
209,2021-07-27,35.33
210,2021-07-28,34.83
211,2021-07-29,35.21
212,2021-07-30,32.18
213,2021-08-02,32.54
214,2021-08-03,31.95
215,2021-08-04,31.8
216,2021-08-05,31.82
217,2021-08-06,32.78
218,2021-08-09,29.93
219,2021-08-10,31.47
220,2021-08-11,32.41
221,2021-08-12,34.0
222,2021-08-13,34.0
223,2021-08-16,32.12
224,2021-08-17,31.72
225,2021-08-18,32.18
226,2021-08-19,30.19
227,2021-08-20,28.71
228,2021-08-23,31.49
229,2021-08-24,33.13
230,2021-08-25,31.9
231,2021-08-26,34.19
232,2021-08-27,34.27
233,2021-08-30,37.5
234,2021-08-31,36.73
235,2021-09-01,35.94
236,2021-09-02,37.71
237,2021-09-03,38.4128
238,2021-09-07,37.33
239,2021-09-08,38.03
240,2021-09-09,36.53
241,2021-09-10,35.62
242,2021-09-13,32.5
243,2021-09-14,32.58
244,2021-09-15,34.15
245,2021-09-16,34.68
246,2021-09-17,34.75
247,2021-09-20,34.41
248,2021-09-21,34.39
249,2021-09-22,35.2
250,2021-09-23,34.15
251,2021-09-24,35.73
252,2021-09-27,35.18
253,2021-09-28,33.87
254,2021-09-29,32.89
255,2021-09-30,31.02
256,2021-10-01,31.62
257,2021-10-04,31.56
258,2021-10-05,32.01
259,2021-10-06,29.5
260,2021-10-07,24.6
261,2021-10-08,17.34
262,2021-10-11,15.89
263,2021-10-12,15.97
264,2021-10-13,15.76
265,2021-10-14,16.0
266,2021-10-15,16.43
267,2021-10-18,16.08
268,2021-10-19,16.32
269,2021-10-20,18.35
270,2021-10-21,17.95
271,2021-10-22,18.75
272,2021-10-25,17.54
273,2021-10-26,17.83
274,2021-10-27,17.45
275,2021-10-28,17.43
276,2021-10-29,18.08
277,2021-11-01,17.61
278,2021-11-02,18.39
279,2021-11-03,18.49
280,2021-11-04,18.46
281,2021-11-05,18.0
282,2021-11-08,17.47
283,2021-11-09,17.31
284,2021-11-10,17.07
285,2021-11-11,17.24
286,2021-11-12,16.93
287,2021-11-15,15.79
288,2021-11-16,15.84
289,2021-11-17,15.95
290,2021-11-18,15.94
291,2021-11-19,14.19
292,2021-11-22,14.59
293,2021-11-23,13.91
294,2021-11-24,14.27
295,2021-11-26,14.5
296,2021-11-29,14.465
297,2021-11-30,13.75
298,2021-12-01,14.42
299,2021-12-02,13.74
300,2021-12-03,14.3
301,2021-12-06,14.09
302,2021-12-07,14.37
303,2021-12-08,14.9
304,2021-12-09,14.66
305,2021-12-10,13.51
306,2021-12-13,13.97
307,2021-12-14,11.86
308,2021-12-15,11.9
309,2021-12-16,14.92
