,date,open
0,2012-12-21,8.1
1,2012-12-24,7.5
2,2012-12-26,7.1
3,2012-12-27,6.75
4,2012-12-28,6.73
5,2012-12-31,6.95
6,2013-01-02,7.5
7,2013-01-03,6.9
8,2013-01-04,6.65
9,2013-01-07,6.5
10,2013-01-08,6.07
11,2013-01-09,6.01
12,2013-01-10,5.9
13,2013-01-11,5.76
14,2013-01-14,6.25
15,2013-01-15,6.48
16,2013-01-16,6.03
17,2013-01-17,5.95
18,2013-01-18,5.64
19,2013-01-22,5.96
20,2013-01-23,6.0
21,2013-01-24,5.88
22,2013-01-25,5.89
23,2013-01-28,6.27
24,2013-01-29,6.0
25,2013-01-30,6.24
26,2013-01-31,6.02
27,2013-02-01,6.01
28,2013-02-04,6.5
29,2013-02-05,6.56
30,2013-02-06,6.5
31,2013-02-07,6.61
32,2013-02-08,7.0
33,2013-02-11,6.3
34,2013-02-12,6.05
35,2013-02-13,6.07
36,2013-02-14,6.02
37,2013-02-15,6.02
38,2013-02-19,6.16
39,2013-02-20,6.05
40,2013-02-21,6.07
41,2013-02-22,6.48
42,2013-02-25,6.56
43,2013-02-26,6.22
44,2013-02-27,6.41
45,2013-02-28,6.48
46,2013-03-01,6.1
47,2013-03-04,6.19
48,2013-03-05,6.37
49,2013-03-06,6.5
50,2013-03-07,6.3
51,2013-03-08,6.33
52,2013-03-11,6.41
53,2013-03-12,6.5
54,2013-03-13,6.52
55,2013-03-14,6.54
56,2013-03-15,6.035
57,2013-03-18,6.41
58,2013-03-19,6.61
59,2013-03-20,6.42
60,2013-03-21,6.58
61,2013-03-22,6.72
62,2013-03-25,6.63
63,2013-03-26,6.53
64,2013-03-27,6.58
65,2013-03-28,6.53
66,2013-04-01,6.59
67,2013-04-02,6.58
68,2013-04-03,6.62
69,2013-04-04,6.65
70,2013-04-05,6.6
71,2013-04-08,6.73
72,2013-04-09,6.9
73,2013-04-10,7.41
74,2013-04-11,7.6
75,2013-04-12,7.73
76,2013-04-15,7.89
77,2013-04-16,7.99
78,2013-04-17,7.81
79,2013-04-18,7.8
80,2013-04-19,7.99
81,2013-04-22,7.85
82,2013-04-23,7.9
83,2013-04-24,7.99
84,2013-04-25,7.99
85,2013-04-26,8.0
86,2013-04-29,8.25
87,2013-04-30,8.29
88,2013-05-01,8.27
89,2013-05-02,8.2
90,2013-05-03,8.29
91,2013-05-06,8.31
92,2013-05-07,8.43
93,2013-05-08,8.28
94,2013-05-09,8.21
95,2013-05-10,8.299
96,2013-05-13,8.24
97,2013-05-14,8.2
98,2013-05-15,8.3899
99,2013-05-16,8.25
100,2013-05-17,9.33
101,2013-05-20,9.89
102,2013-05-21,10.11
103,2013-05-22,10.55
104,2013-05-23,9.72
105,2013-05-24,10.03
106,2013-05-28,11.36
107,2013-05-29,10.62
108,2013-05-30,10.45
109,2013-05-31,10.6
110,2013-06-03,10.03
111,2013-06-04,9.75
112,2013-06-05,9.5
113,2013-06-06,9.37
114,2013-06-07,9.46
115,2013-06-10,10.79
116,2013-06-11,10.85
117,2013-06-12,11.01
118,2013-06-13,10.62
119,2013-06-14,10.79
120,2013-06-17,11.43
121,2013-06-18,11.06
122,2013-06-19,12.82
123,2013-06-20,13.04
124,2013-06-21,13.5
125,2013-06-24,12.08
126,2013-06-25,11.57
127,2013-06-26,11.69
128,2013-06-27,11.38
129,2013-06-28,12.01
130,2013-07-01,13.0
131,2013-07-02,12.99
132,2013-07-03,12.47
133,2013-07-05,12.78
134,2013-07-08,12.7
135,2013-07-09,12.25
136,2013-07-10,13.18
137,2013-07-11,13.39
138,2013-07-12,13.34
139,2013-07-15,15.53
140,2013-07-16,17.12
141,2013-07-17,16.73
142,2013-07-18,16.98
143,2013-07-19,17.17
144,2013-07-22,16.69
145,2013-07-23,16.58
146,2013-07-24,16.9
147,2013-07-25,17.12
148,2013-07-26,17.08
149,2013-07-29,17.2
150,2013-07-30,16.95
151,2013-07-31,16.69
152,2013-08-01,17.34
153,2013-08-02,17.49
154,2013-08-05,17.8
155,2013-08-06,17.61
156,2013-08-07,17.15
157,2013-08-08,17.32
158,2013-08-09,16.92
159,2013-08-12,15.49
160,2013-08-13,16.37
161,2013-08-14,16.0
162,2013-08-15,15.83
163,2013-08-16,16.0
164,2013-08-19,16.15
165,2013-08-20,17.0
166,2013-08-21,17.16
167,2013-08-22,17.26
168,2013-08-23,17.64
169,2013-08-26,18.88
170,2013-08-27,20.91
171,2013-08-28,19.98
172,2013-08-29,20.64
173,2013-08-30,21.1
174,2013-09-03,20.06
175,2013-09-04,20.02
176,2013-09-05,20.2
177,2013-09-06,20.04
178,2013-09-09,20.0
179,2013-09-10,19.96
180,2013-09-11,19.86
181,2013-09-12,19.7
182,2013-09-13,19.79
183,2013-09-16,20.35
184,2013-09-17,20.249
185,2013-09-18,20.02
186,2013-09-19,19.48
187,2013-09-20,20.17
188,2013-09-23,20.77
189,2013-09-24,20.92
190,2013-09-25,19.8
191,2013-09-26,20.08
192,2013-09-27,19.97
193,2013-09-30,20.24
194,2013-10-01,20.17
195,2013-10-02,19.85
196,2013-10-03,23.69
197,2013-10-04,22.25
198,2013-10-07,22.0
199,2013-10-08,22.0
200,2013-10-09,21.25
201,2013-10-10,20.95
202,2013-10-11,20.91
203,2013-10-14,20.6
204,2013-10-15,20.27
205,2013-10-16,20.41
206,2013-10-17,19.82
207,2013-10-18,20.96
208,2013-10-21,20.93
209,2013-10-22,21.92
210,2013-10-23,22.64
211,2013-10-24,22.64
212,2013-10-25,23.0
213,2013-10-28,23.69
214,2013-10-29,23.85
215,2013-10-30,24.19
216,2013-10-31,24.52
217,2013-11-01,24.02
218,2013-11-04,24.5
219,2013-11-05,24.24
220,2013-11-06,24.19
221,2013-11-07,23.9
222,2013-11-08,23.31
223,2013-11-11,25.03
224,2013-11-12,25.86
225,2013-11-13,25.37
226,2013-11-14,27.15
227,2013-11-15,26.88
228,2013-11-18,26.85
229,2013-11-19,25.86
230,2013-11-20,26.42
231,2013-11-21,26.38
232,2013-11-22,25.65
233,2013-11-25,27.24
234,2013-11-26,27.0
235,2013-11-27,28.08
236,2013-11-29,27.94
237,2013-12-02,28.23
238,2013-12-03,28.54
239,2013-12-04,27.14
240,2013-12-05,26.61
241,2013-12-06,27.52
242,2013-12-09,28.08
243,2013-12-10,27.91
244,2013-12-11,28.11
245,2013-12-12,29.2
246,2013-12-13,27.73
247,2013-12-16,28.33
248,2013-12-17,29.14
249,2013-12-18,28.42
250,2013-12-19,28.05
251,2013-12-20,27.88
252,2013-12-23,27.55
253,2013-12-24,28.02
254,2013-12-26,27.52
255,2013-12-27,27.6
256,2013-12-30,27.27
257,2013-12-31,26.74
258,2014-01-02,26.52
259,2014-01-03,28.58
260,2014-01-06,27.91
261,2014-01-07,27.45
262,2014-01-08,27.49
263,2014-01-09,27.59
264,2014-01-10,26.81
265,2014-01-13,27.0
266,2014-01-14,24.83
267,2014-01-15,26.35
268,2014-01-16,26.14
269,2014-01-17,26.65
270,2014-01-21,26.04
271,2014-01-22,27.12
272,2014-01-23,26.82
273,2014-01-24,26.71
274,2014-01-27,25.87
275,2014-01-28,24.91
276,2014-01-29,26.95
277,2014-01-30,30.23
278,2014-01-31,31.5
279,2014-02-03,30.92
280,2014-02-04,29.75
281,2014-02-05,29.64
282,2014-02-06,28.25
283,2014-02-07,26.66
284,2014-02-10,27.33
285,2014-02-11,27.11
286,2014-02-12,26.7
287,2014-02-13,26.06
288,2014-02-14,26.44
289,2014-02-18,26.95
290,2014-02-19,28.69
291,2014-02-20,28.12
292,2014-02-21,30.07
293,2014-02-24,30.37
294,2014-02-25,31.28
295,2014-02-26,34.66
296,2014-02-27,34.4
297,2014-02-28,36.0
298,2014-03-03,35.82
299,2014-03-04,37.82
300,2014-03-05,39.41
301,2014-03-06,38.52
302,2014-03-07,37.5
303,2014-03-10,37.8
304,2014-03-11,37.95
305,2014-03-12,38.95
306,2014-03-13,40.55
307,2014-03-14,38.09
308,2014-03-17,39.01
309,2014-03-18,37.8
310,2014-03-19,45.77
311,2014-03-20,46.21
312,2014-03-21,48.2
313,2014-03-24,45.43
314,2014-03-25,38.9
315,2014-03-26,39.33
316,2014-03-27,40.0
317,2014-03-28,36.66
318,2014-03-31,36.25
319,2014-04-01,38.44
320,2014-04-02,37.0
321,2014-04-03,35.94
322,2014-04-04,34.64
323,2014-04-07,29.22
324,2014-04-08,29.96
325,2014-04-09,32.0
326,2014-04-10,33.7
327,2014-04-11,29.75
328,2014-04-14,28.77
329,2014-04-15,27.3
330,2014-04-16,26.32
331,2014-04-17,28.13
332,2014-04-21,30.29
333,2014-04-22,31.37
334,2014-04-23,33.44
335,2014-04-24,36.95
336,2014-04-25,39.09
337,2014-04-28,38.84
338,2014-04-29,37.38
339,2014-04-30,26.51
340,2014-05-01,21.79
341,2014-05-02,21.5
342,2014-05-05,21.09
343,2014-05-06,21.8
344,2014-05-07,21.7
345,2014-05-08,21.12
346,2014-05-09,18.52
347,2014-05-12,19.59
348,2014-05-13,22.5
349,2014-05-14,21.13
350,2014-05-15,21.14
351,2014-05-16,21.02
352,2014-05-19,20.72
353,2014-05-20,20.7
354,2014-05-21,20.43
355,2014-05-22,20.99
356,2014-05-23,20.4
357,2014-05-27,20.66
358,2014-05-28,20.59
359,2014-05-29,21.45
360,2014-05-30,21.7
361,2014-06-02,20.82
362,2014-06-03,20.38
363,2014-06-04,20.29
364,2014-06-05,20.53
365,2014-06-06,21.67
366,2014-06-09,21.8
367,2014-06-10,22.5
368,2014-06-11,22.03
369,2014-06-12,21.6
370,2014-06-13,22.15
371,2014-06-16,22.4
372,2014-06-17,23.51
373,2014-06-18,22.9
374,2014-06-19,24.8
375,2014-06-20,24.04
376,2014-06-23,23.55
377,2014-06-24,22.04
378,2014-06-25,22.59
379,2014-06-26,22.0
380,2014-06-27,22.2
381,2014-06-30,22.28
382,2014-07-01,22.67
383,2014-07-02,22.48
384,2014-07-03,22.81
385,2014-07-07,23.32
386,2014-07-08,22.42
387,2014-07-09,21.34
388,2014-07-10,20.47
389,2014-07-11,21.47
390,2014-07-14,20.89
391,2014-07-15,21.09
392,2014-07-16,19.61
393,2014-07-17,18.82
394,2014-07-18,17.01
395,2014-07-21,18.32
396,2014-07-22,18.7
397,2014-07-23,19.02
398,2014-07-24,18.97
399,2014-07-25,18.27
400,2014-07-28,18.21
401,2014-07-29,17.5
402,2014-07-30,18.05
403,2014-07-31,18.49
404,2014-08-01,17.45
405,2014-08-04,17.51
406,2014-08-05,18.77
407,2014-08-06,19.0
408,2014-08-07,19.14
409,2014-08-08,19.79
410,2014-08-11,20.68
411,2014-08-12,20.71
412,2014-08-13,21.11
413,2014-08-14,20.63
414,2014-08-15,21.45
415,2014-08-18,20.6
416,2014-08-19,21.16
417,2014-08-20,20.92
418,2014-08-21,21.1
419,2014-08-22,21.13
420,2014-08-25,21.69
421,2014-08-26,21.95
422,2014-08-27,22.99
423,2014-08-28,22.45
424,2014-08-29,22.52
425,2014-09-02,23.14
426,2014-09-03,23.23
427,2014-09-04,23.31
428,2014-09-05,23.35
429,2014-09-08,23.3
430,2014-09-09,23.34
431,2014-09-10,22.97
432,2014-09-11,23.63
433,2014-09-12,23.89
434,2014-09-15,23.25
435,2014-09-16,21.88
436,2014-09-17,22.41
437,2014-09-18,23.72
438,2014-09-19,23.43
439,2014-09-22,23.41
440,2014-09-23,22.24
441,2014-09-24,22.78
442,2014-09-25,23.21
443,2014-09-26,22.45
444,2014-09-29,22.17
445,2014-09-30,22.82
446,2014-10-01,22.23
447,2014-10-02,21.03
448,2014-10-03,22.04
449,2014-10-06,21.53
450,2014-10-07,20.17
451,2014-10-08,19.83
452,2014-10-09,20.82
453,2014-10-10,20.04
454,2014-10-13,18.46
455,2014-10-14,17.82
456,2014-10-15,17.41
457,2014-10-16,18.41
458,2014-10-17,20.33
459,2014-10-20,19.82
460,2014-10-21,20.36
461,2014-10-22,19.83
462,2014-10-23,19.34
463,2014-10-24,20.5
464,2014-10-27,20.67
465,2014-10-28,20.01
466,2014-10-29,21.13
467,2014-10-30,20.82
468,2014-10-31,22.09
469,2014-11-03,22.07
470,2014-11-04,22.2
471,2014-11-05,20.97
472,2014-11-06,21.08
473,2014-11-07,22.04
474,2014-11-10,22.55
475,2014-11-11,23.48
476,2014-11-12,20.59
477,2014-11-13,22.94
478,2014-11-14,21.7
479,2014-11-17,21.4
480,2014-11-18,22.14
481,2014-11-19,23.18
482,2014-11-20,22.12
483,2014-11-21,22.7
484,2014-11-24,22.23
485,2014-11-25,22.67
486,2014-11-26,22.38
487,2014-11-28,23.04
488,2014-12-01,23.96
489,2014-12-02,22.5
490,2014-12-03,24.24
491,2014-12-04,21.85
492,2014-12-05,20.55
493,2014-12-08,19.98
494,2014-12-09,18.63
495,2014-12-10,20.36
496,2014-12-11,19.8
497,2014-12-12,18.1
498,2014-12-15,18.37
499,2014-12-16,18.48
500,2014-12-17,18.53
501,2014-12-18,20.38
502,2014-12-19,20.34
503,2014-12-22,21.62
504,2014-12-23,20.8
505,2014-12-24,18.73
506,2014-12-26,20.19
507,2014-12-29,21.51
508,2014-12-30,20.73
509,2014-12-31,20.88
510,2015-01-02,21.0
511,2015-01-05,20.15
512,2015-01-06,19.48
513,2015-01-07,19.29
514,2015-01-08,20.96
515,2015-01-09,21.58
516,2015-01-12,21.68
517,2015-01-13,20.79
518,2015-01-14,19.46
519,2015-01-15,20.52
520,2015-01-16,19.11
521,2015-01-20,20.0
522,2015-01-21,19.97
523,2015-01-22,19.93
524,2015-01-23,20.32
525,2015-01-26,21.56
526,2015-01-27,22.34
527,2015-01-28,23.86
528,2015-01-29,22.7
529,2015-01-30,22.5
530,2015-02-02,22.82
531,2015-02-03,22.04
532,2015-02-04,21.16
533,2015-02-05,20.98
534,2015-02-06,21.77
535,2015-02-09,21.69
536,2015-02-10,21.88
537,2015-02-11,21.41
538,2015-02-12,21.62
539,2015-02-13,22.76
540,2015-02-17,22.84
541,2015-02-18,23.98
542,2015-02-19,24.3
543,2015-02-20,27.51
544,2015-02-23,26.69
545,2015-02-24,28.13
546,2015-02-25,25.9
547,2015-02-26,26.54
548,2015-02-27,27.77
549,2015-03-02,26.66
550,2015-03-03,26.25
551,2015-03-04,25.64
552,2015-03-05,26.56
553,2015-03-06,28.1
554,2015-03-09,26.08
555,2015-03-10,26.22
556,2015-03-11,27.1
557,2015-03-12,28.06
558,2015-03-13,28.45
559,2015-03-16,28.97
560,2015-03-17,29.16
561,2015-03-18,29.32
562,2015-03-19,28.49
563,2015-03-20,39.99
564,2015-03-23,38.16
565,2015-03-24,37.93
566,2015-03-25,39.38
567,2015-03-26,36.0
568,2015-03-27,36.41
569,2015-03-30,38.14
570,2015-03-31,39.28
571,2015-04-01,37.96
572,2015-04-02,39.4
573,2015-04-06,37.94
574,2015-04-07,37.94
575,2015-04-08,37.17
576,2015-04-09,35.54
577,2015-04-10,36.49
578,2015-04-13,36.94
579,2015-04-14,36.62
580,2015-04-15,36.79
581,2015-04-16,36.33
582,2015-04-17,37.0
583,2015-04-20,36.43
584,2015-04-21,36.32
585,2015-04-22,36.75
586,2015-04-23,36.93
587,2015-04-24,37.89
588,2015-04-27,37.38
589,2015-04-28,36.53
590,2015-04-29,34.74
591,2015-04-30,34.58
592,2015-05-01,32.9
593,2015-05-04,33.85
594,2015-05-05,33.86
595,2015-05-06,32.15
596,2015-05-07,31.23
597,2015-05-08,31.36
598,2015-05-11,31.77
599,2015-05-12,31.2
600,2015-05-13,31.2
601,2015-05-14,31.36
602,2015-05-15,31.89
603,2015-05-18,31.16
604,2015-05-19,31.83
605,2015-05-20,32.88
606,2015-05-21,33.96
607,2015-05-22,33.22
608,2015-05-26,33.59
609,2015-05-27,34.24
610,2015-05-28,33.75
611,2015-05-29,36.05
612,2015-06-01,40.56
613,2015-06-02,39.9
614,2015-06-03,44.5
615,2015-06-04,44.97
616,2015-06-05,44.78
617,2015-06-08,46.15
618,2015-06-09,46.11
619,2015-06-10,45.0
620,2015-06-11,44.46
621,2015-06-12,46.05
622,2015-06-15,44.77
623,2015-06-16,47.37
624,2015-06-17,47.81
625,2015-06-18,51.78
626,2015-06-19,50.9
627,2015-06-22,51.92
628,2015-06-23,54.96
629,2015-06-24,53.8
630,2015-06-25,52.52
631,2015-06-26,53.02
632,2015-06-29,50.71
633,2015-06-30,50.12
634,2015-07-01,52.96
635,2015-07-02,51.21
636,2015-07-06,50.02
637,2015-07-07,51.46
638,2015-07-08,50.54
639,2015-07-09,50.03
640,2015-07-10,51.38
641,2015-07-13,51.77
642,2015-07-14,53.49
643,2015-07-15,56.05
644,2015-07-16,55.74
645,2015-07-17,58.8
646,2015-07-20,60.02
647,2015-07-21,62.33
648,2015-07-22,61.08
649,2015-07-23,67.88
650,2015-07-24,66.41
651,2015-07-27,63.7
652,2015-07-28,63.46
653,2015-07-29,68.8
654,2015-07-30,67.05
655,2015-07-31,66.92
656,2015-08-03,66.5
657,2015-08-04,67.28
658,2015-08-05,66.32
659,2015-08-06,67.63
660,2015-08-07,64.12
661,2015-08-10,65.22
662,2015-08-11,61.66
663,2015-08-12,62.38
664,2015-08-13,63.03
665,2015-08-14,60.81
666,2015-08-17,60.57
667,2015-08-18,62.39
668,2015-08-19,59.82
669,2015-08-20,57.77
670,2015-08-21,53.84
671,2015-08-24,51.15
672,2015-08-25,51.92
673,2015-08-26,53.72
674,2015-08-27,57.08
675,2015-08-28,58.99
676,2015-08-31,58.53
677,2015-09-01,56.16
678,2015-09-02,55.37
679,2015-09-03,56.51
680,2015-09-04,52.03
681,2015-09-08,54.59
682,2015-09-09,57.32
683,2015-09-10,54.5
684,2015-09-11,57.52
685,2015-09-14,60.02
686,2015-09-15,59.36
687,2015-09-16,60.05
688,2015-09-17,60.06
689,2015-09-18,61.91
690,2015-09-21,65.4
691,2015-09-22,57.95
692,2015-09-23,56.1
693,2015-09-24,55.94
694,2015-09-25,57.86
695,2015-09-28,50.94
696,2015-09-29,44.32
697,2015-09-30,44.59
698,2015-10-01,45.22
699,2015-10-02,44.38
700,2015-10-05,50.13
701,2015-10-06,46.8
702,2015-10-07,44.6
703,2015-10-08,44.63
704,2015-10-09,43.47
