,date,open
0,2013-06-20,15.8
1,2013-06-21,16.75
2,2013-06-24,17.25
3,2013-06-25,17.41
4,2013-06-26,16.82
5,2013-06-27,16.1
6,2013-06-28,13.48
7,2013-07-01,14.85
8,2013-07-02,15.51
9,2013-07-03,16.24
10,2013-07-05,15.85
11,2013-07-08,15.2
12,2013-07-09,15.97
13,2013-07-10,15.5
14,2013-07-11,16.03
15,2013-07-12,16.94
16,2013-07-15,17.37
17,2013-07-16,18.5
18,2013-07-17,16.78
19,2013-07-18,18.0
20,2013-07-19,17.78
21,2013-07-22,17.7
22,2013-07-23,17.02
23,2013-07-24,16.74
24,2013-07-25,16.11
25,2013-07-26,16.18
26,2013-07-29,16.67
27,2013-07-30,16.77
28,2013-07-31,15.49
29,2013-08-01,15.64
30,2013-08-02,14.73
31,2013-08-05,14.06
32,2013-08-06,15.0
33,2013-08-07,14.49
34,2013-08-08,15.08
35,2013-08-09,15.2
36,2013-08-12,15.35
37,2013-08-13,15.58
38,2013-08-14,15.18
39,2013-08-15,15.02
40,2013-08-16,15.58
41,2013-08-19,15.5
42,2013-08-20,15.99
43,2013-08-21,15.56
44,2013-08-22,15.73
45,2013-08-23,15.94
46,2013-08-26,16.03
47,2013-08-27,16.36
48,2013-08-28,16.54
49,2013-08-29,16.96
50,2013-08-30,17.64
51,2013-09-03,19.09
52,2013-09-04,18.3
53,2013-09-05,18.95
54,2013-09-06,19.45
55,2013-09-09,19.11
56,2013-09-10,21.01
57,2013-09-11,21.99
58,2013-09-12,20.49
59,2013-09-13,21.2
60,2013-09-16,21.43
61,2013-09-17,20.35
62,2013-09-18,19.66
63,2013-09-19,19.77
64,2013-09-20,18.77
65,2013-09-23,17.9
66,2013-09-24,22.37
67,2013-09-25,21.4
68,2013-09-26,21.99
69,2013-09-27,21.77
70,2013-09-30,21.31
71,2013-10-01,21.45
72,2013-10-02,22.3
73,2013-10-03,20.31
74,2013-10-04,19.27
75,2013-10-07,18.83
76,2013-10-08,19.05
77,2013-10-09,16.8
78,2013-10-10,17.24
79,2013-10-11,18.41
80,2013-10-14,17.05
81,2013-10-15,17.67
82,2013-10-16,18.21
83,2013-10-17,18.41
84,2013-10-18,19.47
85,2013-10-21,19.2
86,2013-10-22,20.5
87,2013-10-23,21.08
88,2013-10-24,20.66
89,2013-10-25,20.57
90,2013-10-28,20.66
91,2013-10-29,20.42
92,2013-10-30,19.8
93,2013-10-31,18.27
94,2013-11-01,17.87
95,2013-11-04,17.51
96,2013-11-05,18.27
97,2013-11-06,18.12
98,2013-11-07,17.27
99,2013-11-08,16.68
100,2013-11-11,16.86
101,2013-11-12,16.96
