,date,open
0,2014-02-05,17.0
1,2014-02-06,14.77
2,2014-02-07,13.16
3,2014-02-10,14.98
4,2014-02-11,15.61
5,2014-02-12,15.96
6,2014-02-13,16.02
7,2014-02-14,16.1
8,2014-02-18,15.6
9,2014-02-19,16.4
10,2014-02-20,16.38
11,2014-02-21,16.5
12,2014-02-24,17.02
13,2014-02-25,18.39
14,2014-02-26,18.06
15,2014-02-27,18.03
16,2014-02-28,18.01
17,2014-03-03,16.62
18,2014-03-04,16.13
19,2014-03-05,15.81
20,2014-03-06,15.64
21,2014-03-07,15.14
22,2014-03-10,15.77
23,2014-03-11,15.36
24,2014-03-12,15.04
25,2014-03-13,15.2
26,2014-03-14,15.02
27,2014-03-17,14.76
28,2014-03-18,14.7
29,2014-03-19,15.69
30,2014-03-20,15.92
31,2014-03-21,16.91
32,2014-03-24,16.86
33,2014-03-25,16.44
34,2014-03-26,16.44
35,2014-03-27,15.93
36,2014-03-28,15.72
37,2014-03-31,15.59
38,2014-04-01,15.55
39,2014-04-02,15.75
40,2014-04-03,16.27
41,2014-04-04,15.64
42,2014-04-07,15.245
43,2014-04-08,14.34
44,2014-04-09,14.36
45,2014-04-10,14.48
46,2014-04-11,13.64
47,2014-04-14,13.17
48,2014-04-15,12.28
49,2014-04-16,9.82
50,2014-04-17,9.1
51,2014-04-21,9.0
52,2014-04-22,9.1
53,2014-04-23,10.15
54,2014-04-24,9.68
55,2014-04-25,10.15
56,2014-04-28,11.0
57,2014-04-29,10.45
58,2014-04-30,10.42
59,2014-05-01,10.35
60,2014-05-02,10.85
61,2014-05-05,10.34
62,2014-05-06,9.97
63,2014-05-07,9.68
64,2014-05-08,9.5
65,2014-05-09,9.12
66,2014-05-12,9.57
67,2014-05-13,10.11
68,2014-05-14,9.57
69,2014-05-15,9.9
70,2014-05-16,9.55
71,2014-05-19,9.55
72,2014-05-20,9.65
73,2014-05-21,9.635
74,2014-05-22,8.67
75,2014-05-23,8.64
76,2014-05-27,9.35
77,2014-05-28,8.65
78,2014-05-29,9.03
79,2014-05-30,9.05
80,2014-06-02,8.73
81,2014-06-03,8.95
82,2014-06-04,9.2
83,2014-06-05,9.27
84,2014-06-06,9.0
85,2014-06-09,10.0
86,2014-06-10,10.84
87,2014-06-11,10.6
88,2014-06-12,10.99
89,2014-06-13,10.89
90,2014-06-16,11.15
91,2014-06-17,11.3
92,2014-06-18,10.82
93,2014-06-19,11.73
94,2014-06-20,12.1
95,2014-06-23,12.79
96,2014-06-24,12.71
97,2014-06-25,12.05
98,2014-06-26,11.99
99,2014-06-27,12.43
100,2014-06-30,12.82
101,2014-07-01,13.4001
102,2014-07-02,14.22
103,2014-07-03,14.28
104,2014-07-07,14.2
105,2014-07-08,12.78
106,2014-07-09,12.26
107,2014-07-10,12.46
108,2014-07-11,12.96
109,2014-07-14,13.23
110,2014-07-15,12.59
111,2014-07-16,12.15
112,2014-07-17,11.56
113,2014-07-18,11.43
114,2014-07-21,11.33
115,2014-07-22,11.1
116,2014-07-23,11.19
117,2014-07-24,11.21
118,2014-07-25,10.77
119,2014-07-28,10.3
120,2014-07-29,10.19
121,2014-07-30,11.18
122,2014-07-31,10.59
123,2014-08-01,10.22
124,2014-08-04,10.14
125,2014-08-05,9.77
126,2014-08-06,9.67
127,2014-08-07,10.48
128,2014-08-08,10.67
129,2014-08-11,10.01
130,2014-08-12,10.5
131,2014-08-13,10.52
132,2014-08-14,10.52
133,2014-08-15,11.6
134,2014-08-18,11.49
135,2014-08-19,11.78
136,2014-08-20,11.7
137,2014-08-21,11.42
138,2014-08-22,11.05
139,2014-08-25,11.02
140,2014-08-26,11.06
