,date,open
0,2021-04-23,22.1
1,2021-04-26,15.35
2,2021-04-27,15.36
3,2021-04-28,16.2
4,2021-04-29,16.41
5,2021-04-30,16.1
6,2021-05-03,16.4
7,2021-05-04,17.15
8,2021-05-05,17.19
9,2021-05-06,17.23
10,2021-05-07,16.7
11,2021-05-10,18.5
12,2021-05-11,17.02
13,2021-05-12,16.19
14,2021-05-13,16.07
15,2021-05-14,15.25
16,2021-05-17,15.19
17,2021-05-18,16.65
18,2021-05-19,16.7
19,2021-05-20,16.22
20,2021-05-21,16.73
21,2021-05-24,15.64
22,2021-05-25,18.33
23,2021-05-26,19.69
24,2021-05-27,20.36
25,2021-05-28,20.5
26,2021-06-01,20.18
27,2021-06-02,20.27
28,2021-06-03,19.41
29,2021-06-04,19.18
30,2021-06-07,18.96
31,2021-06-08,19.14
32,2021-06-09,19.6
33,2021-06-10,19.78
34,2021-06-11,19.88
35,2021-06-14,19.93
36,2021-06-15,19.13
37,2021-06-16,18.73
38,2021-06-17,19.08
39,2021-06-18,18.02
40,2021-06-21,18.15
41,2021-06-22,17.16
42,2021-06-23,16.13
43,2021-06-24,16.22
44,2021-06-25,17.44
45,2021-06-28,17.29
46,2021-06-29,16.66
47,2021-06-30,16.16
48,2021-07-01,15.56
49,2021-07-02,16.1
50,2021-07-06,15.8
51,2021-07-07,17.93
52,2021-07-08,18.0
53,2021-07-09,18.64
54,2021-07-12,19.84
55,2021-07-13,20.82
56,2021-07-14,20.15
57,2021-07-15,19.41
58,2021-07-16,19.68
59,2021-07-19,18.81
60,2021-07-20,19.14
61,2021-07-21,19.28
62,2021-07-22,19.22
63,2021-07-23,18.56
64,2021-07-26,17.22
65,2021-07-27,16.78
66,2021-07-28,17.18
67,2021-07-29,17.53
68,2021-07-30,17.28
69,2021-08-02,16.66
70,2021-08-03,15.9
71,2021-08-04,15.97
72,2021-08-05,16.31
73,2021-08-06,16.52
74,2021-08-09,17.0
75,2021-08-10,16.24
76,2021-08-11,15.95
77,2021-08-12,16.72
78,2021-08-13,18.39
79,2021-08-16,17.72
80,2021-08-17,16.12
81,2021-08-18,16.54
82,2021-08-19,16.3
83,2021-08-20,16.72
84,2021-08-23,17.38
85,2021-08-24,18.07
86,2021-08-25,17.68
87,2021-08-26,17.66
88,2021-08-27,17.69
89,2021-08-30,17.66
90,2021-08-31,16.66
91,2021-09-01,17.62
92,2021-09-02,17.9
93,2021-09-03,18.145
94,2021-09-07,17.6
95,2021-09-08,17.325
96,2021-09-09,17.1
97,2021-09-10,16.8
98,2021-09-13,16.54
99,2021-09-14,16.53
100,2021-09-15,16.38
101,2021-09-16,16.65
102,2021-09-17,15.72
103,2021-09-20,15.88
104,2021-09-21,13.44
105,2021-09-22,14.61
106,2021-09-23,14.88
107,2021-09-24,15.31
108,2021-09-27,15.02
109,2021-09-28,14.9
110,2021-09-29,15.23
111,2021-09-30,15.58
112,2021-10-01,15.01
113,2021-10-04,15.41
114,2021-10-05,14.73
115,2021-10-06,14.51
116,2021-10-07,14.78
117,2021-10-08,13.5
118,2021-10-11,12.31
119,2021-10-12,13.56
120,2021-10-13,13.58
121,2021-10-14,14.89
122,2021-10-15,14.55
123,2021-10-18,14.55
124,2021-10-19,13.5
125,2021-10-20,13.13
126,2021-10-21,13.52
127,2021-10-22,13.9
128,2021-10-25,14.12
129,2021-10-26,14.19
130,2021-10-27,14.79
131,2021-10-28,14.74
132,2021-10-29,15.1655
133,2021-11-01,15.67
134,2021-11-02,16.55
135,2021-11-03,16.35
136,2021-11-04,16.61
137,2021-11-05,17.11
138,2021-11-08,16.63
139,2021-11-09,16.75
140,2021-11-10,17.31
141,2021-11-11,16.0
142,2021-11-12,14.86
143,2021-11-15,16.2
144,2021-11-16,15.78
145,2021-11-17,16.63
146,2021-11-18,17.11
147,2021-11-19,16.47
148,2021-11-22,15.61
149,2021-11-23,14.72
150,2021-11-24,14.41
151,2021-11-26,14.2
152,2021-11-29,14.66
153,2021-11-30,13.72
154,2021-12-01,13.26
155,2021-12-02,13.6
156,2021-12-03,13.33
157,2021-12-06,12.68
158,2021-12-07,12.67
159,2021-12-08,13.76
160,2021-12-09,13.33
161,2021-12-10,13.26
162,2021-12-13,13.21
163,2021-12-14,12.78
164,2021-12-15,12.46
165,2021-12-16,13.72
166,2021-12-17,13.19
167,2021-12-20,11.65
168,2021-12-21,12.09
169,2021-12-22,12.68
170,2021-12-23,13.8
171,2021-12-27,14.01
172,2021-12-28,12.63
173,2021-12-29,12.25
174,2021-12-30,12.32
175,2021-12-31,12.35
176,2022-01-03,12.92
177,2022-01-04,13.59
178,2022-01-05,13.97
179,2022-01-06,12.45
180,2022-01-07,12.31
181,2022-01-10,11.97
182,2022-01-11,12.15
183,2022-01-12,12.9
184,2022-01-13,12.15
185,2022-01-14,11.44
186,2022-01-18,11.61
187,2022-01-19,9.79
188,2022-01-20,10.33
189,2022-01-21,9.91
190,2022-01-24,8.43
191,2022-01-25,9.39
192,2022-01-26,9.25
193,2022-01-27,8.43
194,2022-01-28,7.85
195,2022-01-31,8.22
196,2022-02-01,8.55
197,2022-02-02,8.49
198,2022-02-03,7.8
199,2022-02-04,7.85
200,2022-02-07,7.75
201,2022-02-08,7.55
202,2022-02-09,7.76
203,2022-02-10,7.4
204,2022-02-11,7.62
205,2022-02-14,7.4
206,2022-02-15,7.46
207,2022-02-16,7.54
208,2022-02-17,7.47
209,2022-02-18,6.91
210,2022-02-22,6.69
211,2022-02-23,6.3954
212,2022-02-24,5.42
213,2022-02-25,6.36
214,2022-02-28,6.16
215,2022-03-01,6.01
216,2022-03-02,5.94
217,2022-03-03,6.04
218,2022-03-04,5.59
219,2022-03-07,5.33
220,2022-03-08,6.16
221,2022-03-09,6.8
222,2022-03-10,7.03
223,2022-03-11,6.87
224,2022-03-14,6.81
225,2022-03-15,6.5
226,2022-03-16,6.78
227,2022-03-17,7.32
228,2022-03-18,7.8
229,2022-03-21,7.68
230,2022-03-22,6.82
231,2022-03-23,6.62
232,2022-03-24,6.51
233,2022-03-25,6.45
234,2022-03-28,5.75
235,2022-03-29,5.6
236,2022-03-30,5.51
237,2022-03-31,5.22
238,2022-04-01,5.55
239,2022-04-04,5.29
240,2022-04-05,5.6
241,2022-04-06,5.05
242,2022-04-07,4.78
243,2022-04-08,4.48
244,2022-04-11,4.14
245,2022-04-12,4.44
246,2022-04-13,4.04
247,2022-04-14,4.35
248,2022-04-18,4.68
249,2022-04-19,4.75
250,2022-04-20,4.71
251,2022-04-21,4.31
252,2022-04-22,4.24
253,2022-04-25,4.11
254,2022-04-26,4.37
255,2022-04-27,4.02
256,2022-04-28,3.93
257,2022-04-29,4.07
258,2022-05-02,3.94
259,2022-05-03,4.01
260,2022-05-04,3.69
261,2022-05-05,3.3
262,2022-05-06,2.83
263,2022-05-09,2.86
264,2022-05-10,2.9
265,2022-05-11,3.4
266,2022-05-12,3.12
267,2022-05-13,2.94
268,2022-05-16,2.64
269,2022-05-17,2.46
270,2022-05-18,2.81
271,2022-05-19,2.79
272,2022-05-20,2.67
273,2022-05-23,2.74
274,2022-05-24,2.52
275,2022-05-25,2.21
276,2022-05-26,2.2
277,2022-05-27,2.3
278,2022-05-31,2.49
279,2022-06-01,2.31
280,2022-06-02,2.99
281,2022-06-03,2.84
282,2022-06-06,2.9
283,2022-06-07,2.49
284,2022-06-08,2.81
285,2022-06-09,2.87
286,2022-06-10,2.65
287,2022-06-13,2.39
288,2022-06-14,2.65
289,2022-06-15,2.54
290,2022-06-16,2.43
291,2022-06-17,2.25
292,2022-06-21,2.4121
293,2022-06-22,2.324
294,2022-06-23,2.89
295,2022-06-24,3.43
296,2022-06-27,3.72
297,2022-06-28,3.89
298,2022-06-29,4.12
299,2022-06-30,4.83
300,2022-07-01,5.69
301,2022-07-05,5.23
302,2022-07-06,4.97
303,2022-07-07,4.8
304,2022-07-08,4.96
305,2022-07-11,5.07
306,2022-07-12,4.98
307,2022-07-13,4.87
308,2022-07-14,4.84
309,2022-07-15,5.51
310,2022-07-18,5.69
311,2022-07-19,6.6
312,2022-07-20,6.22
313,2022-07-21,6.75
314,2022-07-22,6.88
315,2022-07-25,6.58
316,2022-07-26,6.75
317,2022-07-27,7.57
318,2022-07-28,7.4
319,2022-07-29,6.85
320,2022-08-01,6.42
321,2022-08-02,6.14
322,2022-08-03,6.64
323,2022-08-04,6.86
324,2022-08-05,7.1
325,2022-08-08,7.65
326,2022-08-09,7.67
327,2022-08-10,8.01
328,2022-08-11,7.91
329,2022-08-12,7.78
330,2022-08-15,7.94
331,2022-08-16,7.79
332,2022-08-17,7.02
333,2022-08-18,6.35
334,2022-08-19,6.2
335,2022-08-22,5.92
336,2022-08-23,6.17
337,2022-08-24,6.31
338,2022-08-25,6.67
339,2022-08-26,6.73
340,2022-08-29,6.6
341,2022-08-30,6.66
342,2022-08-31,6.4
343,2022-09-01,5.98
344,2022-09-02,4.75
345,600,7.28
346,2022-08-09,7.67
347,2022-08-10,8.01
348,2022-08-11,7.91
349,2022-08-12,7.78
350,2022-08-15,7.94
351,2022-08-16,7.79
352,2022-08-17,7.02
353,2022-08-18,6.35
354,2022-08-19,6.2
355,2022-08-22,5.92
356,2022-08-23,6.17
357,2022-08-24,6.31
358,2022-08-25,6.67
359,2022-08-26,6.73
360,2022-08-29,6.6
361,2022-08-30,6.66
362,2022-08-31,6.4
363,2022-09-01,5.98
364,2022-09-02,4.75
