,date,open
0,2014-01-31,45.8
1,2014-02-03,43.95
2,2014-02-04,38.8
3,2014-02-05,38.51
4,2014-02-06,36.84
5,2014-02-07,36.46
6,2014-02-10,37.595
7,2014-02-11,39.83
8,2014-02-12,40.05
9,2014-02-13,44.27
10,2014-02-14,45.11
11,2014-02-18,44.0
12,2014-02-19,43.71
13,2014-02-20,43.64
14,2014-02-21,51.86
15,2014-02-24,58.53
16,2014-02-25,60.0
17,2014-02-26,58.5
18,2014-02-27,56.47
19,2014-02-28,54.0
20,2014-03-03,51.87
21,2014-03-04,56.59
22,2014-03-05,62.34
23,2014-03-06,58.5
24,2014-03-07,54.98
25,2014-03-10,59.06
26,2014-03-11,64.41
27,2014-03-12,61.18
28,2014-03-13,67.18
29,2014-03-14,57.58
30,2014-03-17,60.51
31,2014-03-18,60.0
32,2014-03-19,60.79
33,2014-03-20,62.07
34,2014-03-21,60.58
35,2014-03-24,55.34
36,2014-03-25,51.9
37,2014-03-26,50.5
38,2014-03-27,51.05
39,2014-03-28,50.22
40,2014-03-31,47.0
41,2014-04-01,49.16
42,2014-04-02,51.37
43,2014-04-03,52.83
44,2014-04-04,51.88
45,2014-04-07,50.6
46,2014-04-08,51.0
47,2014-04-09,53.3
48,2014-04-10,58.48
49,2014-04-11,57.55
50,2014-04-14,59.75
51,2014-04-15,55.44
52,2014-04-16,49.91
53,2014-04-17,44.87
54,2014-04-21,42.56
55,2014-04-22,41.19
56,2014-04-23,41.15
57,2014-04-24,38.5
58,2014-04-25,37.56
59,2014-04-28,35.49
60,2014-04-29,36.84
61,2014-04-30,38.49
62,2014-05-01,38.56
63,2014-05-02,39.06
64,2014-05-05,38.24
65,2014-05-06,38.56
66,2014-05-07,36.39
67,2014-05-08,35.04
68,2014-05-09,34.86
69,2014-05-12,36.6
70,2014-05-13,33.86
71,2014-05-14,33.13
72,2014-05-15,35.0
73,2014-05-16,36.3
74,2014-05-19,34.19
75,2014-05-20,33.75
76,2014-05-21,33.43
77,2014-05-22,33.6
78,2014-05-23,34.47
79,2014-05-27,34.65
80,2014-05-28,37.1
81,2014-05-29,36.19
82,2014-05-30,38.09
83,2014-06-02,37.56
84,2014-06-03,37.46
85,2014-06-04,35.55
86,2014-06-05,33.48
87,2014-06-06,34.51
88,2014-06-09,35.61
89,2014-06-10,37.6
90,2014-06-11,36.44
91,2014-06-12,36.08
92,2014-06-13,37.17
93,2014-06-16,36.77
94,2014-06-17,40.63
95,2014-06-18,42.63
