,date,open
0,2018-03-15,20.0
1,2018-03-16,17.69
2,2018-03-19,17.52
3,2018-03-20,16.76
4,2018-03-21,17.26
5,2018-03-22,17.49
6,2018-03-23,16.75
7,2018-03-26,16.4
8,2018-03-27,16.62
9,2018-03-28,16.4
10,2018-03-29,16.1
11,2018-04-02,15.5
12,2018-04-03,15.9
13,2018-04-04,15.55
14,2018-04-05,15.68
15,2018-04-06,14.81
16,2018-04-09,14.5
17,2018-04-10,13.69
18,2018-04-11,13.5
19,2018-04-12,14.76
20,2018-04-13,14.96
21,2018-04-16,15.3
22,2018-04-17,16.74
23,2018-04-18,17.0
24,2018-04-19,16.15
25,2018-04-20,16.02
26,2018-04-23,16.25
27,2018-04-24,16.02
28,2018-04-25,15.26
29,2018-04-26,15.37
30,2018-04-27,15.47
31,2018-04-30,15.22
32,2018-05-01,15.05
33,2018-05-02,14.94
34,2018-05-03,15.6
35,2018-05-04,16.2
36,2018-05-07,17.3
37,2018-05-08,16.35
38,2018-05-09,15.92
39,2018-05-10,16.52
40,2018-05-11,16.56
41,2018-05-14,16.0
42,2018-05-15,15.65
43,2018-05-16,16.19
44,2018-05-17,16.31
45,2018-05-18,16.28
46,2018-05-21,16.15
47,2018-05-22,16.07
48,2018-05-23,16.58
49,2018-05-24,15.85
50,2018-05-25,16.2
51,2018-05-29,16.2
52,2018-05-30,16.13
53,2018-05-31,15.86
54,2018-06-01,16.07
55,2018-06-04,15.52
56,2018-06-05,16.14
57,2018-06-06,15.87
58,2018-06-07,15.95
59,2018-06-08,16.23
60,2018-06-11,17.25
61,2018-06-12,16.05
62,2018-06-13,16.38
63,2018-06-14,16.45
64,2018-06-15,15.99
65,2018-06-18,16.14
66,2018-06-19,15.85
67,2018-06-20,16.89
68,2018-06-21,16.34
69,2018-06-22,16.08
70,2018-06-25,15.51
71,2018-06-26,14.57
72,2018-06-27,14.25
73,2018-06-28,12.99
74,2018-06-29,13.07
75,2018-07-02,12.2
76,2018-07-03,12.55
77,2018-07-05,12.85
78,2018-07-06,12.58
79,2018-07-09,13.11
80,2018-07-10,12.55
81,2018-07-11,12.44
82,2018-07-12,12.48
83,2018-07-13,12.15
84,2018-07-16,12.2
85,2018-07-17,11.72
86,2018-07-18,11.16
87,2018-07-19,11.44
