,date,open
0,1991-04-02,22.0
1,1991-04-03,21.25
2,1991-04-04,18.25
3,1991-04-05,18.5
4,1991-04-08,18.0
5,1991-04-09,18.0
6,1991-04-10,16.0
7,1991-04-11,16.0
8,1991-04-12,14.75
9,1991-04-15,16.5
10,1991-04-16,16.38
11,1991-04-17,16.38
12,1991-04-18,15.5
13,1991-04-19,15.25
14,1991-04-22,14.88
15,1991-04-23,14.13
16,1991-04-24,14.63
17,1991-04-25,14.38
18,1991-04-26,14.5
19,1991-04-29,14.38
20,1991-04-30,13.0
21,1991-05-01,12.75
22,1991-05-02,14.0
23,1991-05-03,13.25
24,1991-05-06,13.38
25,1991-05-07,13.88
26,1991-05-08,14.0
27,1991-05-09,13.63
28,1991-05-10,13.25
29,1991-05-13,13.0
30,1991-05-14,11.75
31,1991-05-15,12.13
32,1991-05-16,10.75
33,1991-05-17,11.63
34,1991-05-20,11.75
35,1991-05-21,11.38
36,1991-05-22,11.88
37,1991-05-23,12.5
38,1991-05-24,11.88
39,1991-05-28,12.25
40,1991-05-29,12.0
41,1991-05-30,12.88
42,1991-05-31,12.5
43,1991-06-03,12.5
44,1991-06-04,12.0
45,1991-06-05,12.13
46,1991-06-06,11.88
47,1991-06-07,12.13
48,1991-06-10,11.5
49,1991-06-11,11.63
50,1991-06-12,11.5
51,1991-06-13,11.0
52,1991-06-14,10.75
53,1991-06-17,10.88
54,1991-06-18,10.88
55,1991-06-19,11.5
56,1991-06-20,11.5
57,1991-06-21,12.0
58,1991-06-24,11.75
59,1991-06-25,11.0
60,1991-06-26,11.0
61,1991-06-27,11.25
62,1991-06-28,11.0
63,1991-07-01,10.75
64,1991-07-02,11.13
65,1991-07-03,10.75
66,1991-07-05,10.38
67,1991-07-08,10.0
68,1991-07-09,10.0
69,1991-07-10,10.5
70,1991-07-11,10.5
71,1991-07-12,10.88
72,1991-07-15,10.5
73,1991-07-16,11.5
74,1991-07-17,10.5
75,1991-07-18,10.75
76,1991-07-19,10.63
77,1991-07-22,11.0
78,1991-07-23,10.5
79,1991-07-24,10.75
