,date,open
0,2018-07-20,16.0
1,2018-07-23,15.08
2,2018-07-24,14.86
3,2018-07-25,15.26
4,2018-07-26,15.17
5,2018-07-27,15.0
6,2018-07-30,14.97
7,2018-07-31,15.05
8,2018-08-01,15.04
9,2018-08-02,15.34
10,2018-08-03,16.36
11,2018-08-06,15.53
12,2018-08-07,15.73
13,2018-08-08,15.97
14,2018-08-09,15.7597
15,2018-08-10,16.24
16,2018-08-13,16.9035
17,2018-08-14,17.1
18,2018-08-15,17.39
19,2018-08-16,16.7775
20,2018-08-17,17.56
21,2018-08-20,17.5
22,2018-08-21,17.03
23,2018-08-22,16.21
24,2018-08-23,16.6
25,2018-08-24,16.5
26,2018-08-27,16.5
27,2018-08-28,17.08
28,2018-08-29,19.25
29,2018-08-30,20.41
30,2018-08-31,18.52
31,2018-09-04,19.55
32,2018-09-05,22.24
33,2018-09-06,21.36
34,2018-09-07,21.64
35,2018-09-10,19.93
36,2018-09-11,19.03
37,2018-09-12,19.61
38,2018-09-13,19.5
39,2018-09-14,19.05
40,2018-09-17,19.34
41,2018-09-18,18.44
42,2018-09-19,18.7
43,2018-09-20,18.43
44,2018-09-21,18.34
45,2018-09-24,18.56
46,2018-09-25,19.29
47,2018-09-26,18.22
48,2018-09-27,17.69
49,2018-09-28,17.19
50,2018-10-01,16.23
51,2018-10-02,15.51
52,2018-10-03,14.59
53,2018-10-04,13.93
54,2018-10-05,13.13
55,2018-10-08,12.59
56,2018-10-09,12.43
57,2018-10-10,10.87
58,2018-10-11,10.95
59,2018-10-12,11.29
60,2018-10-15,12.93
61,2018-10-16,12.65
62,2018-10-17,13.13
63,2018-10-18,13.4
64,2018-10-19,12.16
65,2018-10-22,11.56
66,2018-10-23,11.63
67,2018-10-24,11.76
68,2018-10-25,11.82
69,2018-10-26,12.65
70,2018-10-29,13.18
71,2018-10-30,12.42
72,2018-10-31,12.23
73,2018-11-01,13.08
74,2018-11-02,13.65
75,2018-11-05,14.08
76,2018-11-06,14.44
77,2018-11-07,14.5
78,2018-11-08,14.72
79,2018-11-09,14.4537
80,2018-11-12,14.42
81,2018-11-13,14.26
82,2018-11-14,13.06
83,2018-11-15,14.28
84,2018-11-16,13.66
85,2018-11-19,14.22
86,2018-11-20,14.98
87,2018-11-21,12.87
88,2018-11-23,14.23
89,2018-11-26,14.88
90,2018-11-27,14.8
91,2018-11-28,14.81
