,date,open
0,2015-09-17,30.26
1,2015-09-18,29.9
2,2015-09-21,30.84
3,2015-09-22,29.34
4,2015-09-23,25.79
5,2015-09-24,24.38
6,2015-09-25,26.4
7,2015-09-28,25.0
8,2015-09-29,20.52
9,2015-09-30,20.01
10,2015-10-01,22.15
11,2015-10-02,19.0
12,2015-10-05,23.05
13,2015-10-06,22.8
14,2015-10-07,22.5
15,2015-10-08,23.15
16,2015-10-09,21.28
17,2015-10-12,20.78
18,2015-10-13,19.1
19,2015-10-14,18.45
20,2015-10-15,18.13
21,2015-10-16,18.9
22,2015-10-19,18.3
23,2015-10-20,17.59
24,2015-10-21,16.98
25,2015-10-22,16.62
26,2015-10-23,15.57
27,2015-10-26,13.94
28,2015-10-27,14.89
29,2015-10-28,15.92
30,2015-10-29,14.88
31,2015-10-30,15.41
32,2015-11-02,15.34
33,2015-11-03,16.4
34,2015-11-04,17.09
35,2015-11-05,17.99
36,2015-11-06,17.9
37,2015-11-09,20.51
38,2015-11-10,20.88
39,2015-11-11,21.62
40,2015-11-12,20.85
41,2015-11-13,22.81
42,2015-11-16,23.18
43,2015-11-17,21.41
44,2015-11-18,22.24
45,2015-11-19,22.59
46,2015-11-20,22.8897
47,2015-11-23,22.93
48,2015-11-24,23.65
49,2015-11-25,24.15
50,2015-11-27,24.301
51,2015-11-30,25.0
52,2015-12-01,23.56
53,2015-12-02,23.33
54,2015-12-03,23.34
55,2015-12-04,23.9005
56,2015-12-07,23.2
57,2015-12-08,21.59
58,2015-12-09,21.97
59,2015-12-10,20.55
60,2015-12-11,19.3
61,2015-12-14,19.6
62,2015-12-15,19.1
63,2015-12-16,19.77
64,2015-12-17,18.78
65,2015-12-18,18.85
66,2015-12-21,18.16
67,2015-12-22,18.2
68,2015-12-23,18.57
69,2015-12-24,18.74
70,2015-12-28,18.47
71,2015-12-29,17.9
72,2015-12-30,17.48
73,2015-12-31,17.14
74,2016-01-04,16.24
75,2016-01-05,17.01
76,2016-01-06,16.5195
77,2016-01-07,16.41
78,2016-01-08,14.93
79,2016-01-11,14.01
80,2016-01-12,13.94
81,2016-01-13,13.68
82,2016-01-14,12.51
83,2016-01-15,12.25
84,2016-01-19,12.68
85,2016-01-20,12.62
86,2016-01-21,12.825
87,2016-01-22,12.76
88,2016-01-25,13.41
89,2016-01-26,12.91
90,2016-01-27,13.65
91,2016-01-28,13.87
92,2016-01-29,13.06
93,2016-02-01,13.7
94,2016-02-02,13.3301
95,2016-02-03,12.92
96,2016-02-04,12.29
97,2016-02-05,12.51
98,2016-02-08,12.67
99,2016-02-09,12.59
100,2016-02-10,12.0
101,2016-02-11,11.99
102,2016-02-12,12.94
103,2016-02-16,13.39
104,2016-02-17,14.02
105,2016-02-18,14.06
106,2016-02-19,13.83
107,2016-02-22,14.21
108,2016-02-23,13.29
109,2016-02-24,13.11
110,2016-02-25,13.11
111,2016-02-26,13.23
112,2016-02-29,13.26
113,2016-03-01,12.36
114,2016-03-02,12.575
115,2016-03-03,12.85
116,2016-03-04,12.69
117,2016-03-07,13.01
118,2016-03-08,12.89
119,2016-03-09,12.34
120,2016-03-10,11.83
121,2016-03-11,11.91
122,2016-03-14,12.91
123,2016-03-15,13.1
124,2016-03-16,12.3
125,2016-03-17,12.45
126,2016-03-18,12.1
