,date,open
0,2019-10-11,10.7
1,2019-10-14,11.0482
2,2019-10-15,32.1
3,2019-10-16,25.5
4,2019-10-17,23.11
5,2019-10-18,19.0
6,2019-10-21,20.2
7,2019-10-22,29.0
8,2019-10-23,26.0
9,2019-10-24,24.96
10,2019-10-25,23.26
11,2019-10-28,22.55
12,2019-10-29,23.98
13,2019-10-30,26.5
14,2019-10-31,26.49
15,2019-11-01,28.0
16,2019-11-04,28.0
17,2019-11-05,27.34
18,2019-11-06,24.48
19,2019-11-07,24.87
20,2019-11-08,24.87
21,2019-11-11,26.52
22,2019-11-12,26.1
23,2019-11-13,26.28
24,2019-11-14,26.1
25,2019-11-15,25.2
26,2019-11-18,25.58
27,2019-11-19,24.99
28,2019-11-20,26.26
29,2019-11-21,28.1
30,2019-11-22,28.76
31,2019-11-25,29.0
32,2019-11-26,29.01
33,2019-11-27,30.63
34,2019-11-29,30.59
35,2019-12-02,32.0
36,2019-12-03,33.2
37,2019-12-04,38.22
38,2019-12-05,45.57
39,2019-12-06,41.44
40,2019-12-09,40.55
41,2019-12-10,42.5
42,2019-12-11,39.85
43,2019-12-12,35.0
44,2019-12-13,33.6
45,2019-12-16,40.05
46,2019-12-17,41.27
47,2019-12-18,41.54
48,2019-12-19,43.08
49,2019-12-20,43.66
50,2019-12-23,42.64
51,2019-12-24,41.74
52,2019-12-26,40.37
53,2019-12-27,38.86
54,2019-12-30,39.3
55,2019-12-31,38.06
56,2020-01-02,38.4
57,2020-01-03,38.54
58,2020-01-06,38.8
59,2020-01-07,38.47
60,2020-01-08,37.6
61,2020-01-09,38.28
62,2020-01-10,39.6
63,2020-01-13,38.68
64,2020-01-14,37.9
65,2020-01-15,38.35
66,2020-01-16,39.11
67,2020-01-17,40.3
68,2020-01-21,41.05
69,2020-01-22,40.59
70,2020-01-23,40.3
71,2020-01-24,41.01
72,2020-01-27,42.05
73,2020-01-28,44.97
74,2020-01-29,46.65
75,2020-01-30,46.34
76,2020-01-31,46.77
77,2020-02-03,44.01
78,2020-02-04,39.68
79,2020-02-05,41.72
80,2020-02-06,40.94
81,2020-02-07,41.6
82,2020-02-10,42.31
83,2020-02-11,42.46
84,2020-02-12,42.0
85,2020-02-13,41.2
86,2020-02-14,43.65
87,2020-02-18,44.73
88,2020-02-19,44.96
89,2020-02-20,46.49
90,2020-02-21,49.56
91,2020-02-24,46.52
92,2020-02-25,48.0
93,2020-02-26,48.1
94,2020-02-27,50.0
95,2020-02-28,47.34
96,2020-03-02,49.19
97,2020-03-03,47.86
98,2020-03-04,49.1
99,2020-03-05,48.08
100,2020-03-06,47.29
101,2020-03-09,47.9
102,2020-03-10,46.75
103,2020-03-11,40.81
104,2020-03-12,38.06
105,2020-03-13,32.48
106,2020-03-16,28.62
107,2020-03-17,24.3
108,2020-03-18,25.85
109,2020-03-19,24.94
110,2020-03-20,28.25
111,2020-03-23,27.12
112,2020-03-24,29.45
113,2020-03-25,30.81
