,date,open
0,2021-07-29,14.92
1,2021-07-30,16.2696
2,2021-08-02,16.51
3,2021-08-03,18.32
4,2021-08-04,19.18
5,2021-08-05,20.08
6,2021-08-06,24.1
7,2021-08-09,18.06
8,2021-08-10,18.28
9,2021-08-11,18.01
10,2021-08-12,17.4
11,2021-08-13,16.52
12,2021-08-16,16.62
13,2021-08-17,15.6
14,2021-08-18,15.21
15,2021-08-19,13.73
16,2021-08-20,13.05
17,2021-08-23,13.4
18,2021-08-24,13.0
19,2021-08-25,12.86
20,2021-08-26,13.0
21,2021-08-27,13.0
22,2021-08-30,13.02
23,2021-08-31,12.8
24,2021-09-01,13.57
25,2021-09-02,13.01
26,2021-09-03,13.38
27,2021-09-07,14.35
28,2021-09-08,15.85
29,2021-09-09,12.9
30,2021-09-10,12.58
31,2021-09-13,11.41
32,2021-09-14,11.44
33,2021-09-15,11.8
34,2021-09-16,12.52
35,2021-09-17,13.69
36,2021-09-20,12.85
37,2021-09-21,10.84
38,2021-09-22,11.0
39,2021-09-23,12.25
40,2021-09-24,13.51
41,2021-09-27,13.61
42,2021-09-28,13.57
43,2021-09-29,15.81
44,2021-09-30,15.68
45,2021-10-01,17.65
46,2021-10-04,19.25
47,2021-10-05,19.28
48,2021-10-06,19.06
49,2021-10-07,19.39
50,2021-10-08,18.99
51,2021-10-11,17.28
52,2021-10-12,16.79
53,2021-10-13,16.79
54,2021-10-14,16.03
55,2021-10-15,14.99
56,2021-10-18,15.71
57,2021-10-19,16.82
58,2021-10-20,16.17
59,2021-10-21,15.51
60,2021-10-22,15.89
61,2021-10-25,16.14
62,2021-10-26,17.67
63,2021-10-27,18.4
64,2021-10-28,16.94
65,2021-10-29,17.17
66,2021-11-01,18.06
67,2021-11-02,18.3
68,2021-11-03,18.7
69,2021-11-04,18.41
70,2021-11-05,19.0
71,2021-11-08,19.25
72,2021-11-09,18.56
73,2021-11-10,19.0
74,2021-11-11,20.0
75,2021-11-12,17.63
76,2021-11-15,15.21
77,2021-11-16,14.0
78,2021-11-17,14.44
79,2021-11-18,13.43
80,2021-11-19,12.87
81,2021-11-22,13.79
82,2021-11-23,13.57
83,2021-11-24,14.36
84,2021-11-26,12.95
85,2021-11-29,13.54
86,2021-11-30,13.2524
87,2021-12-01,13.55
88,2021-12-02,11.79
89,2021-12-03,12.54
90,2021-12-06,12.08
91,2021-12-07,12.13
92,2021-12-08,12.21
93,2021-12-09,11.82
94,2021-12-10,11.52
95,2021-12-13,11.5
96,2021-12-14,9.81
97,2021-12-15,9.9
98,2021-12-16,10.15
99,2021-12-17,10.06
100,2021-12-20,10.05
101,2021-12-21,10.06
102,2021-12-22,10.84
103,2021-12-23,10.55
104,2021-12-27,11.37
105,2021-12-28,10.41
106,2021-12-29,9.6
107,2021-12-30,10.0
108,2021-12-31,9.59
109,2022-01-03,9.54
110,2022-01-04,10.975
111,2022-01-05,9.15
112,2022-01-06,8.5
113,2022-01-07,8.96
114,2022-01-10,9.8
115,2022-01-11,10.63
116,2022-01-12,11.0
117,2022-01-13,10.06
118,2022-01-14,8.69
119,2022-01-18,8.65
120,2022-01-19,8.35
121,2022-01-20,8.9
122,2022-01-21,9.86
123,2022-01-24,8.98
124,2022-01-25,9.26
125,2022-01-26,9.5
126,2022-01-27,9.05
127,2022-01-28,10.03
128,2022-01-31,11.98
129,2022-02-01,12.28
130,2022-02-02,13.9
131,2022-02-03,13.3
132,2022-02-04,13.91
133,2022-02-07,14.55
134,2022-02-08,14.9
