,date,open
0,2020-06-19,32.05
1,2020-06-22,31.35
2,2020-06-23,33.0
3,2020-06-24,32.5
4,2020-06-25,32.9
5,2020-06-26,32.95
6,2020-06-29,32.06
7,2020-06-30,31.24
8,2020-07-01,30.93
9,2020-07-02,29.66
10,2020-07-06,29.71
11,2020-07-07,29.85
12,2020-07-08,27.5
13,2020-07-09,28.0
14,2020-07-10,25.84
15,2020-07-13,25.16
16,2020-07-14,23.71
17,2020-07-15,24.51
18,2020-07-16,22.6
19,2020-07-17,23.0
20,2020-07-20,23.33
21,2020-07-21,23.49
22,2020-07-22,23.02
23,2020-07-23,22.41
24,2020-07-24,22.7
25,2020-07-27,21.64
26,2020-07-28,21.63
27,2020-07-29,22.9
28,2020-07-30,24.5
29,2020-07-31,23.78
30,2020-08-03,23.86
31,2020-08-04,23.98
32,2020-08-05,24.1
33,2020-08-06,24.168
34,2020-08-07,24.1
35,2020-08-10,24.76
36,2020-08-11,25.54
37,2020-08-12,23.96
38,2020-08-13,23.28
39,2020-08-14,23.64
40,2020-08-17,24.08
41,2020-08-18,25.6576
42,2020-08-19,24.41
43,2020-08-20,25.52
44,2020-08-21,25.52
45,2020-08-24,24.5
46,2020-08-25,23.94
47,2020-08-26,23.8
48,2020-08-27,24.25
49,2020-08-28,23.4
50,2020-08-31,24.26
51,2020-09-01,24.33
52,2020-09-02,25.57
53,2020-09-03,29.3
54,2020-09-04,29.0
55,2020-09-08,27.15
56,2020-09-09,27.48
57,2020-09-10,29.14
58,2020-09-11,28.44
59,2020-09-14,30.34
60,2020-09-15,32.9
61,2020-09-16,32.4
62,2020-09-17,33.21
63,2020-09-18,33.55
64,2020-09-21,32.41
65,2020-09-22,31.31
66,2020-09-23,31.8
67,2020-09-24,31.55
68,2020-09-25,30.72
69,2020-09-28,31.2
70,2020-09-29,32.0
71,2020-09-30,31.28
72,2020-10-01,31.345
73,2020-10-02,29.4385
74,2020-10-05,29.52
75,2020-10-06,27.28
76,2020-10-07,25.49
77,2020-10-08,24.81
78,2020-10-09,25.01
79,2020-10-12,24.77
80,2020-10-13,24.7971
81,2020-10-14,23.69
82,2020-10-15,25.44
83,2020-10-16,24.22
84,2020-10-19,25.93
85,2020-10-20,24.88
86,2020-10-21,24.56
87,2020-10-22,25.0
88,2020-10-23,27.5
89,2020-10-26,27.5
90,2020-10-27,26.96
91,2020-10-28,26.01
92,2020-10-29,25.7
93,2020-10-30,26.05
94,2020-11-02,27.45
95,2020-11-03,26.52
96,2020-11-04,27.12
97,2020-11-05,28.53
98,2020-11-06,28.62
99,2020-11-09,28.37
100,2020-11-10,28.39
101,2020-11-11,28.16
102,2020-11-12,29.0
103,2020-11-13,27.63
104,2020-11-16,28.49
105,2020-11-17,27.5
106,2020-11-18,27.99
107,2020-11-19,27.8
108,2020-11-20,28.3
109,2020-11-23,31.23
110,2020-11-24,32.63
111,2020-11-25,30.0
112,2020-11-27,30.21
113,2020-11-30,30.24
114,2020-12-01,30.5
115,2020-12-02,31.42
116,2020-12-03,34.78
117,2020-12-04,35.29
118,2020-12-07,36.05
119,2020-12-08,36.44
120,2020-12-09,37.4
121,2020-12-10,36.59
122,2020-12-11,36.85
123,2020-12-14,37.18
124,2020-12-15,38.0
125,2020-12-16,36.5
126,2020-12-17,33.9
127,2020-12-18,33.14
128,2020-12-21,33.5
129,2020-12-22,34.0
130,2020-12-23,34.05
131,2020-12-24,33.28
132,2020-12-28,34.09
133,2020-12-29,35.88
134,2020-12-30,34.43
135,2020-12-31,35.37
136,2021-01-04,35.39
137,2021-01-05,36.24
138,2021-01-06,37.17
139,2021-01-07,38.0
140,2021-01-08,46.44
141,2021-01-11,42.31
142,2021-01-12,42.09
143,2021-01-13,42.99
144,2021-01-14,43.45
