,date,open
0,2020-02-13,28.21
1,2020-02-14,29.35
2,2020-02-18,28.01
3,2020-02-19,29.12
4,2020-02-20,30.34
5,2020-02-21,30.81
6,2020-02-24,28.63
7,2020-02-25,30.44
8,2020-02-26,32.16
9,2020-02-27,32.9
10,2020-02-28,31.64
11,2020-03-02,31.39
12,2020-03-03,32.78
13,2020-03-04,33.46
14,2020-03-05,33.21
15,2020-03-06,32.45
16,2020-03-09,30.32
17,2020-03-10,32.31
18,2020-03-11,28.6
19,2020-03-12,28.32
20,2020-03-13,24.93
21,2020-03-16,21.83
22,2020-03-17,19.97
23,2020-03-18,19.81
24,2020-03-19,20.23
25,2020-03-20,23.48
26,2020-03-23,23.44
27,2020-03-24,22.88
28,2020-03-25,24.24
29,2020-03-26,26.13
30,2020-03-27,24.0
31,2020-03-30,22.7
32,2020-03-31,22.11
33,2020-04-01,21.33
34,2020-04-02,19.68
35,2020-04-03,22.3
36,2020-04-06,24.06
37,2020-04-07,23.94
38,2020-04-08,23.93
39,2020-04-09,23.36
40,2020-04-13,23.47
41,2020-04-14,23.95
42,2020-04-15,23.07
43,2020-04-16,21.0
44,2020-04-17,22.93
45,2020-04-20,22.49
46,2020-04-21,24.81
47,2020-04-22,26.13
48,2020-04-23,26.41
49,2020-04-24,27.87
50,2020-04-27,27.09
51,2020-04-28,30.01
52,2020-04-29,31.92
53,2020-04-30,32.92
54,2020-05-01,30.16
55,2020-05-04,29.27
56,2020-05-05,30.11
57,2020-05-06,34.69
58,2020-05-07,36.39
59,2020-05-08,39.0
60,2020-05-11,36.8
61,2020-05-12,38.39
62,2020-05-13,35.9
63,2020-05-14,33.3
64,2020-05-15,35.54
65,2020-05-18,37.96
66,2020-05-19,37.17
67,2020-05-20,35.14
68,2020-05-21,37.18
69,2020-05-22,35.85
70,2020-05-26,34.69
71,2020-05-27,34.43
72,2020-05-28,31.43
73,2020-05-29,30.26
74,2020-06-01,31.1
75,2020-06-02,33.8
76,2020-06-03,34.22
77,2020-06-04,33.01
78,2020-06-05,33.79
79,2020-06-08,33.71
80,2020-06-09,35.5
81,2020-06-10,35.0
82,2020-06-11,33.1
83,2020-06-12,33.86
84,2020-06-15,35.71
85,2020-06-16,39.19
86,2020-06-17,38.07
87,2020-06-18,36.32
88,2020-06-19,38.4
89,2020-06-22,37.45
90,2020-06-23,37.89
91,2020-06-24,35.06
92,2020-06-25,33.71
93,2020-06-26,33.74
94,2020-06-29,31.85
95,2020-06-30,30.99
96,2020-07-01,32.01
97,2020-07-02,33.03
98,2020-07-06,31.65
99,2020-07-07,27.54
100,2020-07-08,26.3
101,2020-07-09,27.02
102,2020-07-10,27.77
103,2020-07-13,30.77
104,2020-07-14,27.57
105,2020-07-15,25.6
106,2020-07-16,25.9
107,2020-07-17,25.17
108,2020-07-20,25.65
109,2020-07-21,24.92
110,2020-07-22,24.7
111,2020-07-23,25.31
112,2020-07-24,25.66
113,2020-07-27,24.51
114,2020-07-28,25.32
115,2020-07-29,25.01
116,2020-07-30,23.26
117,2020-07-31,22.62
118,2020-08-03,25.03
119,2020-08-04,24.81
120,2020-08-05,23.92
121,2020-08-06,24.75
122,2020-08-07,25.62
123,2020-08-10,26.55
124,2020-08-11,27.92
125,2020-08-12,28.0
126,2020-08-13,26.19
127,2020-08-14,27.01
128,2020-08-17,25.5
129,2020-08-18,25.94
130,2020-08-19,25.75
131,2020-08-20,26.06
132,2020-08-21,25.65
133,2020-08-24,26.35
134,2020-08-25,26.98
135,2020-08-26,28.21
136,2020-08-27,28.17
137,2020-08-28,28.48
138,2020-08-31,28.7
139,2020-09-01,28.02
140,2020-09-02,28.4
141,2020-09-03,28.6
142,2020-09-04,28.39
143,2020-09-08,26.5
144,2020-09-09,26.99
145,2020-09-10,27.59
146,2020-09-11,28.32
147,2020-09-14,28.36
148,2020-09-15,28.14
149,2020-09-16,28.21
150,2020-09-17,28.44
151,2020-09-18,31.05
152,2020-09-21,30.14
153,2020-09-22,32.5
154,2020-09-23,33.22
155,2020-09-24,31.95
156,2020-09-25,31.27
157,2020-09-28,34.2
158,2020-09-29,33.98
159,2020-09-30,33.91
160,2020-10-01,35.0
161,2020-10-02,34.83
162,2020-10-05,36.0
163,2020-10-06,38.99
164,2020-10-07,40.1
165,2020-10-08,40.24
166,2020-10-09,40.35
167,2020-10-12,40.21
168,2020-10-13,41.6
169,2020-10-14,44.39
170,2020-10-15,43.23
171,2020-10-16,43.69
172,2020-10-19,45.83
173,2020-10-20,44.78
174,2020-10-21,42.67
175,2020-10-22,38.12
176,2020-10-23,39.72
177,2020-10-26,34.5206
178,2020-10-27,33.8
179,2020-10-28,32.61
180,2020-10-29,31.58
181,2020-10-30,31.29
182,2020-11-02,30.39
183,2020-11-03,31.15
184,2020-11-04,31.39
185,2020-11-05,32.23
186,2020-11-06,33.69
187,2020-11-09,33.78
188,2020-11-10,34.57
189,2020-11-11,35.36
190,2020-11-12,34.87
191,2020-11-13,38.62
192,2020-11-16,40.51
193,2020-11-17,39.23
194,2020-11-18,39.5
195,2020-11-19,37.57
196,2020-11-20,37.86
197,2020-11-23,39.8
198,2020-11-24,41.2
199,2020-11-25,41.47
200,2020-11-27,42.16
201,2020-11-30,44.0
202,2020-12-01,44.0
203,2020-12-02,42.97
204,2020-12-03,40.71
205,2020-12-04,38.85
206,2020-12-07,40.68
207,2020-12-08,41.3
208,2020-12-09,43.85
209,2020-12-10,41.58
210,2020-12-11,41.97
211,2020-12-14,42.67
212,2020-12-15,43.98
213,2020-12-16,45.9
214,2020-12-17,42.97
215,2020-12-18,43.21
216,2020-12-21,40.92
217,2020-12-22,41.92
218,2020-12-23,43.18
219,2020-12-24,44.35
220,2020-12-28,42.86
221,2020-12-29,41.17
222,2020-12-30,40.74
223,2020-12-31,40.87
224,2021-01-04,40.43
225,2021-01-05,37.57
226,2021-01-06,39.23
227,2021-01-07,40.5
228,2021-01-08,41.53
229,2021-01-11,40.54
230,2021-01-12,38.58
231,2021-01-13,36.87
232,2021-01-14,38.64
233,2021-01-15,39.58
234,2021-01-19,41.13
235,2021-01-20,43.01
236,2021-01-21,44.05
237,2021-01-22,42.72
238,2021-01-25,42.89
239,2021-01-26,43.48
240,2021-01-27,38.8
241,2021-01-28,38.37
242,2021-01-29,40.79
243,2021-02-01,42.14
244,2021-02-02,43.65
245,2021-02-03,46.42
246,2021-02-04,48.88
247,2021-02-05,49.97
248,2021-02-08,53.58
249,2021-02-09,54.9
250,2021-02-10,54.39
251,2021-02-11,52.58
252,2021-02-12,50.97
253,2021-02-16,50.35
254,2021-02-17,47.34
255,2021-02-18,46.5
256,2021-02-19,44.78
257,2021-02-22,44.32
258,2021-02-23,43.52
259,2021-02-24,44.16
260,2021-02-25,46.01
261,2021-02-26,45.69
262,2021-03-01,46.4
263,2021-03-02,45.72
264,2021-03-03,44.08
265,2021-03-04,41.43
266,2021-03-05,43.49
267,2021-03-08,45.81
268,2021-03-09,44.58
269,2021-03-10,46.25
270,2021-03-11,47.38
271,2021-03-12,46.82
272,2021-03-15,47.68
273,2021-03-16,47.94
274,2021-03-17,47.14
275,2021-03-18,48.7
276,2021-03-19,46.43
277,2021-03-22,48.62
278,2021-03-23,48.97
279,2021-03-24,49.4
280,2021-03-25,42.81
281,2021-03-26,45.88
282,2021-03-29,42.65
283,2021-03-30,41.83
284,2021-03-31,44.29
285,2021-04-01,46.23
286,2021-04-05,47.81
287,2021-04-06,47.21
288,2021-04-07,47.11
289,2021-04-08,45.63
290,2021-04-09,45.26
291,2021-04-12,42.31
292,2021-04-13,39.27
293,2021-04-14,37.52
294,2021-04-15,39.94
295,2021-04-16,40.0
296,2021-04-19,39.93
297,2021-04-20,39.36
298,2021-04-21,38.0
299,2021-04-22,40.5
300,2021-04-23,40.68
301,2021-04-26,41.93
302,2021-04-27,43.45
303,2021-04-28,42.5
304,2021-04-29,34.2
305,2021-04-30,34.49
306,2021-05-03,33.84
307,2021-05-04,32.62
308,2021-05-05,31.83
309,2021-05-06,30.34
310,2021-05-07,29.48
311,2021-05-10,29.42
312,2021-05-11,28.9
313,2021-05-12,31.01
314,2021-05-13,31.73
315,2021-05-14,31.2
316,2021-05-17,31.74
317,2021-05-18,32.17
318,2021-05-19,32.27
319,2021-05-20,32.08
320,2021-05-21,32.1
321,2021-05-24,31.52
322,2021-05-25,31.13
323,2021-05-26,30.77
324,2021-05-27,31.4
325,2021-05-28,29.87
326,2021-06-01,30.08
327,2021-06-02,30.49
328,2021-06-03,30.55
329,2021-06-04,30.4
330,2021-06-07,30.57
331,2021-06-08,31.89
332,2021-06-09,32.84
333,2021-06-10,33.0
334,2021-06-11,33.27
335,2021-06-14,34.47
336,2021-06-15,34.63
337,2021-06-16,33.63
338,2021-06-17,34.13
339,2021-06-18,33.58
340,2021-06-21,33.9
341,2021-06-22,34.58
342,2021-06-23,32.83
343,2021-06-24,33.04
344,2021-06-25,33.0
345,2021-06-28,33.71
346,2021-06-29,32.75
347,2021-06-30,31.8
348,2021-07-01,32.495
349,2021-07-02,33.28
350,2021-07-06,32.59
351,2021-07-07,31.46
352,2021-07-08,30.5
353,2021-07-09,31.79
354,2021-07-12,32.88
355,2021-07-13,32.11
356,2021-07-14,31.85
357,2021-07-15,29.97
358,2021-07-16,29.69
359,2021-07-19,29.25
360,2021-07-20,29.51
361,2021-07-21,30.26
362,2021-07-22,30.3
363,2021-07-23,29.07
364,2021-07-26,28.97
365,2021-07-27,27.82
366,2021-07-28,28.16
367,2021-07-29,30.3
368,2021-07-30,28.82
369,2021-08-02,28.99
370,2021-08-03,29.35
371,2021-08-04,29.26
372,2021-08-05,27.51
373,2021-08-06,28.4
374,2021-08-09,27.85
375,2021-08-10,27.39
376,2021-08-11,27.32
377,2021-08-12,23.75
378,2021-08-13,23.8
379,2021-08-16,25.59
380,2021-08-17,25.02
381,2021-08-18,26.55
382,2021-08-19,26.53
383,2021-08-20,24.42
384,2021-08-23,25.76
385,2021-08-24,26.27
386,2021-08-25,25.98
387,2021-08-26,27.02
388,2021-08-27,27.25
389,2021-08-30,28.44
390,2021-08-31,28.5
391,2021-09-01,29.0
392,2021-09-02,29.68
393,2021-09-03,29.65
394,2021-09-07,28.86
395,2021-09-08,30.91
396,2021-09-09,30.04
397,2021-09-10,30.81
398,2021-09-13,30.14
399,2021-09-14,29.46
400,2021-09-15,29.45
401,2021-09-16,30.53
402,2021-09-17,30.02
403,2021-09-20,30.65
404,2021-09-21,30.6
405,2021-09-22,31.98
406,2021-09-23,31.67
407,2021-09-24,31.76
408,2021-09-27,31.01
409,2021-09-28,29.73
410,2021-09-29,28.7
411,2021-09-30,27.86
412,2021-10-01,27.5
413,2021-10-04,28.87
414,2021-10-05,28.78
415,2021-10-06,27.7
416,2021-10-07,27.93
417,2021-10-08,27.85
418,2021-10-11,27.93
419,2021-10-12,27.76
420,2021-10-13,27.53
421,2021-10-14,28.25
422,2021-10-15,29.26
423,2021-10-18,26.88
424,2021-10-19,27.99
425,2021-10-20,27.54
426,2021-10-21,26.99
427,2021-10-22,27.39
428,2021-10-25,27.25
429,2021-10-26,26.94
430,2021-10-27,27.05
431,2021-10-28,28.0
432,2021-10-29,29.69
433,2021-11-01,29.095
434,2021-11-02,30.71
435,2021-11-03,30.895
436,2021-11-04,33.15
437,2021-11-05,33.42
438,2021-11-08,33.76
439,2021-11-09,32.9
440,2021-11-10,32.27
441,2021-11-11,31.92
442,2021-11-12,32.47
443,2021-11-15,32.79
444,2021-11-16,32.1
445,2021-11-17,31.7
446,2021-11-18,31.32
447,2021-11-19,29.96
448,2021-11-22,29.7
449,2021-11-23,28.29
450,2021-11-24,28.55
451,2021-11-26,28.11
452,2021-11-29,27.55
453,2021-11-30,26.43
454,2021-12-01,28.11
455,2021-12-02,26.96
456,2021-12-03,27.79
457,2021-12-06,26.2
458,2021-12-07,26.02
459,2021-12-08,27.4
460,2021-12-09,26.56
461,2021-12-10,25.82
462,2021-12-13,24.46
463,2021-12-14,24.82
464,2021-12-15,24.35
465,2021-12-16,25.9
466,2021-12-17,24.55
467,2021-12-20,25.56
468,2021-12-21,26.0
469,2021-12-22,25.49
470,2021-12-23,26.66
471,2021-12-27,27.5
472,2021-12-28,26.78
473,2021-12-29,25.85
474,2021-12-30,25.89
475,2021-12-31,25.85
476,2022-01-03,25.19
477,2022-01-04,25.9
478,2022-01-05,24.8
479,2022-01-06,23.93
480,2022-01-07,24.02
481,2022-01-10,23.13
482,2022-01-11,23.25
483,2022-01-12,24.69
484,2022-01-13,25.16
485,2022-01-14,24.51
486,2022-01-18,25.47
487,2022-01-19,23.57
488,2022-01-20,24.4
489,2022-01-21,22.9
490,2022-01-24,22.13
491,2022-01-25,21.93
492,2022-01-26,22.79
493,2022-01-27,22.25
494,2022-01-28,20.03
495,2022-01-31,19.95
496,2022-02-01,21.63
497,2022-02-02,22.36
498,2022-02-03,21.23
499,2022-02-04,21.06
500,2022-02-07,21.28
501,2022-02-08,22.56
502,2022-02-09,21.68
503,2022-02-10,21.88
504,2022-02-11,21.38
505,2022-02-14,21.41
506,2022-02-15,21.51
507,2022-02-16,22.1
508,2022-02-17,20.9
509,2022-02-18,19.98
510,2022-02-22,19.65
511,2022-02-23,20.07
512,2022-02-24,18.24
513,2022-02-25,19.87
514,2022-02-28,19.7
515,2022-03-01,21.76
516,2022-03-02,18.795
517,2022-03-03,18.91
518,2022-03-04,17.9
519,2022-03-07,18.28
520,2022-03-08,18.24
521,2022-03-09,19.73
522,2022-03-10,20.76
523,2022-03-11,20.74
524,2022-03-14,20.19
525,2022-03-15,18.48
526,2022-03-16,18.52
527,2022-03-17,18.62
528,2022-03-18,18.8
529,2022-03-21,20.26
530,2022-03-22,21.92
531,2022-03-23,23.07
532,2022-03-24,24.03
533,2022-03-25,25.4
534,2022-03-28,24.14
535,2022-03-29,24.89
536,2022-03-30,26.59
537,2022-03-31,25.52
538,2022-04-01,25.7
539,2022-04-04,25.73
540,2022-04-05,27.01
541,2022-04-06,25.97
542,2022-04-07,26.03
543,2022-04-08,25.33
544,2022-04-11,23.98
545,2022-04-12,23.98
546,2022-04-13,23.63
547,2022-04-14,24.2
548,2022-04-18,24.27
549,2022-04-19,23.52
550,2022-04-20,23.9
551,2022-04-21,23.89
552,2022-04-22,21.71
553,2022-04-25,21.3
554,2022-04-26,22.0
555,2022-04-27,20.93
556,2022-04-28,20.87
557,2022-04-29,21.16
558,2022-05-02,19.92
559,2022-05-03,21.07
560,2022-05-04,21.89
561,2022-05-05,22.28
562,2022-05-06,20.34
563,2022-05-09,16.67
564,2022-05-10,16.42
565,2022-05-11,15.75
566,2022-05-12,14.42
567,2022-05-13,14.84
568,2022-05-16,15.53
569,2022-05-17,15.97
570,2022-05-18,15.98
571,2022-05-19,15.64
572,2022-05-20,15.24
573,2022-05-23,15.68
574,2022-05-24,16.42
575,2022-05-25,15.61
576,2022-05-26,15.7
577,2022-05-27,15.88
578,2022-05-31,16.59
579,2022-06-01,17.21
580,2022-06-02,16.45
581,2022-06-03,17.1
582,2022-06-06,19.41
583,2022-06-07,18.82
584,2022-06-08,19.61
585,2022-06-09,19.43
586,2022-06-10,18.34
587,2022-06-13,16.99
588,2022-06-14,16.56
589,2022-06-15,17.08
590,2022-06-16,16.58
591,2022-06-17,17.02
592,2022-06-21,18.57
593,2022-06-22,17.58
594,2022-06-23,18.27
595,2022-06-24,19.15
596,2022-06-27,18.89
597,2022-06-28,18.5
598,2022-06-29,17.47
599,2022-06-30,18.55
600,2022-07-01,19.64
601,2022-07-05,20.58
602,2022-07-06,23.19
603,2022-07-07,23.22
604,2022-07-08,22.95
605,2022-07-11,23.09
606,2022-07-12,22.15
607,2022-07-13,21.85
608,2022-07-14,23.13
609,2022-07-15,23.89
610,2022-07-18,23.52
611,2022-07-19,23.09
612,2022-07-20,21.07
613,2022-07-21,23.45
614,2022-07-22,23.78
615,2022-07-25,22.31
616,2022-07-26,23.21
617,2022-07-27,24.79
618,2022-07-28,24.3
619,2022-07-29,22.97
620,2022-08-01,22.03
621,2022-08-02,19.5
622,2022-08-03,20.53
623,2022-08-04,20.57
624,2022-08-05,21.45
625,2022-08-08,25.02
626,2022-08-09,24.31
627,2022-08-10,24.76
628,2022-08-11,24.13
629,2022-08-12,23.47
630,2022-08-15,25.12
631,2022-08-16,25.82
632,2022-08-17,25.65
633,2022-08-18,23.57
634,2022-08-19,22.39
635,2022-08-22,22.41
636,2022-08-23,22.49
637,2022-08-24,22.93
638,2022-08-25,23.37
639,2022-08-26,22.8
640,2022-08-29,20.81
641,2022-08-30,21.11
642,2022-08-31,20.26
643,2022-09-01,20.85
644,2022-09-02,22.75
645,4800,24.24
646,2022-08-11,24.13
647,2022-08-12,23.47
648,2022-08-15,25.12
649,2022-08-16,25.82
650,2022-08-17,25.65
651,2022-08-18,23.57
652,2022-08-19,22.39
653,2022-08-22,22.41
654,2022-08-23,22.49
655,2022-08-24,22.93
656,2022-08-25,23.37
657,2022-08-26,22.8
658,2022-08-29,20.81
659,2022-08-30,21.11
660,2022-08-31,20.26
661,2022-09-01,20.85
662,2022-09-02,22.75
