,date,open
0,2021-03-12,24.95
1,2021-03-15,26.75
2,2021-03-16,25.23
3,2021-03-17,23.35
4,2021-03-18,22.0
5,2021-03-19,21.15
6,2021-03-22,20.56
7,2021-03-23,21.98
8,2021-03-24,21.34
9,2021-03-25,19.79
10,2021-03-26,18.76
11,2021-03-29,18.47
12,2021-03-30,16.68
13,2021-03-31,16.95
14,2021-04-01,18.14
15,2021-04-05,18.55
16,2021-04-06,20.0
17,2021-04-07,19.24
18,2021-04-08,20.33
19,2021-04-09,23.68
20,2021-04-12,22.9
21,2021-04-13,18.85
22,2021-04-14,21.3
23,2021-04-15,23.0
24,2021-04-16,24.25
25,2021-04-19,25.62
26,2021-04-20,27.76
27,2021-04-21,26.09
28,2021-04-22,28.59
29,2021-04-23,27.6
30,2021-04-26,25.42
31,2021-04-27,25.52
32,2021-04-28,25.16
33,2021-04-29,24.18
34,2021-04-30,24.05
35,2021-05-03,24.5
36,2021-05-04,22.85
37,2021-05-05,23.51
38,2021-05-06,22.1
39,2021-05-07,19.79
40,2021-05-10,19.99
41,2021-05-11,18.51
42,2021-05-12,18.07
43,2021-05-13,18.15
44,2021-05-14,16.76
45,2021-05-17,17.25
46,2021-05-18,23.15
47,2021-05-19,17.6
48,2021-05-20,19.06
49,2021-05-21,20.5
50,2021-05-24,19.76
51,2021-05-25,18.98
52,2021-05-26,19.06
53,2021-05-27,19.18
54,2021-05-28,20.34
55,2021-06-01,23.38
56,2021-06-02,23.08
57,2021-06-03,22.81
58,2021-06-04,23.65
59,2021-06-07,23.43
60,2021-06-08,22.16
61,2021-06-09,21.78
62,2021-06-10,21.01
63,2021-06-11,21.525
64,2021-06-14,21.4
65,2021-06-15,23.42
66,2021-06-16,27.15
67,2021-06-17,28.84
68,2021-06-18,26.63
69,2021-06-21,26.16
70,2021-06-22,25.51
71,2021-06-23,22.22
72,2021-06-24,21.29
73,2021-06-25,20.85
74,2021-06-28,21.65
75,2021-06-29,23.38
76,2021-06-30,23.05
77,2021-07-01,24.47
78,2021-07-02,26.89
79,2021-07-06,26.93
80,2021-07-07,25.9
81,2021-07-08,24.94
82,2021-07-09,26.49
83,2021-07-12,26.42
84,2021-07-13,25.76
85,2021-07-14,26.77
86,2021-07-15,21.51
87,2021-07-16,21.42
88,2021-07-19,20.82
89,2021-07-20,20.8206
90,2021-07-21,22.48
91,2021-07-22,22.0
92,2021-07-23,22.57
93,2021-07-26,21.61
94,2021-07-27,21.66
95,2021-07-28,21.07
96,2021-07-29,21.14
97,2021-07-30,22.01
98,2021-08-02,21.1
99,2021-08-03,21.26
100,2021-08-04,21.36
101,2021-08-05,22.42
102,2021-08-06,23.82
103,2021-08-09,22.72
104,2021-08-10,23.91
105,2021-08-11,23.95
106,2021-08-12,22.17
107,2021-08-13,21.75
108,2021-08-16,22.84
109,2021-08-17,22.71
110,2021-08-18,22.29
111,2021-08-19,23.36
112,2021-08-20,21.8
113,2021-08-23,22.37
114,2021-08-24,22.32
115,2021-08-25,22.23
116,2021-08-26,22.44
117,2021-08-27,22.55
118,2021-08-30,22.69
119,2021-08-31,23.0
120,2021-09-01,21.58
121,2021-09-02,22.58
122,2021-09-03,24.72
123,2021-09-07,23.16
124,2021-09-08,23.86
125,2021-09-09,25.12
126,2021-09-10,26.4
127,2021-09-13,25.68
128,2021-09-14,26.23
129,2021-09-15,24.96
130,2021-09-16,23.74
131,2021-09-17,25.22
132,2021-09-20,26.04
133,2021-09-21,24.74
134,2021-09-22,25.6
135,2021-09-23,24.43
136,2021-09-24,25.4
137,2021-09-27,25.56
138,2021-09-28,26.08
139,2021-09-29,25.0
140,2021-09-30,23.36
141,2021-10-01,23.71
142,2021-10-04,22.67
143,2021-10-05,24.36
144,2021-10-06,24.57
145,2021-10-07,24.5
146,2021-10-08,24.31
147,2021-10-11,24.92
148,2021-10-12,24.88
149,2021-10-13,24.78
150,2021-10-14,25.55
151,2021-10-15,25.58
152,2021-10-18,25.59
153,2021-10-19,24.66
154,2021-10-20,25.25
155,2021-10-21,25.01
156,2021-10-22,26.17
157,2021-10-25,25.93
158,2021-10-26,26.44
159,2021-10-27,27.25
160,2021-10-28,29.29
161,2021-10-29,29.06
162,2021-11-01,31.87
163,2021-11-02,31.9
164,2021-11-03,33.26
165,2021-11-04,35.86
166,2021-11-05,35.07
167,2021-11-08,36.16
168,2021-11-09,37.0
169,2021-11-10,37.69
170,2021-11-11,36.37
171,2021-11-12,36.94
172,2021-11-15,34.46
173,2021-11-16,34.48
174,2021-11-17,35.96
175,2021-11-18,38.44
176,2021-11-19,38.48
177,2021-11-22,38.32
178,2021-11-23,30.6
179,2021-11-24,28.25
180,2021-11-26,29.64
181,2021-11-29,30.26
182,2021-11-30,29.45
183,2021-12-01,29.7
184,2021-12-02,28.84
185,2021-12-03,28.69
186,2021-12-06,27.87
187,2021-12-07,29.56
188,2021-12-08,35.46
189,2021-12-09,33.1
190,2021-12-10,32.42
191,2021-12-13,34.3
192,2021-12-14,32.89
193,2021-12-15,31.5
194,2021-12-16,34.76
195,2021-12-17,31.69
196,2021-12-20,28.98
197,2021-12-21,33.22
198,2021-12-22,34.07
199,2021-12-23,36.69
200,2021-12-27,37.5
201,2021-12-28,38.5
202,2021-12-29,37.14
203,2021-12-30,37.33
204,2021-12-31,38.1
205,2022-01-03,39.26
206,2022-01-04,39.61
207,2022-01-05,37.43
208,2022-01-06,35.84
209,2022-01-07,35.33
210,2022-01-10,34.73
211,2022-01-11,33.8
212,2022-01-12,33.74
213,2022-01-13,30.05
214,2022-01-14,29.6
215,2022-01-18,34.61
216,2022-01-19,35.23
217,2022-01-20,34.14
218,2022-01-21,33.73
219,2022-01-24,31.32
220,2022-01-25,34.2
221,2022-01-26,35.94
222,2022-01-27,34.31
223,2022-01-28,32.92
224,2022-01-31,35.22
225,2022-02-01,36.13
226,2022-02-02,36.31
227,2022-02-03,35.67
228,2022-02-04,35.26
229,2022-02-07,34.23
230,2022-02-08,37.84
231,2022-02-09,38.37
232,2022-02-10,38.81
233,2022-02-11,40.82
234,2022-02-14,42.57
235,2022-02-15,41.49
