,date,open
0,2021-04-16,30.0
1,2021-04-19,28.6774
2,2021-04-20,27.32
3,2021-04-21,29.5
4,2021-04-22,33.64
5,2021-04-23,31.48
6,2021-04-26,30.0
7,2021-04-27,30.81
8,2021-04-28,31.82
9,2021-04-29,31.78
10,2021-04-30,34.47
11,2021-05-03,33.81
12,2021-05-04,32.54
13,2021-05-05,33.37
14,2021-05-06,32.27
15,2021-05-07,28.42
16,2021-05-10,28.18
17,2021-05-11,22.01
18,2021-05-12,22.59
19,2021-05-13,22.32
20,2021-05-14,21.29
21,2021-05-17,21.49
22,2021-05-18,22.38
23,2021-05-19,22.21
24,2021-05-20,21.54
25,2021-05-21,23.29
26,2021-05-24,25.62
27,2021-05-25,24.68
28,2021-05-26,24.07
29,2021-05-27,24.9
30,2021-05-28,25.59
31,2021-06-01,26.69
32,2021-06-02,28.73
33,2021-06-03,28.64
34,2021-06-04,28.73
35,2021-06-07,29.87
36,2021-06-08,27.7
37,2021-06-09,30.0
38,2021-06-10,30.0
39,2021-06-11,30.0
40,2021-06-14,31.44
41,2021-06-15,33.09
42,2021-06-16,32.9
43,2021-06-17,33.63
44,2021-06-18,35.45
45,2021-06-21,37.0
46,2021-06-22,37.72
47,2021-06-23,35.88
48,2021-06-24,33.46
49,2021-06-25,34.86
50,2021-06-28,34.44
51,2021-06-29,37.37
52,2021-06-30,37.37
53,2021-07-01,36.72
54,2021-07-02,36.18
55,2021-07-06,37.25
56,2021-07-07,38.19
57,2021-07-08,37.4
58,2021-07-09,38.87
59,2021-07-12,40.51
60,2021-07-13,40.61
61,2021-07-14,41.19
62,2021-07-15,33.28
63,2021-07-16,32.76
64,2021-07-19,32.69
65,2021-07-20,33.81
66,2021-07-21,34.78
67,2021-07-22,36.65
68,2021-07-23,35.74
69,2021-07-26,35.16
70,2021-07-27,32.99
71,2021-07-28,30.9
72,2021-07-29,32.81
73,2021-07-30,32.38
74,2021-08-02,30.62
75,2021-08-03,29.95
76,2021-08-04,31.2
77,2021-08-05,30.55
78,2021-08-06,31.43
79,2021-08-09,28.5
80,2021-08-10,28.32
81,2021-08-11,26.21
82,2021-08-12,25.75
83,2021-08-13,22.86
84,2021-08-16,22.73
85,2021-08-17,20.2
86,2021-08-18,20.01
87,2021-08-19,18.89
88,2021-08-20,19.06
89,2021-08-23,20.33
90,2021-08-24,21.79
91,2021-08-25,21.2
92,2021-08-26,22.4
93,2021-08-27,21.69
94,2021-08-30,22.67
95,2021-08-31,24.85
96,2021-09-01,25.24
97,2021-09-02,25.05
98,2021-09-03,26.2
99,2021-09-07,27.34
100,2021-09-08,27.97
101,2021-09-09,26.5
102,2021-09-10,28.54
103,2021-09-13,28.59
104,2021-09-14,26.09
105,2021-09-15,25.87
106,2021-09-16,23.69
107,2021-09-17,24.33
108,2021-09-20,25.98
109,2021-09-21,26.93
110,2021-09-22,25.29
111,2021-09-23,24.42
112,2021-09-24,24.35
113,2021-09-27,24.48
114,2021-09-28,24.31
115,2021-09-29,22.92
116,2021-09-30,22.22
117,2021-10-01,22.97
118,2021-10-04,21.89
119,2021-10-05,20.59
120,2021-10-06,21.1
121,2021-10-07,18.8
122,2021-10-08,20.03
123,2021-10-11,18.83
124,2021-10-12,18.55
125,2021-10-13,17.7
126,2021-10-14,19.87
127,2021-10-15,19.9
128,2021-10-18,18.79
129,2021-10-19,19.47
130,2021-10-20,19.72
131,2021-10-21,18.55
132,2021-10-22,18.15
133,2021-10-25,17.8
134,2021-10-26,18.35
135,2021-10-27,18.48
136,2021-10-28,18.98
137,2021-10-29,19.1
138,2021-11-01,19.25
139,2021-11-02,19.78
140,2021-11-03,20.79
141,2021-11-04,20.17
142,2021-11-05,19.2
143,2021-11-08,19.35
144,2021-11-09,19.49
145,2021-11-10,16.68
146,2021-11-11,16.5
147,2021-11-12,17.79
148,2021-11-15,18.96
149,2021-11-16,18.72
150,2021-11-17,19.46
151,2021-11-18,19.34
152,2021-11-19,19.16
153,2021-11-22,19.45
154,2021-11-23,16.76
155,2021-11-24,16.5
156,2021-11-26,18.46
157,2021-11-29,19.03
158,2021-11-30,19.0
159,2021-12-01,19.25
160,2021-12-02,17.45
161,2021-12-03,19.03
162,2021-12-06,17.71
163,2021-12-07,18.63
164,2021-12-08,20.105
165,2021-12-09,19.72
166,2021-12-10,18.86
167,2021-12-13,19.09
168,2021-12-14,18.805
169,2021-12-15,18.46
170,2021-12-16,19.7
171,2021-12-17,17.86
172,2021-12-20,18.16
173,2021-12-21,19.5
174,2021-12-22,18.16
175,2021-12-23,18.14
176,2021-12-27,16.69
177,2021-12-28,16.77
178,2021-12-29,16.86
179,2021-12-30,17.1
180,2021-12-31,17.49
181,2022-01-03,17.2
182,2022-01-04,17.78
183,2022-01-05,17.93
184,2022-01-06,16.36
185,2022-01-07,16.39
186,2022-01-10,15.56
187,2022-01-11,15.49
188,2022-01-12,16.04
189,2022-01-13,15.0
190,2022-01-14,13.66
191,2022-01-18,13.75
192,2022-01-19,12.53
193,2022-01-20,12.5
194,2022-01-21,12.25
195,2022-01-24,11.15
196,2022-01-25,11.37
197,2022-01-26,12.02
198,2022-01-27,11.52
199,2022-01-28,10.24
200,2022-01-31,10.78
201,2022-02-01,11.63
202,2022-02-02,12.5
203,2022-02-03,11.41
204,2022-02-04,11.25
205,2022-02-07,11.4
206,2022-02-08,11.6
207,2022-02-09,11.84
208,2022-02-10,11.86
209,2022-02-11,11.81
210,2022-02-14,12.02
211,2022-02-15,11.74
212,2022-02-16,11.88
213,2022-02-17,11.45
214,2022-02-18,10.7
215,2022-02-22,10.06
216,2022-02-23,10.32
217,2022-02-24,9.5
218,2022-02-25,10.86
219,2022-02-28,10.66
220,2022-03-01,10.78
221,2022-03-02,10.85
222,2022-03-03,10.55
223,2022-03-04,9.22
224,2022-03-07,7.53
225,2022-03-08,7.15
226,2022-03-09,7.51
227,2022-03-10,7.44
228,2022-03-11,7.42
229,2022-03-14,6.7
230,2022-03-15,6.2
231,2022-03-16,6.36
232,2022-03-17,6.49
233,2022-03-18,6.92
234,2022-03-21,7.18
235,2022-03-22,6.68
236,2022-03-23,6.92
237,2022-03-24,6.82
238,2022-03-25,6.95
239,2022-03-28,6.77
240,2022-03-29,6.97
241,2022-03-30,7.21
242,2022-03-31,7.11
243,2022-04-01,7.17
244,2022-04-04,7.71
245,2022-04-05,7.67
246,2022-04-06,7.02
247,2022-04-07,6.61
248,2022-04-08,6.55
249,2022-04-11,6.5
250,2022-04-12,7.0
251,2022-04-13,7.05
252,2022-04-14,7.73
253,2022-04-18,6.91
254,2022-04-19,6.46
255,2022-04-20,6.59
256,2022-04-21,6.51
257,2022-04-22,6.03
258,2022-04-25,6.07
259,2022-04-26,6.66
260,2022-04-27,6.3
261,2022-04-28,6.24
262,2022-04-29,6.24
263,2022-05-02,6.21
264,2022-05-03,6.61
265,2022-05-04,6.54
266,2022-05-05,6.695
267,2022-05-06,6.45
268,2022-05-09,5.82
269,2022-05-10,5.78
270,2022-05-11,5.46
271,2022-05-12,4.92
272,2022-05-13,5.4
273,2022-05-16,5.62
274,2022-05-17,5.89
275,2022-05-18,5.83
276,2022-05-19,5.53
277,2022-05-20,5.59
278,2022-05-23,5.45
279,2022-05-24,5.4438
280,2022-05-25,5.39
281,2022-05-26,5.54
282,2022-05-27,5.78
283,2022-05-31,6.0
284,2022-06-01,6.13
285,2022-06-02,6.05
286,2022-06-03,6.41
287,2022-06-06,7.43
288,2022-06-07,7.03
289,2022-06-08,7.59
290,2022-06-09,7.74
291,2022-06-10,7.29
292,2022-06-13,6.16
293,2022-06-14,5.87
294,2022-06-15,6.29
295,2022-06-16,6.31
296,2022-06-17,6.87
297,2022-06-21,7.81
298,2022-06-22,8.2
299,2022-06-23,8.56
300,2022-06-24,9.4
301,2022-06-27,9.01
302,2022-06-28,8.22
303,2022-06-29,8.0
304,2022-06-30,7.85
305,2022-07-01,8.15
306,2022-07-05,8.25
307,2022-07-06,8.84
308,2022-07-07,9.0
309,2022-07-08,8.82
310,2022-07-11,9.02
311,2022-07-12,8.15
312,2022-07-13,7.81
313,2022-07-14,8.05
314,2022-07-15,8.43
315,2022-07-18,8.58
316,2022-07-19,8.15
317,2022-07-20,8.89
318,2022-07-21,8.94
319,2022-07-22,8.5
320,2022-07-25,7.82
321,2022-07-26,7.76
322,2022-07-27,7.98
323,2022-07-28,8.2
324,2022-07-29,8.25
325,2022-08-01,8.26
326,2022-08-02,8.21
327,2022-08-03,9.11
328,2022-08-04,9.71
329,2022-08-05,9.25
330,2022-08-08,10.0
331,2022-08-09,9.24
332,2022-08-10,9.35
333,2022-08-11,9.9
334,2022-08-12,11.21
335,2022-08-15,12.04
336,2022-08-16,12.77
337,2022-08-17,12.05
338,2022-08-18,11.13
339,2022-08-19,10.71
340,2022-08-22,9.49
341,2022-08-23,9.72
342,2022-08-24,10.12
343,2022-08-25,11.0
344,2022-08-26,10.94
345,2022-08-29,10.29
346,2022-08-30,10.34
347,2022-08-31,10.16
348,2022-09-01,10.27
349,2022-09-02,11.13
350,,9.35
351,2022-08-11,9.9
352,2022-08-12,11.21
353,2022-08-15,12.04
354,2022-08-16,12.77
355,2022-08-17,12.05
356,2022-08-18,11.13
357,2022-08-19,10.71
358,2022-08-22,9.49
359,2022-08-23,9.72
360,2022-08-24,10.12
361,2022-08-25,11.0
362,2022-08-26,10.94
363,2022-08-29,10.29
364,2022-08-30,10.34
365,2022-08-31,10.16
366,2022-09-01,10.27
367,2022-09-02,11.13
