,date,open
0,2021-02-04,35.0
1,2021-02-05,37.9
2,2021-02-08,40.51
3,2021-02-09,37.87
4,2021-02-10,39.98
5,2021-02-11,42.75
6,2021-02-12,43.14
7,2021-02-16,40.66
8,2021-02-17,39.11
9,2021-02-18,34.22
10,2021-02-19,35.55
11,2021-02-22,35.5
12,2021-02-23,36.69
13,2021-02-24,33.49
14,2021-02-25,34.7
15,2021-02-26,32.26
16,2021-03-01,31.28
17,2021-03-02,33.4
18,2021-03-03,30.21
19,2021-03-04,24.93
20,2021-03-05,23.49
21,2021-03-08,24.01
22,2021-03-09,24.13
23,2021-03-10,28.51
24,2021-03-11,27.11
25,2021-03-12,27.5
26,2021-03-15,31.31
27,2021-03-16,29.51
28,2021-03-17,29.47
29,2021-03-18,31.51
30,2021-03-19,30.38
31,2021-03-22,32.0
32,2021-03-23,32.84
33,2021-03-24,32.35
34,2021-03-25,30.22
35,2021-03-26,30.13
36,2021-03-29,31.02
37,2021-03-30,30.36
38,2021-03-31,31.64
39,2021-04-01,33.8
40,2021-04-05,32.39
41,2021-04-06,32.39
42,2021-04-07,31.88
43,2021-04-08,32.24
44,2021-04-09,32.03
45,2021-04-12,31.22
46,2021-04-13,26.72
47,2021-04-14,24.5
48,2021-04-15,25.42
49,2021-04-16,24.64
50,2021-04-19,24.94
51,2021-04-20,23.83
52,2021-04-21,23.15
53,2021-04-22,24.11
54,2021-04-23,25.61
55,2021-04-26,25.18
56,2021-04-27,26.02
57,2021-04-28,25.82
58,2021-04-29,25.48
59,2021-04-30,23.06
60,2021-05-03,21.29
61,2021-05-04,20.19
62,2021-05-05,19.5
63,2021-05-06,17.46
64,2021-05-07,17.0
65,2021-05-10,17.91
66,2021-05-11,17.5
67,2021-05-12,18.53
68,2021-05-13,19.27
69,2021-05-14,19.7
70,2021-05-17,20.07
71,2021-05-18,19.38
72,2021-05-19,19.9
73,2021-05-20,19.74
74,2021-05-21,20.03
75,2021-05-24,20.41
76,2021-05-25,19.97
77,2021-05-26,20.32
78,2021-05-27,20.94
79,2021-05-28,21.65
80,2021-06-01,21.16
81,2021-06-02,21.2
82,2021-06-03,21.0
83,2021-06-04,21.09
84,2021-06-07,20.94
85,2021-06-08,22.82
86,2021-06-09,25.13
87,2021-06-10,25.62
88,2021-06-11,24.99
89,2021-06-14,23.75
90,2021-06-15,24.99
91,2021-06-16,23.07
92,2021-06-17,22.33
93,2021-06-18,22.69
94,2021-06-21,22.83
95,2021-06-22,20.43
96,2021-06-23,19.71
97,2021-06-24,19.93
98,2021-06-25,20.6
99,2021-06-28,19.46
100,2021-06-29,19.07
101,2021-06-30,18.14
102,2021-07-01,19.66
