,date,open
0,2017-11-17,14.25
1,2017-11-20,14.05
2,2017-11-21,14.19
3,2017-11-22,14.02
4,2017-11-24,14.35
5,2017-11-27,14.25
6,2017-11-28,14.41
7,2017-11-29,15.01
8,2017-11-30,15.84
9,2017-12-01,16.5
10,2017-12-04,17.09
11,2017-12-05,17.32
12,2017-12-06,15.55
13,2017-12-07,14.39
14,2017-12-08,13.46
15,2017-12-11,14.4
16,2017-12-12,14.65
17,2017-12-13,14.5
18,2017-12-14,14.29
19,2017-12-15,14.01
20,2017-12-18,13.58
21,2017-12-19,13.1
22,2017-12-20,12.5
23,2017-12-21,12.13
24,2017-12-22,11.75
25,2017-12-26,13.3548
26,2017-12-27,13.34
27,2017-12-28,13.1887
28,2017-12-29,12.89
29,2018-01-02,12.21
30,2018-01-03,12.24
31,2018-01-04,11.72
32,2018-01-05,11.87
33,2018-01-08,11.91
34,2018-01-09,12.29
35,2018-01-10,12.9159
36,2018-01-11,12.32
37,2018-01-12,12.18
38,2018-01-16,12.3
39,2018-01-17,12.23
40,2018-01-18,12.315
41,2018-01-19,12.21
42,2018-01-22,12.01
43,2018-01-23,12.3
44,2018-01-24,12.63
45,2018-01-25,12.725
46,2018-01-26,12.8468
47,2018-01-29,12.75
48,2018-01-30,12.64
49,2018-01-31,12.85
50,2018-02-01,12.4546
51,2018-02-02,12.6
52,2018-02-05,12.31
53,2018-02-06,12.38
54,2018-02-07,12.16
55,2018-02-08,12.23
56,2018-02-09,11.97
57,2018-02-12,12.4
58,2018-02-13,12.2
59,2018-02-14,12.6
60,2018-02-15,12.4731
61,2018-02-16,14.1
62,2018-02-20,14.0628
63,2018-02-21,15.3
64,2018-02-22,15.33
65,2018-02-23,14.95
66,2018-02-26,15.71
67,2018-02-27,15.75
68,2018-02-28,14.81
69,2018-03-01,15.9
70,2018-03-02,15.48
71,2018-03-05,15.25
72,2018-03-06,15.82
73,2018-03-07,15.3176
74,2018-03-08,15.8
75,2018-03-09,16.0
76,2018-03-12,16.1
77,2018-03-13,16.4238
78,2018-03-14,17.22
79,2018-03-15,15.5033
80,2018-03-16,14.7
81,2018-03-19,13.7762
82,2018-03-20,13.3409
83,2018-03-21,13.36
84,2018-03-22,12.35
85,2018-03-23,12.87
86,2018-03-26,12.4843
87,2018-03-27,11.99
88,2018-03-28,11.9
89,2018-03-29,11.6053
90,2018-04-02,12.31
91,2018-04-03,11.68
92,2018-04-04,11.04
93,2018-04-05,11.79
94,2018-04-06,11.16
95,2018-04-09,11.1
96,2018-04-10,11.0
97,2018-04-11,11.53
98,2018-04-12,11.5
99,2018-04-13,11.11
100,2018-04-16,11.05
101,2018-04-17,11.13
102,2018-04-18,11.03
103,2018-04-19,11.06
104,2018-04-20,10.7
105,2018-04-23,10.25
106,2018-04-24,9.95
107,2018-04-25,10.2
108,2018-04-26,10.0
109,2018-04-27,9.81
110,2018-04-30,9.2
111,2018-05-01,10.25
112,2018-05-02,10.77
113,2018-05-03,11.66
114,2018-05-04,11.56
115,2018-05-07,12.12
116,2018-05-08,12.63
117,2018-05-09,15.5
118,2018-05-10,14.3
119,2018-05-11,14.46
120,2018-05-14,14.08
121,2018-05-15,14.5
122,2018-05-16,14.2
123,2018-05-17,13.8
124,2018-05-18,13.48
125,2018-05-21,13.07
126,2018-05-22,13.56
127,2018-05-23,14.47
128,2018-05-24,14.0
129,2018-05-25,13.75
130,2018-05-29,14.0
131,2018-05-30,13.91
132,2018-05-31,9.84
133,2018-06-01,10.35
134,2018-06-04,8.9
135,2018-06-05,8.48
136,2018-06-06,8.67
137,2018-06-07,8.35
138,2018-06-08,7.73
139,2018-06-11,7.12
140,2018-06-12,7.33
141,2018-06-13,5.62
142,2018-06-14,5.94
143,2018-06-15,6.06
144,2018-06-18,5.98
145,2018-06-19,5.82
146,2018-06-20,5.56
147,2018-06-21,5.53
148,2018-06-22,5.6
149,2018-06-25,5.84
150,2018-06-26,5.6
151,2018-06-27,5.55
152,2018-06-28,5.49
153,2018-06-29,5.7
154,2018-07-02,5.65
155,2018-07-03,5.8
156,2018-07-05,5.88
157,2018-07-06,5.92
158,2018-07-09,5.73
159,2018-07-10,5.61
160,2018-07-11,5.54
161,2018-07-12,5.31
162,2018-07-13,5.22
163,2018-07-16,5.5
164,2018-07-17,5.07
165,2018-07-18,4.88
166,2018-07-19,4.95
167,2018-07-20,4.67
168,2018-07-23,4.74
169,2018-07-24,4.71
170,2018-07-25,4.62
171,2018-07-26,4.73
172,2018-07-27,4.67
173,2018-07-30,4.58
174,2018-07-31,4.63
175,2018-08-01,4.65
176,2018-08-02,4.9
177,2018-08-03,4.82
178,2018-08-06,4.806
179,2018-08-07,4.88
180,2018-08-08,4.93
181,2018-08-09,4.72
182,2018-08-10,4.52
183,2018-08-13,4.64
184,2018-08-14,4.37
185,2018-08-15,4.23
186,2018-08-16,4.61
187,2018-08-17,5.1
188,2018-08-20,5.4
189,2018-08-21,4.91
190,2018-08-22,5.21
191,2018-08-23,5.25
192,2018-08-24,5.3347
193,2018-08-27,5.35
194,2018-08-28,5.13
195,2018-08-29,5.12
196,2018-08-30,5.09
197,2018-08-31,5.09
198,2018-09-04,5.15
199,2018-09-05,5.1
200,2018-09-06,5.4242
201,2018-09-07,5.0
202,2018-09-10,5.17
203,2018-09-11,5.0453
204,2018-09-12,4.95
205,2018-09-13,5.05
206,2018-09-14,5.08
207,2018-09-17,5.14
208,2018-09-18,5.23
209,2018-09-19,5.11
210,2018-09-20,5.24
211,2018-09-21,5.16
212,2018-09-24,5.12
213,2018-09-25,5.0648
214,2018-09-26,5.43
215,2018-09-27,5.75
216,2018-09-28,6.05
217,2018-10-01,5.69
218,2018-10-02,5.0124
219,2018-10-03,4.93
220,2018-10-04,5.21
221,2018-10-05,5.41
222,2018-10-08,5.12
223,2018-10-09,5.4
224,2018-10-10,5.64
225,2018-10-11,5.54
226,2018-10-12,5.43
227,2018-10-15,5.43
228,2018-10-16,5.13
229,2018-10-17,5.23
230,2018-10-18,5.06
231,2018-10-19,4.96
232,2018-10-22,4.69
233,2018-10-23,4.4
234,2018-10-24,4.28
235,2018-10-25,4.08
236,2018-10-26,4.04
237,2018-10-29,3.92
238,2018-10-30,4.0
239,2018-10-31,4.14
240,2018-11-01,4.5
241,2018-11-02,4.6
242,2018-11-05,4.62
243,2018-11-06,4.65
244,2018-11-07,4.59
245,2018-11-08,4.57
246,2018-11-09,4.8
247,2018-11-12,4.85
248,2018-11-13,5.17
249,2018-11-14,5.2
250,2018-11-15,5.1
251,2018-11-16,5.09
252,2018-11-19,4.03
253,2018-11-20,4.1561
254,2018-11-21,4.23
255,2018-11-23,4.5
256,2018-11-26,4.85
257,2018-11-27,4.7
