,date,open
0,2020-12-04,48.0
1,2020-12-07,58.09
2,2020-12-08,58.29
3,2020-12-09,61.45
4,2020-12-10,66.46
5,2020-12-11,81.04
6,2020-12-14,75.47
7,2020-12-15,67.9
8,2020-12-16,66.15
9,2020-12-17,68.69
10,2020-12-18,67.39
11,2020-12-21,59.06
12,2020-12-22,57.11
13,2020-12-23,63.7
14,2020-12-24,64.96
15,2020-12-28,62.97
16,2020-12-29,63.99
17,2020-12-30,55.78
18,2020-12-31,57.1
19,2021-01-04,56.49
20,2021-01-05,54.08
21,2021-01-06,57.66
22,2021-01-07,57.65
23,2021-01-08,59.35
24,2021-01-11,63.36
25,2021-01-12,62.05
26,2021-01-13,67.03
27,2021-01-14,72.0
28,2021-01-15,75.54
29,2021-01-19,79.93
30,2021-01-20,83.77
31,2021-01-21,84.93
32,2021-01-22,81.87
33,2021-01-25,77.84
34,2021-01-26,78.01
35,2021-01-27,72.56
36,2021-01-28,63.08
37,2021-01-29,66.3
38,2021-02-01,63.66
39,2021-02-02,60.29
40,2021-02-03,62.64
41,2021-02-04,63.45
42,2021-02-05,64.98
43,2021-02-08,66.0
44,2021-02-09,63.6
45,2021-02-10,60.94
46,2021-02-11,60.08
47,2021-02-12,59.68
48,2021-02-16,70.48
49,2021-02-17,64.68
50,2021-02-18,60.02
51,2021-02-19,62.1
52,2021-02-22,61.24
53,2021-02-23,56.55
54,2021-02-24,54.75
55,2021-02-25,55.46
56,2021-02-26,51.0
57,2021-03-01,49.03
58,2021-03-02,51.69
59,2021-03-03,53.12
60,2021-03-04,49.42
61,2021-03-05,51.11
62,2021-03-08,48.01
63,2021-03-09,40.71
64,2021-03-10,46.32
65,2021-03-11,46.85
66,2021-03-12,47.7
67,2021-03-15,52.95
68,2021-03-16,53.05
69,2021-03-17,50.49
70,2021-03-18,53.07
71,2021-03-19,50.08
72,2021-03-22,52.9
73,2021-03-23,52.84
74,2021-03-24,52.39
75,2021-03-25,44.44
76,2021-03-26,42.73
77,2021-03-29,40.86
78,2021-03-30,40.65
79,2021-03-31,44.38
80,2021-04-01,52.0
81,2021-04-05,53.32
82,2021-04-06,57.0
83,2021-04-07,54.32
84,2021-04-08,54.59
85,2021-04-09,53.78
86,2021-04-12,51.68
87,2021-04-13,54.12
88,2021-04-14,56.98
89,2021-04-15,54.36
90,2021-04-16,52.46
91,2021-04-19,50.23
92,2021-04-20,49.32
93,2021-04-21,47.89
94,2021-04-22,50.74
95,2021-04-23,51.05
96,2021-04-26,49.89
97,2021-04-27,53.37
98,2021-04-28,52.07
99,2021-04-29,53.42
100,2021-04-30,49.08
101,2021-05-03,51.09
102,2021-05-04,46.55
103,2021-05-05,42.54
104,2021-05-06,39.81
105,2021-05-07,40.44
106,2021-05-10,37.11
107,2021-05-11,30.32
108,2021-05-12,31.13
109,2021-05-13,29.24
110,2021-05-14,29.14
111,2021-05-17,29.41
112,2021-05-18,30.99
113,2021-05-19,30.75
114,2021-05-20,32.02
115,2021-05-21,31.67
116,2021-05-24,28.93
117,2021-05-25,29.75
118,2021-05-26,29.78
119,2021-05-27,31.32
120,2021-05-28,30.81
121,2021-06-01,29.71
122,2021-06-02,27.75
123,2021-06-03,32.55
124,2021-06-04,33.55
125,2021-06-07,33.34
126,2021-06-08,31.85
127,2021-06-09,32.0
128,2021-06-10,31.48
129,2021-06-11,33.75
130,2021-06-14,33.21
131,2021-06-15,31.29
132,2021-06-16,31.67
133,2021-06-17,31.74
134,2021-06-18,33.27
135,2021-06-21,33.28
136,2021-06-22,34.25
137,2021-06-23,33.86
138,2021-06-24,33.3265
139,2021-06-25,33.99
140,2021-06-28,34.18
141,2021-06-29,34.53
142,2021-06-30,33.29
143,2021-07-01,33.17
144,2021-07-02,31.46
145,2021-07-06,31.0
146,2021-07-07,29.03
147,2021-07-08,29.41
148,2021-07-09,32.07
149,2021-07-12,32.51
150,2021-07-13,32.78
151,2021-07-14,31.48
152,2021-07-15,28.47
153,2021-07-16,28.0
154,2021-07-19,30.03
155,2021-07-20,31.66
156,2021-07-21,33.5276
157,2021-07-22,33.93
158,2021-07-23,34.47
159,2021-07-26,33.09
160,2021-07-27,32.27
161,2021-07-28,31.15
162,2021-07-29,33.3
163,2021-07-30,32.47
164,2021-08-02,32.29
165,2021-08-03,31.22
166,2021-08-04,30.69
167,2021-08-05,31.34
168,2021-08-06,32.8
169,2021-08-09,31.04
170,2021-08-10,31.96
171,2021-08-11,30.9
172,2021-08-12,29.96
173,2021-08-13,29.32
174,2021-08-16,32.02
175,2021-08-17,29.86
176,2021-08-18,30.07
177,2021-08-19,29.16
178,2021-08-20,30.12
179,2021-08-23,32.88
180,2021-08-24,34.47
181,2021-08-25,35.6
182,2021-08-26,36.08
183,2021-08-27,36.17
184,2021-08-30,36.96
185,2021-08-31,38.35
186,2021-09-01,40.12
187,2021-09-02,39.73
188,2021-09-03,42.79
189,2021-09-07,44.2
190,2021-09-08,44.88
191,2021-09-09,43.3
192,2021-09-10,42.26
193,2021-09-13,44.11
194,2021-09-14,38.2
195,2021-09-15,40.99
196,2021-09-16,40.57
197,2021-09-17,36.23
198,2021-09-20,37.0
199,2021-09-21,36.03
200,2021-09-22,36.79
201,2021-09-23,36.64
202,2021-09-24,37.54
203,2021-09-27,36.1
204,2021-09-28,36.29
205,2021-09-29,34.81
206,2021-09-30,34.07
207,2021-10-01,34.39
208,2021-10-04,34.39
209,2021-10-05,32.96
210,2021-10-06,32.02
211,2021-10-07,31.96
212,2021-10-08,34.25
213,2021-10-11,32.4
214,2021-10-12,32.14
215,2021-10-13,33.77
216,2021-10-14,32.27
217,2021-10-15,33.0157
218,2021-10-18,31.81
219,2021-10-19,33.1
220,2021-10-20,34.83
221,2021-10-21,35.43
222,2021-10-22,34.37
223,2021-10-25,33.43
224,2021-10-26,34.18
225,2021-10-27,34.48
226,2021-10-28,34.3
227,2021-10-29,36.46
228,2021-11-01,37.13
229,2021-11-02,38.33
230,2021-11-03,36.24
231,2021-11-04,36.98
232,2021-11-05,34.61
233,2021-11-08,35.26
234,2021-11-09,36.52
235,2021-11-10,34.73
236,2021-11-11,32.28
237,2021-11-12,29.34
238,2021-11-15,31.57
239,2021-11-16,30.08
240,2021-11-17,30.37
241,2021-11-18,28.4
242,2021-11-19,25.26
243,2021-11-22,25.42
244,2021-11-23,22.71
245,2021-11-24,23.22
246,2021-11-26,23.11
247,2021-11-29,23.45
248,2021-11-30,21.32
249,2021-12-01,22.5
250,2021-12-02,20.95
251,2021-12-03,21.78
252,2021-12-06,20.26
253,2021-12-07,22.79
254,2021-12-08,24.795
255,2021-12-09,25.62
256,2021-12-10,25.22
257,2021-12-13,24.93
258,2021-12-14,24.66
259,2021-12-15,24.57
260,2021-12-16,25.43
261,2021-12-17,22.5
262,2021-12-20,22.4
263,2021-12-21,23.15
264,2021-12-22,23.93
265,2021-12-23,23.88
266,2021-12-27,24.3
267,2021-12-28,23.69
268,2021-12-29,21.47
269,2021-12-30,21.82
270,2021-12-31,22.37
271,2022-01-03,22.81
272,2022-01-04,23.0
273,2022-01-05,20.9
274,2022-01-06,19.64
275,2022-01-07,18.95
276,2022-01-10,18.35
277,2022-01-11,18.75
278,2022-01-12,20.8
279,2022-01-13,20.14
280,2022-01-14,18.92
281,2022-01-18,19.19
282,2022-01-19,15.78
283,2022-01-20,16.11
284,2022-01-21,15.45
285,2022-01-24,15.29
286,2022-01-25,15.45
287,2022-01-26,15.74
288,2022-01-27,14.63
289,2022-01-28,13.59
290,2022-01-31,14.33
291,2022-02-01,15.88
292,2022-02-02,17.4
293,2022-02-03,17.04
294,2022-02-04,15.12
295,2022-02-07,16.15
296,2022-02-08,16.53
297,2022-02-09,16.97
298,2022-02-10,17.04
299,2022-02-11,16.87
300,2022-02-14,16.33
301,2022-02-15,15.89
302,2022-02-16,15.8
303,2022-02-17,15.41
304,2022-02-18,14.17
305,2022-02-22,12.96
306,2022-02-23,13.05
307,2022-02-24,11.19
308,2022-02-25,13.43
309,2022-02-28,14.57
310,2022-03-01,14.85
311,2022-03-02,13.83
312,2022-03-03,13.95
313,2022-03-04,12.89
314,2022-03-07,12.5
315,2022-03-08,12.16
316,2022-03-09,12.58
317,2022-03-10,13.14
318,2022-03-11,13.41
319,2022-03-14,12.46
320,2022-03-15,11.8
321,2022-03-16,12.37
322,2022-03-17,12.75
323,2022-03-18,13.98
324,2022-03-21,15.35
325,2022-03-22,14.28
326,2022-03-23,15.01
327,2022-03-24,15.2
328,2022-03-25,14.24
329,2022-03-28,13.56
330,2022-03-29,13.7
331,2022-03-30,14.95
332,2022-03-31,14.96
333,2022-04-01,15.37
334,2022-04-04,15.97
335,2022-04-05,16.02
336,2022-04-06,14.75
337,2022-04-07,13.23
338,2022-04-08,12.87
339,2022-04-11,12.09
340,2022-04-12,12.38
341,2022-04-13,12.01
342,2022-04-14,12.73
343,2022-04-18,11.43
344,2022-04-19,10.79
345,2022-04-20,10.18
346,2022-04-21,10.47
347,2022-04-22,9.08
348,2022-04-25,8.7
349,2022-04-26,8.54
350,2022-04-27,8.01
351,2022-04-28,8.21
352,2022-04-29,7.73
353,2022-05-02,7.19
354,2022-05-03,8.38
355,2022-05-04,8.57
356,2022-05-05,8.91
357,2022-05-06,8.86
358,2022-05-09,8.86
359,2022-05-10,8.38
360,2022-05-11,7.61
