,date,open
0,2001-03-09,8.875
1,2001-03-12,8.609
2,2001-03-13,7.828
3,2001-03-14,7.25
4,2001-03-15,7.313
5,2001-03-16,6.641
6,2001-03-19,7.125
7,2001-03-20,7.109
8,2001-03-21,7.063
9,2001-03-22,7.0
10,2001-03-23,7.031
11,2001-03-26,6.625
12,2001-03-27,7.063
13,2001-03-28,6.75
14,2001-03-29,6.047
15,2001-03-30,5.375
16,2001-04-02,5.5
17,2001-04-03,5.375
18,2001-04-04,5.188
19,2001-04-05,5.063
20,2001-04-06,5.75
21,2001-04-09,6.5
22,2001-04-10,6.745
23,2001-04-11,6.405
24,2001-04-12,6.55
25,2001-04-16,6.58
26,2001-04-17,6.01
27,2001-04-18,6.1
28,2001-04-19,6.89
29,2001-04-20,6.7
30,2001-04-23,7.0
31,2001-04-24,6.895
32,2001-04-25,6.69
33,2001-04-26,6.76
34,2001-04-27,6.675
35,2001-04-30,8.21
36,2001-05-01,8.05
37,2001-05-02,8.255
38,2001-05-03,8.165
39,2001-05-04,8.045
40,2001-05-07,9.6
41,2001-05-08,10.98
42,2001-05-09,10.3
43,2001-05-10,10.05
44,2001-05-11,9.895
45,2001-05-14,9.99
46,2001-05-15,8.92
47,2001-05-16,8.08
48,2001-05-17,9.4
49,2001-05-18,8.93
50,2001-05-21,8.15
51,2001-05-22,8.9
52,2001-05-23,8.77
53,2001-05-24,9.2
54,2001-05-25,9.18
55,2001-05-29,8.875
56,2001-05-30,8.66
57,2001-05-31,8.64
58,2001-06-01,8.995
59,2001-06-04,8.745
60,2001-06-05,9.15
61,2001-06-06,9.25
62,2001-06-07,9.0
63,2001-06-08,8.9
64,2001-06-11,8.84
65,2001-06-12,7.74
66,2001-06-13,7.035
67,2001-06-14,7.0
68,2001-06-15,6.52
69,2001-06-18,6.71
70,2001-06-19,6.69
71,2001-06-20,6.45
72,2001-06-21,6.22
73,2001-06-22,6.885
74,2001-06-25,6.84
75,2001-06-26,6.82
76,2001-06-27,6.765
77,2001-06-28,6.75
78,2001-06-29,6.5
79,2001-07-02,6.14
80,2001-07-03,6.39
81,2001-07-05,6.48
82,2001-07-06,6.41
83,2001-07-09,6.64
84,2001-07-10,6.8
85,2001-07-11,6.5
86,2001-07-12,6.62
87,2001-07-13,6.5
88,2001-07-16,6.16
89,2001-07-17,6.45
90,2001-07-18,6.12
91,2001-07-19,6.4
92,2001-07-20,6.3
93,2001-07-23,6.45
94,2001-07-24,6.48
95,2001-07-25,6.99
96,2001-07-26,6.7
97,2001-07-27,6.6
98,2001-07-30,6.28
99,2001-07-31,6.59
100,2001-08-01,6.42
101,2001-08-02,6.3
102,2001-08-03,6.36
103,2001-08-06,6.3
104,2001-08-07,6.0
105,2001-08-08,5.9
106,2001-08-09,5.685
107,2001-08-10,5.54
108,2001-08-13,5.25
109,2001-08-14,5.3
110,2001-08-15,5.35
111,2001-08-16,5.69
112,2001-08-17,5.5
113,2001-08-20,5.34
114,2001-08-21,5.15
115,2001-08-22,5.34
116,2001-08-23,5.265
117,2001-08-24,5.2
118,2001-08-27,5.75
119,2001-08-28,5.61
120,2001-08-29,5.51
121,2001-08-30,5.92
122,2001-08-31,5.93
123,2001-09-04,5.2
124,2001-09-05,4.4
125,2001-09-06,4.26
126,2001-09-07,4.45
127,2001-09-10,4.2
128,2001-09-17,3.96
129,2001-09-18,4.01
130,2001-09-19,4.15
131,2001-09-20,4.08
132,2001-09-21,4.23
133,2001-09-24,5.5
134,2001-09-25,5.07
135,2001-09-26,5.918
136,2001-09-27,5.68
137,2001-09-28,5.04
138,2001-10-01,4.99
139,2001-10-02,4.44
140,2001-10-03,4.67
141,2001-10-04,4.77
142,2001-10-05,4.77
143,2001-10-08,4.498
144,2001-10-09,4.75
145,2001-10-10,4.35
146,2001-10-11,4.5
147,2001-10-12,4.61
148,2001-10-15,4.7
149,2001-10-16,4.69
150,2001-10-17,4.27
151,2001-10-18,4.35
152,2001-10-19,4.35
153,2001-10-22,3.99
154,2001-10-23,4.02
155,2001-10-24,3.94
156,2001-10-25,3.8
157,2001-10-26,3.605
158,2001-10-29,4.1
159,2001-10-30,4.54
160,2001-10-31,4.56
161,2001-11-01,4.8
162,2001-11-02,4.845
163,2001-11-05,4.8
164,2001-11-06,4.8
165,2001-11-07,4.929
166,2001-11-08,4.2
167,2001-11-09,4.31
168,2001-11-12,4.37
169,2001-11-13,4.47
170,2001-11-14,4.11
171,2001-11-15,4.14
172,2001-11-16,4.15
173,2001-11-19,4.3
174,2001-11-20,5.0
175,2001-11-21,5.15
176,2001-11-23,5.1
177,2001-11-26,5.15
178,2001-11-27,5.05
179,2001-11-28,5.03
180,2001-11-29,4.5
181,2001-11-30,4.56
182,2001-12-03,4.95
183,2001-12-04,4.65
184,2001-12-05,4.901
185,2001-12-06,5.2
186,2001-12-07,5.25
187,2001-12-10,5.27
188,2001-12-11,5.12
189,2001-12-12,5.01
190,2001-12-13,5.1
191,2001-12-14,5.05
192,2001-12-17,5.25
193,2001-12-18,5.49
194,2001-12-19,5.64
195,2001-12-20,5.82
196,2001-12-21,5.325
197,2001-12-24,5.7
198,2001-12-26,5.75
199,2001-12-27,5.64
200,2001-12-28,5.62
201,2001-12-31,5.62
202,2002-01-02,5.735
203,2002-01-03,5.8
204,2002-01-04,5.85
205,2002-01-07,5.99
206,2002-01-08,6.105
207,2002-01-09,6.27
208,2002-01-10,6.23
209,2002-01-11,6.85
210,2002-01-14,7.15
211,2002-01-15,7.2
212,2002-01-16,6.79
213,2002-01-17,6.82
214,2002-01-18,6.83
215,2002-01-22,6.84
216,2002-01-23,6.6
217,2002-01-24,6.5
218,2002-01-25,6.45
219,2002-01-28,6.6
220,2002-01-29,6.5
221,2002-01-30,6.9
222,2002-01-31,6.6
223,2002-02-01,6.6
224,2002-02-04,6.34
225,2002-02-05,6.5
226,2002-02-06,6.15
227,2002-02-07,6.12
228,2002-02-08,5.225
229,2002-02-11,5.06
230,2002-02-12,5.0
231,2002-02-13,4.761
232,2002-02-14,5.0
233,2002-02-15,5.18
234,2002-02-19,4.93
235,2002-02-20,4.99
236,2002-02-21,4.975
237,2002-02-22,5.06
238,2002-02-25,4.701
239,2002-02-26,4.7
240,2002-02-27,4.9
241,2002-02-28,4.978
242,2002-03-01,4.801
243,2002-03-04,4.75
244,2002-03-05,4.5
245,2002-03-06,4.74
246,2002-03-07,4.9
247,2002-03-08,4.985
248,2002-03-11,5.015
249,2002-03-12,5.27
250,2002-03-13,5.13
251,2002-03-14,5.085
252,2002-03-15,4.82
253,2002-03-18,4.95
254,2002-03-19,5.0
255,2002-03-20,5.05
256,2002-03-21,5.15
257,2002-03-22,5.0
258,2002-03-25,5.3
259,2002-03-26,5.0
260,2002-03-27,5.0
261,2002-03-28,5.05
262,2002-04-01,5.3
263,2002-04-02,5.28
264,2002-04-03,5.1
265,2002-04-04,5.005
266,2002-04-05,4.89
267,2002-04-08,4.99
268,2002-04-09,4.98
269,2002-04-10,4.89
270,2002-04-11,4.87
271,2002-04-12,4.95
272,2002-04-15,5.09
273,2002-04-16,5.05
274,2002-04-17,5.01
275,2002-04-18,5.0
276,2002-04-19,5.0
277,2002-04-22,5.93
278,2002-04-23,5.93
279,2002-04-24,6.22
280,2002-04-25,6.19
281,2002-04-26,6.0
282,2002-04-29,5.97
283,2002-04-30,5.5
284,2002-05-01,5.535
285,2002-05-02,5.55
286,2002-05-03,5.65
287,2002-05-06,5.55
288,2002-05-07,5.745
289,2002-05-08,5.49
290,2002-05-09,5.54
291,2002-05-10,5.41
292,2002-05-13,5.31
293,2002-05-14,5.55
294,2002-05-15,5.13
295,2002-05-16,4.865
296,2002-05-17,4.92
297,2002-05-20,5.0
298,2002-05-21,5.05
299,2002-05-22,5.05
300,2002-05-23,4.96
301,2002-05-24,4.965
302,2002-05-28,4.91
303,2002-05-29,4.92
304,2002-05-30,4.75
305,2002-05-31,4.65
306,2002-06-03,4.45
307,2002-06-04,4.15
308,2002-06-05,4.055
309,2002-06-06,3.78
310,2002-06-07,4.15
311,2002-06-10,4.0
312,2002-06-11,4.11
313,2002-06-12,3.99
314,2002-06-13,3.948
315,2002-06-14,4.001
316,2002-06-17,3.7
317,2002-06-18,3.85
318,2002-06-19,3.95
319,2002-06-20,3.86
320,2002-06-21,3.73
321,2002-06-24,3.85
322,2002-06-25,4.32
323,2002-06-26,4.151
324,2002-06-27,3.99
325,2002-06-28,3.95
326,2002-07-01,5.04
327,2002-07-02,5.01
328,2002-07-03,4.41
329,2002-07-05,4.53
330,2002-07-08,4.5
331,2002-07-09,4.38
332,2002-07-10,4.39
333,2002-07-11,4.11
334,2002-07-12,4.25
335,2002-07-15,4.16
336,2002-07-16,4.05
337,2002-07-17,4.251
338,2002-07-18,4.3
339,2002-07-19,4.2
340,2002-07-22,3.91
341,2002-07-23,4.15
342,2002-07-24,3.9
343,2002-07-25,4.15
344,2002-07-26,4.1
345,2002-07-29,4.08
346,2002-07-30,3.9
347,2002-07-31,4.14
348,2002-08-01,4.042
349,2002-08-02,4.03
350,2002-08-05,3.801
351,2002-08-06,3.85
352,2002-08-07,4.13
353,2002-08-08,4.1
354,2002-08-09,4.07
355,2002-08-12,4.05
356,2002-08-13,4.1
357,2002-08-14,3.9
358,2002-08-15,3.1
359,2002-08-16,3.01
360,2002-08-19,3.5
361,2002-08-20,3.44
362,2002-08-21,3.28
363,2002-08-22,3.499
364,2002-08-23,3.43
365,2002-08-26,3.346
366,2002-08-27,3.45
367,2002-08-28,3.29
368,2002-08-29,3.22
369,2002-08-30,3.25
370,2002-09-03,3.0
371,2002-09-04,2.91
372,2002-09-05,2.99
373,2002-09-06,2.95
374,2002-09-09,3.1
375,2002-09-10,3.08
376,2002-09-11,3.111
377,2002-09-12,3.03
